step,temperature,current_energy,best_energy,current_state,best_state
0,25000.0,0.3455,0.3455,"[1.         1.         0.66666667 0.5        0.33333333 0.16666667
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
10,22800.270983897743,0.526,0.3455,"[1.         1.         1.         0.64191951 0.64191951 0.37027009
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
20,20794.094277566775,0.3855,0.3455,"[1.         0.76404598 0.68978324 0.59414222 0.43041994 0.30557495
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
30,18964.43937572959,0.4405,0.3035,"[1.         1.         0.21477735 0.16767584 0.15847983 0.12893055
 0.        ]","[1.         0.42769172 0.41190221 0.33258432 0.24093713 0.17105237
 0.        ]"
40,17295.77427297341,0.4945,0.3035,"[1.         1.         1.         0.25011301 0.15847983 0.12985287
 0.        ]","[1.         0.42769172 0.41190221 0.33258432 0.24093713 0.17105237
 0.        ]"
50,15773.933612004832,0.431,0.3035,"[1.         1.         0.97921289 0.46489917 0.14673327 0.12364667
 0.        ]","[1.         0.42769172 0.41190221 0.33258432 0.24093713 0.17105237
 0.        ]"
60,14385.99843342892,0.389,0.3,"[1.         0.67552912 0.57523699 0.51908726 0.41421667 0.33293138
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
70,13120.186506244314,0.4355,0.3,"[1.         0.87813198 0.79829237 0.71654487 0.50727675 0.33293138
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
80,11965.752308065956,0.3025,0.3,"[1.         0.59623898 0.59623898 0.38051151 0.2423248  0.15904047
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
90,10912.895806004148,0.315,0.3,"[1.         0.59623898 0.59623898 0.59554383 0.42763224 0.18259421
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
100,9952.67926383743,0.4175,0.3,"[1.         0.52040075 0.52040075 0.5201379  0.44572109 0.37323984
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
110,9076.951369252534,0.487,0.3,"[1.         0.72406372 0.64030144 0.52040075 0.47090343 0.4624932
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
120,8278.278037064774,0.5295,0.3,"[1.         1.         0.87773951 0.68160335 0.61089462 0.4624932
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
130,7549.87930100504,0.5715,0.3,"[1.         1.         0.96586683 0.85905215 0.65478589 0.4624932
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
140,6885.571758345414,0.721,0.3,"[1.         1.         0.99742866 0.94680477 0.94522809 0.66977364
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
150,6279.7160787739485,0.554,0.3,"[1.         0.92992441 0.5681473  0.5681473  0.55523054 0.53626404
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
160,5727.169131919431,0.469,0.3,"[1.         0.91682595 0.21003561 0.17958404 0.16330783 0.15573227
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
170,5223.240327135098,0.4455,0.3,"[1.3161199  1.         0.48521521 0.2568951  0.09254151 0.09113139
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
180,4763.651794908117,0.3785,0.3,"[1.         0.87547488 0.33599215 0.21151162 0.09521291 0.09521291
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
190,4344.502071873437,0.4585,0.3,"[1.35523978 1.         0.51245722 0.11380037 0.07448967 0.06623055
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
200,3962.232981152783,0.455,0.3,"[1.98356214 0.98086528 0.90322548 0.15132062 0.15026533 0.05142871
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
210,3613.599426864818,0.6925,0.3,"[1.         0.04460515 0.04222324 0.01486451 0.00683336 0.00642992
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
220,3295.6418463910177,0.4535,0.3,"[1.         0.66269468 0.32217887 0.02131696 0.0067539  0.0061511
 0.        ]","[1.         0.67552912 0.54505412 0.51908726 0.41421667 0.07976029
 0.        ]"
230,3005.661086543532,0.2995,0.2915,"[1.8123444  0.44984402 0.37181588 0.17370101 0.1736728  0.07494006
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
240,2741.195490357961,0.4875,0.2915,"[1.3281864  1.         0.21976778 0.05006956 0.05006956 0.02160158
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
250,2499.9999999999995,0.3795,0.2915,"[1.         0.7641287  0.489626   0.4098947  0.03159582 0.03010386
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
260,2280.027098389774,0.392,0.2915,"[1.         1.         0.53161894 0.53140014 0.25901779 0.17773046
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
270,2079.409427756677,0.383,0.2915,"[1.         0.89385433 0.5988284  0.3182175  0.15510721 0.11650623
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
280,1896.4439375729587,0.503,0.2915,"[1.         1.         0.91411863 0.3182175  0.3182175  0.21669226
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
290,1729.5774272973404,0.422,0.2915,"[1.7082823  0.45050457 0.1851287  0.08550638 0.0592034  0.0563891
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
300,1577.3933612004823,0.5225,0.2915,"[1.         0.27366299 0.12253797 0.11114086 0.0253608  0.02332785
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
310,1438.5998433428915,0.4655,0.2915,"[1.         1.         0.12253797 0.12192465 0.09792951 0.03568712
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
320,1312.0186506244306,0.493,0.2915,"[1.         0.47437883 0.04753439 0.04752846 0.03798838 0.03679995
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
330,1196.5752308065955,0.458,0.2915,"[1.         0.33445294 0.33445294 0.02935798 0.02806865 0.02368458
 0.        ]","[1.         0.70449227 0.58229387 0.27202988 0.26242559 0.0061511
 0.        ]"
