step,temperature,current_energy,best_energy,current_state,best_state
0,25000.0,0.1665,0.1665,"[1.         0.83333333 0.79082676 0.5        0.33333333 0.16666667
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
10,22800.270983897743,0.276,0.1665,"[1.         1.         0.58911311 0.41308354 0.39036468 0.17405833
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
20,20794.094277566775,0.2235,0.1665,"[1.         1.         0.52908163 0.33294719 0.17868774 0.09548977
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
30,18964.43937572959,0.213,0.1665,"[1.         0.62052886 0.39801161 0.35032521 0.34663933 0.11193469
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
40,17295.77427297341,0.35,0.1665,"[1.         0.37554616 0.31032586 0.21813476 0.19594284 0.1952188
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
50,15773.933612004832,0.37,0.1665,"[1.         0.4100684  0.35810497 0.30943798 0.30522683 0.29768474
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
60,14385.99843342892,0.712,0.1665,"[1.         0.14216167 0.12549234 0.11906584 0.09519153 0.09215276
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
70,13120.186506244314,0.542,0.1665,"[1.         0.93073777 0.09685579 0.09110021 0.08645824 0.08514619
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
80,11965.752308065956,0.2635,0.1665,"[1.         0.98297847 0.32147228 0.12638726 0.1247193  0.04737674
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
90,10912.895806004148,0.191,0.1665,"[1.         0.97321645 0.85650546 0.71625752 0.108841   0.08343858
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
100,9952.67926383743,0.2265,0.1665,"[1.         1.         0.87396639 0.77087661 0.19748776 0.10882727
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
110,9076.951369252534,0.429,0.1665,"[1.         0.59257724 0.55941451 0.55941451 0.18236002 0.16764397
 0.        ]","[1.         0.83333333 0.66666667 0.5        0.33333333 0.16666667
 0.        ]"
120,8278.278037064774,0.3285,0.161,"[1.         0.28467095 0.27117506 0.27117506 0.10975225 0.05326912
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
130,7549.87930100504,0.2205,0.161,"[1.         1.         0.63067992 0.54243538 0.49004184 0.07697232
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
140,6885.571758345414,0.195,0.161,"[1.86265081 0.65826678 0.65826678 0.49793467 0.30599112 0.3034113
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
150,6279.7160787739485,0.2445,0.161,"[1.         1.         0.4420007  0.31963899 0.27537157 0.13173544
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
160,5727.169131919431,0.246,0.161,"[1.59805313 1.         1.         0.58175641 0.50689786 0.19425815
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
170,5223.240327135098,0.463,0.161,"[1.         0.16090439 0.16090439 0.09360716 0.0901206  0.07913883
 0.        ]","[1.         0.68869767 0.65604737 0.3986992  0.26552102 0.12887271
 0.        ]"
