Profile,Winner,Num_Violations,candidate_pairs,candidate_pairs-normalized,candidate_pairs-no_diagonal,candidate_pairs-normalized-no_diagonal,candidate_pairs-normalized-upper_half,binary_pairs,binary_pairs-no_diagonal,binary_pairs-upper_half,rank_matrix,rank_matrix-normalized,Borda ranking Winner,Plurality ranking Winner,STV Winner,Approval Voting (AV) Winner,Proportional Approval Voting (PAV) Winner,Approval Chamberlin-Courant (CC) Winner,Lexicographic Chamberlin-Courant (lex-CC) Winner,Sequential Approval Chamberlin-Courant (seq-CC) Winner,Monroe's Approval Rule (Monroe) Winner,Greedy Monroe Winner,Minimax Approval Voting (MAV) Winner
"[(3, 1, 2, 0, 4), (1, 0, 2, 3, 4), (3, 0, 2, 1, 4), (3, 2, 0, 1, 4), (1, 2, 0, 4, 3), (4, 0, 2, 1, 3), (2, 3, 4, 1, 0), (3, 1, 0, 2, 4), (2, 3, 1, 4, 0), (3, 2, 1, 4, 0)]","(0, 1, 1, 1, 0)",0,"[0, 3, 4, 3, 6, 7, 0, 4, 3, 8, 6, 6, 0, 5, 9, 7, 7, 5, 0, 8, 4, 2, 1, 2, 0]","[0.0, 0.03, 0.04, 0.03, 0.06, 0.07, 0.0, 0.04, 0.03, 0.08, 0.06, 0.06, 0.0, 0.05, 0.09, 0.07, 0.07, 0.05, 0.0, 0.08, 0.04, 0.02, 0.01, 0.02, 0.0]","[3, 4, 3, 6, 7, 4, 3, 8, 6, 6, 5, 9, 7, 7, 5, 8, 4, 2, 1, 2]","[0.03, 0.04, 0.03, 0.06, 0.07, 0.04, 0.03, 0.08, 0.06, 0.06, 0.05, 0.09, 0.07, 0.07, 0.05, 0.08, 0.04, 0.02, 0.01, 0.02]","[0.0566  0.07547 0.0566  0.11321 0.07547 0.0566  0.15094 0.09434 0.16981
 0.15094]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[0, 3, 3, 1, 3, 2, 2, 2, 4, 0, 2, 3, 4, 1, 0, 5, 2, 0, 1, 2, 1, 0, 1, 3, 5]","[0.0, 0.06, 0.06, 0.02, 0.06, 0.04, 0.04, 0.04, 0.08, 0.0, 0.04, 0.06, 0.08, 0.02, 0.0, 0.1, 0.04, 0.0, 0.02, 0.04, 0.02, 0.0, 0.02, 0.06, 0.1]","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(1, 1, 1, 0, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(1, 0, 1, 1, 0)"
"[(1, 3, 2, 0, 4), (2, 3, 1, 0, 4), (3, 1, 4, 0, 2), (4, 3, 1, 2, 0), (4, 3, 2, 1, 0), (1, 3, 2, 4, 0), (2, 1, 3, 4, 0), (1, 0, 3, 4, 2), (1, 4, 0, 3, 2), (1, 3, 2, 0, 4)]","(0, 1, 0, 1, 1)",0,"[0, 0, 3, 2, 4, 10, 0, 7, 6, 8, 7, 3, 0, 2, 5, 8, 4, 8, 0, 7, 6, 2, 5, 3, 0]","[0.0, 0.0, 0.03, 0.02, 0.04, 0.1, 0.0, 0.07, 0.06, 0.08, 0.07, 0.03, 0.0, 0.02, 0.05, 0.08, 0.04, 0.08, 0.0, 0.07, 0.06, 0.02, 0.05, 0.03, 0.0]","[0, 3, 2, 4, 10, 7, 6, 8, 7, 3, 2, 5, 8, 4, 8, 7, 6, 2, 5, 3]","[0.0, 0.03, 0.02, 0.04, 0.1, 0.07, 0.06, 0.08, 0.07, 0.03, 0.02, 0.05, 0.08, 0.04, 0.08, 0.07, 0.06, 0.02, 0.05, 0.03]","[0.      0.06818 0.04545 0.09091 0.15909 0.13636 0.18182 0.04545 0.11364
 0.15909]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 1, 0, 0, 1]","[0, 1, 1, 4, 4, 5, 2, 2, 1, 0, 2, 0, 4, 1, 3, 1, 6, 2, 1, 0, 2, 1, 1, 3, 3]","[0.0, 0.02, 0.02, 0.08, 0.08, 0.1, 0.04, 0.04, 0.02, 0.0, 0.04, 0.0, 0.08, 0.02, 0.06, 0.02, 0.12, 0.04, 0.02, 0.0, 0.04, 0.02, 0.02, 0.06, 0.06]","(0, 1, 1, 1, 0)","(0, 1, 1, 0, 1)","(0, 1, 0, 1, 1)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 0, 1, 0)","(0, 1, 0, 1, 1)"
"[(4, 1, 0, 3, 2), (1, 0, 4, 2, 3), (2, 1, 4, 3, 0), (2, 1, 4, 3, 0), (3, 1, 0, 4, 2), (4, 3, 1, 2, 0), (1, 2, 4, 3, 0), (1, 0, 3, 4, 2), (2, 3, 1, 4, 0), (0, 4, 1, 2, 3)]","(0, 1, 1, 0, 1)",0,"[0, 1, 5, 4, 4, 9, 0, 7, 7, 7, 5, 3, 0, 6, 4, 6, 3, 4, 0, 3, 6, 3, 6, 7, 0]","[0.0, 0.01, 0.05, 0.04, 0.04, 0.09, 0.0, 0.07, 0.07, 0.07, 0.05, 0.03, 0.0, 0.06, 0.04, 0.06, 0.03, 0.04, 0.0, 0.03, 0.06, 0.03, 0.06, 0.07, 0.0]","[1, 5, 4, 4, 9, 7, 7, 7, 5, 3, 6, 4, 6, 3, 4, 3, 6, 3, 6, 7]","[0.01, 0.05, 0.04, 0.04, 0.09, 0.07, 0.07, 0.07, 0.05, 0.03, 0.06, 0.04, 0.06, 0.03, 0.04, 0.03, 0.06, 0.03, 0.06, 0.07]","[0.02083 0.10417 0.08333 0.08333 0.14583 0.14583 0.14583 0.125   0.08333
 0.0625 ]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[1, 2, 2, 0, 5, 3, 4, 3, 0, 0, 3, 1, 0, 3, 3, 1, 2, 1, 4, 2, 2, 1, 4, 3, 0]","[0.02, 0.04, 0.04, 0.0, 0.1, 0.06, 0.08, 0.06, 0.0, 0.0, 0.06, 0.02, 0.0, 0.06, 0.06, 0.02, 0.04, 0.02, 0.08, 0.04, 0.04, 0.02, 0.08, 0.06, 0.0]","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(0, 1, 1, 1, 0)","(0, 1, 0, 1, 1)"
"[(1, 2, 4, 0, 3), (1, 3, 0, 2, 4), (1, 0, 4, 3, 2), (0, 4, 1, 3, 2), (3, 2, 4, 0, 1), (1, 3, 4, 2, 0), (3, 1, 4, 2, 0), (3, 4, 1, 0, 2), (3, 4, 0, 2, 1), (3, 2, 4, 1, 0)]","(0, 1, 0, 1, 1)",0,"[0, 3, 5, 3, 3, 7, 0, 7, 5, 5, 5, 3, 0, 1, 4, 7, 5, 9, 0, 7, 7, 5, 6, 3, 0]","[0.0, 0.03, 0.05, 0.03, 0.03, 0.07, 0.0, 0.07, 0.05, 0.05, 0.05, 0.03, 0.0, 0.01, 0.04, 0.07, 0.05, 0.09, 0.0, 0.07, 0.07, 0.05, 0.06, 0.03, 0.0]","[3, 5, 3, 3, 7, 7, 5, 5, 5, 3, 1, 4, 7, 5, 9, 7, 7, 5, 6, 3]","[0.03, 0.05, 0.03, 0.03, 0.07, 0.07, 0.05, 0.05, 0.05, 0.03, 0.01, 0.04, 0.07, 0.05, 0.09, 0.07, 0.07, 0.05, 0.06, 0.03]","[0.06977 0.11628 0.06977 0.06977 0.16279 0.11628 0.11628 0.02326 0.09302
 0.16279]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1]","[1, 1, 2, 3, 3, 4, 1, 2, 1, 2, 0, 3, 0, 4, 3, 5, 2, 0, 2, 1, 0, 3, 6, 0, 1]","[0.02, 0.02, 0.04, 0.06, 0.06, 0.08, 0.02, 0.04, 0.02, 0.04, 0.0, 0.06, 0.0, 0.08, 0.06, 0.1, 0.04, 0.0, 0.04, 0.02, 0.0, 0.06, 0.12, 0.0, 0.02]","(0, 1, 0, 1, 1)","(1, 1, 0, 1, 0)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(0, 1, 0, 1, 1)"
"[(4, 2, 0, 3, 1), (2, 4, 1, 3, 0), (4, 3, 1, 0, 2), (2, 4, 0, 3, 1), (0, 3, 2, 4, 1), (3, 2, 1, 4, 0), (3, 2, 4, 0, 1), (0, 4, 3, 1, 2), (2, 4, 0, 1, 3), (2, 3, 4, 0, 1)]","(0, 0, 1, 1, 1)",0,"[0, 7, 3, 5, 2, 3, 0, 2, 2, 1, 7, 8, 0, 5, 7, 5, 8, 5, 0, 4, 8, 9, 3, 6, 0]","[0.0, 0.07, 0.03, 0.05, 0.02, 0.03, 0.0, 0.02, 0.02, 0.01, 0.07, 0.08, 0.0, 0.05, 0.07, 0.05, 0.08, 0.05, 0.0, 0.04, 0.08, 0.09, 0.03, 0.06, 0.0]","[7, 3, 5, 2, 3, 2, 2, 1, 7, 8, 5, 7, 5, 8, 5, 4, 8, 9, 3, 6]","[0.07, 0.03, 0.05, 0.02, 0.03, 0.02, 0.02, 0.01, 0.07, 0.08, 0.05, 0.07, 0.05, 0.08, 0.05, 0.04, 0.08, 0.09, 0.03, 0.06]","[0.18421 0.07895 0.13158 0.05263 0.05263 0.05263 0.02632 0.13158 0.18421
 0.10526]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[2, 0, 3, 3, 2, 0, 0, 3, 2, 5, 4, 3, 1, 0, 2, 2, 3, 1, 3, 1, 2, 4, 2, 2, 0]","[0.04, 0.0, 0.06, 0.06, 0.04, 0.0, 0.0, 0.06, 0.04, 0.1, 0.08, 0.06, 0.02, 0.0, 0.04, 0.04, 0.06, 0.02, 0.06, 0.02, 0.04, 0.08, 0.04, 0.04, 0.0]","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)"
"[(1, 2, 4, 0, 3), (1, 2, 4, 0, 3), (1, 2, 4, 0, 3), (1, 2, 4, 0, 3), (1, 2, 4, 0, 3), (1, 2, 4, 0, 3), (1, 2, 4, 0, 3), (1, 2, 4, 0, 3), (1, 2, 4, 0, 3), (1, 2, 4, 0, 3)]","(0, 1, 1, 0, 1)",0,"[0, 0, 0, 10, 0, 10, 0, 10, 10, 10, 10, 0, 0, 10, 10, 0, 0, 0, 0, 0, 10, 0, 0, 10, 0]","[0.0, 0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.1, 0.1, 0.1, 0.1, 0.0, 0.0, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.1, 0.0]","[0, 0, 10, 0, 10, 10, 10, 10, 10, 0, 10, 10, 0, 0, 0, 0, 10, 0, 0, 10]","[0.0, 0.0, 0.1, 0.0, 0.1, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.1, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.1]","[0.      0.      0.16667 0.      0.16667 0.16667 0.16667 0.16667 0.16667
 0.     ]","[0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]","[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1]","[0, 0, 1, 0, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 10, 0, 10, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 10, 0, 0]","[0.0, 0.0, 0.0, 0.2, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0]","(0, 1, 1, 0, 1)","(1, 1, 1, 0, 0)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(1, 1, 1, 0, 0)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)"
"[(4, 1, 2, 3, 0), (1, 4, 2, 3, 0), (2, 3, 1, 4, 0), (2, 1, 3, 0, 4), (4, 2, 0, 1, 3), (1, 2, 4, 0, 3), (1, 3, 4, 0, 2), (2, 4, 1, 3, 0), (1, 4, 0, 2, 3), (1, 4, 2, 3, 0)]","(0, 1, 1, 0, 1)",0,"[0, 1, 2, 3, 1, 9, 0, 6, 9, 7, 8, 4, 0, 9, 4, 7, 1, 1, 0, 3, 9, 3, 6, 7, 0]","[0.0, 0.01, 0.02, 0.03, 0.01, 0.09, 0.0, 0.06, 0.09, 0.07, 0.08, 0.04, 0.0, 0.09, 0.04, 0.07, 0.01, 0.01, 0.0, 0.03, 0.09, 0.03, 0.06, 0.07, 0.0]","[1, 2, 3, 1, 9, 6, 9, 7, 8, 4, 9, 4, 7, 1, 1, 3, 9, 3, 6, 7]","[0.01, 0.02, 0.03, 0.01, 0.09, 0.06, 0.09, 0.07, 0.08, 0.04, 0.09, 0.04, 0.07, 0.01, 0.01, 0.03, 0.09, 0.03, 0.06, 0.07]","[0.02222 0.04444 0.06667 0.02222 0.13333 0.2     0.15556 0.2     0.08889
 0.06667]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 0, 2, 3, 5, 5, 2, 2, 1, 0, 3, 2, 3, 1, 1, 0, 2, 1, 4, 3, 2, 4, 2, 1, 1]","[0.0, 0.0, 0.04, 0.06, 0.1, 0.1, 0.04, 0.04, 0.02, 0.0, 0.06, 0.04, 0.06, 0.02, 0.02, 0.0, 0.04, 0.02, 0.08, 0.06, 0.04, 0.08, 0.04, 0.02, 0.02]","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)"
"[(3, 2, 1, 4, 0), (2, 3, 1, 0, 4), (2, 1, 3, 0, 4), (2, 3, 1, 4, 0), (3, 2, 4, 1, 0), (2, 3, 1, 4, 0), (2, 1, 3, 0, 4), (3, 2, 1, 0, 4), (1, 0, 2, 4, 3), (2, 1, 3, 0, 4)]","(0, 1, 1, 1, 0)",0,"[0, 0, 1, 1, 6, 10, 0, 1, 4, 9, 9, 9, 0, 7, 10, 9, 6, 3, 0, 9, 4, 1, 0, 1, 0]","[0.0, 0.0, 0.01, 0.01, 0.06, 0.1, 0.0, 0.01, 0.04, 0.09, 0.09, 0.09, 0.0, 0.07, 0.1, 0.09, 0.06, 0.03, 0.0, 0.09, 0.04, 0.01, 0.0, 0.01, 0.0]","[0, 1, 1, 6, 10, 1, 4, 9, 9, 9, 7, 10, 9, 6, 3, 9, 4, 1, 0, 1]","[0.0, 0.01, 0.01, 0.06, 0.1, 0.01, 0.04, 0.09, 0.09, 0.09, 0.07, 0.1, 0.09, 0.06, 0.03, 0.09, 0.04, 0.01, 0.0, 0.01]","[0.      0.02083 0.02083 0.125   0.02083 0.08333 0.1875  0.14583 0.20833
 0.1875 ]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 1]","[0, 1, 0, 5, 4, 1, 3, 5, 1, 0, 6, 3, 1, 0, 0, 3, 3, 3, 0, 1, 0, 0, 1, 4, 5]","[0.0, 0.02, 0.0, 0.1, 0.08, 0.02, 0.06, 0.1, 0.02, 0.0, 0.12, 0.06, 0.02, 0.0, 0.0, 0.06, 0.06, 0.06, 0.0, 0.02, 0.0, 0.0, 0.02, 0.08, 0.1]","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 1, 1, 1, 0)","(1, 1, 1, 0, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 0, 1)"
"[(4, 3, 2, 0, 1), (1, 2, 3, 0, 4), (1, 4, 2, 3, 0), (1, 4, 3, 2, 0), (2, 1, 3, 4, 0), (4, 2, 0, 1, 3), (3, 2, 0, 1, 4), (1, 4, 2, 0, 3), (4, 2, 3, 1, 0), (1, 3, 4, 0, 2)]","(0, 1, 1, 0, 1)",0,"[0, 3, 1, 2, 2, 7, 0, 5, 7, 7, 9, 5, 0, 6, 3, 8, 3, 4, 0, 4, 8, 3, 7, 6, 0]","[0.0, 0.03, 0.01, 0.02, 0.02, 0.07, 0.0, 0.05, 0.07, 0.07, 0.09, 0.05, 0.0, 0.06, 0.03, 0.08, 0.03, 0.04, 0.0, 0.04, 0.08, 0.03, 0.07, 0.06, 0.0]","[3, 1, 2, 2, 7, 5, 7, 7, 9, 5, 6, 3, 8, 3, 4, 4, 8, 3, 7, 6]","[0.03, 0.01, 0.02, 0.02, 0.07, 0.05, 0.07, 0.07, 0.09, 0.05, 0.06, 0.03, 0.08, 0.03, 0.04, 0.04, 0.08, 0.03, 0.07, 0.06]",[0.075 0.025 0.05  0.05  0.125 0.175 0.175 0.15  0.075 0.1  ],"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 1, 1, 1, 0, 0]","[0, 0, 2, 4, 4, 5, 1, 0, 3, 1, 1, 4, 3, 1, 1, 1, 2, 4, 1, 2, 3, 3, 1, 1, 2]","[0.0, 0.0, 0.04, 0.08, 0.08, 0.1, 0.02, 0.0, 0.06, 0.02, 0.02, 0.08, 0.06, 0.02, 0.02, 0.02, 0.04, 0.08, 0.02, 0.04, 0.06, 0.06, 0.02, 0.02, 0.04]","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)"
"[(4, 2, 0, 3, 1), (1, 2, 4, 0, 3), (0, 3, 1, 4, 2), (4, 0, 1, 2, 3), (1, 4, 3, 2, 0), (2, 4, 0, 1, 3), (1, 3, 0, 2, 4), (1, 3, 0, 4, 2), (4, 3, 1, 2, 0), (1, 2, 0, 3, 4)]","(0, 1, 1, 0, 1)",0,"[0, 4, 4, 6, 4, 6, 0, 8, 7, 6, 6, 2, 0, 5, 4, 4, 3, 5, 0, 4, 6, 4, 6, 6, 0]","[0.0, 0.04, 0.04, 0.06, 0.04, 0.06, 0.0, 0.08, 0.07, 0.06, 0.06, 0.02, 0.0, 0.05, 0.04, 0.04, 0.03, 0.05, 0.0, 0.04, 0.06, 0.04, 0.06, 0.06, 0.0]","[4, 4, 6, 4, 6, 8, 7, 6, 6, 2, 5, 4, 4, 3, 5, 4, 6, 4, 6, 6]","[0.04, 0.04, 0.06, 0.04, 0.06, 0.08, 0.07, 0.06, 0.06, 0.02, 0.05, 0.04, 0.04, 0.03, 0.05, 0.04, 0.06, 0.04, 0.06, 0.06]","[0.07692 0.07692 0.11538 0.07692 0.15385 0.13462 0.11538 0.09615 0.07692
 0.07692]","[0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0]","[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]","[0, 0, 1, 0, 1, 1, 1, 0, 0, 0]","[1, 1, 5, 1, 2, 5, 0, 3, 1, 1, 1, 3, 0, 4, 2, 0, 4, 1, 2, 3, 3, 2, 1, 2, 2]","[0.02, 0.02, 0.1, 0.02, 0.04, 0.1, 0.0, 0.06, 0.02, 0.02, 0.02, 0.06, 0.0, 0.08, 0.04, 0.0, 0.08, 0.02, 0.04, 0.06, 0.06, 0.04, 0.02, 0.04, 0.04]","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(0, 1, 1, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 1, 0, 0, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 0, 1, 0)","(1, 1, 0, 0, 1)"
