Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-all-0,5.846153846153847e-05,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-1,4e-05,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-2,5.230769230769231e-05,0.0,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-3,4.615384615384616e-05,0.0,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-4,5.230769230769231e-05,0.0,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-5,5.230769230769231e-05,4e-05,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-6,5.230769230769231e-05,4e-05,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-7,0.000116923076923,0.00068,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.00036,0.0
NN-all-8,4.9230769230769225e-05,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-9,4.615384615384616e-05,0.0,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-10,4e-05,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-11,4.615384615384616e-05,0.0,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-12,5.538461538461539e-05,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-13,5.230769230769231e-05,0.0,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-14,5.538461538461539e-05,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-15,3.692307692307692e-05,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-16,5.538461538461539e-05,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-17,5.846153846153847e-05,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-18,4.615384615384616e-05,0.0,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
NN-all-19,5.538461538461539e-05,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
Min Violations Committee,2.1538461538461545e-05,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0
Max Violations Committee,0.1889323076923077,0.88796,0.99124,0.0,0.0,0.0,0.06192,0.0,0.0184,0.06192,0.39488,0.0,0.0398,0.0
Random Choice,0.0887353846153846,0.17712,0.78256,0.0,0.0,0.0,0.0508,0.0,0.00416,0.0508,0.07728,0.0,0.01084,0.0
Borda ranking,0.0108830769230769,0.0,0.11924,0.0,0.0,0.0,0.0108,0.0,0.0,0.0108,0.0,0.0,0.00064,0.0
Plurality ranking,0.0342030769230769,0.02156,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00708,0.0,0.0,0.0
STV,0.0143661538461538,0.0,0.18676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0340984615384615,0.02096,0.4152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00712,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0340984615384615,0.02096,0.4152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00712,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0340984615384615,0.02096,0.4152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00712,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0340984615384615,0.02096,0.4152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00712,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0342030769230769,0.02156,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00708,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0340984615384615,0.02096,0.4152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00712,0.0,0.0,0.0
Greedy Monroe,0.0342030769230769,0.02156,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00708,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.0884061538461538,0.17764,0.77848,0.0,0.0,0.0,0.0496,0.0,0.00392,0.0496,0.0794,0.0,0.01064,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0342030769230769,0.02156,0.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00708,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.0340984615384615,0.02096,0.4152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00712,0.0,0.0,0.0
Random Serial Dictator,0.0666584615384615,0.10704,0.6624,0.0,0.0,0.0,0.02624,0.0,0.0,0.02624,0.04464,0.0,0.0,0.0
Anti-Plurality,0.046436923076923,0.00012,0.49836,0.0,0.0,0.0,0.05012,0.0,0.0,0.05012,0.0,0.0,0.00496,0.0
Two-Approval,0.0194276923076923,0.00068,0.2124,0.0,0.0,0.0,0.01928,0.0,0.0,0.01928,0.0,0.0,0.00092,0.0
