Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-all-0,0.0001661538461538,0.00084,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.00092,0.0
NN-all-1,0.0001538461538461,0.00064,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028,0.0,0.00088,0.0
NN-all-2,0.0001446153846153,0.00064,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.00092,0.0
NN-all-3,0.0001046153846153,0.00024,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00088,0.0
NN-all-4,0.0001876923076923,0.00108,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028,0.0,0.00092,0.0
NN-all-5,0.0001230769230769,0.00032,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00088,0.0
NN-all-6,0.0001230769230769,0.00044,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.00092,0.0
NN-all-7,0.00012,0.00036,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00088,0.0
NN-all-8,0.0001138461538461,0.00036,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00088,0.0
NN-all-9,0.00012,0.00044,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.00088,0.0
NN-all-10,0.0001907692307692,0.00108,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.00092,0.0
NN-all-11,0.0001384615384615,0.00052,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.00092,0.0
NN-all-12,0.00012,0.00044,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.00088,0.0
NN-all-13,0.0001446153846153,0.00056,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00092,0.0
NN-all-14,0.0001292307692307,0.00052,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00088,0.0
NN-all-15,0.0001384615384615,0.00064,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.00088,0.0
NN-all-16,0.00012,0.00032,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00088,0.0
NN-all-17,0.0001446153846153,0.00076,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00092,0.0
NN-all-18,0.0001138461538461,0.00032,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00088,0.0
NN-all-19,0.0001323076923076,0.00056,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.00092,0.0
Min Violations Committee,5.2307692307692306e-05,0.0,0.00056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Max Violations Committee,0.1648461538461538,0.8336,0.98904,0.0,0.0,0.0,0.01884,0.0,0.01384,0.01884,0.20728,0.0,0.06156,0.0
Random Choice,0.0796153846153846,0.14032,0.8106,0.0,0.0,0.0,0.01564,0.0,0.00296,0.01564,0.03432,0.0,0.01552,0.0
Borda ranking,0.010596923076923,0.0,0.1296,0.0,0.0,0.0,0.00332,0.0,0.0,0.00332,0.0,0.0,0.00152,0.0
Plurality ranking,0.0415938461538461,0.02036,0.51616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0
STV,0.0200984615384615,0.0,0.26128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0417015384615384,0.02136,0.51604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00472,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0417015384615384,0.02136,0.51604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00472,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0417015384615384,0.02136,0.51604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00472,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0417015384615384,0.02136,0.51604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00472,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0415938461538461,0.02036,0.51616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0417015384615384,0.02136,0.51604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00472,0.0,0.0,0.0
Greedy Monroe,0.0415938461538461,0.02036,0.51616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.07948,0.13744,0.81396,0.0,0.0,0.0,0.0154,0.0,0.00256,0.0154,0.03356,0.0,0.01492,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0415938461538461,0.02036,0.51616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.0417015384615384,0.02136,0.51604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00472,0.0,0.0,0.0
Random Serial Dictator,0.0648984615384615,0.08404,0.72384,0.0,0.0,0.0,0.008,0.0,0.0,0.008,0.0198,0.0,0.0,0.0
Anti-Plurality,0.0472184615384615,8e-05,0.5704,0.0,0.0,0.0,0.01672,0.0,8e-05,0.01672,0.0,0.0,0.00984,0.0
Two-Approval,0.0222523076923076,0.00124,0.27868,0.0,0.0,0.0,0.00404,0.0,0.0,0.00404,4e-05,0.0,0.00124,0.0
Three-Approval,0.0228953846153846,0.0,0.27136,0.0,0.0,0.0,0.01056,0.0,0.0,0.01056,0.0,0.0,0.00516,0.0
Instant Runoff,0.0215630769230769,0.00068,0.27944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0
Bottom-Two-Runoff Instant Runoff,0.0008523076923076,0.0,0.01032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00076,0.0
Benham,0.0012430769230769,0.0,0.01552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00064,0.0
PluralityWRunoff PUT,0.0251507692307692,0.0,0.32696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coombs,0.0035476923076923,4e-05,0.04504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00104,0.0
Baldwin,0.0002861538461538,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092,0.0
Strict Nanson,0.0001661538461538,0.0,0.00128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088,0.0
