Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-root-0,0.032383169104258,0.0039519380463853,0.4129974851303341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039519380463853,0.0,7.983713225020958e-05,0.0
NN-root-1,0.050358806496286,0.0457865953454951,0.563011456628478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0457865953454951,0.0,7.983713225020958e-05,0.0
NN-root-2,0.0385029923571299,0.0083030617540217,0.48381302143627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083030617540217,0.0,0.0001197556983753,0.0
NN-root-3,0.0314896073548422,7.983713225020958e-05,0.4090455470839487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.983713225020958e-05,0.0,0.0001596742645004,0.0
NN-root-4,0.0357516819534303,0.0011975569837531,0.4622170771625883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011975569837531,0.0,0.0001596742645004,0.0
NN-root-5,0.0415306620647724,0.0144106023711628,0.5109576464013412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144106023711628,0.0,0.0001197556983753,0.0
NN-root-6,0.0307925677771192,0.0008382898886272,0.3984671270607959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008382898886272,0.0,0.0001596742645004,0.0
NN-root-7,0.0282316382272471,0.0001197556983753,0.3666121112929623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001197556983753,0.0,0.0001596742645004,0.0
NN-root-8,0.0552196595867507,0.0580815137120274,0.6014929543730789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0580815137120274,0.0,0.0001995928306255,0.0
NN-root-9,0.0332982254662027,0.0,0.4327172567961359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001596742645004,0.0
NN-root-10,0.0327086589511243,0.0002794299628757,0.4244940321743643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002794299628757,0.0,0.0001596742645004,0.0
