Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-all-0,0.0011907692307692,0.0,0.00836,0.00016,4e-05,0.00016,0.0,0.00016,0.00344,0.0,0.0006,4e-05,0.00252,0.0
NN-all-1,0.0012215384615384,0.0,0.00848,0.00028,4e-05,0.00028,0.0,0.00028,0.00356,0.0,0.00052,4e-05,0.0024,0.0
NN-all-2,0.0010923076923076,0.0,0.00944,4e-05,4e-05,4e-05,0.0,4e-05,0.00244,0.0,0.00032,4e-05,0.0018,0.0
NN-all-3,0.0011938461538461,0.0,0.00888,0.00012,4e-05,0.00012,0.0,0.00012,0.00332,0.0,0.00052,4e-05,0.00236,0.0
NN-all-4,0.0014676923076923,4e-05,0.00744,0.00068,4e-05,0.00068,0.0,0.00068,0.00492,0.0,0.00136,4e-05,0.0032,0.0
NN-all-5,0.0010738461538461,0.0,0.00968,4e-05,4e-05,4e-05,0.0,4e-05,0.00216,0.0,0.0002,4e-05,0.00172,0.0
NN-all-6,0.0016338461538461,0.0,0.01144,0.00056,4e-05,0.00056,0.0,0.00056,0.0042,0.0,0.00084,4e-05,0.003,0.0
NN-all-7,0.0010830769230769,0.0,0.00956,4e-05,4e-05,4e-05,0.0,4e-05,0.00224,0.0,0.00016,4e-05,0.00192,0.0
NN-all-8,0.0011876923076923,0.0,0.01072,4e-05,4e-05,4e-05,0.0,4e-05,0.0026,0.0,0.00024,4e-05,0.00168,0.0
NN-all-9,0.0014399999999999,4e-05,0.00984,0.00048,4e-05,0.00048,0.0,0.00048,0.00376,0.0,0.00076,4e-05,0.0028,0.0
NN-all-10,0.0011107692307692,0.0,0.00984,4e-05,4e-05,4e-05,0.0,4e-05,0.00236,0.0,0.00024,4e-05,0.0018,0.0
