Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-root-0,0.0665411790716169,0.0111372799489042,0.5868029220390404,0.0,0.0170452277354197,0.0,0.0,0.0,0.2431839048341383,0.0,0.0,0.006865993373518,0.0,0.0
NN-root-1,0.0665411790716169,0.0111372799489042,0.5868029220390404,0.0,0.0170452277354197,0.0,0.0,0.0,0.2431839048341383,0.0,0.0,0.006865993373518,0.0,0.0
NN-root-2,0.0665411790716169,0.0111372799489042,0.5868029220390404,0.0,0.0170452277354197,0.0,0.0,0.0,0.2431839048341383,0.0,0.0,0.006865993373518,0.0,0.0
NN-root-3,0.0665411790716169,0.0111372799489042,0.5868029220390404,0.0,0.0170452277354197,0.0,0.0,0.0,0.2431839048341383,0.0,0.0,0.006865993373518,0.0,0.0
NN-root-4,0.0665411790716169,0.0111372799489042,0.5868029220390404,0.0,0.0170452277354197,0.0,0.0,0.0,0.2431839048341383,0.0,0.0,0.006865993373518,0.0,0.0
NN-root-5,0.0665411790716169,0.0111372799489042,0.5868029220390404,0.0,0.0170452277354197,0.0,0.0,0.0,0.2431839048341383,0.0,0.0,0.006865993373518,0.0,0.0
NN-root-6,0.0665411790716169,0.0111372799489042,0.5868029220390404,0.0,0.0170452277354197,0.0,0.0,0.0,0.2431839048341383,0.0,0.0,0.006865993373518,0.0,0.0
NN-root-7,0.0665411790716169,0.0111372799489042,0.5868029220390404,0.0,0.0170452277354197,0.0,0.0,0.0,0.2431839048341383,0.0,0.0,0.006865993373518,0.0,0.0
NN-root-8,0.0665411790716169,0.0111372799489042,0.5868029220390404,0.0,0.0170452277354197,0.0,0.0,0.0,0.2431839048341383,0.0,0.0,0.006865993373518,0.0,0.0
NN-root-9,0.0665411790716169,0.0111372799489042,0.5868029220390404,0.0,0.0170452277354197,0.0,0.0,0.0,0.2431839048341383,0.0,0.0,0.006865993373518,0.0,0.0
NN-root-10,0.0665411790716169,0.0111372799489042,0.5868029220390404,0.0,0.0170452277354197,0.0,0.0,0.0,0.2431839048341383,0.0,0.0,0.006865993373518,0.0,0.0
NN-root-11,0.0665411790716169,0.0111372799489042,0.5868029220390404,0.0,0.0170452277354197,0.0,0.0,0.0,0.2431839048341383,0.0,0.0,0.006865993373518,0.0,0.0
NN-root-12,0.0665411790716169,0.0111372799489042,0.5868029220390404,0.0,0.0170452277354197,0.0,0.0,0.0,0.2431839048341383,0.0,0.0,0.006865993373518,0.0,0.0
