Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-all-0,0.0347353846153846,8e-05,0.02436,4e-05,0.12236,4e-05,0.0,0.0,0.1764,0.0002,0.0002,0.1212,0.00668,0.0
NN-all-1,0.0348399999999999,4e-05,0.02656,4e-05,0.12216,4e-05,0.0,0.0,0.17652,0.00016,0.00028,0.121,0.00612,0.0
NN-all-2,0.0362861538461538,0.00032,0.0304,0.0,0.12588,0.0,0.0,0.0,0.18096,0.00024,0.00052,0.12476,0.00864,0.0
NN-all-3,0.0348738461538461,0.00012,0.0236,4e-05,0.12328,4e-05,4e-05,0.0,0.17728,0.00012,0.0002,0.12212,0.00652,0.0
NN-all-4,0.0360153846153846,8e-05,0.02576,8e-05,0.12648,8e-05,4e-05,0.0,0.18136,0.00028,0.0004,0.12544,0.0082,0.0
NN-all-5,0.0354184615384615,0.00012,0.02588,4e-05,0.12472,4e-05,0.0,0.0,0.17876,0.00028,0.00032,0.12364,0.00664,0.0
NN-all-6,0.0350861538461538,0.00028,0.02484,4e-05,0.12328,4e-05,0.0,0.0,0.17764,0.00024,0.00032,0.1222,0.00724,0.0
NN-all-7,0.0346153846153846,8e-05,0.02264,0.0,0.12252,0.0,0.0,0.0,0.1766,0.00012,0.0002,0.12156,0.00628,0.0
NN-all-8,0.0373630769230769,0.00032,0.03528,0.0002,0.12784,0.00016,0.00012,0.0,0.18376,0.00036,0.001,0.1266,0.01,8e-05
NN-all-9,0.0365661538461538,0.00028,0.03116,8e-05,0.12688,8e-05,0.0,0.0,0.18192,0.00032,0.00044,0.12572,0.00848,0.0
NN-all-10,0.0352830769230769,8e-05,0.02552,4e-05,0.12404,4e-05,4e-05,0.0,0.17824,0.00028,0.0004,0.12304,0.00696,0.0
NN-all-11,0.0354215384615384,0.00012,0.02724,4e-05,0.12396,4e-05,0.0,0.0,0.17872,0.0002,0.0004,0.12292,0.00684,0.0
NN-all-12,0.036556923076923,0.00012,0.03196,4e-05,0.12664,0.0,0.0,0.0,0.18208,0.00024,0.00064,0.12548,0.00804,0.0
NN-all-13,0.0353107692307692,4e-05,0.02736,4e-05,0.12368,4e-05,0.0,0.0,0.17792,0.00024,0.00036,0.1226,0.00676,0.0
NN-all-14,0.035036923076923,8e-05,0.02412,4e-05,0.12412,4e-05,0.0,0.0,0.1776,0.00016,0.00028,0.12296,0.00608,0.0
NN-all-15,0.0351446153846153,4e-05,0.0268,4e-05,0.12292,4e-05,4e-05,0.0,0.17752,0.00012,0.00056,0.12196,0.00684,0.0
NN-all-16,0.034516923076923,0.00012,0.02104,4e-05,0.12252,4e-05,0.0,0.0,0.17672,0.00024,0.0002,0.12152,0.00628,0.0
NN-all-17,0.0350646153846153,0.00016,0.02564,4e-05,0.12324,4e-05,0.0,0.0,0.177,0.0002,0.00024,0.12216,0.00712,0.0
NN-all-18,0.0352430769230769,0.00012,0.02668,0.0,0.12348,0.0,0.0,0.0,0.178,0.00016,0.00044,0.12244,0.00684,0.0
NN-all-19,0.0359076923076923,0.00016,0.02652,8e-05,0.12568,4e-05,0.0,0.0,0.1808,0.00036,0.00064,0.1246,0.00792,0.0
Min Violations Committee,0.0155138461538461,0.0,0.08416,0.0,0.00908,0.0,0.00144,0.0,0.09136,0.0,0.00476,0.00856,0.00232,0.0
Max Violations Committee,0.4863599999999999,0.61092,0.90572,0.264,0.95084,0.13536,0.17408,0.0,0.98316,0.1246,0.33768,0.95032,0.82092,0.06508
Random Choice,0.2810769230769231,0.03544,0.85968,0.10684,0.52544,0.08544,0.16548,0.0,0.53556,0.0356,0.2402,0.46024,0.54224,0.06184
Borda ranking,0.0337938461538461,0.0,0.13988,0.0,0.08492,0.0,0.01812,0.0,0.10592,0.0,0.00148,0.08456,0.00444,0.0
Plurality ranking,0.1262061538461538,0.00528,0.69008,0.08204,0.08488,0.06832,0.13028,0.0,0.00556,0.0,0.15424,0.0,0.35916,0.06084
STV,0.0602246153846153,0.001,0.49372,0.00528,0.0,0.0002,0.03532,0.0,0.00088,0.0,0.0584,0.0,0.18812,0.0
Approval Voting (AV),0.0555476923076923,0.0,0.1824,0.0,0.16016,0.0,0.0,0.0,0.22064,0.0002,4e-05,0.15868,0.0,0.0
Proportional Approval Voting (PAV),0.0603107692307692,0.0,0.23008,0.0,0.16904,0.0,0.01064,0.0,0.20692,0.0002,0.0002,0.16696,0.0,0.0
Approval Chamberlin-Courant (CC),0.2815415384615384,0.03512,0.85964,0.10828,0.52528,0.08684,0.16676,0.0,0.53012,0.03524,0.2426,0.4572,0.55092,0.06204
Lexicographic Chamberlin-Courant (lex-CC),0.0969476923076923,0.0,0.47584,0.0,0.2356,0.0,0.05848,0.0,0.24368,0.00472,0.0176,0.2244,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.2698953846153846,0.01904,0.8506,0.10204,0.51044,0.0856,0.166,0.0,0.51548,0.03436,0.23672,0.4442,0.482,0.06216
Monroe's Approval Rule (Monroe),0.2234307692307692,0.02876,0.77636,0.02328,0.43796,0.00348,0.085,0.0,0.49616,0.00944,0.15744,0.42356,0.46316,0.0
Greedy Monroe,0.0904861538461538,8e-05,0.42644,0.0,0.21192,0.0,0.03124,0.0,0.24904,0.00148,0.02088,0.20852,0.02672,0.0
Minimax Approval Voting (MAV),0.1922676923076923,0.01976,0.728,0.0026,0.38856,0.0026,0.09328,0.0,0.42348,0.0112,0.10816,0.37016,0.35168,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0763476923076923,0.0,0.35724,0.0,0.1958,0.0,0.02756,0.0,0.2142,0.00084,0.00272,0.1924,0.00176,0.0
E Pluribus Hugo (EPH),0.0558246153846153,0.0,0.18688,0.0,0.16088,0.0,0.00056,0.0,0.21772,0.0002,4e-05,0.15944,0.0,0.0
Random Serial Dictator,0.1268092307692307,0.00364,0.58504,0.00076,0.2736,0.00076,0.03948,0.0,0.3944,0.00356,0.07804,0.26924,0.0,0.0
