Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0,0.3333333333333333,0.27768,0.1056533333333333,0.1837066666666666,0.10044,0.1752533333333333,0.1752533333333333,0.1752533333333333,0.1752533333333333,0.1837066666666666,0.1752533333333333,0.1837066666666666,0.2291333333333333,0.1837066666666666,0.1752533333333333,0.2648933333333333,0.2107733333333333,0.1538133333333333,0.15284,0.1269066666666666,0.09784,0.1029866666666666,0.15128,0.1246666666666666,0.09552,0.09348,0.0867333333333333,0.2632133333333333,0.1011466666666666,0.1074533333333333,0.0758266666666666,0.13792,0.1534666666666666,0.0848266666666666,0.0927733333333333,0.13044,0.0936933333333333,0.1380533333333333,0.1440133333333333,0.0970266666666666,0.15096,0.09392,0.0947066666666666,0.0885733333333333,0.09696,0.1502133333333333,0.1502133333333333,0.0682933333333333,0.0682933333333333,0.08564,0.11512,0.0912133333333333,0.10588,0.1136933333333333,0.1080666666666666,0.08852,0.1169733333333333,0.07668,0.0727466666666666,0.0918533333333333,0.15188,0.2280133333333333,0.1113466666666666,0.0947866666666666,0.0870666666666666
Max Violations Committee,0.3333333333333333,0.0,0.2760533333333333,0.3224533333333333,0.3085466666666667,0.3254,0.31772,0.31772,0.31772,0.31772,0.3085466666666667,0.31772,0.3085466666666667,0.30344,0.3085466666666667,0.31772,0.28576,0.3058,0.3155066666666666,0.3160133333333333,0.32116,0.3247066666666666,0.3239333333333333,0.3133333333333333,0.322,0.3238666666666667,0.3246266666666667,0.3264133333333333,0.19376,0.32264,0.32384,0.3261333333333333,0.3006933333333333,0.2460666666666666,0.3235733333333333,0.3208,0.3060133333333333,0.3144266666666667,0.3003333333333333,0.2943066666666666,0.3208133333333333,0.2666933333333333,0.3054666666666666,0.3132533333333333,0.3237466666666667,0.3214,0.2735733333333333,0.2735733333333333,0.3268666666666667,0.3268666666666667,0.32524,0.31952,0.3239866666666666,0.3237466666666667,0.3195733333333333,0.3239866666666666,0.3237733333333333,0.3179333333333333,0.3271066666666666,0.3265466666666666,0.3242133333333333,0.3161333333333333,0.2861066666666667,0.3221466666666667,0.32484,0.3247066666666666
Random Choice,0.27768,0.2760533333333333,0.0,0.27756,0.2777333333333333,0.2775333333333333,0.2775466666666666,0.2775466666666666,0.2775466666666666,0.2775466666666666,0.2777333333333333,0.2775466666666666,0.2777333333333333,0.27856,0.2777333333333333,0.2775466666666666,0.2788266666666666,0.2772933333333333,0.27672,0.2782,0.27708,0.2772533333333333,0.2768933333333333,0.2777066666666666,0.27764,0.2777466666666666,0.2776266666666667,0.2773066666666666,0.2766266666666667,0.27808,0.2772933333333333,0.2775066666666667,0.2778,0.2768266666666666,0.2769066666666667,0.27712,0.2780133333333333,0.2776933333333333,0.27784,0.2778133333333333,0.27744,0.2772133333333333,0.2773866666666666,0.27772,0.2773466666666667,0.2773066666666666,0.2770933333333333,0.2770933333333333,0.2776933333333333,0.2776933333333333,0.2780266666666666,0.27808,0.27732,0.27696,0.2771333333333333,0.2771333333333333,0.27732,0.27788,0.2773733333333333,0.2769866666666666,0.27696,0.27824,0.2774133333333333,0.2768533333333333,0.2772,0.2773733333333333
Borda ranking,0.1056533333333333,0.3224533333333333,0.27756,0.0,0.1709066666666666,0.1244666666666666,0.1716,0.1716,0.1716,0.1716,0.1709066666666666,0.1716,0.1709066666666666,0.28288,0.1709066666666666,0.1716,0.2624266666666666,0.18628,0.12312,0.1115866666666666,0.1262133333333333,0.09996,0.1082133333333333,0.1369333333333333,0.1155733333333333,0.0969066666666666,0.0923333333333333,0.0854933333333333,0.2418533333333333,0.10336,0.1082133333333333,0.0457733333333333,0.1159066666666666,0.1479733333333333,0.0731733333333333,0.0854533333333333,0.1155466666666666,0.09284,0.1159733333333333,0.12188,0.09296,0.13724,0.0968666666666666,0.1056266666666666,0.0827733333333333,0.0858266666666666,0.1402933333333333,0.1402933333333333,0.0648266666666666,0.0648266666666666,0.0940133333333333,0.1152,0.01444,0.1099066666666666,0.1099466666666666,0.10936,0.0827066666666666,0.1180266666666666,0.0736666666666666,0.0481333333333333,0.0681733333333333,0.1106,0.1920133333333333,0.03552,0.1049466666666666,0.0790666666666666
Plurality ranking,0.1837066666666666,0.3085466666666667,0.2777333333333333,0.1709066666666666,0.0,0.15928,0.0579733333333333,0.0579733333333333,0.0579733333333333,0.0579733333333333,0.0,0.0579733333333333,0.0,0.2861333333333333,0.0,0.0579733333333333,0.2543333333333333,0.2536133333333333,0.17968,0.2176133333333333,0.1481466666666666,0.1535733333333333,0.1575333333333333,0.1154666666666666,0.20872,0.17388,0.17328,0.1722933333333333,0.24588,0.17604,0.1616666666666666,0.1696533333333333,0.1796266666666666,0.1987066666666666,0.17112,0.17284,0.1803333333333333,0.1746266666666666,0.1796933333333333,0.18096,0.1731333333333333,0.19084,0.1765866666666666,0.1782666666666666,0.17192,0.1714933333333333,0.1926933333333333,0.1926933333333333,0.1691066666666666,0.1691066666666666,0.1739066666666666,0.09452,0.17032,0.1555066666666666,0.1597066666666666,0.1588266666666666,0.17192,0.0667333333333333,0.17152,0.17028,0.17124,0.2169866666666666,0.22724,0.1730266666666666,0.1384266666666666,0.1566
STV,0.10044,0.3254,0.2775333333333333,0.1244666666666666,0.15928,0.0,0.1520533333333333,0.1520533333333333,0.1520533333333333,0.1520533333333333,0.15928,0.1520533333333333,0.15928,0.2633066666666667,0.15928,0.1520533333333333,0.2601066666666666,0.2294133333333333,0.1498933333333333,0.1710266666666666,0.06936,0.0986533333333333,0.07852,0.12344,0.1577066666666666,0.1164933333333333,0.1154266666666666,0.1106,0.26044,0.1219866666666666,0.08724,0.1037466666666666,0.14496,0.16404,0.11088,0.1179466666666666,0.14692,0.12092,0.14512,0.1506133333333333,0.1192933333333333,0.15924,0.12456,0.12272,0.1145333333333333,0.1193333333333333,0.1602533333333333,0.1602533333333333,0.1001333333333333,0.1001333333333333,0.11048,0.1107066666666666,0.1137866666666666,0.0752,0.0878266666666666,0.0811733333333333,0.1145333333333333,0.1129066666666666,0.10784,0.10488,0.11588,0.1701333333333333,0.22808,0.1259733333333333,0.089,0.0958666666666666
Approval Voting (AV),0.1752533333333333,0.31772,0.2775466666666666,0.1716,0.0579733333333333,0.1520533333333333,0.0,0.0,0.0,0.0,0.0579733333333333,0.0,0.0579733333333333,0.26588,0.0579733333333333,0.0,0.25376,0.2564533333333333,0.1817066666666666,0.2188666666666666,0.1493333333333333,0.15656,0.1586933333333333,0.1284266666666666,0.2098266666666666,0.1782266666666666,0.1764,0.1741866666666666,0.267,0.1811866666666666,0.1637466666666666,0.16912,0.1935066666666666,0.2107866666666666,0.17532,0.17952,0.19264,0.1821333333333333,0.19364,0.1956666666666666,0.1794266666666666,0.2040533333333333,0.1840133333333333,0.18504,0.1765733333333333,0.1778266666666666,0.2065066666666666,0.2065066666666666,0.1686933333333333,0.1686933333333333,0.1777466666666666,0.11304,0.17052,0.1570133333333333,0.1658533333333333,0.1609733333333333,0.1765733333333333,0.09888,0.1734,0.1698,0.17632,0.2179733333333333,0.2455466666666666,0.1736133333333333,0.1385066666666666,0.1583733333333333
Proportional Approval Voting (PAV),0.1752533333333333,0.31772,0.2775466666666666,0.1716,0.0579733333333333,0.1520533333333333,0.0,0.0,0.0,0.0,0.0579733333333333,0.0,0.0579733333333333,0.26588,0.0579733333333333,0.0,0.25376,0.2564533333333333,0.1817066666666666,0.2188666666666666,0.1493333333333333,0.15656,0.1586933333333333,0.1284266666666666,0.2098266666666666,0.1782266666666666,0.1764,0.1741866666666666,0.267,0.1811866666666666,0.1637466666666666,0.16912,0.1935066666666666,0.2107866666666666,0.17532,0.17952,0.19264,0.1821333333333333,0.19364,0.1956666666666666,0.1794266666666666,0.2040533333333333,0.1840133333333333,0.18504,0.1765733333333333,0.1778266666666666,0.2065066666666666,0.2065066666666666,0.1686933333333333,0.1686933333333333,0.1777466666666666,0.11304,0.17052,0.1570133333333333,0.1658533333333333,0.1609733333333333,0.1765733333333333,0.09888,0.1734,0.1698,0.17632,0.2179733333333333,0.2455466666666666,0.1736133333333333,0.1385066666666666,0.1583733333333333
Approval Chamberlin-Courant (CC),0.1752533333333333,0.31772,0.2775466666666666,0.1716,0.0579733333333333,0.1520533333333333,0.0,0.0,0.0,0.0,0.0579733333333333,0.0,0.0579733333333333,0.26588,0.0579733333333333,0.0,0.25376,0.2564533333333333,0.1817066666666666,0.2188666666666666,0.1493333333333333,0.15656,0.1586933333333333,0.1284266666666666,0.2098266666666666,0.1782266666666666,0.1764,0.1741866666666666,0.267,0.1811866666666666,0.1637466666666666,0.16912,0.1935066666666666,0.2107866666666666,0.17532,0.17952,0.19264,0.1821333333333333,0.19364,0.1956666666666666,0.1794266666666666,0.2040533333333333,0.1840133333333333,0.18504,0.1765733333333333,0.1778266666666666,0.2065066666666666,0.2065066666666666,0.1686933333333333,0.1686933333333333,0.1777466666666666,0.11304,0.17052,0.1570133333333333,0.1658533333333333,0.1609733333333333,0.1765733333333333,0.09888,0.1734,0.1698,0.17632,0.2179733333333333,0.2455466666666666,0.1736133333333333,0.1385066666666666,0.1583733333333333
Lexicographic Chamberlin-Courant (lex-CC),0.1752533333333333,0.31772,0.2775466666666666,0.1716,0.0579733333333333,0.1520533333333333,0.0,0.0,0.0,0.0,0.0579733333333333,0.0,0.0579733333333333,0.26588,0.0579733333333333,0.0,0.25376,0.2564533333333333,0.1817066666666666,0.2188666666666666,0.1493333333333333,0.15656,0.1586933333333333,0.1284266666666666,0.2098266666666666,0.1782266666666666,0.1764,0.1741866666666666,0.267,0.1811866666666666,0.1637466666666666,0.16912,0.1935066666666666,0.2107866666666666,0.17532,0.17952,0.19264,0.1821333333333333,0.19364,0.1956666666666666,0.1794266666666666,0.2040533333333333,0.1840133333333333,0.18504,0.1765733333333333,0.1778266666666666,0.2065066666666666,0.2065066666666666,0.1686933333333333,0.1686933333333333,0.1777466666666666,0.11304,0.17052,0.1570133333333333,0.1658533333333333,0.1609733333333333,0.1765733333333333,0.09888,0.1734,0.1698,0.17632,0.2179733333333333,0.2455466666666666,0.1736133333333333,0.1385066666666666,0.1583733333333333
