Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0,0.3333333333333333,0.2782666666666666,0.0798266666666666,0.0726533333333333,0.0495066666666666,0.0699333333333333,0.0699333333333333,0.0699333333333333,0.0699333333333333,0.0726533333333333,0.0699333333333333,0.0726533333333333,0.2397066666666666,0.0726533333333333,0.0699333333333333,0.15352,0.2526666666666666,0.15636,0.1957066666666666,0.05568,0.0398933333333333,0.0416533333333333,0.0584533333333333,0.04588,0.04004,0.0381866666666666,0.03708,0.11572,0.0410266666666666,0.0430266666666666,0.0349733333333333,0.0552133333333333,0.0604533333333333,0.04064,0.0425466666666666,0.0540533333333333,0.04392,0.0552666666666666,0.0574933333333333,0.04132,0.0592533333333333,0.04396,0.0453466666666666,0.0381333333333333,0.0402533333333333,0.0596,0.0596,0.03328,0.03328,0.0371866666666666,0.04372,0.0406533333333333,0.0425066666666666,0.0436,0.0433733333333333,0.0381466666666666,0.04308,0.0351333333333333,0.0336533333333333,0.03852,0.0749066666666666,0.0880533333333333,0.0576933333333333,0.0390666666666666,0.03772
Max Violations Committee,0.3333333333333333,0.0,0.2775733333333333,0.3303066666666667,0.32844,0.33112,0.32936,0.32936,0.32936,0.32936,0.32844,0.32936,0.32844,0.29204,0.32844,0.32936,0.3136533333333333,0.3191333333333333,0.3274933333333333,0.3261333333333333,0.3303866666666666,0.3315733333333333,0.3312533333333333,0.33008,0.33064,0.33108,0.3314266666666666,0.3314933333333333,0.2936266666666666,0.3308266666666666,0.3311733333333333,0.33136,0.3257333333333333,0.30888,0.3301333333333333,0.32964,0.3260666666666666,0.32764,0.3256933333333333,0.32428,0.33008,0.3166,0.3236666666666666,0.3276533333333333,0.3309733333333333,0.3304666666666667,0.3169733333333333,0.3169733333333333,0.3315333333333333,0.3315333333333333,0.3313733333333333,0.3310533333333333,0.33084,0.3312266666666666,0.3308266666666666,0.3312666666666666,0.331,0.3307466666666667,0.3313066666666667,0.3311466666666666,0.3309333333333333,0.32824,0.32344,0.3301333333333333,0.3314133333333333,0.3312133333333333
Random Choice,0.2782666666666666,0.2775733333333333,0.0,0.2778133333333333,0.2784666666666666,0.27828,0.27872,0.27872,0.27872,0.27872,0.2784666666666666,0.27872,0.2784666666666666,0.27708,0.2784666666666666,0.27872,0.2778266666666666,0.2768133333333333,0.2794533333333333,0.2781733333333333,0.2784933333333333,0.2787733333333333,0.27828,0.2788533333333333,0.2781333333333333,0.2786666666666667,0.27844,0.27856,0.2776666666666667,0.27864,0.2783333333333333,0.2785466666666666,0.2785066666666667,0.2784133333333333,0.2788666666666666,0.2785333333333333,0.2784666666666666,0.27844,0.2784933333333333,0.2784666666666666,0.2784266666666666,0.27844,0.2788666666666666,0.27812,0.2788533333333333,0.2787466666666666,0.27872,0.27872,0.2783866666666666,0.2783866666666666,0.27892,0.2787333333333333,0.2783066666666666,0.2784,0.2784,0.27844,0.2788666666666666,0.2786533333333333,0.2790533333333333,0.2784533333333333,0.27848,0.2783066666666666,0.2785733333333333,0.2785333333333333,0.2780933333333333,0.2782933333333333
Borda ranking,0.0798266666666666,0.3303066666666667,0.2778133333333333,0.0,0.1028933333333333,0.09052,0.1023866666666666,0.1023866666666666,0.1023866666666666,0.1023866666666666,0.1028933333333333,0.1023866666666666,0.1028933333333333,0.2640933333333333,0.1028933333333333,0.1023866666666666,0.16496,0.2353466666666666,0.1212533333333333,0.1478133333333333,0.0915333333333333,0.0758133333333333,0.0807333333333333,0.0927866666666666,0.0717066666666666,0.07712,0.07272,0.0712933333333333,0.13672,0.0788266666666666,0.0804,0.05536,0.0798666666666666,0.09124,0.0669866666666666,0.0704,0.08092,0.0752266666666666,0.07988,0.08188,0.0745466666666666,0.0870133333333333,0.0779333333333333,0.0783066666666666,0.06828,0.0696533333333333,0.08856,0.08856,0.0634,0.0634,0.0767333333333333,0.0782266666666666,0.0392933333333333,0.08088,0.0807866666666666,0.0807333333333333,0.0682533333333333,0.07964,0.06652,0.0526,0.0622133333333333,0.0736133333333333,0.09324,0.05568,0.0781733333333333,0.0750933333333333
Plurality ranking,0.0726533333333333,0.32844,0.2784666666666666,0.1028933333333333,0.0,0.0542133333333333,0.0118266666666666,0.0118266666666666,0.0118266666666666,0.0118266666666666,0.0,0.0118266666666666,0.0,0.2665866666666667,0.0,0.0118266666666666,0.1443866666666666,0.26268,0.17432,0.21972,0.0516533333333333,0.05568,0.0614,0.0466533333333333,0.0693733333333333,0.0627733333333333,0.0615866666666666,0.0616,0.11428,0.06476,0.06352,0.06668,0.0723866666666666,0.082,0.0677733333333333,0.0673066666666666,0.0722133333333333,0.06864,0.0724,0.0735333333333333,0.0652533333333333,0.0780133333333333,0.07084,0.0702266666666666,0.0607333333333333,0.0606533333333333,0.0792,0.0792,0.06184,0.06184,0.06444,0.0376933333333333,0.0709866666666666,0.05876,0.0600266666666666,0.0612266666666666,0.0607466666666666,0.03064,0.0656,0.0685466666666666,0.0625466666666666,0.10012,0.0993466666666666,0.07844,0.0546,0.0594933333333333
STV,0.0495066666666666,0.33112,0.27828,0.09052,0.0542133333333333,0.0,0.0524,0.0524,0.0524,0.0524,0.0542133333333333,0.0524,0.0542133333333333,0.2606666666666666,0.0542133333333333,0.0524,0.1485066666666666,0.2552,0.1656666666666666,0.2074533333333333,0.0176933333333333,0.0402666666666666,0.0318133333333333,0.0314666666666666,0.05872,0.04448,0.0454266666666666,0.0452,0.1145866666666666,0.0452533333333333,0.0350266666666666,0.0476666666666666,0.0593066666666666,0.06844,0.0510533333333333,0.0517333333333333,0.0600133333333333,0.0525466666666666,0.05932,0.06156,0.0495866666666666,0.06564,0.0550933333333333,0.0542933333333333,0.0476933333333333,0.0480666666666666,0.0668666666666666,0.0668666666666666,0.04496,0.04496,0.0425066666666666,0.0440666666666666,0.0546133333333333,0.02816,0.0295066666666666,0.0318933333333333,0.04764,0.04304,0.0481466666666666,0.05004,0.0478666666666666,0.0884266666666666,0.0938933333333333,0.0684533333333333,0.03992,0.0361866666666666
Approval Voting (AV),0.0699333333333333,0.32936,0.27872,0.1023866666666666,0.0118266666666666,0.0524,0.0,0.0,0.0,0.0,0.0118266666666666,0.0,0.0118266666666666,0.26216,0.0118266666666666,0.0,0.1444133333333333,0.26328,0.1741066666666666,0.2195733333333333,0.0525866666666666,0.05604,0.06228,0.0480933333333333,0.0693866666666666,0.06356,0.0622933333333333,0.06208,0.1182533333333333,0.0654933333333333,0.0643866666666666,0.06608,0.0747733333333333,0.0836666666666666,0.0685866666666666,0.0687066666666666,0.0746666666666666,0.07044,0.0748133333333333,0.0760933333333333,0.0664666666666666,0.0802133333333333,0.0726266666666666,0.0716,0.06184,0.06204,0.08144,0.08144,0.06172,0.06172,0.0649733333333333,0.0420533333333333,0.07052,0.0597733333333333,0.0612133333333333,0.0621466666666666,0.0618666666666666,0.0365866666666666,0.0653733333333333,0.0681733333333333,0.0635733333333333,0.0999066666666666,0.1016933333333333,0.0784266666666666,0.05408,0.0598
Proportional Approval Voting (PAV),0.0699333333333333,0.32936,0.27872,0.1023866666666666,0.0118266666666666,0.0524,0.0,0.0,0.0,0.0,0.0118266666666666,0.0,0.0118266666666666,0.26216,0.0118266666666666,0.0,0.1444133333333333,0.26328,0.1741066666666666,0.2195733333333333,0.0525866666666666,0.05604,0.06228,0.0480933333333333,0.0693866666666666,0.06356,0.0622933333333333,0.06208,0.1182533333333333,0.0654933333333333,0.0643866666666666,0.06608,0.0747733333333333,0.0836666666666666,0.0685866666666666,0.0687066666666666,0.0746666666666666,0.07044,0.0748133333333333,0.0760933333333333,0.0664666666666666,0.0802133333333333,0.0726266666666666,0.0716,0.06184,0.06204,0.08144,0.08144,0.06172,0.06172,0.0649733333333333,0.0420533333333333,0.07052,0.0597733333333333,0.0612133333333333,0.0621466666666666,0.0618666666666666,0.0365866666666666,0.0653733333333333,0.0681733333333333,0.0635733333333333,0.0999066666666666,0.1016933333333333,0.0784266666666666,0.05408,0.0598
Approval Chamberlin-Courant (CC),0.0699333333333333,0.32936,0.27872,0.1023866666666666,0.0118266666666666,0.0524,0.0,0.0,0.0,0.0,0.0118266666666666,0.0,0.0118266666666666,0.26216,0.0118266666666666,0.0,0.1444133333333333,0.26328,0.1741066666666666,0.2195733333333333,0.0525866666666666,0.05604,0.06228,0.0480933333333333,0.0693866666666666,0.06356,0.0622933333333333,0.06208,0.1182533333333333,0.0654933333333333,0.0643866666666666,0.06608,0.0747733333333333,0.0836666666666666,0.0685866666666666,0.0687066666666666,0.0746666666666666,0.07044,0.0748133333333333,0.0760933333333333,0.0664666666666666,0.0802133333333333,0.0726266666666666,0.0716,0.06184,0.06204,0.08144,0.08144,0.06172,0.06172,0.0649733333333333,0.0420533333333333,0.07052,0.0597733333333333,0.0612133333333333,0.0621466666666666,0.0618666666666666,0.0365866666666666,0.0653733333333333,0.0681733333333333,0.0635733333333333,0.0999066666666666,0.1016933333333333,0.0784266666666666,0.05408,0.0598
Lexicographic Chamberlin-Courant (lex-CC),0.0699333333333333,0.32936,0.27872,0.1023866666666666,0.0118266666666666,0.0524,0.0,0.0,0.0,0.0,0.0118266666666666,0.0,0.0118266666666666,0.26216,0.0118266666666666,0.0,0.1444133333333333,0.26328,0.1741066666666666,0.2195733333333333,0.0525866666666666,0.05604,0.06228,0.0480933333333333,0.0693866666666666,0.06356,0.0622933333333333,0.06208,0.1182533333333333,0.0654933333333333,0.0643866666666666,0.06608,0.0747733333333333,0.0836666666666666,0.0685866666666666,0.0687066666666666,0.0746666666666666,0.07044,0.0748133333333333,0.0760933333333333,0.0664666666666666,0.0802133333333333,0.0726266666666666,0.0716,0.06184,0.06204,0.08144,0.08144,0.06172,0.06172,0.0649733333333333,0.0420533333333333,0.07052,0.0597733333333333,0.0612133333333333,0.0621466666666666,0.0618666666666666,0.0365866666666666,0.0653733333333333,0.0681733333333333,0.0635733333333333,0.0999066666666666,0.1016933333333333,0.0784266666666666,0.05408,0.0598
