Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0,0.3333333333333333,0.2770666666666667,0.05844,0.1832133333333333,0.0956933333333333,0.18236,0.18236,0.18236,0.18236,0.1832133333333333,0.18236,0.1832133333333333,0.2717066666666666,0.1832133333333333,0.18236,0.2488666666666666,0.20676,0.10668,0.1052266666666666,0.1098133333333333,0.0268,0.02276,0.1252666666666666,0.0373733333333333,0.0276,0.0270533333333333,0.02552,0.1357333333333333,0.0281733333333333,0.02976,0.0177866666666666,0.03216,0.0346933333333333,0.02496,0.0273733333333333,0.0315466666666666,0.0273733333333333,0.03216,0.03324,0.02764,0.0336533333333333,0.0273733333333333,0.01812,0.0270666666666666,0.0273733333333333,0.0343866666666666,0.0343866666666666,0.0148666666666666,0.0148666666666666,0.0267733333333333,0.0279333333333333,0.0202533333333333,0.02412,0.0252,0.0298933333333333,0.0270666666666666,0.0242666666666666,0.0242933333333333,0.0156,0.02772,0.0747866666666666,0.1255866666666666,0.0558266666666666,0.0484933333333333,0.01824
Max Violations Committee,0.3333333333333333,0.0,0.2778933333333333,0.3321733333333333,0.3208,0.3314533333333333,0.322,0.322,0.322,0.322,0.3208,0.322,0.3208,0.2886533333333333,0.3208,0.322,0.2982266666666666,0.32252,0.32968,0.3304533333333333,0.3304533333333333,0.3332,0.33304,0.32924,0.3328266666666666,0.3332266666666666,0.3332266666666666,0.3332,0.2933733333333333,0.3332,0.33304,0.3332533333333333,0.3326533333333333,0.3244666666666667,0.3331066666666666,0.33308,0.33272,0.3330133333333333,0.3326533333333333,0.3324266666666666,0.3331066666666666,0.3317733333333333,0.3329466666666666,0.3329066666666667,0.3331866666666667,0.33316,0.32812,0.32812,0.3332666666666666,0.3332666666666666,0.3332666666666666,0.3326,0.3331733333333333,0.3329866666666666,0.3329333333333333,0.33308,0.3331866666666667,0.3318,0.3332,0.3332266666666666,0.3331733333333333,0.33144,0.3275466666666666,0.3320933333333333,0.3321733333333333,0.3331333333333333
Random Choice,0.2770666666666667,0.2778933333333333,0.0,0.27668,0.2764666666666667,0.2764133333333333,0.2769333333333333,0.2769333333333333,0.2769333333333333,0.2769333333333333,0.2764666666666667,0.2769333333333333,0.2764666666666667,0.27656,0.2764666666666667,0.2769333333333333,0.2765733333333333,0.2766,0.27764,0.2765866666666666,0.2763066666666666,0.277,0.2770533333333333,0.2759733333333333,0.27704,0.2769333333333333,0.277,0.27708,0.2766,0.27692,0.2769466666666667,0.27708,0.2770133333333333,0.2768266666666666,0.2769466666666667,0.2769866666666666,0.27708,0.277,0.277,0.277,0.277,0.27676,0.2769466666666667,0.2771333333333333,0.277,0.2770266666666666,0.2765333333333333,0.2765333333333333,0.2771866666666667,0.2771866666666667,0.2768933333333333,0.2768666666666666,0.27704,0.27704,0.2770133333333333,0.2769333333333333,0.277,0.2765866666666666,0.2768666666666666,0.27724,0.2769466666666667,0.2766666666666666,0.2773066666666666,0.277,0.2761066666666666,0.27692
Borda ranking,0.05844,0.3321733333333333,0.27668,0.0,0.2127333333333333,0.13008,0.2128666666666666,0.2128666666666666,0.2128666666666666,0.2128666666666666,0.2127333333333333,0.2128666666666666,0.2127333333333333,0.2791333333333333,0.2127333333333333,0.2128666666666666,0.25512,0.1815866666666666,0.11716,0.068,0.1351333333333333,0.05764,0.0611866666666666,0.156,0.0580666666666666,0.0568666666666666,0.0563066666666666,0.0556533333333333,0.14924,0.0571066666666666,0.0583866666666666,0.0413733333333333,0.0574666666666666,0.0675866666666666,0.05524,0.0561333333333333,0.0578666666666666,0.0562933333333333,0.0574533333333333,0.0580133333333333,0.0563866666666666,0.05928,0.0563333333333333,0.0578933333333333,0.0560266666666666,0.05616,0.06628,0.06628,0.05128,0.05128,0.0563866666666666,0.0615066666666666,0.0381866666666666,0.06196,0.0617333333333333,0.0585733333333333,0.0560266666666666,0.06804,0.0552533333333333,0.04464,0.05432,0.07164,0.1279066666666666,0.04804,0.09192,0.0623333333333333
Plurality ranking,0.1832133333333333,0.3208,0.2764666666666667,0.2127333333333333,0.0,0.1422933333333333,0.0294533333333333,0.0294533333333333,0.0294533333333333,0.0294533333333333,0.0,0.0294533333333333,0.0,0.2824933333333333,0.0,0.0294533333333333,0.2259333333333333,0.2713466666666667,0.1980266666666666,0.24428,0.1368533333333333,0.18,0.1766133333333333,0.1098533333333333,0.1908,0.1823466666666666,0.1824133333333333,0.1824933333333333,0.21232,0.1823866666666666,0.1811333333333333,0.1881066666666666,0.1829466666666666,0.1886666666666666,0.1828133333333333,0.1825733333333333,0.18284,0.1825866666666666,0.18296,0.18296,0.1824,0.18372,0.1826133333333333,0.1828933333333333,0.1824,0.18232,0.1872533333333333,0.1872533333333333,0.18532,0.18532,0.18248,0.1735733333333333,0.1890133333333333,0.1755866666666666,0.1764133333333333,0.1809733333333333,0.1824,0.15916,0.18272,0.18664,0.18296,0.2149066666666666,0.2080666666666666,0.1992666666666666,0.15912,0.1740533333333333
STV,0.0956933333333333,0.3314533333333333,0.2764133333333333,0.13008,0.1422933333333333,0.0,0.14056,0.14056,0.14056,0.14056,0.1422933333333333,0.14056,0.1422933333333333,0.2719866666666666,0.1422933333333333,0.14056,0.2386266666666666,0.2308133333333333,0.1402533333333333,0.1709733333333333,0.035,0.1022,0.0954,0.0855466666666666,0.1147066666666666,0.105,0.1047733333333333,0.1044,0.17896,0.1054666666666666,0.1034266666666666,0.10292,0.1067066666666666,0.11252,0.1043733333333333,0.10496,0.1073333333333333,0.105,0.10672,0.10756,0.1050933333333333,0.1083066666666666,0.1050533333333333,0.10148,0.1048,0.1049066666666666,0.1117466666666666,0.1117466666666666,0.1021866666666666,0.1021866666666666,0.1045333333333333,0.10188,0.104,0.0933333333333333,0.0946266666666666,0.1030666666666666,0.1048,0.0980933333333333,0.1041733333333333,0.10208,0.1053466666666666,0.14156,0.1594133333333333,0.1229733333333333,0.0746933333333333,0.09452
Approval Voting (AV),0.18236,0.322,0.2769333333333333,0.2128666666666666,0.0294533333333333,0.14056,0.0,0.0,0.0,0.0,0.0294533333333333,0.0,0.0294533333333333,0.2718933333333333,0.0294533333333333,0.0,0.2256266666666666,0.27632,0.1984533333333333,0.24464,0.1378133333333333,0.18068,0.1771866666666666,0.1134533333333333,0.1915866666666666,0.1830666666666666,0.18312,0.1831733333333333,0.2188266666666666,0.1831466666666666,0.1818533333333333,0.1880666666666666,0.18416,0.1898266666666666,0.1835733333333333,0.1834,0.1839333333333333,0.1834133333333333,0.1841733333333333,0.1842933333333333,0.1831733333333333,0.1850666666666666,0.18344,0.18312,0.1830933333333333,0.1830533333333333,0.18864,0.18864,0.1853733333333333,0.1853733333333333,0.1832266666666666,0.1751066666666666,0.1890666666666666,0.17624,0.1773333333333333,0.1817866666666666,0.1830933333333333,0.1623466666666666,0.1833466666666666,0.18672,0.1836533333333333,0.21476,0.2129066666666666,0.1991733333333333,0.1587733333333333,0.1745066666666666
Proportional Approval Voting (PAV),0.18236,0.322,0.2769333333333333,0.2128666666666666,0.0294533333333333,0.14056,0.0,0.0,0.0,0.0,0.0294533333333333,0.0,0.0294533333333333,0.2718933333333333,0.0294533333333333,0.0,0.2256266666666666,0.27632,0.1984533333333333,0.24464,0.1378133333333333,0.18068,0.1771866666666666,0.1134533333333333,0.1915866666666666,0.1830666666666666,0.18312,0.1831733333333333,0.2188266666666666,0.1831466666666666,0.1818533333333333,0.1880666666666666,0.18416,0.1898266666666666,0.1835733333333333,0.1834,0.1839333333333333,0.1834133333333333,0.1841733333333333,0.1842933333333333,0.1831733333333333,0.1850666666666666,0.18344,0.18312,0.1830933333333333,0.1830533333333333,0.18864,0.18864,0.1853733333333333,0.1853733333333333,0.1832266666666666,0.1751066666666666,0.1890666666666666,0.17624,0.1773333333333333,0.1817866666666666,0.1830933333333333,0.1623466666666666,0.1833466666666666,0.18672,0.1836533333333333,0.21476,0.2129066666666666,0.1991733333333333,0.1587733333333333,0.1745066666666666
Approval Chamberlin-Courant (CC),0.18236,0.322,0.2769333333333333,0.2128666666666666,0.0294533333333333,0.14056,0.0,0.0,0.0,0.0,0.0294533333333333,0.0,0.0294533333333333,0.2718933333333333,0.0294533333333333,0.0,0.2256266666666666,0.27632,0.1984533333333333,0.24464,0.1378133333333333,0.18068,0.1771866666666666,0.1134533333333333,0.1915866666666666,0.1830666666666666,0.18312,0.1831733333333333,0.2188266666666666,0.1831466666666666,0.1818533333333333,0.1880666666666666,0.18416,0.1898266666666666,0.1835733333333333,0.1834,0.1839333333333333,0.1834133333333333,0.1841733333333333,0.1842933333333333,0.1831733333333333,0.1850666666666666,0.18344,0.18312,0.1830933333333333,0.1830533333333333,0.18864,0.18864,0.1853733333333333,0.1853733333333333,0.1832266666666666,0.1751066666666666,0.1890666666666666,0.17624,0.1773333333333333,0.1817866666666666,0.1830933333333333,0.1623466666666666,0.1833466666666666,0.18672,0.1836533333333333,0.21476,0.2129066666666666,0.1991733333333333,0.1587733333333333,0.1745066666666666
Lexicographic Chamberlin-Courant (lex-CC),0.18236,0.322,0.2769333333333333,0.2128666666666666,0.0294533333333333,0.14056,0.0,0.0,0.0,0.0,0.0294533333333333,0.0,0.0294533333333333,0.2718933333333333,0.0294533333333333,0.0,0.2256266666666666,0.27632,0.1984533333333333,0.24464,0.1378133333333333,0.18068,0.1771866666666666,0.1134533333333333,0.1915866666666666,0.1830666666666666,0.18312,0.1831733333333333,0.2188266666666666,0.1831466666666666,0.1818533333333333,0.1880666666666666,0.18416,0.1898266666666666,0.1835733333333333,0.1834,0.1839333333333333,0.1834133333333333,0.1841733333333333,0.1842933333333333,0.1831733333333333,0.1850666666666666,0.18344,0.18312,0.1830933333333333,0.1830533333333333,0.18864,0.18864,0.1853733333333333,0.1853733333333333,0.1832266666666666,0.1751066666666666,0.1890666666666666,0.17624,0.1773333333333333,0.1817866666666666,0.1830933333333333,0.1623466666666666,0.1833466666666666,0.18672,0.1836533333333333,0.21476,0.2129066666666666,0.1991733333333333,0.1587733333333333,0.1745066666666666
