Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0,0.3333333333333333,0.2778933333333333,0.0529066666666666,0.2417733333333333,0.20356,0.2396266666666666,0.2396266666666666,0.2396266666666666,0.2396266666666666,0.2417733333333333,0.2396266666666666,0.2417733333333333,0.27088,0.2417733333333333,0.2396266666666666,0.27152,0.2610933333333333,0.30216,0.0738266666666666,0.206,0.0314533333333333,0.0238933333333333,0.17964,0.0416133333333333,0.0419866666666666,0.0419866666666666,0.04184,0.13132,0.0419866666666666,0.0418133333333333,0.0225466666666666,0.0419866666666666,0.0419866666666666,0.0416,0.0419866666666666,0.0419866666666666,0.0419866666666666,0.0419866666666666,0.0419866666666666,0.0419866666666666,0.0419866666666666,0.0419866666666666,0.0208533333333333,0.0419866666666666,0.0419866666666666,0.0419866666666666,0.0419866666666666,0.0210133333333333,0.0210133333333333,0.0419866666666666,0.0403866666666666,0.0226266666666666,0.02952,0.03068,0.0418133333333333,0.0419866666666666,0.03448,0.0416,0.02244,0.0419866666666666,0.1228533333333333,0.2432266666666666,0.0632,0.0753466666666666,0.02308
Max Violations Committee,0.3333333333333333,0.0,0.27796,0.3323066666666666,0.3077066666666667,0.3302533333333333,0.3105066666666666,0.3105066666666666,0.3105066666666666,0.3105066666666666,0.3077066666666667,0.3105066666666666,0.3077066666666667,0.2858266666666667,0.3077066666666667,0.3105066666666666,0.2855733333333333,0.31608,0.3256,0.3313466666666667,0.32796,0.3331866666666667,0.3332133333333333,0.3274933333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3036266666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3231333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3280266666666667,0.3280266666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3320266666666667,0.3333333333333333,0.3325733333333333,0.3326666666666666,0.3333333333333333,0.3333333333333333,0.3282933333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3310533333333333,0.3234933333333333,0.3324133333333333,0.3319866666666666,0.3333333333333333
Random Choice,0.2778933333333333,0.27796,0.0,0.2768533333333333,0.2765333333333333,0.27692,0.2774,0.2774,0.2774,0.2774,0.2765333333333333,0.2774,0.2765333333333333,0.27684,0.2765333333333333,0.2774,0.2775866666666666,0.2782533333333333,0.2770933333333333,0.2777733333333333,0.2771066666666666,0.2775733333333333,0.27744,0.2777333333333333,0.2775066666666667,0.2775466666666666,0.2775466666666666,0.2774933333333333,0.278,0.2775466666666666,0.2776133333333333,0.2774666666666666,0.2775466666666666,0.27852,0.2775066666666667,0.2775466666666666,0.2775466666666666,0.2775466666666666,0.2775466666666666,0.2775466666666666,0.2775466666666666,0.2775733333333333,0.2775466666666666,0.27744,0.2775466666666666,0.2775466666666666,0.2782,0.2782,0.2776133333333333,0.2776133333333333,0.2775466666666666,0.27748,0.2774933333333333,0.27752,0.2776533333333333,0.2776133333333333,0.2775466666666666,0.2775866666666666,0.2775066666666667,0.2774533333333333,0.2775466666666666,0.2777466666666666,0.2779866666666666,0.27752,0.2772666666666666,0.2776
Borda ranking,0.0529066666666666,0.3323066666666666,0.2768533333333333,0.0,0.2375466666666666,0.19464,0.2378933333333333,0.2378933333333333,0.2378933333333333,0.2378933333333333,0.2375466666666666,0.2378933333333333,0.2375466666666666,0.2805733333333333,0.2375466666666666,0.2378933333333333,0.26912,0.2466933333333333,0.2976266666666666,0.0784666666666666,0.1934266666666666,0.0504666666666666,0.0482533333333333,0.1699866666666666,0.04972,0.0497466666666666,0.0497466666666666,0.0497333333333333,0.1305733333333333,0.0497466666666666,0.0501733333333333,0.0303866666666666,0.0497466666666666,0.0651066666666666,0.0497333333333333,0.0497466666666666,0.0497466666666666,0.0497466666666666,0.0497466666666666,0.0497466666666666,0.0497466666666666,0.0498933333333333,0.0497466666666666,0.0521733333333333,0.0497466666666666,0.0497466666666666,0.0634533333333333,0.0634533333333333,0.0475866666666666,0.0475866666666666,0.0497466666666666,0.0566666666666666,0.03028,0.05528,0.0554266666666666,0.0501733333333333,0.0497466666666666,0.06296,0.0497333333333333,0.0306266666666666,0.0497333333333333,0.1305733333333333,0.2260666666666666,0.0430533333333333,0.07984,0.0459866666666666
Plurality ranking,0.2417733333333333,0.3077066666666667,0.2765333333333333,0.2375466666666666,0.0,0.1872533333333333,0.0608533333333333,0.0608533333333333,0.0608533333333333,0.0608533333333333,0.0,0.0608533333333333,0.0,0.2874,0.0,0.0608533333333333,0.2518666666666667,0.26824,0.22632,0.26792,0.1795066666666666,0.2390266666666666,0.2356533333333333,0.14892,0.2415066666666666,0.24148,0.24148,0.2415066666666666,0.24524,0.24148,0.2413733333333333,0.2399733333333333,0.24148,0.2404,0.2415066666666666,0.24148,0.24148,0.24148,0.24148,0.24148,0.24148,0.2414133333333333,0.24148,0.2417866666666666,0.24148,0.24148,0.23888,0.23888,0.246,0.246,0.24148,0.23552,0.2399733333333333,0.2320266666666666,0.2320666666666666,0.2413733333333333,0.24148,0.2072933333333333,0.2415066666666666,0.24,0.24148,0.2520266666666667,0.24604,0.24052,0.2168933333333333,0.23404
STV,0.20356,0.3302533333333333,0.27692,0.19464,0.1872533333333333,0.0,0.1809466666666666,0.1809466666666666,0.1809466666666666,0.1809466666666666,0.1872533333333333,0.1809466666666666,0.1872533333333333,0.2668266666666666,0.1872533333333333,0.1809466666666666,0.2616533333333333,0.2652,0.2099866666666666,0.23292,0.0605066666666666,0.20212,0.1941866666666666,0.1419733333333333,0.20768,0.2076666666666666,0.2076666666666666,0.2076933333333333,0.2317733333333333,0.2076666666666666,0.20756,0.2022533333333333,0.2076666666666666,0.2138133333333333,0.2076933333333333,0.2076666666666666,0.2076666666666666,0.2076666666666666,0.2076666666666666,0.2076666666666666,0.2076666666666666,0.2075866666666666,0.2076666666666666,0.20636,0.2076666666666666,0.2076666666666666,0.2125733333333333,0.2125733333333333,0.2111466666666666,0.2111466666666666,0.2076666666666666,0.2076666666666666,0.2022133333333333,0.18652,0.1876933333333333,0.20756,0.2076666666666666,0.2027866666666666,0.2076933333333333,0.20232,0.2076666666666666,0.2172133333333333,0.2228933333333333,0.1996133333333333,0.1619866666666666,0.1970133333333333
Approval Voting (AV),0.2396266666666666,0.3105066666666666,0.2774,0.2378933333333333,0.0608533333333333,0.1809466666666666,0.0,0.0,0.0,0.0,0.0608533333333333,0.0,0.0608533333333333,0.2649066666666667,0.0608533333333333,0.0,0.25192,0.2870933333333333,0.2282533333333333,0.2678666666666666,0.17972,0.23936,0.2353733333333333,0.1579333333333333,0.24264,0.2426,0.2426,0.24264,0.25496,0.2426,0.2424933333333333,0.2396,0.2426,0.24304,0.24264,0.2426,0.2426,0.2426,0.2426,0.2426,0.2426,0.2425333333333333,0.2426,0.2412933333333333,0.2426,0.2426,0.24168,0.24168,0.2455066666666666,0.2455066666666666,0.2426,0.2376933333333333,0.2396,0.2316266666666666,0.23232,0.2424933333333333,0.2426,0.2151733333333333,0.24264,0.2396266666666666,0.2426,0.25168,0.26056,0.2401333333333333,0.2164266666666666,0.23452
Proportional Approval Voting (PAV),0.2396266666666666,0.3105066666666666,0.2774,0.2378933333333333,0.0608533333333333,0.1809466666666666,0.0,0.0,0.0,0.0,0.0608533333333333,0.0,0.0608533333333333,0.2649066666666667,0.0608533333333333,0.0,0.25192,0.2870933333333333,0.2282533333333333,0.2678666666666666,0.17972,0.23936,0.2353733333333333,0.1579333333333333,0.24264,0.2426,0.2426,0.24264,0.25496,0.2426,0.2424933333333333,0.2396,0.2426,0.24304,0.24264,0.2426,0.2426,0.2426,0.2426,0.2426,0.2426,0.2425333333333333,0.2426,0.2412933333333333,0.2426,0.2426,0.24168,0.24168,0.2455066666666666,0.2455066666666666,0.2426,0.2376933333333333,0.2396,0.2316266666666666,0.23232,0.2424933333333333,0.2426,0.2151733333333333,0.24264,0.2396266666666666,0.2426,0.25168,0.26056,0.2401333333333333,0.2164266666666666,0.23452
Approval Chamberlin-Courant (CC),0.2396266666666666,0.3105066666666666,0.2774,0.2378933333333333,0.0608533333333333,0.1809466666666666,0.0,0.0,0.0,0.0,0.0608533333333333,0.0,0.0608533333333333,0.2649066666666667,0.0608533333333333,0.0,0.25192,0.2870933333333333,0.2282533333333333,0.2678666666666666,0.17972,0.23936,0.2353733333333333,0.1579333333333333,0.24264,0.2426,0.2426,0.24264,0.25496,0.2426,0.2424933333333333,0.2396,0.2426,0.24304,0.24264,0.2426,0.2426,0.2426,0.2426,0.2426,0.2426,0.2425333333333333,0.2426,0.2412933333333333,0.2426,0.2426,0.24168,0.24168,0.2455066666666666,0.2455066666666666,0.2426,0.2376933333333333,0.2396,0.2316266666666666,0.23232,0.2424933333333333,0.2426,0.2151733333333333,0.24264,0.2396266666666666,0.2426,0.25168,0.26056,0.2401333333333333,0.2164266666666666,0.23452
Lexicographic Chamberlin-Courant (lex-CC),0.2396266666666666,0.3105066666666666,0.2774,0.2378933333333333,0.0608533333333333,0.1809466666666666,0.0,0.0,0.0,0.0,0.0608533333333333,0.0,0.0608533333333333,0.2649066666666667,0.0608533333333333,0.0,0.25192,0.2870933333333333,0.2282533333333333,0.2678666666666666,0.17972,0.23936,0.2353733333333333,0.1579333333333333,0.24264,0.2426,0.2426,0.24264,0.25496,0.2426,0.2424933333333333,0.2396,0.2426,0.24304,0.24264,0.2426,0.2426,0.2426,0.2426,0.2426,0.2426,0.2425333333333333,0.2426,0.2412933333333333,0.2426,0.2426,0.24168,0.24168,0.2455066666666666,0.2455066666666666,0.2426,0.2376933333333333,0.2396,0.2316266666666666,0.23232,0.2424933333333333,0.2426,0.2151733333333333,0.24264,0.2396266666666666,0.2426,0.25168,0.26056,0.2401333333333333,0.2164266666666666,0.23452
