Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.6353333333333333,0.4450666666666666,0.0795866666666666,0.29484,0.22988,0.1500666666666666,0.1974,0.2839733333333333,0.27564,0.2727866666666667,0.2554533333333333,0.25092,0.42552,0.1973466666666666,0.15792,0.3445333333333333
Max Violations Committee,0.6353333333333333,0.0,0.44388,0.6289866666666667,0.5836533333333334,0.6024666666666667,0.6324133333333334,0.6,0.56036,0.5647466666666666,0.54592,0.5852533333333333,0.56216,0.4846533333333333,0.59484,0.62832,0.5219466666666667
Random Choice,0.4450666666666666,0.44388,0.0,0.44452,0.4449333333333333,0.4458133333333333,0.4459466666666666,0.4468666666666667,0.4458133333333333,0.4458,0.4458,0.4467866666666666,0.446,0.44564,0.44652,0.4456,0.4469733333333333
Borda ranking,0.0795866666666666,0.6289866666666667,0.44452,0.0,0.3085066666666666,0.22744,0.16712,0.1784533333333333,0.2595733333333333,0.2486,0.245,0.2320133333333333,0.2229333333333333,0.4458133333333333,0.18044,0.1627866666666666,0.34952
Plurality ranking,0.29484,0.5836533333333334,0.4449333333333333,0.3085066666666666,0.0,0.1702,0.2562933333333333,0.3001466666666667,0.35948,0.3545733333333333,0.3592,0.3283866666666666,0.3389466666666667,0.4561333333333333,0.2998266666666667,0.2637866666666666,0.36912
STV,0.22988,0.6024666666666667,0.4458133333333333,0.22744,0.1702,0.0,0.2131466666666666,0.2267466666666666,0.2940666666666666,0.2865733333333333,0.2952666666666667,0.2610266666666667,0.2708933333333333,0.4404533333333333,0.2289466666666666,0.2107733333333333,0.3613466666666666
Approval Voting (AV),0.1500666666666666,0.6324133333333334,0.4459466666666666,0.16712,0.2562933333333333,0.2131466666666666,0.0,0.1384933333333333,0.2427733333333333,0.2345333333333333,0.2338133333333333,0.2106666666666666,0.20816,0.4366666666666666,0.1415333333333333,0.0419066666666666,0.33524
Proportional Approval Voting (PAV),0.1974,0.6,0.4468666666666667,0.1784533333333333,0.3001466666666667,0.2267466666666666,0.1384933333333333,0.0,0.1224266666666666,0.1090266666666666,0.1395066666666666,0.0970666666666666,0.11052,0.43912,0.0468266666666666,0.11108,0.34124
Approval Chamberlin-Courant (CC),0.2839733333333333,0.56036,0.4458133333333333,0.2595733333333333,0.35948,0.2940666666666666,0.2427733333333333,0.1224266666666666,0.0,0.01848,0.10604,0.0804133333333333,0.1150666666666666,0.4291066666666667,0.1433733333333333,0.2211733333333333,0.36412
Lexicographic Chamberlin-Courant (lex-CC),0.27564,0.5647466666666666,0.4458,0.2486,0.3545733333333333,0.2865733333333333,0.2345333333333333,0.1090266666666666,0.01848,0.0,0.0895866666666666,0.0831466666666666,0.0999333333333333,0.4392666666666667,0.1299866666666666,0.21108,0.36192
Sequential Approval Chamberlin-Courant (seq-CC),0.2727866666666667,0.54592,0.4458,0.245,0.3592,0.2952666666666667,0.2338133333333333,0.1395066666666666,0.10604,0.0895866666666666,0.0,0.1636266666666666,0.0368666666666666,0.4558533333333333,0.1066666666666666,0.2088,0.3641066666666667
Monroe's Approval Rule (Monroe),0.2554533333333333,0.5852533333333333,0.4467866666666666,0.2320133333333333,0.3283866666666666,0.2610266666666667,0.2106666666666666,0.0970666666666666,0.0804133333333333,0.0831466666666666,0.1636266666666666,0.0,0.1357733333333333,0.4297866666666666,0.11636,0.1893066666666666,0.35604
Greedy Monroe,0.25092,0.56216,0.446,0.2229333333333333,0.3389466666666667,0.2708933333333333,0.20816,0.11052,0.1150666666666666,0.0999333333333333,0.0368666666666666,0.1357733333333333,0.0,0.4548666666666666,0.0780533333333333,0.1826933333333333,0.3552666666666667
Minimax Approval Voting (MAV),0.42552,0.4846533333333333,0.44564,0.4458133333333333,0.4561333333333333,0.4404533333333333,0.4366666666666666,0.43912,0.4291066666666667,0.4392666666666667,0.4558533333333333,0.4297866666666666,0.4548666666666666,0.0,0.4476533333333333,0.4386266666666666,0.4443866666666666
Method of Equal Shares (aka Rule X) with Phragmén phase,0.1973466666666666,0.59484,0.44652,0.18044,0.2998266666666667,0.2289466666666666,0.1415333333333333,0.0468266666666666,0.1433733333333333,0.1299866666666666,0.1066666666666666,0.11636,0.0780533333333333,0.4476533333333333,0.0,0.1130666666666666,0.3428133333333333
E Pluribus Hugo (EPH),0.15792,0.62832,0.4456,0.1627866666666666,0.2637866666666666,0.2107733333333333,0.0419066666666666,0.11108,0.2211733333333333,0.21108,0.2088,0.1893066666666666,0.1826933333333333,0.4386266666666666,0.1130666666666666,0.0,0.3369066666666667
Random Serial Dictator,0.3445333333333333,0.5219466666666667,0.4469733333333333,0.34952,0.36912,0.3613466666666666,0.33524,0.34124,0.36412,0.36192,0.3641066666666667,0.35604,0.3552666666666667,0.4443866666666666,0.3428133333333333,0.3369066666666667,0.0
NN-all,0.0110206666666666,0.6365593333333333,0.444888,0.076378,0.2932426666666666,0.2268786666666666,0.1469633333333333,0.1945226666666666,0.2810286666666667,0.2726146666666666,0.2697526666666667,0.2523133333333333,0.2478426666666666,0.4273853333333333,0.1943806666666667,0.1544746666666667,0.3433526666666666
