Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.6666666666666666,0.4425866666666667,0.0020666666666666,0.05176,0.0253866666666666,0.0046,0.0100533333333333,0.3332266666666666,0.3329733333333333,0.32732,0.13012,0.10852,0.4356533333333333,0.01524,0.00364,0.2482666666666666
Max Violations Committee,0.6666666666666666,0.0,0.4460266666666667,0.66664,0.6666666666666666,0.66664,0.6666666666666666,0.6666666666666666,0.6666133333333333,0.6666133333333333,0.6663333333333333,0.66664,0.6666533333333333,0.4620133333333333,0.6666666666666666,0.6666666666666666,0.6256266666666667
Random Choice,0.4425866666666667,0.4460266666666667,0.0,0.4425466666666666,0.4428666666666667,0.44256,0.4429066666666666,0.4429733333333333,0.44544,0.4453866666666666,0.44184,0.4431333333333333,0.44224,0.4431733333333333,0.4428933333333333,0.4428933333333333,0.4431733333333333
Borda ranking,0.0020666666666666,0.66664,0.4425466666666666,0.0,0.05228,0.0246533333333333,0.0066666666666666,0.0101733333333333,0.3332266666666666,0.3329733333333333,0.3272133333333333,0.1301066666666666,0.1077333333333333,0.4361466666666667,0.0152533333333333,0.00488,0.2482266666666666
Plurality ranking,0.05176,0.6666666666666666,0.4428666666666667,0.05228,0.0,0.0429466666666666,0.0511733333333333,0.0552133333333333,0.32616,0.32592,0.3326,0.1398666666666666,0.13316,0.4412533333333333,0.059,0.05168,0.2581866666666667
STV,0.0253866666666666,0.66664,0.44256,0.0246533333333333,0.0429466666666666,0.0,0.0276,0.02852,0.3279733333333333,0.32772,0.3255066666666666,0.1350266666666666,0.1122533333333333,0.43408,0.0329333333333333,0.0268133333333333,0.2536266666666666
Approval Voting (AV),0.0046,0.6666666666666666,0.4429066666666666,0.0066666666666666,0.0511733333333333,0.0276,0.0,0.0121333333333333,0.3332266666666666,0.3329733333333333,0.3273066666666667,0.13012,0.1096266666666666,0.4351866666666666,0.01744,0.0021733333333333,0.2483866666666666
Proportional Approval Voting (PAV),0.0100533333333333,0.6666666666666666,0.4429733333333333,0.0101733333333333,0.0552133333333333,0.02852,0.0121333333333333,0.0,0.3248933333333333,0.32464,0.3264666666666667,0.12408,0.1068533333333333,0.43436,0.01296,0.01104,0.2493866666666666
Approval Chamberlin-Courant (CC),0.3332266666666666,0.6666133333333333,0.44544,0.3332266666666666,0.32616,0.3279733333333333,0.3332266666666666,0.3248933333333333,0.0,0.0002533333333333,0.3252133333333333,0.2774133333333333,0.2915866666666666,0.3988666666666666,0.3226666666666666,0.3331733333333333,0.34736
Lexicographic Chamberlin-Courant (lex-CC),0.3329733333333333,0.6666133333333333,0.4453866666666666,0.3329733333333333,0.32592,0.32772,0.3329733333333333,0.32464,0.0002533333333333,0.0,0.32496,0.27716,0.2913333333333333,0.39912,0.3224133333333333,0.33292,0.3472133333333333
