Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,1.0,0.4979733333333333,0.0,0.3972666666666666,0.0,0.0,0.0,0.4867333333333333,0.0,0.4793466666666666,0.0,0.0,0.0,0.0,0.0,0.0
Max Violations Committee,1.0,0.0,0.5020266666666666,1.0,0.6027333333333333,1.0,1.0,1.0,0.5132666666666666,1.0,0.5206533333333333,1.0,1.0,1.0,1.0,1.0,1.0
Random Choice,0.4979733333333333,0.5020266666666666,0.0,0.4979733333333333,0.4993866666666666,0.4979733333333333,0.4979733333333333,0.4979733333333333,0.499,0.4979733333333333,0.5006666666666667,0.4979733333333333,0.4979733333333333,0.4979733333333333,0.4979733333333333,0.4979733333333333,0.4979733333333333
Borda ranking,0.0,1.0,0.4979733333333333,0.0,0.3972666666666666,0.0,0.0,0.0,0.4867333333333333,0.0,0.4793466666666666,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.3972666666666666,0.6027333333333333,0.4993866666666666,0.3972666666666666,0.0,0.3972666666666666,0.3972666666666666,0.3972666666666666,0.8182533333333334,0.3972666666666666,0.15876,0.3972666666666666,0.3972666666666666,0.3972666666666666,0.3972666666666666,0.3972666666666666,0.3972666666666666
STV,0.0,1.0,0.4979733333333333,0.0,0.3972666666666666,0.0,0.0,0.0,0.4867333333333333,0.0,0.4793466666666666,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0,1.0,0.4979733333333333,0.0,0.3972666666666666,0.0,0.0,0.0,0.4867333333333333,0.0,0.4793466666666666,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0,1.0,0.4979733333333333,0.0,0.3972666666666666,0.0,0.0,0.0,0.4867333333333333,0.0,0.4793466666666666,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.4867333333333333,0.5132666666666666,0.499,0.4867333333333333,0.8182533333333334,0.4867333333333333,0.4867333333333333,0.4867333333333333,0.0,0.4867333333333333,0.96608,0.4867333333333333,0.4867333333333333,0.4867333333333333,0.4867333333333333,0.4867333333333333,0.4867333333333333
Lexicographic Chamberlin-Courant (lex-CC),0.0,1.0,0.4979733333333333,0.0,0.3972666666666666,0.0,0.0,0.0,0.4867333333333333,0.0,0.4793466666666666,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.4793466666666666,0.5206533333333333,0.5006666666666667,0.4793466666666666,0.15876,0.4793466666666666,0.4793466666666666,0.4793466666666666,0.96608,0.4793466666666666,0.0,0.4793466666666666,0.4793466666666666,0.4793466666666666,0.4793466666666666,0.4793466666666666,0.4793466666666666
Monroe's Approval Rule (Monroe),0.0,1.0,0.4979733333333333,0.0,0.3972666666666666,0.0,0.0,0.0,0.4867333333333333,0.0,0.4793466666666666,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0,1.0,0.4979733333333333,0.0,0.3972666666666666,0.0,0.0,0.0,0.4867333333333333,0.0,0.4793466666666666,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.0,1.0,0.4979733333333333,0.0,0.3972666666666666,0.0,0.0,0.0,0.4867333333333333,0.0,0.4793466666666666,0.0,0.0,0.0,0.0,0.0,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0,1.0,0.4979733333333333,0.0,0.3972666666666666,0.0,0.0,0.0,0.4867333333333333,0.0,0.4793466666666666,0.0,0.0,0.0,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.0,1.0,0.4979733333333333,0.0,0.3972666666666666,0.0,0.0,0.0,0.4867333333333333,0.0,0.4793466666666666,0.0,0.0,0.0,0.0,0.0,0.0
Random Serial Dictator,0.0,1.0,0.4979733333333333,0.0,0.3972666666666666,0.0,0.0,0.0,0.4867333333333333,0.0,0.4793466666666666,0.0,0.0,0.0,0.0,0.0,0.0
NN-all,0.0,1.0000000000000002,0.4979733333333335,0.0,0.3972666666666667,0.0,0.0,0.0,0.4867333333333334,0.0,0.4793466666666667,0.0,0.0,0.0,0.0,0.0,0.0
NN-root,0.0,0.600601439729618,0.5015767833619414,0.0,0.4001304006493421,0.0,0.0,0.0,0.4845581680039387,0.0,0.4825622396976836,0.0,0.0,0.0,0.0,0.0,0.0
