Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.6513066666666667,0.4443466666666666,0.03708,0.1800133333333333,0.0699733333333333,0.05216,0.0539733333333333,0.426,0.0851333333333333,0.4190533333333333,0.2912266666666667,0.1140266666666666,0.33428,0.0607466666666666,0.0523333333333333,0.22824
Max Violations Committee,0.6513066666666667,0.0,0.44336,0.6453333333333333,0.63784,0.64504,0.64552,0.6445333333333333,0.4662533333333333,0.6437733333333333,0.4804133333333333,0.53364,0.63516,0.52384,0.64388,0.64556,0.5906
Random Choice,0.4443466666666666,0.44336,0.0,0.4434666666666667,0.445,0.4423733333333333,0.4437866666666666,0.44364,0.4450666666666666,0.4441066666666666,0.44344,0.4441066666666666,0.44368,0.4446666666666666,0.44396,0.44384,0.44388
Borda ranking,0.03708,0.6453333333333333,0.4434666666666667,0.0,0.1684266666666666,0.0597333333333333,0.0404,0.0392533333333333,0.4472266666666666,0.07248,0.40056,0.31232,0.1050666666666666,0.3554933333333333,0.0466133333333333,0.0402,0.22704
Plurality ranking,0.1800133333333333,0.63784,0.445,0.1684266666666666,0.0,0.1331466666666666,0.1914933333333333,0.1902533333333333,0.4997733333333333,0.2017066666666666,0.3569733333333333,0.3843733333333333,0.2119866666666666,0.4145866666666666,0.1921066666666666,0.1914266666666666,0.2982533333333333
STV,0.0699733333333333,0.64504,0.4423733333333333,0.0597333333333333,0.1331466666666666,0.0,0.0828533333333333,0.0822266666666666,0.4444533333333333,0.1036933333333333,0.40892,0.30948,0.1245066666666666,0.3528,0.08416,0.0826666666666666,0.2346266666666666
Approval Voting (AV),0.05216,0.64552,0.4437866666666666,0.0404,0.1914933333333333,0.0828533333333333,0.0,0.0119466666666666,0.4414933333333333,0.0605333333333333,0.40688,0.3066533333333333,0.0980533333333333,0.3497733333333333,0.0320933333333333,0.0006,0.2258
Proportional Approval Voting (PAV),0.0539733333333333,0.6445333333333333,0.44364,0.0392533333333333,0.1902533333333333,0.0822266666666666,0.0119466666666666,0.0,0.4450666666666666,0.0494933333333333,0.4030266666666666,0.31024,0.0977733333333333,0.3533466666666666,0.02096,0.0114933333333333,0.22508
Approval Chamberlin-Courant (CC),0.426,0.4662533333333333,0.4450666666666666,0.4472266666666666,0.4997733333333333,0.4444533333333333,0.4414933333333333,0.4450666666666666,0.0,0.44572,0.6666666666666666,0.1457066666666666,0.4605066666666667,0.1125733333333333,0.4470133333333333,0.4416133333333333,0.4393866666666666
Lexicographic Chamberlin-Courant (lex-CC),0.0851333333333333,0.6437733333333333,0.4441066666666666,0.07248,0.2017066666666666,0.1036933333333333,0.0605333333333333,0.0494933333333333,0.44572,0.0,0.4014266666666666,0.31384,0.1165333333333333,0.34816,0.0364266666666666,0.0602266666666666,0.2338666666666666
Sequential Approval Chamberlin-Courant (seq-CC),0.4190533333333333,0.4804133333333333,0.44344,0.40056,0.3569733333333333,0.40892,0.40688,0.4030266666666666,0.6666666666666666,0.4014266666666666,0.0,0.5876133333333333,0.3892666666666666,0.6111866666666667,0.4005733333333333,0.40668,0.4222
Monroe's Approval Rule (Monroe),0.2912266666666667,0.53364,0.4441066666666666,0.31232,0.3843733333333333,0.30948,0.3066533333333333,0.31024,0.1457066666666666,0.31384,0.5876133333333333,0.0,0.32504,0.0998266666666666,0.3120533333333333,0.3067733333333333,0.3259466666666666
Greedy Monroe,0.1140266666666666,0.63516,0.44368,0.1050666666666666,0.2119866666666666,0.1245066666666666,0.0980533333333333,0.0977733333333333,0.4605066666666667,0.1165333333333333,0.3892666666666666,0.32504,0.0,0.3693866666666666,0.1009333333333333,0.0979733333333333,0.2384133333333333
Minimax Approval Voting (MAV),0.33428,0.52384,0.4446666666666666,0.3554933333333333,0.4145866666666666,0.3528,0.3497733333333333,0.3533466666666666,0.1125733333333333,0.34816,0.6111866666666667,0.0998266666666666,0.3693866666666666,0.0,0.3552933333333333,0.3498933333333333,0.3646133333333333
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0607466666666666,0.64388,0.44396,0.0466133333333333,0.1921066666666666,0.08416,0.0320933333333333,0.02096,0.4470133333333333,0.0364266666666666,0.4005733333333333,0.3120533333333333,0.1009333333333333,0.3552933333333333,0.0,0.0317866666666666,0.22752
E Pluribus Hugo (EPH),0.0523333333333333,0.64556,0.44384,0.0402,0.1914266666666666,0.0826666666666666,0.0006,0.0114933333333333,0.4416133333333333,0.0602266666666666,0.40668,0.3067733333333333,0.0979733333333333,0.3498933333333333,0.0317866666666666,0.0,0.2257733333333333
Random Serial Dictator,0.22824,0.5906,0.44388,0.22704,0.2982533333333333,0.2346266666666666,0.2258,0.22508,0.4393866666666666,0.2338666666666666,0.4222,0.3259466666666666,0.2384133333333333,0.3646133333333333,0.22752,0.2257733333333333,0.0
NN-all,0.0132326666666666,0.6504213333333334,0.4441833333333332,0.0368953333333333,0.1799,0.0699686666666666,0.050088,0.051902,0.4245153333333332,0.0834773333333333,0.4190453333333334,0.289742,0.1126486666666666,0.3327953333333333,0.0593013333333333,0.0501579999999999,0.2276713333333333
NN-root,0.0403476907109496,0.5196272936542786,0.4471365081899591,0.0312256330419278,0.1752784319987226,0.0625923116841643,0.0411221108937766,0.0434061181855681,0.4236936649235559,0.079009487312549,0.4161497212353465,0.2918453022500765,0.1083210251087781,0.3326826607054942,0.0522434234162308,0.0412704748978749,0.2319468284699213
