Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.6427866666666666,0.4429733333333333,0.0922933333333333,0.2879066666666666,0.1946266666666666,0.1078533333333333,0.12616,0.4084,0.19896,0.4422933333333333,0.3448666666666666,0.1916,0.2909733333333333,0.15836,0.1109066666666666,0.2753333333333333
Max Violations Committee,0.6427866666666666,0.0,0.44268,0.63164,0.56576,0.6067733333333334,0.6255866666666666,0.6232266666666667,0.49132,0.6057066666666666,0.4344533333333333,0.52164,0.6038933333333333,0.57384,0.6169333333333333,0.6251066666666667,0.57248
Random Choice,0.4429733333333333,0.44268,0.0,0.44368,0.44408,0.4439866666666666,0.4427733333333333,0.44208,0.44572,0.4425066666666666,0.4453066666666667,0.4447866666666666,0.44228,0.4446933333333333,0.44192,0.4424,0.4433466666666666
Borda ranking,0.0922933333333333,0.63164,0.44368,0.0,0.2760266666666666,0.1816533333333333,0.09252,0.09152,0.447,0.1666,0.41,0.3845733333333333,0.16064,0.3163866666666666,0.119,0.0915866666666666,0.2689333333333333
Plurality ranking,0.2879066666666666,0.56576,0.44408,0.2760266666666666,0.0,0.1631066666666666,0.3122933333333333,0.3136933333333333,0.4899333333333333,0.33416,0.38456,0.4461733333333333,0.3282,0.4109466666666667,0.3189733333333333,0.3123333333333333,0.3700933333333333
STV,0.1946266666666666,0.6067733333333334,0.4439866666666666,0.1816533333333333,0.1631066666666666,0.0,0.2231733333333333,0.2257733333333333,0.44076,0.2605466666666666,0.42756,0.3793866666666666,0.2556666666666666,0.3451066666666667,0.2356133333333333,0.2232266666666666,0.31224
Approval Voting (AV),0.1078533333333333,0.6255866666666666,0.4427733333333333,0.09252,0.3122933333333333,0.2231733333333333,0.0,0.0439333333333333,0.4360266666666667,0.1520133333333333,0.41936,0.3724666666666666,0.1519866666666666,0.3112,0.0997333333333333,0.0071066666666666,0.2634533333333333
Proportional Approval Voting (PAV),0.12616,0.6232266666666667,0.44208,0.09152,0.3136933333333333,0.2257733333333333,0.0439333333333333,0.0,0.4411866666666666,0.1144,0.41364,0.3782,0.1406666666666666,0.3030133333333333,0.0639866666666666,0.0382533333333333,0.2634666666666667
Approval Chamberlin-Courant (CC),0.4084,0.49132,0.44572,0.447,0.4899333333333333,0.44076,0.4360266666666667,0.4411866666666666,0.0,0.4397466666666667,0.6666666666666666,0.06792,0.4663866666666666,0.2000533333333333,0.4469866666666666,0.4370533333333333,0.4444266666666667
Lexicographic Chamberlin-Courant (lex-CC),0.19896,0.6057066666666666,0.4425066666666666,0.1666,0.33416,0.2605466666666666,0.1520133333333333,0.1144,0.4397466666666667,0.0,0.4147466666666666,0.3830266666666667,0.1724,0.2618,0.08852,0.1477066666666666,0.2858666666666666
Sequential Approval Chamberlin-Courant (seq-CC),0.4422933333333333,0.4344533333333333,0.4453066666666667,0.41,0.38456,0.42756,0.41936,0.41364,0.6666666666666666,0.4147466666666666,0.0,0.63204,0.3880266666666667,0.5712,0.4076266666666667,0.41796,0.4178133333333333
Monroe's Approval Rule (Monroe),0.3448666666666666,0.52164,0.4447866666666666,0.3845733333333333,0.4461733333333333,0.3793866666666666,0.3724666666666666,0.3782,0.06792,0.3830266666666667,0.63204,0.0,0.4052266666666667,0.16892,0.38496,0.3735333333333333,0.38928
Greedy Monroe,0.1916,0.6038933333333333,0.44228,0.16064,0.3282,0.2556666666666666,0.1519866666666666,0.1406666666666666,0.4663866666666666,0.1724,0.3880266666666667,0.4052266666666667,0.0,0.3270933333333333,0.14108,0.15032,0.2776266666666667
Minimax Approval Voting (MAV),0.2909733333333333,0.57384,0.4446933333333333,0.3163866666666666,0.4109466666666667,0.3451066666666667,0.3112,0.3030133333333333,0.2000533333333333,0.2618,0.5712,0.16892,0.3270933333333333,0.0,0.2993466666666666,0.3110666666666666,0.3448666666666666
Method of Equal Shares (aka Rule X) with Phragmén phase,0.15836,0.6169333333333333,0.44192,0.119,0.3189733333333333,0.2356133333333333,0.0997333333333333,0.0639866666666666,0.4469866666666666,0.08852,0.4076266666666667,0.38496,0.14108,0.2993466666666666,0.0,0.0951333333333333,0.27048
E Pluribus Hugo (EPH),0.1109066666666666,0.6251066666666667,0.4424,0.0915866666666666,0.3123333333333333,0.2232266666666666,0.0071066666666666,0.0382533333333333,0.4370533333333333,0.1477066666666666,0.41796,0.3735333333333333,0.15032,0.3110666666666666,0.0951333333333333,0.0,0.2633333333333333
Random Serial Dictator,0.2753333333333333,0.57248,0.4433466666666666,0.2689333333333333,0.3700933333333333,0.31224,0.2634533333333333,0.2634666666666667,0.4444266666666667,0.2858666666666666,0.4178133333333333,0.38928,0.2776266666666667,0.3448666666666666,0.27048,0.2633333333333333,0.0
NN-all,0.0429126666666666,0.6353700000000002,0.442926,0.0825046666666666,0.297554,0.2039406666666666,0.0890646666666666,0.109836,0.4091339999999999,0.191306,0.4379153333333334,0.34583,0.1807913333333333,0.2896006666666667,0.145928,0.0924139999999999,0.270566
