Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.6666666666666666,0.44656,0.05072,0.2424933333333333,0.09356,0.0803066666666666,0.0803066666666666,0.4274933333333333,0.0803066666666666,0.4620266666666666,0.3979066666666667,0.1700533333333333,0.1972933333333333,0.0882533333333333,0.0803066666666666,0.20344
Max Violations Committee,0.6666666666666666,0.0,0.44296,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.48104,0.6666666666666666,0.4183866666666667,0.4955333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Random Choice,0.44656,0.44296,0.0,0.4465333333333333,0.44592,0.44708,0.44648,0.44648,0.4437066666666667,0.44648,0.44508,0.4439066666666666,0.4456933333333333,0.4460133333333333,0.4463733333333333,0.44648,0.44592
Borda ranking,0.05072,0.6666666666666666,0.4465333333333333,0.0,0.21732,0.0949466666666666,0.0788933333333333,0.0788933333333333,0.4490933333333333,0.0788933333333333,0.4398666666666667,0.41912,0.1651733333333333,0.2266,0.0770533333333333,0.0788933333333333,0.2024133333333333
Plurality ranking,0.2424933333333333,0.6666666666666666,0.44592,0.21732,0.0,0.2232266666666666,0.23664,0.23664,0.6,0.23664,0.33352,0.56956,0.1976666666666666,0.3333333333333333,0.21276,0.23664,0.2220533333333333
STV,0.09356,0.6666666666666666,0.44708,0.0949466666666666,0.2232266666666666,0.0,0.1032933333333333,0.1032933333333333,0.4438133333333333,0.1032933333333333,0.4443333333333333,0.4136133333333333,0.1719066666666666,0.2217733333333333,0.10348,0.1032933333333333,0.20444
Approval Voting (AV),0.0803066666666666,0.6666666666666666,0.44648,0.0788933333333333,0.23664,0.1032933333333333,0.0,0.0,0.4331733333333333,0.0,0.4548133333333333,0.4032533333333333,0.1581066666666666,0.2081866666666666,0.03604,0.0,0.1993066666666666
Proportional Approval Voting (PAV),0.0803066666666666,0.6666666666666666,0.44648,0.0788933333333333,0.23664,0.1032933333333333,0.0,0.0,0.4331733333333333,0.0,0.4548133333333333,0.4032533333333333,0.1581066666666666,0.2081866666666666,0.03604,0.0,0.1993066666666666
Approval Chamberlin-Courant (CC),0.4274933333333333,0.48104,0.4437066666666667,0.4490933333333333,0.6,0.4438133333333333,0.4331733333333333,0.4331733333333333,0.0,0.4331733333333333,0.6666666666666666,0.03804,0.4635466666666666,0.3339333333333333,0.4523866666666666,0.4331733333333333,0.44428
Lexicographic Chamberlin-Courant (lex-CC),0.0803066666666666,0.6666666666666666,0.44648,0.0788933333333333,0.23664,0.1032933333333333,0.0,0.0,0.4331733333333333,0.0,0.4548133333333333,0.4032533333333333,0.1581066666666666,0.2081866666666666,0.03604,0.0,0.1993066666666666
Sequential Approval Chamberlin-Courant (seq-CC),0.4620266666666666,0.4183866666666667,0.44508,0.4398666666666667,0.33352,0.4443333333333333,0.4548133333333333,0.4548133333333333,0.6666666666666666,0.4548133333333333,0.0,0.6476533333333333,0.4298666666666667,0.60008,0.4363866666666666,0.4548133333333333,0.4443466666666666
Monroe's Approval Rule (Monroe),0.3979066666666667,0.4955333333333333,0.4439066666666666,0.41912,0.56956,0.4136133333333333,0.4032533333333333,0.4032533333333333,0.03804,0.4032533333333333,0.6476533333333333,0.0,0.4344,0.3302666666666666,0.4221333333333333,0.4032533333333333,0.4232
Greedy Monroe,0.1700533333333333,0.6666666666666666,0.4456933333333333,0.1651733333333333,0.1976666666666666,0.1719066666666666,0.1581066666666666,0.1581066666666666,0.4635466666666666,0.1581066666666666,0.4298666666666667,0.4344,0.0,0.2391733333333333,0.1541733333333333,0.1581066666666666,0.2121066666666666
Minimax Approval Voting (MAV),0.1972933333333333,0.6666666666666666,0.4460133333333333,0.2266,0.3333333333333333,0.2217733333333333,0.2081866666666666,0.2081866666666666,0.3339333333333333,0.2081866666666666,0.60008,0.3302666666666666,0.2391733333333333,0.0,0.2324533333333333,0.2081866666666666,0.2208533333333333
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0882533333333333,0.6666666666666666,0.4463733333333333,0.0770533333333333,0.21276,0.10348,0.03604,0.03604,0.4523866666666666,0.03604,0.4363866666666666,0.4221333333333333,0.1541733333333333,0.2324533333333333,0.0,0.03604,0.1990666666666666
E Pluribus Hugo (EPH),0.0803066666666666,0.6666666666666666,0.44648,0.0788933333333333,0.23664,0.1032933333333333,0.0,0.0,0.4331733333333333,0.0,0.4548133333333333,0.4032533333333333,0.1581066666666666,0.2081866666666666,0.03604,0.0,0.1993066666666666
Random Serial Dictator,0.20344,0.6666666666666666,0.44592,0.2024133333333333,0.2220533333333333,0.20444,0.1993066666666666,0.1993066666666666,0.44428,0.1993066666666666,0.4443466666666666,0.4232,0.2121066666666666,0.2208533333333333,0.1990666666666666,0.1993066666666666,0.0
NN-all,0.0001393333333333,0.6666666666666666,0.4465660000000001,0.0508206666666666,0.2426326666666667,0.093608,0.0803253333333333,0.0803253333333333,0.4273806666666665,0.0803253333333333,0.4621546666666664,0.3977953333333333,0.1700986666666666,0.1971653333333332,0.0883133333333333,0.0803253333333333,0.20346
NN-root,0.1192966348648756,0.6666660013572312,0.4440095538434925,0.1383983340651737,0.3111625617074501,0.1464499088526073,0.1268212845794579,0.1268212845794579,0.3582112490519341,0.1268212845794579,0.5227056804119596,0.3335721794206485,0.2015767833619416,0.130779210410762,0.1520065732572219,0.1268212845794579,0.2070190145436642
