Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.3333333333333333,0.2749333333333333,0.05644,0.1994266666666666,0.1377333333333333,0.07488,0.07488,0.2699733333333333,0.07488,0.28228,0.2696666666666666,0.1332933333333333,0.2699733333333333,0.0772133333333333,0.07488,0.1829866666666666
Max Violations Committee,0.3333333333333333,0.0,0.2781733333333333,0.3332533333333333,0.3310133333333333,0.3328,0.33192,0.33192,0.2896,0.33192,0.2651466666666666,0.28964,0.3284533333333333,0.2896,0.3317733333333333,0.33192,0.3241066666666666
Random Choice,0.2749333333333333,0.2781733333333333,0.0,0.27536,0.2762266666666667,0.27596,0.2756,0.2756,0.2781466666666666,0.2756,0.27744,0.2780933333333333,0.27644,0.2781466666666666,0.2756666666666666,0.2756,0.27708
Borda ranking,0.05644,0.3332533333333333,0.27536,0.0,0.17804,0.1130666666666666,0.0844666666666666,0.0844666666666666,0.2774266666666666,0.0844666666666666,0.2753466666666667,0.27712,0.13132,0.2774266666666666,0.08412,0.0844666666666666,0.1814266666666666
Plurality ranking,0.1994266666666666,0.3310133333333333,0.2762266666666667,0.17804,0.0,0.1238533333333333,0.2198533333333333,0.2198533333333333,0.28576,0.2198533333333333,0.2662933333333333,0.28556,0.2280133333333333,0.28576,0.21868,0.2198533333333333,0.24536
STV,0.1377333333333333,0.3328,0.27596,0.1130666666666666,0.1238533333333333,0.0,0.1728666666666666,0.1728666666666666,0.27604,0.1728666666666666,0.2769066666666667,0.2757333333333333,0.19108,0.27604,0.1728666666666666,0.1728666666666666,0.2157466666666666
Approval Voting (AV),0.07488,0.33192,0.2756,0.0844666666666666,0.2198533333333333,0.1728666666666666,0.0,0.0,0.27556,0.0,0.2782,0.2752533333333333,0.1114133333333333,0.27556,0.0155066666666666,0.0,0.1741333333333333
Proportional Approval Voting (PAV),0.07488,0.33192,0.2756,0.0844666666666666,0.2198533333333333,0.1728666666666666,0.0,0.0,0.27556,0.0,0.2782,0.2752533333333333,0.1114133333333333,0.27556,0.0155066666666666,0.0,0.1741333333333333
Approval Chamberlin-Courant (CC),0.2699733333333333,0.2896,0.2781466666666666,0.2774266666666666,0.28576,0.27604,0.27556,0.27556,0.0,0.27556,0.3333333333333333,0.0003066666666666,0.2872666666666666,0.0,0.2807066666666666,0.27556,0.2767466666666666
Lexicographic Chamberlin-Courant (lex-CC),0.07488,0.33192,0.2756,0.0844666666666666,0.2198533333333333,0.1728666666666666,0.0,0.0,0.27556,0.0,0.2782,0.2752533333333333,0.1114133333333333,0.27556,0.0155066666666666,0.0,0.1741333333333333
Sequential Approval Chamberlin-Courant (seq-CC),0.28228,0.2651466666666666,0.27744,0.2753466666666667,0.2662933333333333,0.2769066666666667,0.2782,0.2782,0.3333333333333333,0.2782,0.0,0.3332666666666666,0.2653466666666667,0.3333333333333333,0.2732,0.2782,0.2775066666666667
Monroe's Approval Rule (Monroe),0.2696666666666666,0.28964,0.2780933333333333,0.27712,0.28556,0.2757333333333333,0.2752533333333333,0.2752533333333333,0.0003066666666666,0.2752533333333333,0.3332666666666666,0.0,0.28696,0.0003066666666666,0.2804,0.2752533333333333,0.2764933333333333
Greedy Monroe,0.1332933333333333,0.3284533333333333,0.27644,0.13132,0.2280133333333333,0.19108,0.1114133333333333,0.1114133333333333,0.2872666666666666,0.1114133333333333,0.2653466666666667,0.28696,0.0,0.2872666666666666,0.1088266666666666,0.1114133333333333,0.1880266666666666
Minimax Approval Voting (MAV),0.2699733333333333,0.2896,0.2781466666666666,0.2774266666666666,0.28576,0.27604,0.27556,0.27556,0.0,0.27556,0.3333333333333333,0.0003066666666666,0.2872666666666666,0.0,0.2807066666666666,0.27556,0.2767466666666666
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0772133333333333,0.3317733333333333,0.2756666666666666,0.08412,0.21868,0.1728666666666666,0.0155066666666666,0.0155066666666666,0.2807066666666666,0.0155066666666666,0.2732,0.2804,0.1088266666666666,0.2807066666666666,0.0,0.0155066666666666,0.1744933333333333
E Pluribus Hugo (EPH),0.07488,0.33192,0.2756,0.0844666666666666,0.2198533333333333,0.1728666666666666,0.0,0.0,0.27556,0.0,0.2782,0.2752533333333333,0.1114133333333333,0.27556,0.0155066666666666,0.0,0.1741333333333333
Random Serial Dictator,0.1829866666666666,0.3241066666666666,0.27708,0.1814266666666666,0.24536,0.2157466666666666,0.1741333333333333,0.1741333333333333,0.2767466666666666,0.1741333333333333,0.2775066666666667,0.2764933333333333,0.1880266666666666,0.2767466666666666,0.1744933333333333,0.1741333333333333,0.0
NN-all,0.021588,0.3332773333333333,0.2753046666666666,0.0578739999999999,0.2055126666666666,0.1472593333333333,0.059308,0.059308,0.2716993333333334,0.059308,0.281406,0.2713926666666666,0.12526,0.2716993333333334,0.0623786666666666,0.059308,0.178694
