Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.3333333333333333,0.2776933333333333,0.06028,0.2092666666666666,0.1471066666666666,0.0884133333333333,0.0884133333333333,0.26964,0.0884133333333333,0.2838933333333333,0.2693866666666666,0.1435066666666666,0.26964,0.08984,0.0884133333333333,0.1899066666666666
Max Violations Committee,0.3333333333333333,0.0,0.27872,0.33304,0.3297866666666667,0.3325066666666667,0.3304533333333333,0.3304533333333333,0.2920133333333333,0.3304533333333333,0.2610533333333333,0.2920533333333333,0.3255866666666667,0.2920133333333333,0.3301333333333333,0.3304533333333333,0.3212933333333333
Random Choice,0.2776933333333333,0.27872,0.0,0.27756,0.27712,0.2768533333333333,0.2774266666666666,0.2774266666666666,0.2771066666666666,0.2774266666666666,0.2765866666666666,0.27712,0.2772533333333333,0.2771066666666666,0.2782,0.2774266666666666,0.2770533333333333
Borda ranking,0.06028,0.33304,0.27756,0.0,0.19208,0.1255066666666666,0.09008,0.09008,0.279,0.09008,0.2763866666666666,0.2787466666666666,0.1401333333333333,0.279,0.0895466666666666,0.09008,0.1878533333333333
Plurality ranking,0.2092666666666666,0.3297866666666667,0.27712,0.19208,0.0,0.12928,0.2328266666666666,0.2328266666666666,0.28584,0.2328266666666666,0.2655466666666666,0.2856933333333333,0.2419866666666666,0.28584,0.23184,0.2328266666666666,0.25548
STV,0.1471066666666666,0.3325066666666667,0.2768533333333333,0.1255066666666666,0.12928,0.0,0.18588,0.18588,0.27616,0.18588,0.2767733333333333,0.2759066666666667,0.2047866666666666,0.27616,0.1855866666666666,0.18588,0.2277333333333333
Approval Voting (AV),0.0884133333333333,0.3304533333333333,0.2774266666666666,0.09008,0.2328266666666666,0.18588,0.0,0.0,0.2749866666666666,0.0,0.27964,0.2747333333333333,0.1173466666666666,0.2749866666666666,0.0162933333333333,0.0,0.1795866666666666
Proportional Approval Voting (PAV),0.0884133333333333,0.3304533333333333,0.2774266666666666,0.09008,0.2328266666666666,0.18588,0.0,0.0,0.2749866666666666,0.0,0.27964,0.2747333333333333,0.1173466666666666,0.2749866666666666,0.0162933333333333,0.0,0.1795866666666666
Approval Chamberlin-Courant (CC),0.26964,0.2920133333333333,0.2771066666666666,0.279,0.28584,0.27616,0.2749866666666666,0.2749866666666666,0.0,0.2749866666666666,0.3333333333333333,0.0002533333333333,0.2877333333333333,0.0,0.2805333333333333,0.2749866666666666,0.2788533333333333
Lexicographic Chamberlin-Courant (lex-CC),0.0884133333333333,0.3304533333333333,0.2774266666666666,0.09008,0.2328266666666666,0.18588,0.0,0.0,0.2749866666666666,0.0,0.27964,0.2747333333333333,0.1173466666666666,0.2749866666666666,0.0162933333333333,0.0,0.1795866666666666
Sequential Approval Chamberlin-Courant (seq-CC),0.2838933333333333,0.2610533333333333,0.2765866666666666,0.2763866666666666,0.2655466666666666,0.2767733333333333,0.27964,0.27964,0.3333333333333333,0.27964,0.0,0.33328,0.2655733333333333,0.3333333333333333,0.2740933333333333,0.27964,0.27604
Monroe's Approval Rule (Monroe),0.2693866666666666,0.2920533333333333,0.27712,0.2787466666666666,0.2856933333333333,0.2759066666666667,0.2747333333333333,0.2747333333333333,0.0002533333333333,0.2747333333333333,0.33328,0.0,0.28748,0.0002533333333333,0.28028,0.2747333333333333,0.27864
Greedy Monroe,0.1435066666666666,0.3255866666666667,0.2772533333333333,0.1401333333333333,0.2419866666666666,0.2047866666666666,0.1173466666666666,0.1173466666666666,0.2877333333333333,0.1173466666666666,0.2655733333333333,0.28748,0.0,0.2877333333333333,0.1148666666666666,0.1173466666666666,0.1932933333333333
Minimax Approval Voting (MAV),0.26964,0.2920133333333333,0.2771066666666666,0.279,0.28584,0.27616,0.2749866666666666,0.2749866666666666,0.0,0.2749866666666666,0.3333333333333333,0.0002533333333333,0.2877333333333333,0.0,0.2805333333333333,0.2749866666666666,0.2788533333333333
Method of Equal Shares (aka Rule X) with Phragmén phase,0.08984,0.3301333333333333,0.2782,0.0895466666666666,0.23184,0.1855866666666666,0.0162933333333333,0.0162933333333333,0.2805333333333333,0.0162933333333333,0.2740933333333333,0.28028,0.1148666666666666,0.2805333333333333,0.0,0.0162933333333333,0.1784133333333333
E Pluribus Hugo (EPH),0.0884133333333333,0.3304533333333333,0.2774266666666666,0.09008,0.2328266666666666,0.18588,0.0,0.0,0.2749866666666666,0.0,0.27964,0.2747333333333333,0.1173466666666666,0.2749866666666666,0.0162933333333333,0.0,0.1795866666666666
Random Serial Dictator,0.1899066666666666,0.3212933333333333,0.2770533333333333,0.1878533333333333,0.25548,0.2277333333333333,0.1795866666666666,0.1795866666666666,0.2788533333333333,0.1795866666666666,0.27604,0.27864,0.1932933333333333,0.2788533333333333,0.1784133333333333,0.1795866666666666,0.0
NN-all,0.0307393333333333,0.3332433333333333,0.2769699999999999,0.06218,0.2182893333333333,0.1605706666666666,0.0665713333333333,0.0665713333333333,0.2717106666666666,0.0665713333333333,0.2824333333333333,0.2714573333333333,0.1326399999999999,0.2717106666666666,0.0685086666666666,0.0665713333333333,0.1844633333333334
