Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0,0.2857142857142857,0.2441371428571428,0.0539542857142857,0.1760914285714285,0.1036457142857142,0.1746857142857142,0.1746857142857142,0.1746857142857142,0.1746857142857142,0.1760914285714285,0.1746857142857142,0.1760914285714285,0.2384,0.1760914285714285,0.1746857142857142,0.2233371428571428,0.2034857142857143,0.1167771428571428,0.0871314285714285,0.1147314285714285,0.0265485714285714,0.0226971428571428,0.1287885714285714,0.036,0.0271885714285714,0.0268342857142857,0.0252914285714285,0.1407885714285714,0.0279885714285714,0.0296457142857142,0.0174628571428571,0.0312914285714285,0.0345257142857142,0.0246514285714285,0.0267885714285714,0.0309942857142857,0.0268,0.0312914285714285,0.03264,0.0269142857142857,0.0332228571428571,0.0268114285714285,0.0176,0.02656,0.0268114285714285,0.0341828571428571,0.0341828571428571,0.0150742857142857,0.0150742857142857,0.0264342857142857,0.0274057142857142,0.01992,0.0248342857142857,0.0256571428571428,0.0298514285714285,0.0265485714285714,0.02568,0.0241028571428571,0.0153828571428571,0.0272114285714285,0.0724685714285714,0.1145828571428571,0.0562857142857142,0.06024,0.0189714285714285
Max Violations Committee,0.2857142857142857,0.0,0.2452342857142857,0.2848914285714286,0.2773257142857143,0.2840114285714286,0.2782857142857143,0.2782857142857143,0.2782857142857143,0.2782857142857143,0.2773257142857143,0.2782857142857143,0.2773257142857143,0.2536914285714285,0.2773257142857143,0.2782857142857143,0.2607657142857142,0.2739885714285714,0.2827314285714286,0.2836571428571428,0.2831428571428571,0.2855428571428571,0.2854285714285714,0.2826285714285714,0.2853371428571428,0.2856114285714285,0.2856114285714285,0.2855885714285714,0.2545828571428571,0.2856,0.2854057142857142,0.2855771428571428,0.2852228571428571,0.2769028571428571,0.2855314285714285,0.2854628571428571,0.2853257142857143,0.2854514285714286,0.2852228571428571,0.28512,0.2854971428571428,0.2844914285714285,0.2854171428571428,0.2853942857142857,0.2855771428571428,0.2855542857142857,0.28032,0.28032,0.2856342857142857,0.2856342857142857,0.2856228571428571,0.28528,0.2855085714285714,0.28536,0.2853485714285714,0.28544,0.2855771428571428,0.2847542857142857,0.2856,0.2855885714285714,0.2855428571428571,0.2842057142857143,0.2817028571428571,0.2848685714285714,0.2845828571428571,0.2855314285714285
Random Choice,0.2441371428571428,0.2452342857142857,0.0,0.2443771428571428,0.2454742857142857,0.2443085714285714,0.2456571428571428,0.2456571428571428,0.2456571428571428,0.2456571428571428,0.2454742857142857,0.2456571428571428,0.2454742857142857,0.24376,0.2454742857142857,0.2456571428571428,0.24416,0.2441828571428571,0.2445485714285714,0.24432,0.2446742857142857,0.2441257142857142,0.2443771428571428,0.2450742857142857,0.2438857142857143,0.2442514285714285,0.2442514285714285,0.2442628571428571,0.2445371428571428,0.2442057142857142,0.2444685714285714,0.2441485714285714,0.2443085714285714,0.2446857142857142,0.2441485714285714,0.2442742857142857,0.2443428571428571,0.2442628571428571,0.2443085714285714,0.2444457142857143,0.2441371428571428,0.2443542857142857,0.2442742857142857,0.2445714285714285,0.2442628571428571,0.2442857142857142,0.2447085714285714,0.2447085714285714,0.2442628571428571,0.2442628571428571,0.2441942857142857,0.2440685714285714,0.2441828571428571,0.24448,0.2443657142857143,0.2444114285714285,0.2442628571428571,0.2444,0.2441371428571428,0.2439885714285714,0.2443771428571428,0.2443428571428571,0.2443314285714285,0.2445485714285714,0.2443428571428571,0.2442057142857142
Borda ranking,0.0539542857142857,0.2848914285714286,0.2443771428571428,0.0,0.1996914285714285,0.13048,0.1990057142857142,0.1990057142857142,0.1990057142857142,0.1990057142857142,0.1996914285714285,0.1990057142857142,0.1996914285714285,0.2455314285714285,0.1996914285714285,0.1990057142857142,0.2300114285714285,0.1887771428571428,0.1321485714285714,0.0619885714285714,0.1346628571428571,0.0548685714285714,0.05776,0.1545714285714285,0.0546285714285714,0.0528228571428571,0.05256,0.0521485714285714,0.1498971428571428,0.0532571428571428,0.0548685714285714,0.0375314285714285,0.0533257142857142,0.0643771428571428,0.0515542857142857,0.0522857142857142,0.0540342857142857,0.0524228571428571,0.0533257142857142,0.0541257142857142,0.0525142857142857,0.0555771428571428,0.0525142857142857,0.0533028571428571,0.0522057142857142,0.0522171428571428,0.0634628571428571,0.0634628571428571,0.0476914285714285,0.0476914285714285,0.0526171428571428,0.0583885714285714,0.0340457142857142,0.0589828571428571,0.0584114285714285,0.0549942857142857,0.0521942857142857,0.0646628571428571,0.0516342857142857,0.0410971428571428,0.05064,0.0679657142857142,0.1137942857142857,0.0474742857142857,0.0972457142857142,0.0584342857142857
Plurality ranking,0.1760914285714285,0.2773257142857143,0.2454742857142857,0.1996914285714285,0.0,0.1345371428571428,0.0277371428571428,0.0277371428571428,0.0277371428571428,0.0277371428571428,0.0,0.0277371428571428,0.0,0.24832,0.0,0.0277371428571428,0.2024228571428571,0.2410742857142857,0.1713028571428571,0.2164457142857143,0.1291314285714285,0.1724571428571428,0.1694057142857143,0.10144,0.1814971428571428,0.1748114285714285,0.17488,0.1749371428571428,0.2016342857142857,0.1748114285714285,0.1737371428571428,0.1805714285714285,0.1753028571428571,0.1811542857142857,0.17544,0.1752228571428571,0.1753485714285714,0.1752228571428571,0.1753028571428571,0.17544,0.1750514285714285,0.1759657142857142,0.1753257142857142,0.1757028571428571,0.1752,0.1751771428571428,0.18,0.18,0.17768,0.17768,0.1750057142857143,0.1652457142857142,0.1814285714285714,0.1678057142857142,0.16888,0.1735428571428571,0.1752114285714285,0.1508114285714285,0.1753257142857142,0.1792228571428571,0.1756914285714285,0.2019085714285714,0.19352,0.1903085714285714,0.1472,0.1674971428571428
STV,0.1036457142857142,0.2840114285714286,0.2443085714285714,0.13048,0.1345371428571428,0.0,0.1324457142857142,0.1324457142857142,0.1324457142857142,0.1324457142857142,0.1345371428571428,0.1324457142857142,0.1345371428571428,0.2391657142857143,0.1345371428571428,0.1324457142857142,0.2135428571428571,0.2188228571428571,0.1314742857142857,0.1559085714285714,0.0366742857142857,0.1073371428571428,0.1005142857142857,0.0877257142857142,0.1177485714285714,0.1104,0.1102628571428571,0.1097257142857142,0.1792,0.1105714285714285,0.1085257142857142,0.1095428571428571,0.1114057142857142,0.1181142857142857,0.1096,0.1103771428571428,0.11232,0.1103885714285714,0.1114057142857142,0.1123428571428571,0.1103542857142857,0.1130514285714285,0.1104685714285714,0.10792,0.1103542857142857,0.1103885714285714,0.1173257142857142,0.1173257142857142,0.1084342857142857,0.1084342857142857,0.11,0.1067428571428571,0.1103428571428571,0.0977714285714285,0.0988914285714285,0.1080228571428571,0.1103542857142857,0.10408,0.1095085714285714,0.10856,0.11088,0.14088,0.1512,0.1277257142857142,0.0748,0.1004
Approval Voting (AV),0.1746857142857142,0.2782857142857143,0.2456571428571428,0.1990057142857142,0.0277371428571428,0.1324457142857142,0.0,0.0,0.0,0.0,0.0277371428571428,0.0,0.0277371428571428,0.2396571428571428,0.0277371428571428,0.0,0.2020342857142857,0.2462628571428571,0.17224,0.2162514285714285,0.12936,0.1720457142857142,0.1689028571428571,0.1041028571428571,0.1811657142857143,0.1746742857142857,0.1747085714285714,0.1746171428571428,0.20648,0.17472,0.17368,0.1795085714285714,0.1754057142857142,0.1812914285714285,0.1751657142857142,0.1750514285714285,0.17544,0.1750514285714285,0.1754057142857142,0.1756685714285714,0.17488,0.1762514285714285,0.1751428571428571,0.1750971428571428,0.1749828571428571,0.1749485714285714,0.1802971428571428,0.1802971428571428,0.17664,0.17664,0.1748228571428571,0.16552,0.1804342857142857,0.1674285714285714,0.1687771428571428,0.1734285714285714,0.1749942857142857,0.1532914285714285,0.1749714285714285,0.1782857142857143,0.1754971428571428,0.2016114285714285,0.19712,0.1895885714285714,0.1464457142857143,0.1670857142857142
Proportional Approval Voting (PAV),0.1746857142857142,0.2782857142857143,0.2456571428571428,0.1990057142857142,0.0277371428571428,0.1324457142857142,0.0,0.0,0.0,0.0,0.0277371428571428,0.0,0.0277371428571428,0.2396571428571428,0.0277371428571428,0.0,0.2020342857142857,0.2462628571428571,0.17224,0.2162514285714285,0.12936,0.1720457142857142,0.1689028571428571,0.1041028571428571,0.1811657142857143,0.1746742857142857,0.1747085714285714,0.1746171428571428,0.20648,0.17472,0.17368,0.1795085714285714,0.1754057142857142,0.1812914285714285,0.1751657142857142,0.1750514285714285,0.17544,0.1750514285714285,0.1754057142857142,0.1756685714285714,0.17488,0.1762514285714285,0.1751428571428571,0.1750971428571428,0.1749828571428571,0.1749485714285714,0.1802971428571428,0.1802971428571428,0.17664,0.17664,0.1748228571428571,0.16552,0.1804342857142857,0.1674285714285714,0.1687771428571428,0.1734285714285714,0.1749942857142857,0.1532914285714285,0.1749714285714285,0.1782857142857143,0.1754971428571428,0.2016114285714285,0.19712,0.1895885714285714,0.1464457142857143,0.1670857142857142
Approval Chamberlin-Courant (CC),0.1746857142857142,0.2782857142857143,0.2456571428571428,0.1990057142857142,0.0277371428571428,0.1324457142857142,0.0,0.0,0.0,0.0,0.0277371428571428,0.0,0.0277371428571428,0.2396571428571428,0.0277371428571428,0.0,0.2020342857142857,0.2462628571428571,0.17224,0.2162514285714285,0.12936,0.1720457142857142,0.1689028571428571,0.1041028571428571,0.1811657142857143,0.1746742857142857,0.1747085714285714,0.1746171428571428,0.20648,0.17472,0.17368,0.1795085714285714,0.1754057142857142,0.1812914285714285,0.1751657142857142,0.1750514285714285,0.17544,0.1750514285714285,0.1754057142857142,0.1756685714285714,0.17488,0.1762514285714285,0.1751428571428571,0.1750971428571428,0.1749828571428571,0.1749485714285714,0.1802971428571428,0.1802971428571428,0.17664,0.17664,0.1748228571428571,0.16552,0.1804342857142857,0.1674285714285714,0.1687771428571428,0.1734285714285714,0.1749942857142857,0.1532914285714285,0.1749714285714285,0.1782857142857143,0.1754971428571428,0.2016114285714285,0.19712,0.1895885714285714,0.1464457142857143,0.1670857142857142
Lexicographic Chamberlin-Courant (lex-CC),0.1746857142857142,0.2782857142857143,0.2456571428571428,0.1990057142857142,0.0277371428571428,0.1324457142857142,0.0,0.0,0.0,0.0,0.0277371428571428,0.0,0.0277371428571428,0.2396571428571428,0.0277371428571428,0.0,0.2020342857142857,0.2462628571428571,0.17224,0.2162514285714285,0.12936,0.1720457142857142,0.1689028571428571,0.1041028571428571,0.1811657142857143,0.1746742857142857,0.1747085714285714,0.1746171428571428,0.20648,0.17472,0.17368,0.1795085714285714,0.1754057142857142,0.1812914285714285,0.1751657142857142,0.1750514285714285,0.17544,0.1750514285714285,0.1754057142857142,0.1756685714285714,0.17488,0.1762514285714285,0.1751428571428571,0.1750971428571428,0.1749828571428571,0.1749485714285714,0.1802971428571428,0.1802971428571428,0.17664,0.17664,0.1748228571428571,0.16552,0.1804342857142857,0.1674285714285714,0.1687771428571428,0.1734285714285714,0.1749942857142857,0.1532914285714285,0.1749714285714285,0.1782857142857143,0.1754971428571428,0.2016114285714285,0.19712,0.1895885714285714,0.1464457142857143,0.1670857142857142
