Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0,0.2857142857142857,0.2455542857142857,0.0505028571428571,0.1395657142857143,0.08632,0.1372,0.1372,0.1372,0.1372,0.1395657142857143,0.1372,0.1395657142857143,0.2160114285714285,0.1395657142857143,0.1372,0.1961828571428571,0.2073485714285714,0.1186171428571428,0.1137828571428571,0.0976685714285714,0.0322742857142857,0.0310857142857142,0.1011542857142857,0.0420114285714285,0.0329485714285714,0.0319428571428571,0.03032,0.1369371428571428,0.0342857142857142,0.0365142857142857,0.0235542857142857,0.0423771428571428,0.0469142857142857,0.0300914285714285,0.0324,0.0412571428571428,0.0326514285714285,0.0423771428571428,0.0441828571428571,0.0332342857142857,0.0456457142857142,0.0326857142857142,0.0268571428571428,0.03144,0.0328,0.0461142857142857,0.0461142857142857,0.0211314285714285,0.0211314285714285,0.03104,0.0370971428571428,0.0272342857142857,0.0330285714285714,0.0345942857142857,0.0369371428571428,0.0314171428571428,0.03568,0.0284228571428571,0.0221257142857142,0.0321028571428571,0.0787542857142857,0.1190742857142857,0.0561714285714285,0.0519885714285714,0.0263771428571428
Max Violations Committee,0.2857142857142857,0.0,0.2437257142857143,0.2838514285714286,0.2774628571428571,0.2839314285714285,0.2790057142857143,0.2790057142857143,0.2790057142857143,0.2790057142857143,0.2774628571428571,0.2790057142857143,0.2774628571428571,0.2566857142857143,0.2774628571428571,0.2790057142857143,0.2648114285714286,0.2738171428571428,0.2817942857142857,0.28176,0.2827085714285714,0.2846171428571428,0.2844342857142857,0.2814971428571428,0.2837714285714285,0.2846285714285714,0.2847885714285714,0.2846628571428571,0.2427771428571428,0.2844342857142857,0.2844571428571428,0.2849371428571428,0.2815314285714286,0.2672685714285714,0.2844914285714285,0.2841714285714286,0.2820228571428571,0.2833714285714285,0.2814971428571428,0.2806057142857143,0.2841028571428571,0.2754285714285714,0.2819657142857142,0.2830857142857143,0.2846514285714285,0.2843085714285714,0.2739657142857143,0.2739657142857143,0.2849942857142857,0.2849942857142857,0.2847657142857143,0.2836685714285714,0.2844914285714285,0.2842742857142857,0.28384,0.2843542857142857,0.2846514285714285,0.2832342857142857,0.2849257142857143,0.2849028571428571,0.2846285714285714,0.2822057142857143,0.2756342857142857,0.2838057142857143,0.2839771428571429,0.2847542857142857
Random Choice,0.2455542857142857,0.2437257142857143,0.0,0.2461942857142857,0.2459657142857143,0.2455314285714285,0.2462514285714285,0.2462514285714285,0.2462514285714285,0.2462514285714285,0.2459657142857143,0.2462514285714285,0.2459657142857143,0.2461371428571428,0.2459657142857143,0.2462514285714285,0.2460571428571428,0.24528,0.2455542857142857,0.2454857142857142,0.2452685714285714,0.2461371428571428,0.2457257142857143,0.2457028571428571,0.24592,0.2459085714285714,0.2460571428571428,0.2459885714285714,0.2453257142857142,0.2458057142857143,0.2458514285714285,0.2459771428571428,0.2459657142857143,0.2457371428571428,0.2462285714285714,0.2460457142857142,0.2457828571428571,0.2459885714285714,0.2460114285714285,0.2457942857142857,0.2459428571428571,0.2455885714285714,0.2459885714285714,0.2457942857142857,0.24592,0.2458742857142857,0.2458857142857143,0.2458857142857143,0.2460457142857142,0.2460457142857142,0.2460114285714285,0.2463085714285714,0.2460114285714285,0.2457485714285714,0.2456114285714285,0.2457485714285714,0.24592,0.2461714285714285,0.2460114285714285,0.2459771428571428,0.2460342857142857,0.2456571428571428,0.2452685714285714,0.2457828571428571,0.2457485714285714,0.2458514285714285
Borda ranking,0.0505028571428571,0.2838514285714286,0.2461942857142857,0.0,0.1495085714285714,0.1050514285714285,0.1495657142857142,0.1495657142857142,0.1495657142857142,0.1495657142857142,0.1495085714285714,0.1495657142857142,0.1495085714285714,0.22888,0.1495085714285714,0.1495657142857142,0.1988228571428571,0.1940571428571428,0.11984,0.0920114285714285,0.1078742857142857,0.0491085714285714,0.0520342857142857,0.1128457142857142,0.05176,0.04872,0.04752,0.0455428571428571,0.13992,0.0499428571428571,0.0507085714285714,0.0305371428571428,0.0522742857142857,0.0649485714285714,0.0433142857142857,0.0461828571428571,0.0528685714285714,0.04776,0.0522971428571428,0.05392,0.0476342857142857,0.05688,0.0484914285714285,0.0510057142857142,0.0456571428571428,0.0463428571428571,0.06256,0.06256,0.03928,0.03928,0.0480685714285714,0.0543542857142857,0.0233028571428571,0.0532342857142857,0.0532,0.0510285714285714,0.0456571428571428,0.0581714285714285,0.0428342857142857,0.03232,0.0424228571428571,0.0706514285714285,0.1129028571428571,0.04248,0.0734628571428571,0.0481942857142857
Plurality ranking,0.1395657142857143,0.2774628571428571,0.2459657142857143,0.1495085714285714,0.0,0.1107085714285714,0.0300571428571428,0.0300571428571428,0.0300571428571428,0.0300571428571428,0.0,0.0300571428571428,0.0,0.2320114285714285,0.0,0.0300571428571428,0.1816571428571428,0.2279314285714285,0.1515542857142857,0.1905828571428571,0.1053485714285714,0.1307428571428571,0.1301942857142857,0.0841485714285714,0.1441828571428571,0.1358285714285714,0.1354857142857143,0.1352228571428571,0.1728,0.1362514285714285,0.1334514285714285,0.1383542857142857,0.1370057142857143,0.1448914285714285,0.1362171428571428,0.1358514285714285,0.1374171428571428,0.1361485714285714,0.1369371428571428,0.1376571428571428,0.13568,0.13976,0.1366057142857142,0.1375542857142857,0.1350742857142857,0.1349485714285714,0.1426057142857142,0.1426057142857142,0.13664,0.13664,0.1358171428571428,0.1162971428571428,0.1388342857142857,0.1285028571428571,0.1296342857142857,0.1326628571428571,0.1350628571428571,0.1039657142857142,0.1358971428571428,0.1381028571428571,0.1353028571428571,0.1603542857142857,0.1613485714285714,0.1473942857142857,0.1145942857142857,0.1293028571428571
STV,0.08632,0.2839314285714285,0.2455314285714285,0.1050514285714285,0.1107085714285714,0.0,0.1082971428571428,0.1082971428571428,0.1082971428571428,0.1082971428571428,0.1107085714285714,0.1082971428571428,0.1107085714285714,0.2224342857142857,0.1107085714285714,0.1082971428571428,0.1887085714285714,0.2152914285714285,0.1281028571428571,0.1539085714285714,0.0354171428571428,0.088,0.08088,0.0767771428571428,0.1028457142857142,0.0923085714285714,0.0917714285714285,0.0910857142857142,0.1645028571428571,0.0934057142857142,0.08736,0.0892914285714285,0.0984914285714285,0.1061485714285714,0.0916114285714285,0.0927314285714285,0.0991771428571428,0.0934285714285714,0.0985028571428571,0.1000457142857142,0.0928685714285714,0.1021942857142857,0.0941142857142857,0.0924685714285714,0.0920342857142857,0.0926514285714285,0.10472,0.10472,0.0884571428571428,0.0884571428571428,0.0912,0.0910628571428571,0.0914171428571428,0.0786285714285714,0.0809828571428571,0.0862285714285714,0.0920228571428571,0.0891542857142857,0.0908571428571428,0.0890742857142857,0.0920114285714285,0.1203085714285714,0.1391885714285714,0.1066514285714285,0.0680685714285714,0.0827428571428571
Approval Voting (AV),0.1372,0.2790057142857143,0.2462514285714285,0.1495657142857142,0.0300571428571428,0.1082971428571428,0.0,0.0,0.0,0.0,0.0300571428571428,0.0,0.0300571428571428,0.2227885714285714,0.0300571428571428,0.0,0.1818514285714285,0.23408,0.1526057142857143,0.1916685714285714,0.1066857142857142,0.1316685714285714,0.1307314285714285,0.0886171428571428,0.1449142857142857,0.1368571428571428,0.13624,0.13576,0.1795428571428571,0.1373371428571428,0.1343657142857142,0.1378514285714285,0.1396,0.1469485714285714,0.1370971428571428,0.1372342857142857,0.1398057142857142,0.1377828571428571,0.1395771428571428,0.1405257142857142,0.1370628571428571,0.1425142857142857,0.1382057142857143,0.1385942857142857,0.1362285714285714,0.1364,0.1452571428571428,0.1452571428571428,0.1365714285714285,0.1365714285714285,0.1367085714285714,0.1209371428571428,0.1386285714285714,0.1292,0.1309714285714285,0.1335771428571428,0.1362171428571428,0.11176,0.1362171428571428,0.1377371428571428,0.13648,0.1605028571428571,0.1676457142857143,0.1476228571428571,0.1139542857142857,0.1294285714285714
Proportional Approval Voting (PAV),0.1372,0.2790057142857143,0.2462514285714285,0.1495657142857142,0.0300571428571428,0.1082971428571428,0.0,0.0,0.0,0.0,0.0300571428571428,0.0,0.0300571428571428,0.2227885714285714,0.0300571428571428,0.0,0.1818514285714285,0.23408,0.1526057142857143,0.1916685714285714,0.1066857142857142,0.1316685714285714,0.1307314285714285,0.0886171428571428,0.1449142857142857,0.1368571428571428,0.13624,0.13576,0.1795428571428571,0.1373371428571428,0.1343657142857142,0.1378514285714285,0.1396,0.1469485714285714,0.1370971428571428,0.1372342857142857,0.1398057142857142,0.1377828571428571,0.1395771428571428,0.1405257142857142,0.1370628571428571,0.1425142857142857,0.1382057142857143,0.1385942857142857,0.1362285714285714,0.1364,0.1452571428571428,0.1452571428571428,0.1365714285714285,0.1365714285714285,0.1367085714285714,0.1209371428571428,0.1386285714285714,0.1292,0.1309714285714285,0.1335771428571428,0.1362171428571428,0.11176,0.1362171428571428,0.1377371428571428,0.13648,0.1605028571428571,0.1676457142857143,0.1476228571428571,0.1139542857142857,0.1294285714285714
Approval Chamberlin-Courant (CC),0.1372,0.2790057142857143,0.2462514285714285,0.1495657142857142,0.0300571428571428,0.1082971428571428,0.0,0.0,0.0,0.0,0.0300571428571428,0.0,0.0300571428571428,0.2227885714285714,0.0300571428571428,0.0,0.1818514285714285,0.23408,0.1526057142857143,0.1916685714285714,0.1066857142857142,0.1316685714285714,0.1307314285714285,0.0886171428571428,0.1449142857142857,0.1368571428571428,0.13624,0.13576,0.1795428571428571,0.1373371428571428,0.1343657142857142,0.1378514285714285,0.1396,0.1469485714285714,0.1370971428571428,0.1372342857142857,0.1398057142857142,0.1377828571428571,0.1395771428571428,0.1405257142857142,0.1370628571428571,0.1425142857142857,0.1382057142857143,0.1385942857142857,0.1362285714285714,0.1364,0.1452571428571428,0.1452571428571428,0.1365714285714285,0.1365714285714285,0.1367085714285714,0.1209371428571428,0.1386285714285714,0.1292,0.1309714285714285,0.1335771428571428,0.1362171428571428,0.11176,0.1362171428571428,0.1377371428571428,0.13648,0.1605028571428571,0.1676457142857143,0.1476228571428571,0.1139542857142857,0.1294285714285714
Lexicographic Chamberlin-Courant (lex-CC),0.1372,0.2790057142857143,0.2462514285714285,0.1495657142857142,0.0300571428571428,0.1082971428571428,0.0,0.0,0.0,0.0,0.0300571428571428,0.0,0.0300571428571428,0.2227885714285714,0.0300571428571428,0.0,0.1818514285714285,0.23408,0.1526057142857143,0.1916685714285714,0.1066857142857142,0.1316685714285714,0.1307314285714285,0.0886171428571428,0.1449142857142857,0.1368571428571428,0.13624,0.13576,0.1795428571428571,0.1373371428571428,0.1343657142857142,0.1378514285714285,0.1396,0.1469485714285714,0.1370971428571428,0.1372342857142857,0.1398057142857142,0.1377828571428571,0.1395771428571428,0.1405257142857142,0.1370628571428571,0.1425142857142857,0.1382057142857143,0.1385942857142857,0.1362285714285714,0.1364,0.1452571428571428,0.1452571428571428,0.1365714285714285,0.1365714285714285,0.1367085714285714,0.1209371428571428,0.1386285714285714,0.1292,0.1309714285714285,0.1335771428571428,0.1362171428571428,0.11176,0.1362171428571428,0.1377371428571428,0.13648,0.1605028571428571,0.1676457142857143,0.1476228571428571,0.1139542857142857,0.1294285714285714
