Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0,0.2857142857142857,0.244,0.00552,0.0923771428571428,0.1127657142857142,0.0919542857142857,0.0919542857142857,0.0919542857142857,0.0919542857142857,0.0923771428571428,0.0919542857142857,0.0923771428571428,0.2449257142857142,0.0923771428571428,0.0919542857142857,0.1965142857142857,0.22864,0.02816,0.0093714285714285,0.1208685714285714,0.0047885714285714,0.00336,0.0342742857142857,0.0048114285714285,0.0048114285714285,0.0048114285714285,0.0048114285714285,0.0714057142857142,0.0048114285714285,0.0048114285714285,0.0026971428571428,0.0048114285714285,0.0048114285714285,0.0048114285714285,0.0048114285714285,0.0048114285714285,0.0048114285714285,0.0048114285714285,0.0048114285714285,0.0048114285714285,0.0048114285714285,0.0048114285714285,0.0022742857142857,0.0048114285714285,0.0048114285714285,0.0048114285714285,0.0048114285714285,0.0026285714285714,0.0026285714285714,0.0048114285714285,0.0044571428571428,0.0026971428571428,0.00336,0.0033714285714285,0.0048114285714285,0.0048114285714285,0.0024,0.0048114285714285,0.0026971428571428,0.0048114285714285,0.0248342857142857,0.0881257142857142,0.0189257142857142,0.0023657142857142,0.0023771428571428
Max Violations Committee,0.2857142857142857,0.0,0.2460114285714285,0.2857028571428571,0.2851314285714286,0.2852342857142857,0.2852914285714286,0.2852914285714286,0.2852914285714286,0.2852914285714286,0.2851314285714286,0.2852914285714286,0.2851314285714286,0.2472457142857143,0.2851314285714286,0.2852914285714286,0.2811657142857143,0.2806285714285714,0.2855885714285714,0.2856914285714286,0.2849485714285714,0.2857142857142857,0.2857142857142857,0.2854971428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2738057142857142,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2849142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2854514285714286,0.2854514285714286,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2856228571428571,0.2850971428571429,0.2856457142857143,0.2857142857142857,0.2857142857142857
Random Choice,0.244,0.2460114285714285,0.0,0.2441714285714285,0.2444685714285714,0.2441942857142857,0.24432,0.24432,0.24432,0.24432,0.2444685714285714,0.24432,0.2444685714285714,0.2444457142857143,0.2444685714285714,0.24432,0.2442971428571428,0.2446971428571428,0.2440914285714285,0.24392,0.2443542857142857,0.2440114285714285,0.2440114285714285,0.2441942857142857,0.2439885714285714,0.2439885714285714,0.2439885714285714,0.2439885714285714,0.2447771428571428,0.2439885714285714,0.2439885714285714,0.24408,0.2439885714285714,0.24416,0.2439885714285714,0.2439885714285714,0.2439885714285714,0.2439885714285714,0.2439885714285714,0.2439885714285714,0.2439885714285714,0.2439885714285714,0.2439885714285714,0.2440571428571428,0.2439885714285714,0.2439885714285714,0.2441371428571428,0.2441371428571428,0.2440685714285714,0.2440685714285714,0.2439885714285714,0.2440685714285714,0.24408,0.2440114285714285,0.244,0.2439885714285714,0.2439885714285714,0.2439428571428571,0.2439885714285714,0.24408,0.2439885714285714,0.2442057142857142,0.24368,0.2438742857142857,0.2439085714285714,0.2439085714285714
Borda ranking,0.00552,0.2857028571428571,0.2441714285714285,0.0,0.0956914285714285,0.1167428571428571,0.0953942857142857,0.0953942857142857,0.0953942857142857,0.0953942857142857,0.0956914285714285,0.0953942857142857,0.0956914285714285,0.2457142857142857,0.0956914285714285,0.0953942857142857,0.19672,0.2277371428571428,0.0259314285714285,0.0053828571428571,0.1226171428571428,0.0049828571428571,0.0061257142857142,0.03512,0.0049371428571428,0.0049371428571428,0.0049371428571428,0.0049371428571428,0.0714742857142857,0.0049371428571428,0.0049371428571428,0.0028228571428571,0.0049371428571428,0.0069828571428571,0.0049371428571428,0.0049371428571428,0.0049371428571428,0.0049371428571428,0.0049371428571428,0.0049371428571428,0.0049371428571428,0.0049371428571428,0.0049371428571428,0.0050514285714285,0.0049371428571428,0.0049371428571428,0.0068228571428571,0.0068228571428571,0.0033485714285714,0.0033485714285714,0.0049371428571428,0.0053142857142857,0.0028228571428571,0.0061257142857142,0.0061028571428571,0.0049371428571428,0.0049371428571428,0.0068685714285714,0.0049371428571428,0.0028228571428571,0.0049371428571428,0.0224457142857142,0.0853257142857142,0.0177942857142857,0.0069714285714285,0.0068228571428571
Plurality ranking,0.0923771428571428,0.2851314285714286,0.2444685714285714,0.0956914285714285,0.0,0.0809714285714285,0.0252571428571428,0.0252571428571428,0.0252571428571428,0.0252571428571428,0.0,0.0252571428571428,0.0,0.2491085714285714,0.0,0.0252571428571428,0.1913485714285714,0.2230285714285714,0.0941942857142857,0.09952,0.08136,0.0924571428571428,0.0910514285714285,0.0710742857142857,0.0925028571428571,0.0925028571428571,0.0925028571428571,0.0925028571428571,0.1299885714285714,0.0925028571428571,0.0925028571428571,0.0940228571428571,0.0925028571428571,0.0941714285714285,0.0925028571428571,0.0925028571428571,0.0925028571428571,0.0925028571428571,0.0925028571428571,0.0925028571428571,0.0925028571428571,0.0925028571428571,0.0925028571428571,0.0924228571428571,0.0925028571428571,0.0925028571428571,0.0940228571428571,0.0940228571428571,0.0944685714285714,0.0944685714285714,0.0925028571428571,0.0921257142857142,0.0940228571428571,0.0910514285714285,0.0910857142857142,0.0925028571428571,0.0925028571428571,0.0899771428571428,0.0925028571428571,0.0940228571428571,0.0925028571428571,0.0947885714285714,0.1164114285714285,0.08896,0.0900914285714285,0.0900914285714285
STV,0.1127657142857142,0.2852342857142857,0.2441942857142857,0.1167428571428571,0.0809714285714285,0.0,0.0780457142857142,0.0780457142857142,0.0780457142857142,0.0780457142857142,0.0809714285714285,0.0780457142857142,0.0809714285714285,0.2410285714285714,0.0809714285714285,0.0780457142857142,0.1953714285714285,0.2352,0.1170857142857142,0.1205714285714285,0.0300228571428571,0.1153942857142857,0.1139085714285714,0.0899771428571428,0.1153714285714285,0.1153714285714285,0.1153714285714285,0.1153714285714285,0.1498857142857143,0.1153714285714285,0.1153714285714285,0.1148571428571428,0.1153714285714285,0.1161942857142857,0.1153714285714285,0.1153714285714285,0.1153714285714285,0.1153714285714285,0.1153714285714285,0.1153714285714285,0.1153714285714285,0.1153714285714285,0.1153714285714285,0.1139542857142857,0.1153714285714285,0.1153714285714285,0.1161485714285714,0.1161485714285714,0.1152,0.1152,0.1153714285714285,0.1150742857142857,0.1148571428571428,0.1139085714285714,0.1139314285714285,0.1153714285714285,0.1153714285714285,0.1130628571428571,0.1153714285714285,0.1148571428571428,0.1153714285714285,0.1183657142857142,0.1423428571428571,0.11536,0.1127085714285714,0.1129828571428571
Approval Voting (AV),0.0919542857142857,0.2852914285714286,0.24432,0.0953942857142857,0.0252571428571428,0.0780457142857142,0.0,0.0,0.0,0.0,0.0252571428571428,0.0,0.0252571428571428,0.2414057142857142,0.0252571428571428,0.0,0.1904685714285714,0.2332228571428571,0.0950285714285714,0.0994742857142857,0.0824914285714285,0.0925257142857142,0.0910857142857142,0.0733714285714285,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.1336914285714285,0.0925257142857142,0.0925257142857142,0.0937714285714285,0.0925257142857142,0.0940571428571428,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0921942857142857,0.0925257142857142,0.0925257142857142,0.09392,0.09392,0.0942514285714285,0.0942514285714285,0.0925257142857142,0.0921485714285714,0.0937714285714285,0.0910857142857142,0.0910971428571428,0.0925257142857142,0.0925257142857142,0.0901257142857142,0.0925257142857142,0.0937714285714285,0.0925257142857142,0.0953828571428571,0.1270285714285714,0.0892914285714285,0.0898742857142857,0.0901257142857142
Proportional Approval Voting (PAV),0.0919542857142857,0.2852914285714286,0.24432,0.0953942857142857,0.0252571428571428,0.0780457142857142,0.0,0.0,0.0,0.0,0.0252571428571428,0.0,0.0252571428571428,0.2414057142857142,0.0252571428571428,0.0,0.1904685714285714,0.2332228571428571,0.0950285714285714,0.0994742857142857,0.0824914285714285,0.0925257142857142,0.0910857142857142,0.0733714285714285,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.1336914285714285,0.0925257142857142,0.0925257142857142,0.0937714285714285,0.0925257142857142,0.0940571428571428,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0921942857142857,0.0925257142857142,0.0925257142857142,0.09392,0.09392,0.0942514285714285,0.0942514285714285,0.0925257142857142,0.0921485714285714,0.0937714285714285,0.0910857142857142,0.0910971428571428,0.0925257142857142,0.0925257142857142,0.0901257142857142,0.0925257142857142,0.0937714285714285,0.0925257142857142,0.0953828571428571,0.1270285714285714,0.0892914285714285,0.0898742857142857,0.0901257142857142
Approval Chamberlin-Courant (CC),0.0919542857142857,0.2852914285714286,0.24432,0.0953942857142857,0.0252571428571428,0.0780457142857142,0.0,0.0,0.0,0.0,0.0252571428571428,0.0,0.0252571428571428,0.2414057142857142,0.0252571428571428,0.0,0.1904685714285714,0.2332228571428571,0.0950285714285714,0.0994742857142857,0.0824914285714285,0.0925257142857142,0.0910857142857142,0.0733714285714285,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.1336914285714285,0.0925257142857142,0.0925257142857142,0.0937714285714285,0.0925257142857142,0.0940571428571428,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0921942857142857,0.0925257142857142,0.0925257142857142,0.09392,0.09392,0.0942514285714285,0.0942514285714285,0.0925257142857142,0.0921485714285714,0.0937714285714285,0.0910857142857142,0.0910971428571428,0.0925257142857142,0.0925257142857142,0.0901257142857142,0.0925257142857142,0.0937714285714285,0.0925257142857142,0.0953828571428571,0.1270285714285714,0.0892914285714285,0.0898742857142857,0.0901257142857142
Lexicographic Chamberlin-Courant (lex-CC),0.0919542857142857,0.2852914285714286,0.24432,0.0953942857142857,0.0252571428571428,0.0780457142857142,0.0,0.0,0.0,0.0,0.0252571428571428,0.0,0.0252571428571428,0.2414057142857142,0.0252571428571428,0.0,0.1904685714285714,0.2332228571428571,0.0950285714285714,0.0994742857142857,0.0824914285714285,0.0925257142857142,0.0910857142857142,0.0733714285714285,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.1336914285714285,0.0925257142857142,0.0925257142857142,0.0937714285714285,0.0925257142857142,0.0940571428571428,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0925257142857142,0.0921942857142857,0.0925257142857142,0.0925257142857142,0.09392,0.09392,0.0942514285714285,0.0942514285714285,0.0925257142857142,0.0921485714285714,0.0937714285714285,0.0910857142857142,0.0910971428571428,0.0925257142857142,0.0925257142857142,0.0901257142857142,0.0925257142857142,0.0937714285714285,0.0925257142857142,0.0953828571428571,0.1270285714285714,0.0892914285714285,0.0898742857142857,0.0901257142857142
