Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.0,0.2857142857142857,0.2442285714285714,0.0451314285714285,0.0769714285714285,0.0236457142857142,0.0700571428571428,0.0700571428571428,0.0700571428571428,0.0700571428571428,0.0769714285714285,0.0700571428571428,0.0769714285714285,0.2352457142857142,0.0769714285714285,0.0700571428571428,0.1732342857142857,0.2077485714285714,0.0883314285714285,0.2077485714285714,0.05424,0.0463542857142857,0.0479428571428571,0.0554857142857142,0.0548457142857142,0.0477828571428571,0.0459085714285714,0.0409257142857142,0.1800571428571428,0.0502857142857142,0.0502971428571428,0.0303085714285714,0.0605142857142857,0.0681371428571428,0.0446171428571428,0.0497485714285714,0.0609257142857142,0.0497485714285714,0.0605142857142857,0.0643085714285714,0.0497485714285714,0.0643085714285714,0.0497485714285714,0.0370971428571428,0.0475771428571428,0.0475771428571428,0.0643085714285714,0.0643085714285714,0.0314285714285714,0.0314285714285714,0.0467085714285714,0.0448571428571428,0.0353257142857142,0.0479428571428571,0.0506285714285714,0.0502971428571428,0.0475771428571428,0.0402628571428571,0.0413257142857142,0.0303085714285714,0.0475771428571428,0.08784,0.2035085714285714,0.0675771428571428,0.0316342857142857,0.0336114285714285
Max Violations Committee,0.2857142857142857,0.0,0.2448342857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2589257142857142,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.22784,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2647657142857142,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
Random Choice,0.2442285714285714,0.2448342857142857,0.0,0.2441485714285714,0.2442857142857142,0.2438057142857143,0.24424,0.24424,0.24424,0.24424,0.2442857142857142,0.24424,0.2442857142857142,0.2456342857142857,0.2442857142857142,0.24424,0.2462971428571428,0.2446514285714285,0.2444914285714285,0.2446514285714285,0.2440685714285714,0.2444228571428571,0.2440457142857142,0.24392,0.2445028571428571,0.2443314285714285,0.2443314285714285,0.2441028571428571,0.2446285714285714,0.2443314285714285,0.2440571428571428,0.2441142857142857,0.2446628571428571,0.24432,0.2442171428571428,0.2444,0.2443428571428571,0.2444,0.2446628571428571,0.2445028571428571,0.2444,0.24456,0.2444,0.24464,0.2443085714285714,0.2443085714285714,0.2442057142857142,0.2442057142857142,0.2441485714285714,0.2441485714285714,0.2444342857142857,0.2441942857142857,0.2442171428571428,0.2440457142857142,0.2439085714285714,0.2440571428571428,0.2443085714285714,0.2442742857142857,0.2440914285714285,0.2441142857142857,0.2443085714285714,0.2445028571428571,0.2445257142857143,0.2443771428571428,0.244,0.2438171428571428
Borda ranking,0.0451314285714285,0.2857142857142857,0.2441485714285714,0.0,0.0662514285714285,0.05208,0.06736,0.06736,0.06736,0.06736,0.0662514285714285,0.06736,0.0662514285714285,0.2464914285714285,0.0662514285714285,0.06736,0.1720228571428571,0.1856571428571428,0.0722285714285714,0.1856571428571428,0.0488914285714285,0.0380342857142857,0.04344,0.0485371428571428,0.0472571428571428,0.0401714285714285,0.0372342857142857,0.0271314285714285,0.1672342857142857,0.0438742857142857,0.04336,0.0148228571428571,0.0426057142857142,0.0694628571428571,0.0331314285714285,0.0382628571428571,0.04664,0.0382628571428571,0.0426057142857142,0.0468,0.0382628571428571,0.0484457142857142,0.0382628571428571,0.0450057142857142,0.0346742857142857,0.0346742857142857,0.0538628571428571,0.0538628571428571,0.0185257142857142,0.0185257142857142,0.0406285714285714,0.04008,0.0098057142857142,0.04344,0.04448,0.04336,0.0346742857142857,0.0401028571428571,0.02584,0.0148228571428571,0.0346742857142857,0.0717371428571428,0.1812114285714285,0.0493028571428571,0.0391885714285714,0.0368685714285714
Plurality ranking,0.0769714285714285,0.2857142857142857,0.2442857142857142,0.0662514285714285,0.0,0.06944,0.0318857142857142,0.0318857142857142,0.0318857142857142,0.0318857142857142,0.0,0.0318857142857142,0.0,0.2490628571428571,0.0,0.0318857142857142,0.1700457142857142,0.1798628571428571,0.1333828571428571,0.1798628571428571,0.0579542857142857,0.05984,0.0630742857142857,0.0641942857142857,0.0890628571428571,0.0711428571428571,0.06984,0.0683428571428571,0.1750285714285714,0.0726971428571428,0.0650742857142857,0.06744,0.0728228571428571,0.0959085714285714,0.0700342857142857,0.0706057142857142,0.0748228571428571,0.0706057142857142,0.0728228571428571,0.0749485714285714,0.0706057142857142,0.0758857142857142,0.0706057142857142,0.0743885714285714,0.0691885714285714,0.0691885714285714,0.0803542857142857,0.0803542857142857,0.0676457142857142,0.0676457142857142,0.07096,0.0416685714285714,0.0670057142857142,0.0630742857142857,0.0674514285714285,0.0650742857142857,0.0691885714285714,0.0367085714285714,0.0684114285714285,0.06744,0.0691885714285714,0.1328914285714285,0.1754628571428571,0.11248,0.0476914285714285,0.0558285714285714
STV,0.0236457142857142,0.2857142857142857,0.2438057142857143,0.05208,0.06944,0.0,0.06288,0.06288,0.06288,0.06288,0.06944,0.06288,0.06944,0.23752,0.06944,0.06288,0.1726971428571428,0.2052914285714285,0.1015085714285714,0.2052914285714285,0.0411314285714285,0.0503885714285714,0.04368,0.0446742857142857,0.0652685714285714,0.0529028571428571,0.0514742857142857,0.0487428571428571,0.1795085714285714,0.0552,0.0460342857142857,0.0395428571428571,0.0612571428571428,0.0715085714285714,0.0498628571428571,0.0539428571428571,0.0638628571428571,0.0539428571428571,0.0612571428571428,0.0648457142857142,0.0539428571428571,0.0654742857142857,0.0539428571428571,0.0447428571428571,0.0524228571428571,0.0524228571428571,0.0660914285714285,0.0660914285714285,0.0384914285714285,0.0384914285714285,0.0513942857142857,0.04528,0.04296,0.04368,0.0468,0.0460342857142857,0.0524228571428571,0.0408114285714285,0.0493942857142857,0.0395428571428571,0.0524228571428571,0.1010171428571428,0.2010628571428571,0.0810742857142857,0.03216,0.0293485714285714
Approval Voting (AV),0.0700571428571428,0.2857142857142857,0.24424,0.06736,0.0318857142857142,0.06288,0.0,0.0,0.0,0.0,0.0318857142857142,0.0,0.0318857142857142,0.2398628571428571,0.0318857142857142,0.0,0.1700342857142857,0.2013828571428571,0.1343542857142857,0.2013828571428571,0.0648571428571428,0.0636571428571428,0.0696114285714285,0.0710971428571428,0.0917714285714285,0.0762742857142857,0.0744571428571428,0.0714285714285714,0.1852228571428571,0.0785942857142857,0.07176,0.0676228571428571,0.0811885714285714,0.0994057142857142,0.0748,0.0767542857142857,0.0830742857142857,0.0767542857142857,0.0811885714285714,0.0839085714285714,0.0767542857142857,0.0852342857142857,0.0767542857142857,0.0772571428571428,0.0743428571428571,0.0743428571428571,0.0889828571428571,0.0889828571428571,0.06848,0.06848,0.0759085714285714,0.05432,0.0672457142857142,0.0696114285714285,0.0739885714285714,0.07176,0.0743428571428571,0.0495771428571428,0.0715314285714285,0.0676228571428571,0.0743428571428571,0.1338628571428571,0.1971428571428571,0.1132457142857142,0.0473485714285714,0.0593828571428571
Proportional Approval Voting (PAV),0.0700571428571428,0.2857142857142857,0.24424,0.06736,0.0318857142857142,0.06288,0.0,0.0,0.0,0.0,0.0318857142857142,0.0,0.0318857142857142,0.2398628571428571,0.0318857142857142,0.0,0.1700342857142857,0.2013828571428571,0.1343542857142857,0.2013828571428571,0.0648571428571428,0.0636571428571428,0.0696114285714285,0.0710971428571428,0.0917714285714285,0.0762742857142857,0.0744571428571428,0.0714285714285714,0.1852228571428571,0.0785942857142857,0.07176,0.0676228571428571,0.0811885714285714,0.0994057142857142,0.0748,0.0767542857142857,0.0830742857142857,0.0767542857142857,0.0811885714285714,0.0839085714285714,0.0767542857142857,0.0852342857142857,0.0767542857142857,0.0772571428571428,0.0743428571428571,0.0743428571428571,0.0889828571428571,0.0889828571428571,0.06848,0.06848,0.0759085714285714,0.05432,0.0672457142857142,0.0696114285714285,0.0739885714285714,0.07176,0.0743428571428571,0.0495771428571428,0.0715314285714285,0.0676228571428571,0.0743428571428571,0.1338628571428571,0.1971428571428571,0.1132457142857142,0.0473485714285714,0.0593828571428571
Approval Chamberlin-Courant (CC),0.0700571428571428,0.2857142857142857,0.24424,0.06736,0.0318857142857142,0.06288,0.0,0.0,0.0,0.0,0.0318857142857142,0.0,0.0318857142857142,0.2398628571428571,0.0318857142857142,0.0,0.1700342857142857,0.2013828571428571,0.1343542857142857,0.2013828571428571,0.0648571428571428,0.0636571428571428,0.0696114285714285,0.0710971428571428,0.0917714285714285,0.0762742857142857,0.0744571428571428,0.0714285714285714,0.1852228571428571,0.0785942857142857,0.07176,0.0676228571428571,0.0811885714285714,0.0994057142857142,0.0748,0.0767542857142857,0.0830742857142857,0.0767542857142857,0.0811885714285714,0.0839085714285714,0.0767542857142857,0.0852342857142857,0.0767542857142857,0.0772571428571428,0.0743428571428571,0.0743428571428571,0.0889828571428571,0.0889828571428571,0.06848,0.06848,0.0759085714285714,0.05432,0.0672457142857142,0.0696114285714285,0.0739885714285714,0.07176,0.0743428571428571,0.0495771428571428,0.0715314285714285,0.0676228571428571,0.0743428571428571,0.1338628571428571,0.1971428571428571,0.1132457142857142,0.0473485714285714,0.0593828571428571
Lexicographic Chamberlin-Courant (lex-CC),0.0700571428571428,0.2857142857142857,0.24424,0.06736,0.0318857142857142,0.06288,0.0,0.0,0.0,0.0,0.0318857142857142,0.0,0.0318857142857142,0.2398628571428571,0.0318857142857142,0.0,0.1700342857142857,0.2013828571428571,0.1343542857142857,0.2013828571428571,0.0648571428571428,0.0636571428571428,0.0696114285714285,0.0710971428571428,0.0917714285714285,0.0762742857142857,0.0744571428571428,0.0714285714285714,0.1852228571428571,0.0785942857142857,0.07176,0.0676228571428571,0.0811885714285714,0.0994057142857142,0.0748,0.0767542857142857,0.0830742857142857,0.0767542857142857,0.0811885714285714,0.0839085714285714,0.0767542857142857,0.0852342857142857,0.0767542857142857,0.0772571428571428,0.0743428571428571,0.0743428571428571,0.0889828571428571,0.0889828571428571,0.06848,0.06848,0.0759085714285714,0.05432,0.0672457142857142,0.0696114285714285,0.0739885714285714,0.07176,0.0743428571428571,0.0495771428571428,0.0715314285714285,0.0676228571428571,0.0743428571428571,0.1338628571428571,0.1971428571428571,0.1132457142857142,0.0473485714285714,0.0593828571428571
