Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.7164342857142857,0.4885371428571428,0.28024,0.3999542857142857,0.3454742857142857,0.3062742857142857,0.3344228571428571,0.3793028571428571,0.38488,0.4183542857142857,0.3788114285714286,0.3950514285714285,0.2566171428571429,0.34536,0.31664,0.4616
Max Violations Committee,0.7164342857142857,0.0,0.4909142857142857,0.5442742857142857,0.4958628571428571,0.5521028571428571,0.5687428571428571,0.5464342857142858,0.5661485714285714,0.5252114285714286,0.47768,0.5664685714285714,0.4936342857142857,0.7805714285714286,0.5356228571428572,0.5569942857142857,0.5016685714285715
Random Choice,0.4885371428571428,0.4909142857142857,0.0,0.4903657142857143,0.4883542857142857,0.4898285714285714,0.4910971428571428,0.4912114285714286,0.4912914285714285,0.4892457142857143,0.4910514285714286,0.4913828571428571,0.4911314285714285,0.4893828571428571,0.4906857142857143,0.4904457142857142,0.48912
Borda ranking,0.28024,0.5442742857142857,0.4903657142857143,0.0,0.2960685714285714,0.25688,0.1819314285714285,0.20816,0.3368342857142857,0.2961485714285714,0.308,0.33592,0.2787428571428571,0.4806057142857143,0.2183542857142857,0.1875542857142857,0.4429371428571428
Plurality ranking,0.3999542857142857,0.4958628571428571,0.4883542857142857,0.2960685714285714,0.0,0.1877028571428571,0.3516914285714285,0.3557942857142857,0.4154628571428571,0.39232,0.3928914285714285,0.4149714285714285,0.37872,0.5153371428571428,0.3590857142857143,0.35152,0.4633942857142857
STV,0.3454742857142857,0.5521028571428571,0.4898285714285714,0.25688,0.1877028571428571,0.0,0.2995657142857142,0.3034285714285714,0.3694171428571428,0.3485828571428571,0.3632457142857143,0.3687428571428571,0.3475885714285714,0.4577942857142857,0.3100342857142857,0.3000228571428571,0.4561485714285714
Approval Voting (AV),0.3062742857142857,0.5687428571428571,0.4910971428571428,0.1819314285714285,0.3516914285714285,0.2995657142857142,0.0,0.1242285714285714,0.3037485714285714,0.25808,0.2816685714285714,0.3026171428571428,0.2445142857142857,0.4477942857142857,0.1476571428571428,0.0418514285714285,0.4341942857142857
Proportional Approval Voting (PAV),0.3344228571428571,0.5464342857142858,0.4912114285714286,0.20816,0.3557942857142857,0.3034285714285714,0.1242285714285714,0.0,0.2488571428571428,0.1742971428571428,0.21752,0.2479428571428571,0.2083428571428571,0.4588571428571428,0.0742514285714285,0.1049828571428571,0.4393142857142857
Approval Chamberlin-Courant (CC),0.3793028571428571,0.5661485714285714,0.4912914285714285,0.3368342857142857,0.4154628571428571,0.3694171428571428,0.3037485714285714,0.2488571428571428,0.0,0.1196685714285714,0.2580114285714285,0.0032228571428571,0.30168,0.40032,0.2586857142857143,0.2950285714285714,0.4570285714285714
Lexicographic Chamberlin-Courant (lex-CC),0.38488,0.5252114285714286,0.4892457142857143,0.2961485714285714,0.39232,0.3485828571428571,0.25808,0.1742971428571428,0.1196685714285714,0.0,0.1859657142857143,0.1201828571428571,0.2497942857142857,0.4519657142857143,0.1873828571428571,0.2449371428571428,0.4506514285714286
Sequential Approval Chamberlin-Courant (seq-CC),0.4183542857142857,0.47768,0.4910514285714286,0.308,0.3928914285714285,0.3632457142857143,0.2816685714285714,0.21752,0.2580114285714285,0.1859657142857143,0.0,0.2586971428571428,0.2229485714285714,0.5101142857142857,0.1883085714285714,0.26888,0.4539657142857143
Monroe's Approval Rule (Monroe),0.3788114285714286,0.5664685714285714,0.4913828571428571,0.33592,0.4149714285714285,0.3687428571428571,0.3026171428571428,0.2479428571428571,0.0032228571428571,0.1201828571428571,0.2586971428571428,0.0,0.3010742857142857,0.4008914285714285,0.2578628571428571,0.2939085714285714,0.4565828571428571
Greedy Monroe,0.3950514285714285,0.4936342857142857,0.4911314285714285,0.2787428571428571,0.37872,0.3475885714285714,0.2445142857142857,0.2083428571428571,0.30168,0.2497942857142857,0.2229485714285714,0.3010742857142857,0.0,0.5055428571428572,0.1961028571428571,0.2337257142857143,0.4496228571428571
Minimax Approval Voting (MAV),0.2566171428571429,0.7805714285714286,0.4893828571428571,0.4806057142857143,0.5153371428571428,0.4577942857142857,0.4477942857142857,0.4588571428571428,0.40032,0.4519657142857143,0.5101142857142857,0.4008914285714285,0.5055428571428572,0.0,0.4697257142857143,0.4576342857142857,0.4865028571428571
Method of Equal Shares (aka Rule X) with Phragmén phase,0.34536,0.5356228571428572,0.4906857142857143,0.2183542857142857,0.3590857142857143,0.3100342857142857,0.1476571428571428,0.0742514285714285,0.2586857142857143,0.1873828571428571,0.1883085714285714,0.2578628571428571,0.1961028571428571,0.4697257142857143,0.0,0.1318971428571428,0.4405714285714285
E Pluribus Hugo (EPH),0.31664,0.5569942857142857,0.4904457142857142,0.1875542857142857,0.35152,0.3000228571428571,0.0418514285714285,0.1049828571428571,0.2950285714285714,0.2449371428571428,0.26888,0.2939085714285714,0.2337257142857143,0.4576342857142857,0.1318971428571428,0.0,0.4358628571428571
Random Serial Dictator,0.4616,0.5016685714285715,0.48912,0.4429371428571428,0.4633942857142857,0.4561485714285714,0.4341942857142857,0.4393142857142857,0.4570285714285714,0.4506514285714286,0.4539657142857143,0.4565828571428571,0.4496228571428571,0.4865028571428571,0.4405714285714285,0.4358628571428571,0.0
NN-all,0.0564908571428571,0.7244874285714286,0.4886982857142857,0.2851171428571428,0.4013108571428572,0.3464102857142856,0.3086628571428572,0.3361805714285714,0.3793519999999999,0.3856422857142856,0.420416,0.3788314285714285,0.3975645714285715,0.2486662857142856,0.3469617142857143,0.3187891428571428,0.4615714285714285
NN-root,0.2481680229474729,0.0046761748889408,0.4892191358200701,0.4893445941707486,0.4985030537703084,0.4817258506931575,0.4646292990870052,0.4831287031598396,0.4395148183420108,0.488831355463426,0.541980074932851,0.439651681997297,0.5294114292557469,0.0370786452779187,0.4940892008873329,0.4764908158784652,0.4887173024173541
