Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.55384,0.4088,0.1099314285714285,0.3652228571428571,0.3088342857142857,0.0459657142857142,0.0994742857142857,0.3981714285714285,0.1285028571428571,0.4173028571428571,0.3964914285714285,0.16728,0.2436114285714285,0.1257371428571428,0.0513371428571428,0.2431428571428571
Max Violations Committee,0.55384,0.0,0.4087085714285714,0.5356,0.4623542857142857,0.4900342857142857,0.5408228571428572,0.5361714285714285,0.4652457142857142,0.5329257142857143,0.3367771428571428,0.4656114285714285,0.52496,0.53856,0.5331885714285715,0.5396228571428572,0.5255657142857143
Random Choice,0.4088,0.4087085714285714,0.0,0.40944,0.4065485714285714,0.4059657142857142,0.4082628571428571,0.4094514285714286,0.4085028571428571,0.4089714285714286,0.4085142857142857,0.4085142857142857,0.4096457142857143,0.4091542857142857,0.4090742857142857,0.4081942857142857,0.4080342857142857
Borda ranking,0.1099314285714285,0.5356,0.40944,0.0,0.3983657142857142,0.3347771428571429,0.0681942857142857,0.01656,0.4083542857142857,0.0188,0.4107314285714286,0.4066742857142857,0.0953257142857142,0.21672,0.0163085714285714,0.0617028571428571,0.2405028571428571
Plurality ranking,0.3652228571428571,0.4623542857142857,0.4065485714285714,0.3983657142857142,0.0,0.1584914285714285,0.3791085714285714,0.3963085714285714,0.4326742857142857,0.4095542857142857,0.3792,0.4318057142857143,0.3995428571428571,0.4199542857142857,0.40792,0.3791085714285714,0.3955542857142857
STV,0.3088342857142857,0.4900342857142857,0.4059657142857142,0.3347771428571429,0.1584914285714285,0.0,0.3232457142857143,0.33432,0.3937942857142857,0.3441257142857143,0.4170171428571428,0.39296,0.3552114285714285,0.3665942857142857,0.3428342857142857,0.3228114285714286,0.3676685714285714
Approval Voting (AV),0.0459657142857142,0.5408228571428572,0.4082628571428571,0.0681942857142857,0.3791085714285714,0.3232457142857143,0.0,0.0575085714285714,0.4007085714285714,0.0865371428571428,0.4170285714285714,0.3990285714285714,0.1375085714285714,0.2314285714285714,0.0839314285714285,0.0064914285714285,0.2377942857142857
Proportional Approval Voting (PAV),0.0994742857142857,0.5361714285714285,0.4094514285714286,0.01656,0.3963085714285714,0.33432,0.0575085714285714,0.0,0.4072571428571429,0.0290285714285714,0.4115657142857143,0.4055771428571428,0.1003085714285714,0.2189942857142857,0.0265371428571428,0.0510171428571428,0.2400114285714285
Approval Chamberlin-Courant (CC),0.3981714285714285,0.4652457142857142,0.4085028571428571,0.4083542857142857,0.4326742857142857,0.3937942857142857,0.4007085714285714,0.4072571428571429,0.0,0.4076914285714286,0.5714285714285714,0.00176,0.4473142857142857,0.2883771428571428,0.4083314285714285,0.4028685714285714,0.4057257142857143
Lexicographic Chamberlin-Courant (lex-CC),0.1285028571428571,0.5329257142857143,0.4089714285714286,0.0188,0.4095542857142857,0.3441257142857143,0.0865371428571428,0.0290285714285714,0.4076914285714286,0.0,0.41096,0.4068571428571428,0.0862857142857142,0.2110514285714285,0.0032914285714285,0.0800457142857142,0.24328
Sequential Approval Chamberlin-Courant (seq-CC),0.4173028571428571,0.3367771428571428,0.4085142857142857,0.4107314285714286,0.3792,0.4170171428571428,0.4170285714285714,0.4115657142857143,0.5714285714285714,0.41096,0.0,0.5711771428571428,0.36984,0.50576,0.4105371428571429,0.4153142857142857,0.4106057142857143
Monroe's Approval Rule (Monroe),0.3964914285714285,0.4656114285714285,0.4085142857142857,0.4066742857142857,0.4318057142857143,0.39296,0.3990285714285714,0.4055771428571428,0.00176,0.4068571428571428,0.5711771428571428,0.0,0.44648,0.2873257142857143,0.4068,0.4011885714285714,0.4046971428571428
Greedy Monroe,0.16728,0.52496,0.4096457142857143,0.0953257142857142,0.3995428571428571,0.3552114285714285,0.1375085714285714,0.1003085714285714,0.4473142857142857,0.0862857142857142,0.36984,0.44648,0.0,0.2908342857142857,0.0863314285714285,0.1333028571428571,0.2523885714285714
Minimax Approval Voting (MAV),0.2436114285714285,0.53856,0.4091542857142857,0.21672,0.4199542857142857,0.3665942857142857,0.2314285714285714,0.2189942857142857,0.2883771428571428,0.2110514285714285,0.50576,0.2873257142857143,0.2908342857142857,0.0,0.2125028571428571,0.2306171428571428,0.2744114285714286
Method of Equal Shares (aka Rule X) with Phragmén phase,0.1257371428571428,0.5331885714285715,0.4090742857142857,0.0163085714285714,0.40792,0.3428342857142857,0.0839314285714285,0.0265371428571428,0.4083314285714285,0.0032914285714285,0.4105371428571429,0.4068,0.0863314285714285,0.2125028571428571,0.0,0.07744,0.24264
E Pluribus Hugo (EPH),0.0513371428571428,0.5396228571428572,0.4081942857142857,0.0617028571428571,0.3791085714285714,0.3228114285714286,0.0064914285714285,0.0510171428571428,0.4028685714285714,0.0800457142857142,0.4153142857142857,0.4011885714285714,0.1333028571428571,0.2306171428571428,0.07744,0.0,0.2393028571428571
