Unnamed: 0,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.2857142857142857,0.2438285714285714,0.1058171428571428,0.1869257142857142,0.1643771428571428,0.1782742857142857,0.1782742857142857,0.2084342857142857,0.1782742857142857,0.2572114285714286,0.2084342857142857,0.226,0.2084342857142857,0.1844457142857143,0.1782742857142857,0.2351428571428571
Max Violations Committee,0.2857142857142857,0.0,0.2456,0.2834171428571428,0.28568,0.28568,0.26808,0.26808,0.2649142857142857,0.26808,0.2238628571428571,0.2649142857142857,0.2528114285714286,0.2649142857142857,0.26432,0.26808,0.2497371428571428
Random Choice,0.2438285714285714,0.2456,0.0,0.2444228571428571,0.24416,0.24408,0.2451428571428571,0.2451428571428571,0.24496,0.2451428571428571,0.2438057142857143,0.24496,0.2450057142857143,0.24496,0.2447657142857142,0.2451428571428571,0.2440342857142857
Borda ranking,0.1058171428571428,0.2834171428571428,0.2444228571428571,0.0,0.1739085714285714,0.1567542857142857,0.1603885714285714,0.1603885714285714,0.2477371428571428,0.1603885714285714,0.2395771428571428,0.2477371428571428,0.2103085714285714,0.2477371428571428,0.1590057142857142,0.1603885714285714,0.2313485714285714
Plurality ranking,0.1869257142857142,0.28568,0.24416,0.1739085714285714,0.0,0.0531657142857142,0.2307428571428571,0.2307428571428571,0.2566514285714286,0.2307428571428571,0.2300228571428571,0.2566514285714286,0.2347657142857142,0.2566514285714286,0.2263885714285714,0.2307428571428571,0.2437828571428571
STV,0.1643771428571428,0.28568,0.24408,0.1567542857142857,0.0531657142857142,0.0,0.2230971428571428,0.2230971428571428,0.2456,0.2230971428571428,0.2432457142857143,0.2456,0.23472,0.2456,0.2225028571428571,0.2230971428571428,0.2421371428571428
Approval Voting (AV),0.1782742857142857,0.26808,0.2451428571428571,0.1603885714285714,0.2307428571428571,0.2230971428571428,0.0,0.0,0.2346742857142857,0.0,0.2474742857142857,0.2346742857142857,0.1896342857142857,0.2346742857142857,0.0573028571428571,0.0,0.2234285714285714
Proportional Approval Voting (PAV),0.1782742857142857,0.26808,0.2451428571428571,0.1603885714285714,0.2307428571428571,0.2230971428571428,0.0,0.0,0.2346742857142857,0.0,0.2474742857142857,0.2346742857142857,0.1896342857142857,0.2346742857142857,0.0573028571428571,0.0,0.2234285714285714
Approval Chamberlin-Courant (CC),0.2084342857142857,0.2649142857142857,0.24496,0.2477371428571428,0.2566514285714286,0.2456,0.2346742857142857,0.2346742857142857,0.0,0.2346742857142857,0.2857142857142857,0.0,0.2616114285714285,0.0,0.2525485714285714,0.2346742857142857,0.2435542857142857
Lexicographic Chamberlin-Courant (lex-CC),0.1782742857142857,0.26808,0.2451428571428571,0.1603885714285714,0.2307428571428571,0.2230971428571428,0.0,0.0,0.2346742857142857,0.0,0.2474742857142857,0.2346742857142857,0.1896342857142857,0.2346742857142857,0.0573028571428571,0.0,0.2234285714285714
Sequential Approval Chamberlin-Courant (seq-CC),0.2572114285714286,0.2238628571428571,0.2438057142857143,0.2395771428571428,0.2300228571428571,0.2432457142857143,0.2474742857142857,0.2474742857142857,0.2857142857142857,0.2474742857142857,0.0,0.2857142857142857,0.21496,0.2857142857142857,0.2262971428571428,0.2474742857142857,0.2396114285714285
Monroe's Approval Rule (Monroe),0.2084342857142857,0.2649142857142857,0.24496,0.2477371428571428,0.2566514285714286,0.2456,0.2346742857142857,0.2346742857142857,0.0,0.2346742857142857,0.2857142857142857,0.0,0.2616114285714285,0.0,0.2525485714285714,0.2346742857142857,0.2435542857142857
Greedy Monroe,0.226,0.2528114285714286,0.2450057142857143,0.2103085714285714,0.2347657142857142,0.23472,0.1896342857142857,0.1896342857142857,0.2616114285714285,0.1896342857142857,0.21496,0.2616114285714285,0.0,0.2616114285714285,0.1800228571428571,0.1896342857142857,0.2333028571428571
Minimax Approval Voting (MAV),0.2084342857142857,0.2649142857142857,0.24496,0.2477371428571428,0.2566514285714286,0.2456,0.2346742857142857,0.2346742857142857,0.0,0.2346742857142857,0.2857142857142857,0.0,0.2616114285714285,0.0,0.2525485714285714,0.2346742857142857,0.2435542857142857
Method of Equal Shares (aka Rule X) with Phragmén phase,0.1844457142857143,0.26432,0.2447657142857142,0.1590057142857142,0.2263885714285714,0.2225028571428571,0.0573028571428571,0.0573028571428571,0.2525485714285714,0.0573028571428571,0.2262971428571428,0.2525485714285714,0.1800228571428571,0.2525485714285714,0.0,0.0573028571428571,0.2220914285714285
E Pluribus Hugo (EPH),0.1782742857142857,0.26808,0.2451428571428571,0.1603885714285714,0.2307428571428571,0.2230971428571428,0.0,0.0,0.2346742857142857,0.0,0.2474742857142857,0.2346742857142857,0.1896342857142857,0.2346742857142857,0.0573028571428571,0.0,0.2234285714285714
