Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.049870571725986676,0.003393078120633907,0.6168216837651191,0.0,0.0,0.0,0.0,0.0,0.02810267055207377,0.0,0.0,0.0,0.0,0.0
NN-1,0.050530763396517256,0.005468843559139356,0.6190970420342501,0.0,0.0,0.0,0.0,0.0,0.03233403856133488,0.0,0.0,0.0,0.0,0.0
NN-2,0.05076413347540249,0.004550716538261945,0.6240868627998882,0.0,0.0,0.0,0.0,0.0,0.03129615584208215,0.0,0.0,0.0,0.0,0.0
NN-3,0.053331204343139996,0.020079038760927707,0.6242864556305138,0.0,0.0,0.0,0.0,0.0,0.04894016206937847,0.0,0.0,0.0,0.0,0.0
NN-4,0.053331204343139996,0.020079038760927707,0.6242864556305138,0.0,0.0,0.0,0.0,0.0,0.04894016206937847,0.0,0.0,0.0,0.0,0.0
NN-5,0.05049084483039214,0.005269250728513831,0.6228493872500099,3.991856612510479e-05,0.0,3.991856612510479e-05,0.0,3.991856612510479e-05,0.028142589118198873,0.0,0.0,0.0,0.0,0.0
NN-6,0.049397690250350824,0.0018362540417548201,0.6149854297233643,0.0,0.0,0.0,0.0,0.0,0.02534828948944154,0.0,0.0,0.0,0.0,0.0
NN-7,0.04822162787912658,0.0014370683805037723,0.6063231008742166,0.0,0.0,0.0,0.0,0.0,0.019120993173925193,0.0,0.0,0.0,0.0,0.0
NN-8,0.052987290542677555,0.01776376192567163,0.6242066184982635,0.0,0.0,0.0,0.0,0.0,0.046864396630873016,0.0,0.0,0.0,0.0,0.0
NN-9,0.05179894553572251,0.009221188774899206,0.6242864556305138,0.0,0.0,0.0,0.0,0.0,0.03987864755897968,0.0,0.0,0.0,0.0,0.0
NN-10,0.04899850458909978,0.0047902279350125745,0.6115524330366053,0.0,0.0,0.0,0.0,0.0,0.020637898686679174,0.0,0.0,0.0,0.0,0.0
NN-11,0.051829652125049516,0.009780048700650672,0.6242066184982635,0.0,0.0,0.0,0.0,0.0,0.039798810426729475,0.0,0.0,0.0,0.0,0.0
NN-12,0.05191870123409782,0.01616701928066744,0.6208933775098798,0.0,0.0,0.0,0.0,0.0,0.03788271925272444,0.0,0.0,0.0,0.0,0.0
NN-13,0.050429431651738146,0.004470879406011736,0.6203744361502534,0.0,0.0,0.0,0.0,0.0,0.030737295916330686,0.0,0.0,0.0,0.0,0.0
NN-14,0.049849077113457776,0.0036725080835096403,0.6175402179553711,0.0,0.0,0.0,0.0,0.0,0.026825276436070418,0.0,0.0,0.0,0.0,0.0
NN-15,0.04987364238491938,0.002794299628757335,0.6175002993892459,0.0,0.0,0.0,0.0,0.0,0.028062751985948663,0.0,0.0,0.0,0.0,0.0
NN-16,0.04743860985128799,0.0016366612111292963,0.5994571075006986,0.0,0.0,0.0,0.0,0.0,0.015608159354915972,0.0,0.0,0.0,0.0,0.0
NN-17,0.048673014742233546,0.0015568240788790867,0.6093968304658497,0.0,0.0,0.0,0.0,0.0,0.021795537104307212,0.0,0.0,0.0,0.0,0.0
NN-18,0.048476492570540715,0.0016366612111292963,0.6078400063869706,0.0,0.0,0.0,0.0,0.0,0.020717735818929384,0.0,0.0,0.0,0.0,0.0
NN-19,0.05017149630139132,0.006307133447766556,0.6210131332082551,0.0,0.0,0.0,0.0,0.0,0.024909185262065387,0.0,0.0,0.0,0.0,0.0
Min Violations Committee,0.0010470946960508256,0.00375234521575985,0.0,0.0,0.0,0.0,0.0,0.0,0.009859885832900882,0.0,0.0,0.0,0.0,0.0
Max Violations Committee,0.057412110064698776,0.020158875893177917,0.6755818131012734,0.00023951139675062872,0.0,0.00023951139675062872,0.0,0.00023951139675062872,0.049898207656380984,0.0,0.0,0.0,0.0,0.0
Random Choice,0.05316231810184147,0.018801644644924353,0.6252045826513911,0.0,0.0,0.0,0.0,0.0,0.047103908027623646,0.0,0.0,0.0,0.0,0.0
Borda ranking,0.008874204315504064,0.0,0.11536465610155283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.03207303255205535,0.00043910422737615263,0.41631072611871783,0.0,0.0,0.0,0.0,0.0,0.00019959283062552394,0.0,0.0,0.0,0.0,0.0
STV,0.023892797155341563,0.00011975569837531436,0.31048660732106503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.023223393508012887,0.0,0.3018641970380424,0.0,0.0,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.025649214064846177,3.991856612510479e-05,0.3333998642768752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.03129308518314945,3.991856612510479e-05,0.40677018881481775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.02941384191633683,0.0,0.38237994491237876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.03053770308570516,0.0,0.396950221548042,0.0,0.0,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.03126851991168785,3.991856612510479e-05,0.40645084028581696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.03052234979104166,0.0,0.39675062871741645,0.0,0.0,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.053331204343139996,0.020079038760927707,0.6242864556305138,0.0,0.0,0.0,0.0,0.0,0.04894016206937847,0.0,0.0,0.0,0.0,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.027037151902426743,0.0,0.35144305616542254,0.0,0.0,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.023564236649542627,0.0,0.30629515787792905,0.0,0.0,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0
Random Serial Dictator,0.04901999920162868,0.01117719851502934,0.593110055486807,0.0,0.0,0.0,0.0,0.0,0.03297273561933655,0.0,0.0,0.0,0.0,0.0
