Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.006620340658901994,3.991856612510479e-05,0.08570516147059998,0.0,0.0,0.0,0.0002794299628757335,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0
NN-1,0.007019526320153042,0.0,0.09069498223623808,0.0,3.991856612510479e-05,0.0,0.00035926709512594307,0.0,0.00011975569837531436,0.0,0.0,3.991856612510479e-05,0.0,0.0
NN-2,0.004891559679791686,0.0,0.06355035727116681,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.004738026733156668,0.0,0.06119516186978564,0.0,0.0,0.0,0.0003991856612510479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.0041085416519530925,0.0,0.0533711229092651,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.004707320143829664,3.991856612510479e-05,0.06111532473753543,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.005794333406005594,3.991856612510479e-05,0.0751267414474472,0.0,0.0,0.0,0.00015967426450041916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.005640800459370576,3.991856612510479e-05,0.07325056883956728,0.0,0.0,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0
NN-8,0.005588599257514671,3.991856612510479e-05,0.0724921160831903,0.0,0.0,0.0,0.00011975569837531436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.006442242440805373,0.0,0.08307053610634306,0.0,7.983713225020958e-05,0.0,0.00015967426450041916,0.0,0.00019959283062552394,0.0,7.983713225020958e-05,7.983713225020958e-05,7.983713225020958e-05,0.0
NN-10,0.005112647122946113,0.0,0.06622490120154884,0.0,3.991856612510479e-05,0.0,3.991856612510479e-05,0.0,7.983713225020958e-05,3.991856612510479e-05,0.0,3.991856612510479e-05,0.0,0.0
NN-11,0.005346017201831341,3.991856612510479e-05,0.06913895652868149,0.0,0.0,0.0,0.00023951139675062872,0.0,0.0,0.0,3.991856612510479e-05,0.0,3.991856612510479e-05,0.0
NN-12,0.006494443642661279,3.991856612510479e-05,0.08410841882559579,0.0,0.0,0.0,0.00023951139675062872,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0
