Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.013851742445411359,3.991856612510479e-05,0.11787952576743443,0.0013173126821284578,0.007025667638018442,0.0013173126821284578,0.00826314318789669,0.0013173126821284578,0.02143627000918127,0.00375234521575985,0.0014370683805037723,0.007025667638018442,0.00926110734102431,0.0
NN-1,0.01794186014376825,0.00047902279350125744,0.1451838249970061,0.0013173126821284578,0.010219152928026826,0.0013173126821284578,0.01225499980040717,0.0013173126821284578,0.028661530477825235,0.006227296315516347,0.002794299628757335,0.010219152928026826,0.013252963953534789,0.0
NN-2,0.015046228770231807,0.00011975569837531436,0.12251007943794659,0.0014370683805037723,0.009061514510398787,0.0014370683805037723,0.010139315795776616,0.0014370683805037723,0.02303301265418546,0.005468843559139356,0.0016366612111292963,0.009061514510398787,0.01025907149415193,0.0
NN-3,0.014769869466288775,0.0002794299628757335,0.1225899165701968,0.0011975569837531436,0.008023631791146062,0.0011975569837531436,0.009580455870025149,0.0011975569837531436,0.022913256955810146,0.004430960839886631,0.0020757654385054488,0.008023631791146062,0.01049858289090256,0.0
NN-4,0.015304164120578632,0.0002794299628757335,0.13141191968384497,0.0013971498143786675,0.007424853299269491,0.0013971498143786675,0.008622410283022634,0.0013971498143786675,0.02411081393956329,0.004191449443136003,0.0013173126821284578,0.007424853299269491,0.009979641531276196,0.0
NN-5,0.014748374853759868,0.00019959283062552394,0.12446608917807672,0.0013173126821284578,0.007983713225020957,0.0013173126821284578,0.0083429803201469,0.0013173126821284578,0.0233523611831863,0.004031775178635583,0.001876172607879925,0.007983713225020957,0.009540537303900044,0.0
NN-6,0.01618851389319634,0.0002794299628757335,0.1343259750109776,0.0016366612111292963,0.0083429803201469,0.0016366612111292963,0.008742165981397949,0.0016366612111292963,0.025986986547443216,0.004949902199512994,0.0020757654385054488,0.0083429803201469,0.012494511197157799,0.0
NN-7,0.016044192923359426,0.0002794299628757335,0.1293361542453395,0.0015169055127539819,0.009580455870025149,0.0015169055127539819,0.010298990060277034,0.0015169055127539819,0.02570755658456748,0.005708354955889984,0.0019160911740050298,0.009580455870025149,0.011616302742405493,0.0
NN-8,0.01800020266348956,0.0008382898886272006,0.14705999760488603,0.0017564169095046105,0.009700211568400462,0.0017564169095046105,0.009500618737774939,0.0017564169095046105,0.03185501576783362,0.005788192088140194,0.002035846872380344,0.009700211568400462,0.01225499980040717,0.0
NN-9,0.015988921062570816,0.00023951139675062872,0.13213045387409683,0.0015568240788790867,0.008582491716897529,0.0015568240788790867,0.008782084547523054,0.0015568240788790867,0.02570755658456748,0.004870065067262784,0.0021955211368807634,0.008582491716897529,0.01209532553590675,0.0
NN-10,0.015132207220347414,0.00019959283062552394,0.12726038880683405,0.0013971498143786675,0.007784120394395433,0.0013971498143786675,0.008582491716897529,0.0013971498143786675,0.023871302542812663,0.004351123707636422,0.0019560097401301346,0.007784120394395433,0.010738094287653188,0.0
NN-11,0.015730985712223988,0.00035926709512594307,0.13412638218035208,0.0013572312482535626,0.007784120394395433,0.0013572312482535626,0.007943794658895852,0.0013572312482535626,0.025148696658816014,0.004311205141511317,0.0017164983433795057,0.007784120394395433,0.01125703564727955,0.0
NN-12,0.015086147336356912,0.0002794299628757335,0.12877729431958804,0.0015169055127539819,0.007225260468643966,0.0015169055127539819,0.008103468923396272,0.0015169055127539819,0.023871302542812663,0.004111612310885793,0.0016765797772544011,0.007225260468643966,0.010298990060277034,0.0
NN-13,0.017278597814304977,0.00015967426450041916,0.13504450920122948,0.0018362540417548201,0.01125703564727955,0.0018362540417548201,0.013731986747036046,0.0018362540417548201,0.027503892060197196,0.006905911939643128,0.002435032533631392,0.01125703564727955,0.010817931419903398,0.0
NN-14,0.016050334241224824,0.0002794299628757335,0.1326493952337232,0.0015568240788790867,0.00910143307652389,0.0015568240788790867,0.009301025907149416,0.0015568240788790867,0.025747475150692586,0.005389006426889146,0.0018362540417548201,0.00910143307652389,0.010578420023152768,0.0
NN-15,0.017017591805025437,0.0005189413596263622,0.13891661011536466,0.0017963354756297153,0.00926110734102431,0.0017963354756297153,0.009979641531276196,0.0017963354756297153,0.028222426250449083,0.005468843559139356,0.0020757654385054488,0.00926110734102431,0.012135244102031855,0.0
NN-16,0.015153701832876313,0.00019959283062552394,0.1283381900922119,0.0009181270208774101,0.008183306055646482,0.0009181270208774101,0.0091812702087741,0.0009181270208774101,0.023432198315436508,0.00467047223663726,0.002035846872380344,0.008183306055646482,0.0100195600974013,0.0
