Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.3108857929823161,0.1435072452197517,0.8152169574068899,0.0,0.31459821963195084,0.0,0.7377749391241867,0.0,0.3125623727595705,0.0,0.7377749391241867,0.3125623727595705,0.6675182627440023,0.0
NN-1,0.28835022707522806,0.1233483693265738,0.7523452157598499,0.0,0.3096483174324378,0.0,0.6840844676859207,0.0,0.3083310047503094,0.0,0.6840844676859207,0.3083310047503094,0.5783801045866432,0.0
NN-2,0.31053880852292093,0.14542333639375674,0.8133807033651351,0.0,0.31483773102870144,0.0,0.7350604766276795,0.0,0.3133208255159475,0.0,0.7350604766276795,0.3133208255159475,0.6666001357231248,0.0
NN-3,0.30921228386399435,0.14737934613388687,0.8075126741447447,0.0,0.3144784639335755,0.0,0.7320665841682967,0.0,0.31244261706119514,0.0,0.7320665841682967,0.31244261706119514,0.6613708035607361,0.0
NN-4,0.3114507942259329,0.14366691948425211,0.8162947586922678,0.0,0.315436509520578,0.0,0.7387729032773143,0.0,0.31340066264819766,0.0,0.7387729032773143,0.31340066264819766,0.6691150053890065,0.0
NN-5,0.31053880852292093,0.14542333639375674,0.8133807033651351,0.0,0.31483773102870144,0.0,0.7350604766276795,0.0,0.3133208255159475,0.0,0.7350604766276795,0.3133208255159475,0.6666001357231248,0.0
NN-6,0.3136770219521407,0.1469003233403856,0.8155762245020158,0.0,0.32557582531635465,0.0,0.7385333918805637,0.0,0.3238992455391002,0.0,0.7385333918805637,0.3238992455391002,0.6648836373797453,0.0
NN-7,0.30969437731642835,0.1476986946628877,0.8087102311284978,0.0,0.31495748672707674,0.0,0.7331044668875494,0.0,0.3129216398546964,0.0,0.7331044668875494,0.3129216398546964,0.6626082791106144,0.0
NN-8,0.3136524566806791,0.1469003233403856,0.8154963873697657,0.0,0.32557582531635465,0.0,0.7384535547483134,0.0,0.3238992455391002,0.0,0.7384535547483134,0.3238992455391002,0.6648038002474951,0.0
NN-9,0.30989704080598657,0.14290846672787513,0.8123827392120075,0.0,0.31407927827232446,0.0,0.7351802323260549,0.0,0.3120434313999441,0.0,0.7351802323260549,0.3120434313999441,0.6648437188136203,0.0
NN-10,0.312157045780454,0.14558301065825716,0.813739970460261,0.0,0.3198275517943395,0.0,0.7375354277274361,0.0,0.3179513791864596,0.0,0.7375354277274361,0.3179513791864596,0.6679174484052532,0.0
NN-11,0.30969437731642835,0.1476986946628877,0.8087102311284978,0.0,0.31495748672707674,0.0,0.7331044668875494,0.0,0.3129216398546964,0.0,0.7331044668875494,0.3129216398546964,0.6626082791106144,0.0
NN-12,0.3114753594973945,0.14390643088100274,0.8162947586922678,0.0,0.31555626521895336,0.0,0.7387729032773143,0.0,0.313520418346573,0.0,0.7387729032773143,0.313520418346573,0.6688355754261307,0.0
NN-13,0.3136678099753426,0.1469003233403856,0.8155762245020158,0.0,0.32553590675022953,0.0,0.7385333918805637,0.0,0.32385932697297515,0.0,0.7385333918805637,0.32385932697297515,0.6648836373797453,0.0
NN-14,0.312157045780454,0.14558301065825716,0.813739970460261,0.0,0.3198275517943395,0.0,0.7375354277274361,0.0,0.3179513791864596,0.0,0.7375354277274361,0.3179513791864596,0.6679174484052532,0.0
NN-15,0.3139748758686126,0.14410602371162828,0.8166540257873938,0.0,0.3262544409404814,0.0,0.7387729032773143,0.0,0.32397908267135045,0.0,0.7387729032773143,0.32397908267135045,0.6691549239551315,0.0
NN-16,0.31053880852292093,0.14542333639375674,0.8133807033651351,0.0,0.31483773102870144,0.0,0.7350604766276795,0.0,0.3133208255159475,0.0,0.7350604766276795,0.3133208255159475,0.6666001357231248,0.0
NN-17,0.3136770219521407,0.1469003233403856,0.8155762245020158,0.0,0.32557582531635465,0.0,0.7385333918805637,0.0,0.3238992455391002,0.0,0.7385333918805637,0.3238992455391002,0.6648836373797453,0.0
NN-18,0.3136770219521407,0.1469003233403856,0.8155762245020158,0.0,0.32557582531635465,0.0,0.7385333918805637,0.0,0.3238992455391002,0.0,0.7385333918805637,0.3238992455391002,0.6648836373797453,0.0
NN-19,0.31046818336746884,0.14534349926150653,0.8132210291006347,0.0,0.31475789389645126,0.0,0.7349008023631791,0.0,0.31324098838369724,0.0,0.7349008023631791,0.31324098838369724,0.6664803800247495,0.0
Min Violations Committee,0.04147846086291657,0.0,0.0,0.0,0.17979322182747196,0.0,0.0,0.0,0.17971338469522175,0.0,0.0,0.17971338469522175,0.0,0.0
Max Violations Committee,0.36987622173842283,0.1793940361662209,1.0,0.0,0.34828948944153926,0.0,0.8843559139355714,0.0,0.3461338868707836,0.0,0.8843559139355714,0.3461338868707836,0.8197277553790268,0.0
Random Choice,0.31331775485701474,0.14737934613388687,0.8130613548361343,0.0,0.326094766675981,0.0,0.737136242066185,0.0,0.32393916410522533,0.0,0.737136242066185,0.32393916410522533,0.6644445331523692,0.0
Borda ranking,0.047653555976577014,0.0,0.07999680651470999,0.0,0.12650193605045706,0.0,0.07999680651470999,0.0,0.12650193605045706,0.0,0.07999680651470999,0.12650193605045706,0.0,0.0
Plurality ranking,0.21210269511734522,0.05436908706239272,0.7330246297552991,0.0,0.0003991856612510479,0.0,0.6528282304099636,0.0,0.0,0.0,0.6528282304099636,0.0,0.6638856732266177,0.0
STV,0.1025507963753942,0.0,0.37643207855973815,0.0,0.0,0.0,0.3339587242026266,0.0,0.0,0.0,0.3339587242026266,0.0,0.28881082591513313,0.0
Approval Voting (AV),0.04147846086291657,0.0,0.0,0.0,0.17979322182747196,0.0,0.0,0.0,0.17971338469522175,0.0,0.0,0.17971338469522175,0.0,0.0
Proportional Approval Voting (PAV),0.04147846086291657,0.0,0.0,0.0,0.17979322182747196,0.0,0.0,0.0,0.17971338469522175,0.0,0.0,0.17971338469522175,0.0,0.0
Approval Chamberlin-Courant (CC),0.3136770219521407,0.1469003233403856,0.8155762245020158,0.0,0.32557582531635465,0.0,0.7385333918805637,0.0,0.3238992455391002,0.0,0.7385333918805637,0.3238992455391002,0.6648836373797453,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.04147846086291657,0.0,0.0,0.0,0.17979322182747196,0.0,0.0,0.0,0.17971338469522175,0.0,0.0,0.17971338469522175,0.0,0.0
