Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-1,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-2,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-3,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-4,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-5,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-6,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-7,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-8,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-9,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-10,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-11,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-12,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-13,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-14,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-15,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-16,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-17,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-18,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
NN-19,0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
Min Violations Committee,0.023704615384615383,0.0006,0.0,0.0,0.06372,0.0,0.0,0.0,0.21688,0.0,0.0,0.02696,0.0,0.0
Max Violations Committee,0.08924615384615384,0.00484,0.5136,0.0,0.13988,0.0,0.0,0.0,0.43784,0.0,0.0,0.06404,0.0,0.0
Random Choice,0.08654461538461537,0.00452,0.49672,0.0,0.13416,0.0,0.0,0.0,0.42932,0.0,0.0,0.06036,0.0,0.0
Borda ranking,0.011664615384615386,0.0,0.10408,0.0,0.0084,0.0,0.0,0.0,0.03752,0.0,0.0,0.00164,0.0,0.0
Plurality ranking,0.030926153846153843,4e-05,0.39768,0.0,0.0,0.0,0.0,0.0,0.00432,0.0,0.0,0.0,0.0,0.0
STV,0.027396923076923076,0.0,0.3554,0.0,0.0,0.0,0.0,0.0,0.00076,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.03597846153846154,0.0,0.25572,0.0,0.04624,0.0,0.0,0.0,0.14948,0.0,0.0,0.01628,0.0,0.0
Proportional Approval Voting (PAV),0.03648615384615385,0.0,0.27188,0.0,0.04788,0.0,0.0,0.0,0.13764,0.0,0.0,0.01692,0.0,0.0
Approval Chamberlin-Courant (CC),0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.052572307692307696,0.0,0.40448,0.0,0.0724,0.0,0.0,0.0,0.17768,0.0,0.0,0.02888,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.07018461538461537,4e-05,0.47528,0.0,0.09564,0.0,0.0,0.0,0.30148,0.0,0.0,0.03996,0.0,0.0
Monroe's Approval Rule (Monroe),0.08727384615384613,0.00484,0.4962,0.0,0.13768,0.0,0.0,0.0,0.43288,0.0,0.0,0.06296,0.0,0.0
Greedy Monroe,0.05640923076923077,0.0,0.41192,0.0,0.07004,0.0,0.0,0.0,0.22336,0.0,0.0,0.028,0.0,0.0
Minimax Approval Voting (MAV),0.08384,0.00424,0.4868,0.0,0.13136,0.0,0.0,0.0,0.40876,0.0,0.0,0.05876,0.0,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.04010153846153846,0.0,0.30928,0.0,0.05228,0.0,0.0,0.0,0.14092,0.0,0.0,0.01884,0.0,0.0
E Pluribus Hugo (EPH),0.03594461538461539,0.0,0.25764,0.0,0.0464,0.0,0.0,0.0,0.1468,0.0,0.0,0.01644,0.0,0.0
Random Serial Dictator,0.08089846153846153,0.00204,0.4826,0.0,0.11756,0.0,0.0,0.0,0.3978,0.0,0.0,0.05168,0.0,0.0
