Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.11065538461538461,0.0,0.60384,4e-05,0.21552,0.0,0.01204,0.0,0.2542,0.001,0.03424,0.15276,0.16488,0.0
NN-1,0.10307692307692307,0.0,0.57536,0.0,0.20432,0.0,0.012,0.0,0.24156,0.00068,0.03056,0.14196,0.13356,0.0
NN-2,0.14649538461538464,0.0,0.75956,0.001,0.272,0.00032,0.01632,0.0,0.32812,0.00124,0.06832,0.19788,0.25968,0.0
NN-3,0.14590153846153844,0.0,0.75368,0.00072,0.2716,0.0002,0.01632,0.0,0.32936,0.00116,0.06452,0.1986,0.26056,0.0
NN-4,0.1212676923076923,0.0,0.66736,8e-05,0.23232,4e-05,0.01392,0.0,0.27996,0.0006,0.03556,0.166,0.18064,0.0
NN-5,0.12036000000000001,0.0,0.67088,8e-05,0.2316,4e-05,0.01384,0.0,0.274,0.0008,0.03844,0.16624,0.16876,0.0
NN-6,0.13040000000000002,0.0,0.69084,0.00056,0.24936,0.00024,0.0152,0.0,0.29864,0.00096,0.05052,0.18052,0.20836,0.0
NN-7,0.1362646153846154,4e-05,0.72188,0.00056,0.25712,0.00028,0.0154,0.0,0.3114,0.00108,0.0588,0.18608,0.2188,0.0
NN-8,0.1096153846153846,0.0,0.64036,0.00028,0.21364,8e-05,0.01328,0.0,0.25532,0.0004,0.0238,0.14952,0.12832,0.0
NN-9,0.11564923076923075,0.0,0.64404,0.0,0.222,0.0,0.01396,0.0,0.26744,0.00056,0.03824,0.1572,0.16,0.0
NN-10,0.1623692307692308,8e-05,0.82248,0.001,0.30428,0.0006,0.01828,0.0,0.36772,0.00116,0.0838,0.22788,0.28352,0.0
NN-11,0.1500769230769231,4e-05,0.76304,0.00136,0.27984,0.00036,0.01764,0.0,0.33796,0.0012,0.0686,0.20592,0.27504,0.0
NN-12,0.11713538461538461,0.0,0.65388,8e-05,0.22612,4e-05,0.01416,0.0,0.26652,0.00064,0.03632,0.16048,0.16452,0.0
NN-13,0.11832,0.0,0.65216,0.0,0.22188,0.0,0.01444,0.0,0.2678,0.0008,0.04344,0.15816,0.17948,0.0
NN-14,0.12427692307692308,0.0,0.69544,8e-05,0.23784,8e-05,0.01444,0.0,0.2836,0.00068,0.04412,0.17104,0.16828,0.0
NN-15,0.1469476923076923,0.0,0.76224,0.00108,0.27544,0.00036,0.01672,0.0,0.32872,0.0014,0.06812,0.19984,0.2564,0.0
NN-16,0.15143384615384614,0.0,0.77296,0.00128,0.27884,0.00048,0.01768,0.0,0.33708,0.00124,0.0724,0.20316,0.28352,0.0
NN-17,0.15528,0.0,0.7874,0.0016,0.28656,0.0006,0.0176,0.0,0.34484,0.00144,0.07344,0.21104,0.29412,0.0
NN-18,0.12947384615384613,0.0,0.71876,4e-05,0.2476,4e-05,0.016,0.0,0.2966,0.00084,0.04852,0.17976,0.175,0.0
NN-19,0.11876923076923077,0.0,0.66004,0.0,0.22656,0.0,0.01356,0.0,0.27052,0.00064,0.04784,0.16084,0.164,0.0
Min Violations Committee,0.0308,0.0002,0.0,0.0,0.12884,0.0,0.0,0.0,0.17228,0.0,0.0,0.08048,0.0186,0.0
Max Violations Committee,0.3775107692307692,0.21592,0.96748,0.56084,0.55624,0.34936,0.02196,0.0,0.758,0.00616,0.27376,0.45948,0.73844,0.0
Random Choice,0.24611384615384616,0.02296,0.93736,0.04556,0.45492,0.02516,0.0214,0.0,0.5706,0.00392,0.15732,0.35976,0.60052,0.0
Borda ranking,0.03574769230769231,0.0,0.17428,0.0,0.10892,0.0,0.00364,0.0,0.11232,0.0,0.0,0.06352,0.00204,0.0
Plurality ranking,0.10051384615384615,0.00336,0.80592,0.01324,0.00044,0.00352,0.01472,0.0,0.01228,0.0,0.0646,0.0,0.3886,0.0
STV,0.07092,0.00024,0.66108,0.0012,0.0,4e-05,0.00928,0.0,0.00168,0.0,0.02144,0.0,0.227,0.0
Approval Voting (AV),0.04624923076923076,0.0,0.19444,0.0,0.13768,0.0,0.0,0.0,0.18048,0.0,0.00028,0.08836,0.0,0.0
Proportional Approval Voting (PAV),0.05570461538461539,0.0,0.29724,0.0,0.16136,0.0,0.0052,0.0,0.15328,4e-05,0.00016,0.10688,0.0,0.0
Approval Chamberlin-Courant (CC),0.2453015384615385,0.02212,0.93744,0.0448,0.44948,0.02368,0.02136,0.0,0.57168,0.00368,0.1554,0.3596,0.59968,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.09812,0.0,0.60196,0.0,0.25424,0.0,0.02176,0.0,0.209,0.0008,0.00368,0.18412,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.21337846153846154,0.00072,0.91372,0.0066,0.42592,0.00524,0.02124,0.0,0.50876,0.00328,0.13528,0.33628,0.41688,0.0
Monroe's Approval Rule (Monroe),0.21887384615384614,0.00852,0.92384,0.01124,0.40576,0.0022,0.01988,0.0,0.50372,0.00256,0.09212,0.32052,0.555,0.0
Greedy Monroe,0.09463384615384617,0.0,0.55476,0.0,0.23024,0.0,0.01524,0.0,0.22544,0.00016,0.00824,0.16144,0.03472,0.0
Minimax Approval Voting (MAV),0.21780307692307693,0.0,0.93004,0.00268,0.42368,0.00268,0.02192,0.0,0.45144,0.00328,0.11148,0.333,0.55124,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.07445846153846154,0.0,0.44696,0.0,0.19612,0.0,0.01104,0.0,0.16964,8e-05,0.001,0.13452,0.0086,0.0
E Pluribus Hugo (EPH),0.048747692307692304,0.0,0.23144,0.0,0.143,0.0,0.00208,0.0,0.16432,0.0,0.00028,0.09252,8e-05,0.0
Random Serial Dictator,0.15042153846153847,0.00472,0.7512,0.01284,0.32256,0.01096,0.00916,0.0,0.52336,0.0016,0.07096,0.24812,0.0,0.0
