Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.037633995879175715,0.0,0.48924194642928426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,0.031802814565977715,0.0,0.41343658935771027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,0.027887724426784742,0.0,0.36254041754820165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.03475371780030277,0.0,0.451798331403936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.02701258663096514,0.0,0.3511636262025468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.02653049317853118,0.0,0.34489641132090537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.02562771945231727,0.0,0.3331603528801245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.032889827828153646,0.0,0.42756776176599737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,0.03153259657990008,0.0,0.40992375553870103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.03180895588384312,0.0,0.4134765079238354,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,0.033230670969683386,0.0,0.4319588040397589,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,0.03488268547547618,0.0,0.4534749111811904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,0.03215901100217095,0.0,0.4180671430282224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,0.020453659150717153,0.0,0.265897568959323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,0.027820169930265336,0.0,0.36166220909344937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,0.027482397447668297,0.0,0.35727116681968785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,0.026349324301501862,0.0,0.3425412159195242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,0.02842508974000731,0.0,0.369526166620095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,0.03120710673303384,0.0,0.4056923875294399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,0.03411502074230109,0.0,0.44349526964991415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Min Violations Committee,0.023653285758590936,0.0,0.0,0.0,0.08111452636621293,0.0,0.0,0.0,0.07245219751706519,0.00035926709512594307,0.0,0.07245219751706519,0.08111452636621293,0.0
Max Violations Committee,0.5342639477005371,0.030338110255079636,0.907428845155882,1.0,1.0,1.0,7.983713225020958e-05,0.0,1.0,0.009141351642648995,7.983713225020958e-05,0.9983633387888707,1.0,0.0
Random Choice,0.3925069780724246,0.028222426250449083,0.8782882918845555,0.37331843040198,0.8863917608079518,0.37331843040198,7.983713225020958e-05,0.0,0.8352959961678177,0.006267214881641452,3.991856612510479e-05,0.8349766476388168,0.8863917608079518,0.0
Borda ranking,0.00675544965194081,0.0,0.08782084547523053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.04986750106705398,0.0,0.6482375953055767,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STV,0.016615335484841693,0.0,0.215999361302942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.020398387289928547,0.0,0.2651790347690711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.020398387289928547,0.0,0.2651790347690711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.39100542585433407,0.030338110255079636,0.8766117121073012,0.37499501017923437,0.8823599856293162,0.37499501017923437,7.983713225020958e-05,0.0,0.8279509800007984,0.006147459183266137,3.991856612510479e-05,0.8271925272444214,0.8823599856293162,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.020398387289928547,0.0,0.2651790347690711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
