Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Min Violations Committee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Violations Committee,0.6078246530923072,0.21819488243982277,1.0,1.0,0.9552512873737575,0.48393277713464533,0.4413396670791585,0.0,0.9634745119955291,0.0009181270208774101,0.8870304578659535,0.9515787792902479,1.0,0.0
Random Choice,0.39800038690302547,0.043910422737615265,0.9536545447287533,0.21979162508482694,0.6290367649994012,0.14390643088100274,0.42070176839247936,0.0,0.6466807712266975,0.0003991856612510479,0.6331882958764121,0.625523931180392,0.8572112889705001,0.0
Borda ranking,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.020125098644918214,0.0,0.11640253882080556,0.0,0.0,0.0,0.048261546445251685,0.0,0.0,0.0,0.038840764839726954,0.0,0.05812143227815257,0.0
STV,3.070658932700368e-05,0.0,0.0003991856612510479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.39697171616057086,0.04211408726198555,0.9536545447287533,0.2176360225140713,0.6249251526885155,0.14318789669075085,0.4211009540537304,0.0,0.6424094846513113,0.00047902279350125744,0.6366612111292962,0.6207736218115045,0.8576903117640015,0.0
Lexicographic Chamberlin-Courant (lex-CC),6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.39643742150628114,0.04151530877010898,0.9523372320466249,0.21607919843519222,0.6259630354077681,0.1426689553311245,0.4211807911859806,0.0,0.6455630513751947,0.0006786156241267813,0.6307133447766556,0.6224102830226338,0.8545766636062433,0.0
Monroe's Approval Rule (Monroe),0.33895775694506286,0.029180471837451597,0.9047143826593749,0.12290926509919764,0.5556664404614586,0.04846113927587721,0.38066344656899925,0.0,0.5668835575426131,0.00047902279350125744,0.4561095365454473,0.5518741766795737,0.7895094008223225,0.0
Greedy Monroe,0.003448349981422514,0.0,0.026785357869945313,0.0,0.00011975569837531436,0.0,0.0073050976008941755,0.0,0.00043910422737615263,0.0,0.005548680691389566,0.00011975569837531436,0.004510797972136841,0.0
Minimax Approval Voting (MAV),0.16938675870455042,0.0,0.7490319747714662,0.0,0.01385174244541136,0.0,0.33160352880124544,0.0,0.01385174244541136,0.0,0.33080515747874334,0.01385174244541136,0.7490319747714662,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,6.141317865400737e-06,0.0,3.991856612510479e-05,0.0,0.0,0.0,3.991856612510479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Serial Dictator,0.0700263769602319,0.0,0.49411201149654704,0.0,0.007065586204143547,0.0,0.19212805876012934,0.0,0.018242784719172886,0.0,0.1917288730988783,0.007065586204143547,0.0,0.0
