,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.017822841403536786,0.0,0.4,0.32097720649874256,0.040573230609556504,0.040573230609556504,0.0,0.0,0.0,0.0,0.0,0.04520378428006866,0.0,0.04520378428006866,0.3122270568041196,0.04520378428006866,0.0,0.17728633587481538,0.2236876771386372,0.2236876771386372,0.2236876771386372,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.1391561215121153,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.0230090615145104,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.02296115923516027,0.04520378428006866
Max Violations Committee,0.3942157997684724,0.4,0.0,0.3208015648077921,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.09115803760328929,0.4,0.4,0.3613268931379985,0.3822761566404535,0.3822761566404535,0.3822761566404535,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3998882280148497,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Random Choice,0.3210019560097402,0.32097720649874256,0.3208015648077921,0.0,0.32104107620454275,0.32104107620454275,0.32097720649874256,0.32097720649874256,0.32097720649874256,0.32097720649874256,0.32097720649874256,0.3211688156161431,0.32097720649874256,0.3211688156161431,0.32195121951219513,0.3211688156161431,0.32097720649874256,0.3210251087780927,0.32017883517624046,0.32017883517624046,0.32017883517624046,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.32024270488204065,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.32139235958644363,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.32104107620454275,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.3211688156161431,0.32147219671869387,0.3211688156161431
Borda ranking,0.0436884755099597,0.040573230609556504,0.4,0.32104107620454275,0.0,0.0,0.040573230609556504,0.040573230609556504,0.040573230609556504,0.040573230609556504,0.040573230609556504,0.004630553670512155,0.040573230609556504,0.004630553670512155,0.32958364935531514,0.004630553670512155,0.040573230609556504,0.17778132609476668,0.18311444652908068,0.18311444652908068,0.18311444652908068,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.10578420023152768,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.026665602171569998,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.02225859247135843,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.02243423416230889,0.004630553670512155
Plurality ranking,0.0436884755099597,0.040573230609556504,0.4,0.32104107620454275,0.0,0.0,0.040573230609556504,0.040573230609556504,0.040573230609556504,0.040573230609556504,0.040573230609556504,0.004630553670512155,0.040573230609556504,0.004630553670512155,0.32958364935531514,0.004630553670512155,0.040573230609556504,0.17778132609476668,0.18311444652908068,0.18311444652908068,0.18311444652908068,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.10578420023152768,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.026665602171569998,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.02225859247135843,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.004630553670512155,0.02243423416230889,0.004630553670512155
STV,0.017822841403536786,0.0,0.4,0.32097720649874256,0.040573230609556504,0.040573230609556504,0.0,0.0,0.0,0.0,0.0,0.04520378428006866,0.0,0.04520378428006866,0.3122270568041196,0.04520378428006866,0.0,0.17728633587481538,0.2236876771386372,0.2236876771386372,0.2236876771386372,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.1391561215121153,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.0230090615145104,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.02296115923516027,0.04520378428006866
Approval Voting (AV),0.017822841403536786,0.0,0.4,0.32097720649874256,0.040573230609556504,0.040573230609556504,0.0,0.0,0.0,0.0,0.0,0.04520378428006866,0.0,0.04520378428006866,0.3122270568041196,0.04520378428006866,0.0,0.17728633587481538,0.2236876771386372,0.2236876771386372,0.2236876771386372,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.1391561215121153,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.0230090615145104,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.02296115923516027,0.04520378428006866
Proportional Approval Voting (PAV),0.017822841403536786,0.0,0.4,0.32097720649874256,0.040573230609556504,0.040573230609556504,0.0,0.0,0.0,0.0,0.0,0.04520378428006866,0.0,0.04520378428006866,0.3122270568041196,0.04520378428006866,0.0,0.17728633587481538,0.2236876771386372,0.2236876771386372,0.2236876771386372,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.1391561215121153,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.0230090615145104,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.02296115923516027,0.04520378428006866
Approval Chamberlin-Courant (CC),0.017822841403536786,0.0,0.4,0.32097720649874256,0.040573230609556504,0.040573230609556504,0.0,0.0,0.0,0.0,0.0,0.04520378428006866,0.0,0.04520378428006866,0.3122270568041196,0.04520378428006866,0.0,0.17728633587481538,0.2236876771386372,0.2236876771386372,0.2236876771386372,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.1391561215121153,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.0230090615145104,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.02296115923516027,0.04520378428006866
Lexicographic Chamberlin-Courant (lex-CC),0.017822841403536786,0.0,0.4,0.32097720649874256,0.040573230609556504,0.040573230609556504,0.0,0.0,0.0,0.0,0.0,0.04520378428006866,0.0,0.04520378428006866,0.3122270568041196,0.04520378428006866,0.0,0.17728633587481538,0.2236876771386372,0.2236876771386372,0.2236876771386372,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.1391561215121153,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.0230090615145104,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.04520378428006866,0.02296115923516027,0.04520378428006866
