,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.0,0.5192926430082632,0.47974132769150934,0.0,0.0,0.0,0.0,0.0,0.36124705600574825,0.0,0.3603209452716458,0.0,0.0,0.0,0.0,0.0,0.0
Max Violations Committee,0.5192926430082633,0.5192926430082632,0.0,0.48105065666041275,0.5192926430082632,0.5192926430082632,0.5192926430082632,0.5192926430082632,0.5192926430082632,0.1591154045746677,0.5192926430082632,0.7982435830904954,0.5192926430082632,0.5192926430082632,0.5192926430082632,0.5192926430082632,0.5192926430082632,0.5192926430082632
Random Choice,0.47974132769150946,0.47974132769150934,0.48105065666041275,0.0,0.47974132769150934,0.47974132769150934,0.47974132769150934,0.47974132769150934,0.47974132769150934,0.4778731387968544,0.47974132769150934,0.4798051973973095,0.47974132769150934,0.47974132769150934,0.47974132769150934,0.47974132769150934,0.47974132769150934,0.47974132769150934
Borda ranking,0.0,0.0,0.5192926430082632,0.47974132769150934,0.0,0.0,0.0,0.0,0.0,0.36124705600574825,0.0,0.3603209452716458,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0,0.0,0.5192926430082632,0.47974132769150934,0.0,0.0,0.0,0.0,0.0,0.36124705600574825,0.0,0.3603209452716458,0.0,0.0,0.0,0.0,0.0,0.0
STV,0.0,0.0,0.5192926430082632,0.47974132769150934,0.0,0.0,0.0,0.0,0.0,0.36124705600574825,0.0,0.3603209452716458,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0,0.0,0.5192926430082632,0.47974132769150934,0.0,0.0,0.0,0.0,0.0,0.36124705600574825,0.0,0.3603209452716458,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0,0.0,0.5192926430082632,0.47974132769150934,0.0,0.0,0.0,0.0,0.0,0.36124705600574825,0.0,0.3603209452716458,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.3612470560057482,0.36124705600574825,0.1591154045746677,0.4778731387968544,0.36124705600574825,0.36124705600574825,0.36124705600574825,0.36124705600574825,0.36124705600574825,0.0,0.36124705600574825,0.7215680012773941,0.36124705600574825,0.36124705600574825,0.36124705600574825,0.36124705600574825,0.36124705600574825,0.36124705600574825
Lexicographic Chamberlin-Courant (lex-CC),0.0,0.0,0.5192926430082632,0.47974132769150934,0.0,0.0,0.0,0.0,0.0,0.36124705600574825,0.0,0.3603209452716458,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.36032094527164593,0.3603209452716458,0.7982435830904954,0.4798051973973095,0.3603209452716458,0.3603209452716458,0.3603209452716458,0.3603209452716458,0.3603209452716458,0.7215680012773941,0.3603209452716458,0.0,0.3603209452716458,0.3603209452716458,0.3603209452716458,0.3603209452716458,0.3603209452716458,0.3603209452716458
Monroe's Approval Rule (Monroe),0.0,0.0,0.5192926430082632,0.47974132769150934,0.0,0.0,0.0,0.0,0.0,0.36124705600574825,0.0,0.3603209452716458,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0,0.0,0.5192926430082632,0.47974132769150934,0.0,0.0,0.0,0.0,0.0,0.36124705600574825,0.0,0.3603209452716458,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.0,0.0,0.5192926430082632,0.47974132769150934,0.0,0.0,0.0,0.0,0.0,0.36124705600574825,0.0,0.3603209452716458,0.0,0.0,0.0,0.0,0.0,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0,0.0,0.5192926430082632,0.47974132769150934,0.0,0.0,0.0,0.0,0.0,0.36124705600574825,0.0,0.3603209452716458,0.0,0.0,0.0,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.0,0.0,0.5192926430082632,0.47974132769150934,0.0,0.0,0.0,0.0,0.0,0.36124705600574825,0.0,0.3603209452716458,0.0,0.0,0.0,0.0,0.0,0.0
Random Serial Dictator,0.0,0.0,0.5192926430082632,0.47974132769150934,0.0,0.0,0.0,0.0,0.0,0.36124705600574825,0.0,0.3603209452716458,0.0,0.0,0.0,0.0,0.0,0.0
NN,,0.0,0.5192926430082633,0.47974132769150946,0.0,0.0,0.0,0.0,0.0,0.3612470560057482,0.0,0.36032094527164593,0.0,0.0,0.0,0.0,0.0,0.0
