,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.0,0.0,0.4,0.32112091333679293,0.0,0.30047503093688877,0.0,0.0,0.0,0.31998722605883995,0.0,0.3205620534110415,0.0,0.0,0.0,0.0,0.0,0.0
Max Violations Committee,0.4000000000000001,0.4,0.0,0.32124865274839326,0.4,0.4,0.4,0.4,0.4,0.08001277394116003,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Random Choice,0.32112091333679305,0.32112091333679293,0.32124865274839326,0.0,0.32112091333679293,0.31925272444213804,0.32112091333679293,0.32112091333679293,0.32112091333679293,0.32139235958644363,0.32112091333679293,0.31821484172288533,0.32112091333679293,0.32112091333679293,0.32112091333679293,0.32112091333679293,0.32112091333679293,0.32112091333679293
Borda ranking,0.0,0.0,0.4,0.32112091333679293,0.0,0.30047503093688877,0.0,0.0,0.0,0.31998722605883995,0.0,0.3205620534110415,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.3004750309368887,0.30047503093688877,0.4,0.31925272444213804,0.30047503093688877,0.0,0.30047503093688877,0.30047503093688877,0.30047503093688877,0.4,0.30047503093688877,0.08098678695461259,0.30047503093688877,0.30047503093688877,0.30047503093688877,0.30047503093688877,0.30047503093688877,0.30047503093688877
STV,0.0,0.0,0.4,0.32112091333679293,0.0,0.30047503093688877,0.0,0.0,0.0,0.31998722605883995,0.0,0.3205620534110415,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.0,0.0,0.4,0.32112091333679293,0.0,0.30047503093688877,0.0,0.0,0.0,0.31998722605883995,0.0,0.3205620534110415,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0,0.0,0.4,0.32112091333679293,0.0,0.30047503093688877,0.0,0.0,0.0,0.31998722605883995,0.0,0.3205620534110415,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.31998722605883995,0.31998722605883995,0.08001277394116003,0.32139235958644363,0.31998722605883995,0.4,0.31998722605883995,0.31998722605883995,0.31998722605883995,0.0,0.31998722605883995,0.4,0.31998722605883995,0.31998722605883995,0.31998722605883995,0.31998722605883995,0.31998722605883995,0.31998722605883995
Lexicographic Chamberlin-Courant (lex-CC),0.0,0.0,0.4,0.32112091333679293,0.0,0.30047503093688877,0.0,0.0,0.0,0.31998722605883995,0.0,0.3205620534110415,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.3205620534110416,0.3205620534110415,0.4,0.31821484172288533,0.3205620534110415,0.08098678695461259,0.3205620534110415,0.3205620534110415,0.3205620534110415,0.4,0.3205620534110415,0.0,0.3205620534110415,0.3205620534110415,0.3205620534110415,0.3205620534110415,0.3205620534110415,0.3205620534110415
Monroe's Approval Rule (Monroe),0.0,0.0,0.4,0.32112091333679293,0.0,0.30047503093688877,0.0,0.0,0.0,0.31998722605883995,0.0,0.3205620534110415,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.0,0.0,0.4,0.32112091333679293,0.0,0.30047503093688877,0.0,0.0,0.0,0.31998722605883995,0.0,0.3205620534110415,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.0,0.0,0.4,0.32112091333679293,0.0,0.30047503093688877,0.0,0.0,0.0,0.31998722605883995,0.0,0.3205620534110415,0.0,0.0,0.0,0.0,0.0,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.0,0.0,0.4,0.32112091333679293,0.0,0.30047503093688877,0.0,0.0,0.0,0.31998722605883995,0.0,0.3205620534110415,0.0,0.0,0.0,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.0,0.0,0.4,0.32112091333679293,0.0,0.30047503093688877,0.0,0.0,0.0,0.31998722605883995,0.0,0.3205620534110415,0.0,0.0,0.0,0.0,0.0,0.0
Random Serial Dictator,0.0,0.0,0.4,0.32112091333679293,0.0,0.30047503093688877,0.0,0.0,0.0,0.31998722605883995,0.0,0.3205620534110415,0.0,0.0,0.0,0.0,0.0,0.0
NN,,0.0,0.4000000000000001,0.32112091333679305,0.0,0.3004750309368887,0.0,0.0,0.0,0.31998722605883995,0.0,0.3205620534110416,0.0,0.0,0.0,0.0,0.0,0.0
