,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.2665974744853831,0.0,0.2742006307133448,0.2786448977419398,0.10396125237848124,0.18566125104786235,0.10108711561747369,0.17923436190172048,0.17923436190172048,0.17923436190172048,0.17923436190172048,0.18622011097361382,0.17923436190172048,0.18622011097361382,0.22289196705387676,0.18622011097361382,0.17923436190172048,0.26335608691602463,0.21086317246151184,0.1536997857703618,0.15238247308823333,0.12562372759570475,0.09746783228879752,0.10306973773502055,0.14755232658709566,0.12316208268465663,0.0934094447327452,0.09062845129269623,0.08480034063843093,0.26380849733210915,0.09857224595159209,0.10549146407994359,0.07408885872819448,0.1362952909398161,0.15304778252365175,0.0825515947467167,0.09116069884103097,0.1298817079823826,0.09230503106995064,0.13641504663819143,0.14305483480366718,0.09597753915346027,0.1500538900642689,0.09245139914574269,0.09392838609237156,0.08750149694622969,0.09553843492608412,0.14952164251593417,0.14952164251593417,0.06799462429976182,0.06799462429976182,0.08413503120301252,0.11561747368701183,0.08940428193152636,0.10526525887190132,0.11121312522454194,0.10672893962982183,0.08747488456881296,0.11641584500951392,0.0753795590329062,0.07044296302210158,0.08941758812023472,0.15153087701089776,0.22997085944672868,0.10924380929570343,0.09440740888587282,0.08485356539326441
Max Violations Committee,0.2865833699253522,0.2742006307133448,0.0,0.2777799954758958,0.31729937593974955,0.3036339201362554,0.30755924580522404,0.2895160539166766,0.2895160539166766,0.2895160539166766,0.2895160539166766,0.3050177637619257,0.2895160539166766,0.3050177637619257,0.05130866365946802,0.3050177637619257,0.2895160539166766,0.28170532114486446,0.30185089084933403,0.31195028807898556,0.3119635942676939,0.31580908280441233,0.3213710696845103,0.31985416417175627,0.31694010884462365,0.31580908280441233,0.3233669979907655,0.32314079278272323,0.32288797519726425,0.3332801085784999,0.32347344750043244,0.32054608598459144,0.3230343432730563,0.3320825515947467,0.3333333333333333,0.3285297992096124,0.3321890011044137,0.33123095551741116,0.3333333333333333,0.3320825515947467,0.33332002714462494,0.3280640826048195,0.33325349620108313,0.3333333333333333,0.3321890011044137,0.3285297992096124,0.32887576011603,0.33332002714462494,0.33332002714462494,0.32323393610368184,0.32323393610368184,0.3251633334663952,0.3180844410735433,0.3202267374555906,0.3192686918685881,0.3236996527084747,0.319880776549173,0.32850318683219565,0.31676712839141485,0.3236597341423496,0.32300773089563956,0.32723909890490066,0.3121232685321943,0.32963421287240696,0.31493087434966005,0.31781831729937593,0.32117147685388475
Random Choice,0.27786315915532317,0.2786448977419398,0.2777799954758958,0.0,0.27940335049831677,0.2783388554016473,0.27849852966614774,0.27785983260814606,0.27785983260814606,0.27785983260814606,0.27785983260814606,0.27809934400489666,0.27785983260814606,0.27809934400489666,0.27776668928718745,0.27809934400489666,0.27785983260814606,0.27828563064681383,0.2781259563823134,0.2798025361595678,0.278977552459649,0.278471917288731,0.2786315915532314,0.2786981224967732,0.27860497917581467,0.279230370045108,0.27919045147898286,0.278977552459649,0.27891102151610714,0.27718121698401926,0.27912392053544105,0.2789908586483574,0.2791771452902745,0.2788444905725653,0.2784186925338975,0.2794432690644419,0.27929690098864984,0.27932351336606653,0.27940335049831677,0.278871102949982,0.27856506060968955,0.2795497185741088,0.2788178781951486,0.2796694742724841,0.2791771452902745,0.2791505329128578,0.278977552459649,0.2786315915532314,0.2786315915532314,0.2791638391015661,0.2791638391015661,0.2792569824225247,0.27743403456947824,0.27912392053544105,0.27836546777906407,0.27901747102577407,0.27901747102577407,0.27919045147898286,0.27730097268239456,0.2793501257434833,0.278977552459649,0.2794698814418586,0.27901747102577407,0.27873804106289835,0.2792170638563996,0.27860497917581467,0.2784586111000226
Borda ranking,0.2635563450560856,0.10396125237848124,0.31729937593974955,0.27940335049831677,0.0,0.16989341742844596,0.12132582864290181,0.17095791252511544,0.17095791252511544,0.17095791252511544,0.17095791252511544,0.1695474565220284,0.17095791252511544,0.1695474565220284,0.2791372267241494,0.1695474565220284,0.17095791252511544,0.2610674224581853,0.18394475270448285,0.1229624898540311,0.11115990046970846,0.1243463334797014,0.09983633387888707,0.10735433049911514,0.13544369486248053,0.11215786462283608,0.09859885832900882,0.0937420994504544,0.08680957513339455,0.24458105464851704,0.10466648038002475,0.1071148191023645,0.04698415232924833,0.11657551927401434,0.14965470440301784,0.07431506393623674,0.08675635037856107,0.11826540523997711,0.09399491703591341,0.11674849972722313,0.12362779928944952,0.09410136654558035,0.13875693585086424,0.09766742511942304,0.10632975396857078,0.08344310939017738,0.0875813340784799,0.14161776642316343,0.14161776642316343,0.06472130187750323,0.06472130187750323,0.09575133394541802,0.11193165941479383,0.016592817319335224,0.10857849986028502,0.10986920016499674,0.10888454220057749,0.08329674131438532,0.11445983526938379,0.07419530823786143,0.04862081354037763,0.07004377736085053,0.1103083043923729,0.19299296102617328,0.0367250808350964,0.10336247388660466,0.07897222998416563
Plurality ranking,0.2692866552233444,0.18566125104786235,0.3036339201362554,0.2783388554016473,0.16989341742844596,0.0,0.16047263582292123,0.05177438026426091,0.05177438026426091,0.05177438026426091,0.05177438026426091,0.007411547110561122,0.05177438026426091,0.007411547110561122,0.2839540670365787,0.007411547110561122,0.05177438026426091,0.2528441978364137,0.2529107287799556,0.18020571367743138,0.2159461365481085,0.14942849919497558,0.1557090202653254,0.1590621798198342,0.11932990033664657,0.20643221162162523,0.17500299389245938,0.17392519260708156,0.17238167471691085,0.2456322435564781,0.17694569744388114,0.16176333612763297,0.17078493207190665,0.17944726092105437,0.20077708142056871,0.17153007863957526,0.1726078799249531,0.1806581240935159,0.17433768445704098,0.17944726092105437,0.18206858009660293,0.1740316421167485,0.1910901760408766,0.17620055087621253,0.1789416257501364,0.1712639548654079,0.1714369353186167,0.19333892193259083,0.19333892193259083,0.17022607214615518,0.17022607214615518,0.1749630753263343,0.09805330459196572,0.1695075379559033,0.15715939483453753,0.16202945990180032,0.159235160273043,0.1712240362992828,0.07392918446369406,0.17216877569757694,0.17031921546711376,0.17079823826061502,0.2153739704336487,0.22675076177930356,0.17472356392958366,0.1412451931393291,0.15916862932950115
STV,0.2645782603488883,0.10108711561747369,0.30755924580522404,0.27849852966614774,0.12132582864290181,0.16047263582292123,0.0,0.15497717988636514,0.15497717988636514,0.15497717988636514,0.15497717988636514,0.16108472050350617,0.15497717988636514,0.16108472050350617,0.26426090774819366,0.16108472050350617,0.15497717988636514,0.25937753649222256,0.2258193285697178,0.14872327119343207,0.1677511210463987,0.06780833765784466,0.09871861402738413,0.07774806062299576,0.1206605192074834,0.15246231022048354,0.11273003073729591,0.10997564967466368,0.10595718068473647,0.2597767221534736,0.1172674410868495,0.08582491716897529,0.09910449349992681,0.1424161377456655,0.1637991830000133,0.10635636634598752,0.11427354862746664,0.1441858608438785,0.11740050297393317,0.14248266868920734,0.14906923209984965,0.11476587760967626,0.1582638084973321,0.12019480260269051,0.1199020664511064,0.1112663499793754,0.11505861376126036,0.15930169121658483,0.15930169121658483,0.09650978670179501,0.09650978670179501,0.10680877676207204,0.11237076364216997,0.11054781578912352,0.07576543850544888,0.08676965656726944,0.08160685534842255,0.11119981903583356,0.11347517730496454,0.10217822309155988,0.09943714821763602,0.11125304379066704,0.16688621878035476,0.22734954027118012,0.12612936276662276,0.08599789762218407,0.09044216465077907
Approval Voting (AV),0.26689952496906316,0.17923436190172048,0.2895160539166766,0.27785983260814606,0.17095791252511544,0.05177438026426091,0.15497717988636514,0.0,0.0,0.0,0.0,0.05841416842973667,0.0,0.05841416842973667,0.26569797612869744,0.05841416842973667,0.0,0.25252484930741287,0.2556917222200045,0.18318629994810587,0.21814165768498928,0.15388607241227895,0.16029965536971244,0.1632935478290953,0.13299535614014077,0.20844144611658882,0.179686772317805,0.17795696778571712,0.17520258672308492,0.26788019107686983,0.18202866153047784,0.16683299402552126,0.171556691016992,0.19299296102617328,0.21256636461618297,0.17626708181975437,0.17972669088393012,0.19251393823267202,0.18236131624818702,0.19303287959229837,0.19619975250489002,0.18017910130001463,0.2051015927507884,0.18423748885606694,0.1850624725559858,0.17653320559392174,0.17765092544542466,0.20688462203770974,0.20688462203770974,0.17073170731707318,0.17073170731707318,0.17882187005176106,0.11602996553697124,0.17065187018482297,0.16144398759863213,0.16930794512527778,0.16427820579351457,0.17647998083908825,0.10265724588506114,0.1746171144199167,0.17111758678961586,0.17606748898912886,0.21752957300440434,0.24596489827418733,0.17530903623275185,0.14230968823599857,0.16115125144704803
Proportional Approval Voting (PAV),0.26689952496906316,0.17923436190172048,0.2895160539166766,0.27785983260814606,0.17095791252511544,0.05177438026426091,0.15497717988636514,0.0,0.0,0.0,0.0,0.05841416842973667,0.0,0.05841416842973667,0.26569797612869744,0.05841416842973667,0.0,0.25252484930741287,0.2556917222200045,0.18318629994810587,0.21814165768498928,0.15388607241227895,0.16029965536971244,0.1632935478290953,0.13299535614014077,0.20844144611658882,0.179686772317805,0.17795696778571712,0.17520258672308492,0.26788019107686983,0.18202866153047784,0.16683299402552126,0.171556691016992,0.19299296102617328,0.21256636461618297,0.17626708181975437,0.17972669088393012,0.19251393823267202,0.18236131624818702,0.19303287959229837,0.19619975250489002,0.18017910130001463,0.2051015927507884,0.18423748885606694,0.1850624725559858,0.17653320559392174,0.17765092544542466,0.20688462203770974,0.20688462203770974,0.17073170731707318,0.17073170731707318,0.17882187005176106,0.11602996553697124,0.17065187018482297,0.16144398759863213,0.16930794512527778,0.16427820579351457,0.17647998083908825,0.10265724588506114,0.1746171144199167,0.17111758678961586,0.17606748898912886,0.21752957300440434,0.24596489827418733,0.17530903623275185,0.14230968823599857,0.16115125144704803
Approval Chamberlin-Courant (CC),0.26689952496906316,0.17923436190172048,0.2895160539166766,0.27785983260814606,0.17095791252511544,0.05177438026426091,0.15497717988636514,0.0,0.0,0.0,0.0,0.05841416842973667,0.0,0.05841416842973667,0.26569797612869744,0.05841416842973667,0.0,0.25252484930741287,0.2556917222200045,0.18318629994810587,0.21814165768498928,0.15388607241227895,0.16029965536971244,0.1632935478290953,0.13299535614014077,0.20844144611658882,0.179686772317805,0.17795696778571712,0.17520258672308492,0.26788019107686983,0.18202866153047784,0.16683299402552126,0.171556691016992,0.19299296102617328,0.21256636461618297,0.17626708181975437,0.17972669088393012,0.19251393823267202,0.18236131624818702,0.19303287959229837,0.19619975250489002,0.18017910130001463,0.2051015927507884,0.18423748885606694,0.1850624725559858,0.17653320559392174,0.17765092544542466,0.20688462203770974,0.20688462203770974,0.17073170731707318,0.17073170731707318,0.17882187005176106,0.11602996553697124,0.17065187018482297,0.16144398759863213,0.16930794512527778,0.16427820579351457,0.17647998083908825,0.10265724588506114,0.1746171144199167,0.17111758678961586,0.17606748898912886,0.21752957300440434,0.24596489827418733,0.17530903623275185,0.14230968823599857,0.16115125144704803
Lexicographic Chamberlin-Courant (lex-CC),0.26689952496906316,0.17923436190172048,0.2895160539166766,0.27785983260814606,0.17095791252511544,0.05177438026426091,0.15497717988636514,0.0,0.0,0.0,0.0,0.05841416842973667,0.0,0.05841416842973667,0.26569797612869744,0.05841416842973667,0.0,0.25252484930741287,0.2556917222200045,0.18318629994810587,0.21814165768498928,0.15388607241227895,0.16029965536971244,0.1632935478290953,0.13299535614014077,0.20844144611658882,0.179686772317805,0.17795696778571712,0.17520258672308492,0.26788019107686983,0.18202866153047784,0.16683299402552126,0.171556691016992,0.19299296102617328,0.21256636461618297,0.17626708181975437,0.17972669088393012,0.19251393823267202,0.18236131624818702,0.19303287959229837,0.19619975250489002,0.18017910130001463,0.2051015927507884,0.18423748885606694,0.1850624725559858,0.17653320559392174,0.17765092544542466,0.20688462203770974,0.20688462203770974,0.17073170731707318,0.17073170731707318,0.17882187005176106,0.11602996553697124,0.17065187018482297,0.16144398759863213,0.16930794512527778,0.16427820579351457,0.17647998083908825,0.10265724588506114,0.1746171144199167,0.17111758678961586,0.17606748898912886,0.21752957300440434,0.24596489827418733,0.17530903623275185,0.14230968823599857,0.16115125144704803
Sequential Approval Chamberlin-Courant (seq-CC),0.2686665868295344,0.18622011097361382,0.3050177637619257,0.27809934400489666,0.1695474565220284,0.007411547110561122,0.16108472050350617,0.05841416842973667,0.05841416842973667,0.05841416842973667,0.05841416842973667,0.0,0.05841416842973667,0.0,0.2871874708927122,0.0,0.05841416842973667,0.2526179926283715,0.2527643607041635,0.17959362899684644,0.21540058281106542,0.14884302689180737,0.15511024177344884,0.15838356419570743,0.1176400143706838,0.20615278165874948,0.17437760302316607,0.17324657698295476,0.17178289622503426,0.2452596702726438,0.1763336127632962,0.1609915771825476,0.17033252165582213,0.1785158277114686,0.2006972442883185,0.1706784825622397,0.17166314052665896,0.1796468537516799,0.1734461698135803,0.17852913390017697,0.18131012734022595,0.17318004603941292,0.1907176027570423,0.175495322874669,0.1781432544276343,0.17047888973161418,0.17054542067515602,0.19316594147938207,0.19316594147938207,0.16977366173007066,0.16977366173007066,0.17431107207962424,0.09545859779383391,0.16916157704948573,0.156454166832994,0.1611246390696313,0.1584367889505409,0.17043897116548906,0.0698042659640999,0.1715167724508669,0.16990672361715434,0.17002647931552967,0.21480180431918885,0.22565965430521737,0.17429776589091586,0.14088592604420316,0.1585964632150413
Monroe's Approval Rule (Monroe),0.26689952496906316,0.17923436190172048,0.2895160539166766,0.27785983260814606,0.17095791252511544,0.05177438026426091,0.15497717988636514,0.0,0.0,0.0,0.0,0.05841416842973667,0.0,0.05841416842973667,0.26569797612869744,0.05841416842973667,0.0,0.25252484930741287,0.2556917222200045,0.18318629994810587,0.21814165768498928,0.15388607241227895,0.16029965536971244,0.1632935478290953,0.13299535614014077,0.20844144611658882,0.179686772317805,0.17795696778571712,0.17520258672308492,0.26788019107686983,0.18202866153047784,0.16683299402552126,0.171556691016992,0.19299296102617328,0.21256636461618297,0.17626708181975437,0.17972669088393012,0.19251393823267202,0.18236131624818702,0.19303287959229837,0.19619975250489002,0.18017910130001463,0.2051015927507884,0.18423748885606694,0.1850624725559858,0.17653320559392174,0.17765092544542466,0.20688462203770974,0.20688462203770974,0.17073170731707318,0.17073170731707318,0.17882187005176106,0.11602996553697124,0.17065187018482297,0.16144398759863213,0.16930794512527778,0.16427820579351457,0.17647998083908825,0.10265724588506114,0.1746171144199167,0.17111758678961586,0.17606748898912886,0.21752957300440434,0.24596489827418733,0.17530903623275185,0.14230968823599857,0.16115125144704803
