,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.27500698574907184,0.0,0.3333333333333333,0.2779130573629795,0.04633214908253829,0.25094141285111704,0.13817146354769602,0.0,0.0,0.27185874150067196,0.0,0.28439317126395486,0.2718454353119636,0.12462576344257714,0.27185874150067196,0.03854802868814285,0.0,0.1489627825901827
Max Violations Committee,0.25275970353811555,0.3333333333333333,0.0,0.2788844091386904,0.32779795883065216,0.28761326893138,0.3078652881455165,0.3333333333333333,0.3333333333333333,0.06147459183266137,0.3333333333333333,0.3333333333333333,0.06148789802136974,0.31739251926070816,0.06147459183266137,0.3333333333333333,0.3333333333333333,0.3068939363698056
Random Choice,0.2777061461285645,0.2779130573629795,0.2788844091386904,0.0,0.27684856226631005,0.2782457120806887,0.27758040264527034,0.2779130573629795,0.2779130573629795,0.2788844091386904,0.2779130573629795,0.27849852966614774,0.2788844091386904,0.2764892951711841,0.2788844091386904,0.27736750362593643,0.2779130573629795,0.2768352560776017
Borda ranking,0.2768252764360704,0.04633214908253829,0.32779795883065216,0.27684856226631005,0.0,0.23744893750083162,0.11165222945191809,0.04633214908253829,0.04633214908253829,0.2788045720064402,0.04633214908253829,0.2773941160033532,0.27879126581773184,0.12310885792982317,0.2788045720064402,0.045547083948744564,0.04633214908253829,0.15069258712227057
Plurality ranking,0.28031149787766296,0.25094141285111704,0.28761326893138,0.2782457120806887,0.23744893750083162,0.0,0.16735193538514764,0.25094141285111704,0.25094141285111704,0.28342181948824396,0.25094141285111704,0.2625311032161058,0.28343512567695234,0.2650193605045707,0.28342181948824396,0.24955756922544675,0.25094141285111704,0.2728034808989661
STV,0.2771938578632922,0.13817146354769602,0.3078652881455165,0.27758040264527034,0.11165222945191809,0.16735193538514764,0.0,0.13817146354769602,0.13817146354769602,0.27867151011935654,0.13817146354769602,0.2776336274001038,0.27865820393064816,0.1842241826673586,0.27867151011935654,0.1371734993945684,0.13817146354769602,0.20446289569278672
Approval Voting (AV),0.27500698574907184,0.0,0.3333333333333333,0.2779130573629795,0.04633214908253829,0.25094141285111704,0.13817146354769602,0.0,0.0,0.27185874150067196,0.0,0.28439317126395486,0.2718454353119636,0.12462576344257714,0.27185874150067196,0.03854802868814285,0.0,0.1489627825901827
Proportional Approval Voting (PAV),0.27500698574907184,0.0,0.3333333333333333,0.2779130573629795,0.04633214908253829,0.25094141285111704,0.13817146354769602,0.0,0.0,0.27185874150067196,0.0,0.28439317126395486,0.2718454353119636,0.12462576344257714,0.27185874150067196,0.03854802868814285,0.0,0.1489627825901827
Approval Chamberlin-Courant (CC),0.24986560749404543,0.27185874150067196,0.06147459183266137,0.2788844091386904,0.2788045720064402,0.28342181948824396,0.27867151011935654,0.27185874150067196,0.27185874150067196,0.0,0.27185874150067196,0.3333333333333333,1.3306188708368262e-05,0.291299083203598,0.0,0.28472582598166407,0.27185874150067196,0.2782590182693971
Lexicographic Chamberlin-Courant (lex-CC),0.27500698574907184,0.0,0.3333333333333333,0.2779130573629795,0.04633214908253829,0.25094141285111704,0.13817146354769602,0.0,0.0,0.27185874150067196,0.0,0.28439317126395486,0.2718454353119636,0.12462576344257714,0.27185874150067196,0.03854802868814285,0.0,0.1489627825901827
Sequential Approval Chamberlin-Courant (seq-CC),0.2999760488603249,0.28439317126395486,0.3333333333333333,0.27849852966614774,0.2773941160033532,0.2625311032161058,0.2776336274001038,0.28439317126395486,0.28439317126395486,0.3333333333333333,0.28439317126395486,0.0,0.3333333333333333,0.2643939696352774,0.3333333333333333,0.27124665682008703,0.28439317126395486,0.2777533830984791
Monroe's Approval Rule (Monroe),0.24986693811291627,0.2718454353119636,0.06148789802136974,0.2788844091386904,0.27879126581773184,0.28343512567695234,0.27865820393064816,0.2718454353119636,0.2718454353119636,1.3306188708368262e-05,0.2718454353119636,0.3333333333333333,0.0,0.2912857770148896,1.3306188708368262e-05,0.2847125197929557,0.2718454353119636,0.2782457120806887
Greedy Monroe,0.28036605325136726,0.12462576344257714,0.31739251926070816,0.2764892951711841,0.12310885792982317,0.2650193605045707,0.1842241826673586,0.12462576344257714,0.12462576344257714,0.291299083203598,0.12462576344257714,0.2643939696352774,0.2912857770148896,0.0,0.291299083203598,0.11524490040317752,0.12462576344257714,0.15795776615703963
Minimax Approval Voting (MAV),0.24986560749404543,0.27185874150067196,0.06147459183266137,0.2788844091386904,0.2788045720064402,0.28342181948824396,0.27867151011935654,0.27185874150067196,0.27185874150067196,0.0,0.27185874150067196,0.3333333333333333,1.3306188708368262e-05,0.291299083203598,0.0,0.28472582598166407,0.27185874150067196,0.2782590182693971
Method of Equal Shares (aka Rule X) with Phragmén phase,0.2784100435112371,0.03854802868814285,0.3333333333333333,0.27736750362593643,0.045547083948744564,0.24955756922544675,0.1371734993945684,0.03854802868814285,0.03854802868814285,0.28472582598166407,0.03854802868814285,0.27124665682008703,0.2847125197929557,0.11524490040317752,0.28472582598166407,0.0,0.03854802868814285,0.14932204968530863
E Pluribus Hugo (EPH),0.27500698574907184,0.0,0.3333333333333333,0.2779130573629795,0.04633214908253829,0.25094141285111704,0.13817146354769602,0.0,0.0,0.27185874150067196,0.0,0.28439317126395486,0.2718454353119636,0.12462576344257714,0.27185874150067196,0.03854802868814285,0.0,0.1489627825901827
Random Serial Dictator,0.2770521469535481,0.1489627825901827,0.3068939363698056,0.2768352560776017,0.15069258712227057,0.2728034808989661,0.20446289569278672,0.1489627825901827,0.1489627825901827,0.2782590182693971,0.1489627825901827,0.2777533830984791,0.2782457120806887,0.15795776615703963,0.2782590182693971,0.14932204968530863,0.1489627825901827,0.0
NN,,0.27500698574907184,0.25275970353811555,0.2777061461285645,0.2768252764360704,0.28031149787766296,0.2771938578632922,0.27500698574907184,0.27500698574907184,0.24986560749404543,0.27500698574907184,0.2999760488603249,0.24986693811291627,0.28036605325136726,0.24986560749404543,0.2784100435112371,0.27500698574907184,0.2770521469535481
