,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.2413065916957977,0.0,0.22293948915640666,0.24554480288782313,0.10100537760112228,0.17644006227296316,0.10200904440655349,0.1701329288251966,0.1701329288251966,0.1701329288251966,0.1701329288251966,0.17761480864750195,0.1701329288251966,0.17761480864750195,0.187320722868206,0.17761480864750195,0.1701329288251966,0.23283929355543262,0.19759690231926869,0.15052721020546656,0.13938422760425875,0.12299480488375143,0.09679682020107552,0.10189499136048176,0.14680908090352823,0.1207023386577097,0.09241718323192116,0.09015893291970095,0.0857792959505466,0.2472327879696847,0.09748113847750589,0.10399356740820155,0.07589089685612778,0.13159440455755972,0.14789258484120965,0.08211819317164414,0.08834548948716048,0.12680417662254714,0.08985098969530729,0.1317654841266673,0.1382322918389343,0.09354630838803127,0.1458966565349544,0.0899308268275575,0.09466402823953421,0.08580210655976095,0.09472105476257008,0.14575979287966834,0.14575979287966834,0.06994873315579075,0.06994873315579075,0.08316748119550403,0.11507952348637351,0.08996504274137901,0.10434713185102391,0.11079112895407654,0.1058184161453492,0.08579070125515377,0.11681312978666378,0.07621024538512862,0.07300535479051307,0.087455875727801,0.13479929515217529,0.1671105231042958,0.10698175721528083,0.09972798348511892,0.0861556710025833
Max Violations Committee,0.2337625529633833,0.22293948915640666,0.0,0.24488329522060712,0.2718454353119636,0.26124990733190007,0.2637134531270494,0.24960509132797665,0.24960509132797665,0.24960509132797665,0.24960509132797665,0.26427231305280086,0.24960509132797665,0.26427231305280086,0.03561876628820064,0.26427231305280086,0.24960509132797665,0.24700468187754124,0.26307475606904773,0.2676596885211312,0.2689598932463489,0.2712067382539619,0.27522140547568674,0.2742747651932914,0.27313423473257414,0.2708075525927109,0.27747965578790695,0.2776849512708361,0.2771603072589061,0.2857142857142857,0.2777875990123006,0.2750275152973648,0.2767497162930479,0.28476764543189037,0.2857142857142857,0.28029676602587866,0.28420878550613893,0.28460797116738995,0.2857142857142857,0.28477905073649756,0.2857142857142857,0.28077578881937987,0.28570288040967856,0.2857142857142857,0.28498434621942664,0.2816654025787394,0.28226988372291956,0.2857142857142857,0.2857142857142857,0.27664706855158333,0.27664706855158333,0.27903077721448244,0.2725069429791796,0.2741949280610412,0.27388698483664753,0.27854034911637404,0.2742633598886842,0.2816539972741322,0.27221040505939315,0.27695501177597703,0.27614523514886774,0.28067314107791536,0.26859492349891934,0.27660144733315467,0.270750526069675,0.2717655981797134,0.27470816676836396
Random Choice,0.2448872870772196,0.24554480288782313,0.24488329522060712,0.0,0.24560182941085898,0.24476924217453538,0.24466659443307082,0.2447578368699282,0.2447578368699282,0.2447578368699282,0.2447578368699282,0.2449175111344286,0.2447578368699282,0.2449175111344286,0.2449289164390358,0.2449175111344286,0.2447578368699282,0.24476924217453538,0.24465518912846365,0.24521404905421512,0.24546496575557292,0.24536231801410835,0.24502015887589318,0.2451798331403936,0.24415335572574803,0.24535091270950118,0.24544215514635856,0.24535091270950118,0.2454307498417514,0.24449551486396323,0.2452254543588223,0.24519123844500076,0.24560182941085898,0.24468940504228517,0.24449551486396323,0.24508859070353622,0.24523685966342945,0.24482626869757124,0.2451798331403936,0.2446323785192493,0.24444989364553454,0.24516842783578643,0.24426740877181977,0.24476924217453538,0.24600101507211003,0.24537372331871554,0.24502015887589318,0.24455254138699908,0.24455254138699908,0.24549918166939444,0.24549918166939444,0.24524826496803664,0.24498594296207166,0.24557901880164465,0.24523685966342945,0.24537372331871554,0.2450999960081434,0.24537372331871554,0.24506578009432187,0.24537372331871554,0.24552199227860877,0.24557901880164465,0.24545356045096575,0.24515702253117924,0.24541934453714423,0.24499734826667882,0.24535091270950118
Borda ranking,0.2441094453030104,0.10100537760112228,0.2718454353119636,0.24560182941085898,0.0,0.16133943897306638,0.11404164076712078,0.16139646549610223,0.16139646549610223,0.16139646549610223,0.16139646549610223,0.16114554879474444,0.16139646549610223,0.16114554879474444,0.2461834999458248,0.16114554879474444,0.16139646549610223,0.23133379334728582,0.17435289152985053,0.12306323671139446,0.10210028684341087,0.11578665237201823,0.093660361434103,0.09968236226669024,0.13119521889630867,0.10849866272803481,0.09297604315767263,0.08842532661941069,0.08216381439007282,0.2321435699743951,0.09880415381193794,0.0995683092206185,0.04466317284168867,0.11140701540286387,0.14599930427641897,0.06709740700399756,0.08035037095753235,0.11376791345654864,0.08945180403405624,0.11166933740882885,0.11913981192652703,0.08849375844705372,0.1366697651077516,0.09435608501514055,0.10225996110791129,0.07841146917431298,0.08380617825350571,0.14021681484058235,0.14021681484058235,0.061976425235376977,0.061976425235376977,0.0900562851782364,0.11023226902832507,0.0134582594364639,0.10150721100383789,0.10308114303962773,0.10126769960708726,0.07838865856509862,0.11255895116818833,0.06756502449289165,0.04564402903790553,0.06355035727116681,0.09466402823953421,0.13337363207627867,0.035903898903379965,0.10134753673933747,0.07104364239807935
Plurality ranking,0.24271001442771037,0.17644006227296316,0.26124990733190007,0.24476924217453538,0.16133943897306638,0.0,0.1519870891951847,0.048483949885091554,0.048483949885091554,0.048483949885091554,0.048483949885091554,0.010253368841848343,0.048483949885091554,0.010253368841848343,0.24922871627593993,0.010253368841848343,0.048483949885091554,0.22412564083555261,0.22876759981067193,0.15894432500556008,0.18943070422053296,0.14201885296851566,0.15011661923960834,0.1504701836824307,0.10768888610092554,0.1929891592579709,0.16758954589779707,0.16655166317854433,0.1649777311427545,0.22474152728433994,0.1686958604446928,0.15362945305861755,0.16261683308906974,0.17090848953848434,0.18978426866335532,0.16344942032539334,0.16478384096443255,0.17192356164852274,0.16638058360943675,0.17106816380298476,0.17305268680463284,0.1655137804592916,0.1825419002378006,0.16838791722029917,0.16936877341651602,0.1649321099243258,0.16484086748746843,0.18499404072834275,0.18499404072834275,0.16332396197471444,0.16332396197471444,0.16705349658125995,0.08465017079443649,0.16205797316331827,0.14888484634203367,0.1540286387198686,0.15098342238975349,0.16495492053354016,0.06708600169939039,0.16396265903271612,0.1622974845600689,0.16397406433732328,0.1940612578910451,0.19571502705908517,0.165935776729757,0.13246120770770486,0.15263719155779354
STV,0.245369731462103,0.10200904440655349,0.2637134531270494,0.24466659443307082,0.11404164076712078,0.1519870891951847,0.0,0.14692313394959997,0.14692313394959997,0.14692313394959997,0.14692313394959997,0.15243189607486443,0.14692313394959997,0.15243189607486443,0.2346527369879731,0.15243189607486443,0.14692313394959997,0.229497539305531,0.20789589237954573,0.13880255706929293,0.14652394828834892,0.06437153920288326,0.09247420975495703,0.07352999880244301,0.11908278540349117,0.14415164493005697,0.10806526115296224,0.1056929577946703,0.10272757859680537,0.24328655257560292,0.11286689439258199,0.08118295819385596,0.095838774614073,0.13648728023403686,0.1585223287350947,0.10241963537241171,0.10912595448142931,0.13912190559829377,0.11372229223811994,0.13669257571696597,0.14349013726284096,0.10962778788414491,0.15399442280604708,0.11713247831566462,0.11837565651784646,0.10634306015727915,0.11032351146518246,0.15513495326676438,0.15513495326676438,0.09343225534195955,0.09343225534195955,0.10311535895344925,0.10993573110853858,0.10668521929549434,0.07122612727179412,0.08340699259225466,0.07640413556345056,0.10627462832963612,0.11234225038065204,0.09883836972575945,0.09748113847750589,0.10568155249006313,0.14699156577724298,0.17137610702737843,0.11833003529941775,0.08556259516301032,0.09061514510398787
Approval Voting (AV),0.2452226030326705,0.1701329288251966,0.24960509132797665,0.2447578368699282,0.16139646549610223,0.048483949885091554,0.14692313394959997,0.0,0.0,0.0,0.0,0.057585382961615444,0.0,0.057585382961615444,0.23477819533865202,0.057585382961615444,0.0,0.22382910291576613,0.23141363047953603,0.16180705646196045,0.19093620442867978,0.14516671704009534,0.15259157033936485,0.15300216130522307,0.12048563787017341,0.19404985258643795,0.16968812194551686,0.16855899678940675,0.16656306848315153,0.24423319285799824,0.17175248207941513,0.15648077921041076,0.1626282383936769,0.1821199039673352,0.1999349897637391,0.16555940167772032,0.16948282646258775,0.1819032031797989,0.1726078799249531,0.1822909835364428,0.18511949907902164,0.1703382243081257,0.19420952685093837,0.17498018328324505,0.17521969467999565,0.1678290572945477,0.16906083019212237,0.19626248168022947,0.19626248168022947,0.16218343151399717,0.16218343151399717,0.16906083019212237,0.10279601042444841,0.16198954133567522,0.15146244518325472,0.16038139338606386,0.15376631671390364,0.16780624668533334,0.09459559641189116,0.16407671207878785,0.1618298670711748,0.1669850647536169,0.19521319365636958,0.2048848919632521,0.16555940167772032,0.1315145674253095,0.15283108173611545
Proportional Approval Voting (PAV),0.2452226030326705,0.1701329288251966,0.24960509132797665,0.2447578368699282,0.16139646549610223,0.048483949885091554,0.14692313394959997,0.0,0.0,0.0,0.0,0.057585382961615444,0.0,0.057585382961615444,0.23477819533865202,0.057585382961615444,0.0,0.22382910291576613,0.23141363047953603,0.16180705646196045,0.19093620442867978,0.14516671704009534,0.15259157033936485,0.15300216130522307,0.12048563787017341,0.19404985258643795,0.16968812194551686,0.16855899678940675,0.16656306848315153,0.24423319285799824,0.17175248207941513,0.15648077921041076,0.1626282383936769,0.1821199039673352,0.1999349897637391,0.16555940167772032,0.16948282646258775,0.1819032031797989,0.1726078799249531,0.1822909835364428,0.18511949907902164,0.1703382243081257,0.19420952685093837,0.17498018328324505,0.17521969467999565,0.1678290572945477,0.16906083019212237,0.19626248168022947,0.19626248168022947,0.16218343151399717,0.16218343151399717,0.16906083019212237,0.10279601042444841,0.16198954133567522,0.15146244518325472,0.16038139338606386,0.15376631671390364,0.16780624668533334,0.09459559641189116,0.16407671207878785,0.1618298670711748,0.1669850647536169,0.19521319365636958,0.2048848919632521,0.16555940167772032,0.1315145674253095,0.15283108173611545
Approval Chamberlin-Courant (CC),0.2452226030326705,0.1701329288251966,0.24960509132797665,0.2447578368699282,0.16139646549610223,0.048483949885091554,0.14692313394959997,0.0,0.0,0.0,0.0,0.057585382961615444,0.0,0.057585382961615444,0.23477819533865202,0.057585382961615444,0.0,0.22382910291576613,0.23141363047953603,0.16180705646196045,0.19093620442867978,0.14516671704009534,0.15259157033936485,0.15300216130522307,0.12048563787017341,0.19404985258643795,0.16968812194551686,0.16855899678940675,0.16656306848315153,0.24423319285799824,0.17175248207941513,0.15648077921041076,0.1626282383936769,0.1821199039673352,0.1999349897637391,0.16555940167772032,0.16948282646258775,0.1819032031797989,0.1726078799249531,0.1822909835364428,0.18511949907902164,0.1703382243081257,0.19420952685093837,0.17498018328324505,0.17521969467999565,0.1678290572945477,0.16906083019212237,0.19626248168022947,0.19626248168022947,0.16218343151399717,0.16218343151399717,0.16906083019212237,0.10279601042444841,0.16198954133567522,0.15146244518325472,0.16038139338606386,0.15376631671390364,0.16780624668533334,0.09459559641189116,0.16407671207878785,0.1618298670711748,0.1669850647536169,0.19521319365636958,0.2048848919632521,0.16555940167772032,0.1315145674253095,0.15283108173611545
Lexicographic Chamberlin-Courant (lex-CC),0.2452226030326705,0.1701329288251966,0.24960509132797665,0.2447578368699282,0.16139646549610223,0.048483949885091554,0.14692313394959997,0.0,0.0,0.0,0.0,0.057585382961615444,0.0,0.057585382961615444,0.23477819533865202,0.057585382961615444,0.0,0.22382910291576613,0.23141363047953603,0.16180705646196045,0.19093620442867978,0.14516671704009534,0.15259157033936485,0.15300216130522307,0.12048563787017341,0.19404985258643795,0.16968812194551686,0.16855899678940675,0.16656306848315153,0.24423319285799824,0.17175248207941513,0.15648077921041076,0.1626282383936769,0.1821199039673352,0.1999349897637391,0.16555940167772032,0.16948282646258775,0.1819032031797989,0.1726078799249531,0.1822909835364428,0.18511949907902164,0.1703382243081257,0.19420952685093837,0.17498018328324505,0.17521969467999565,0.1678290572945477,0.16906083019212237,0.19626248168022947,0.19626248168022947,0.16218343151399717,0.16218343151399717,0.16906083019212237,0.10279601042444841,0.16198954133567522,0.15146244518325472,0.16038139338606386,0.15376631671390364,0.16780624668533334,0.09459559641189116,0.16407671207878785,0.1618298670711748,0.1669850647536169,0.19521319365636958,0.2048848919632521,0.16555940167772032,0.1315145674253095,0.15283108173611545
