,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.05871735944387735,0.0,0.25450937230906095,0.24444989364553454,0.07793244638081172,0.06918457774711018,0.04994382887480967,0.0678729677172853,0.0678729677172853,0.0678729677172853,0.0678729677172853,0.0694697103622895,0.0678729677172853,0.0694697103622895,0.20268366817406777,0.0694697103622895,0.0678729677172853,0.1379699698329693,0.23107147134132086,0.13719440911968156,0.17003028108373205,0.05505340533882309,0.04078536927524992,0.04183465729910982,0.05847499672097493,0.04563262373329836,0.0400782403896052,0.03886927810124489,0.03781999007738499,0.11590070541808996,0.041184554936500965,0.04341999463950683,0.03631448986923818,0.053080287641782194,0.05771084131229435,0.039245653153281594,0.040808179884464266,0.05142651847374214,0.042199627046539345,0.053091692946389366,0.05476827272364377,0.040865206407500125,0.056672958593041625,0.04221103235114652,0.04338577872568532,0.037991069646492584,0.040169482826462585,0.05701511773125681,0.05701511773125681,0.033565811458909536,0.033565811458909536,0.0376489105082774,0.04311205141511317,0.04113893371807228,0.04271286575386212,0.04339718403029249,0.043591074208614425,0.03796825903727824,0.04296378245521992,0.03571000872505802,0.0347975843564842,0.03859555079067274,0.07124893788100846,0.07819476838677669,0.058532023244010786,0.042496164966325835,0.03875522505517316
Max Violations Committee,0.2647661627422914,0.25450937230906095,0.0,0.24415335572574803,0.2778446255353365,0.2762022616719036,0.2767839322068694,0.27458270841768506,0.27458270841768506,0.27458270841768506,0.27458270841768506,0.2767040950746192,0.27458270841768506,0.2767040950746192,0.14481315259727298,0.2767040950746192,0.27458270841768506,0.2633826992934414,0.27601977679818884,0.2758372919244741,0.27468535615914963,0.2791106143467327,0.2810267055207377,0.28079859942859425,0.27940715226651913,0.2797835273185559,0.28134605404973856,0.28125481161288113,0.2810951373483807,0.2857142857142857,0.28142589118198874,0.28106092143455924,0.2811065426529879,0.2854975849267494,0.28474483482267604,0.2835928990573516,0.28447110751210386,0.2853493159668562,0.2857142857142857,0.2854975849267494,0.28570288040967856,0.28293139139013557,0.2857142857142857,0.2857142857142857,0.2855089902313566,0.2821786412860621,0.2827146906025993,0.2852580735299988,0.2852580735299988,0.2809696789977018,0.2809696789977018,0.28182507684323976,0.2803537925489145,0.2804678455949862,0.28087843656084444,0.28142589118198874,0.280981084302309,0.2822014518952765,0.28028536072127147,0.28125481161288113,0.2813232434405242,0.28192772458470433,0.2768637693391196,0.2810153002161305,0.2776849512708361,0.27995460688766344,0.2809468683884875
Random Choice,0.24443050462770236,0.24444989364553454,0.24415335572574803,0.0,0.24460956791003496,0.2448490793067856,0.24426740877181977,0.24490610582982145,0.24490610582982145,0.24490610582982145,0.24490610582982145,0.24481486339296407,0.24490610582982145,0.24481486339296407,0.24299001465581643,0.24481486339296407,0.24490610582982145,0.24545356045096575,0.2458071248937881,0.24495172704825013,0.24579571958918092,0.24448410955935607,0.24465518912846365,0.2443016246856413,0.24441567773171302,0.24451832547317756,0.24435865120867717,0.24424459816260544,0.24443848834092738,0.24466659443307082,0.24431302999024845,0.24422178755339108,0.2447578368699282,0.24435865120867717,0.24459816260542777,0.24460956791003496,0.2446323785192493,0.2442560034672126,0.2443358405994628,0.24435865120867717,0.24431302999024845,0.24465518912846365,0.24449551486396323,0.2445867573008206,0.24443848834092738,0.2444612989501417,0.24456394669160628,0.24457535199621344,0.24457535199621344,0.24449551486396323,0.24449551486396323,0.24443848834092738,0.24456394669160628,0.24488329522060712,0.2442560034672126,0.24410773450731935,0.24432443529485565,0.24443848834092738,0.24456394669160628,0.2446437838238565,0.2447122156514995,0.24456394669160628,0.24507718539892903,0.2452254543588223,0.24500875357128601,0.24437005651328433,0.2443814618178915
Borda ranking,0.07701089776855216,0.07793244638081172,0.2778446255353365,0.24460956791003496,0.0,0.09719600586232657,0.08553978455379598,0.09717319525311222,0.09717319525311222,0.09717319525311222,0.09717319525311222,0.09715038464389787,0.09717319525311222,0.09715038464389787,0.23375171792400645,0.09715038464389787,0.09717319525311222,0.14883922512360498,0.21575414725388778,0.10887503778007152,0.1241011194306472,0.08617848161179764,0.07333610862412109,0.07654099921873664,0.08866483801616132,0.06977765358668317,0.07290270704904851,0.0700171649834338,0.06856869129832285,0.13452556784160313,0.07484160883226788,0.07617602947130711,0.052715317894352666,0.07662083635098685,0.08826565235491027,0.06283182308091494,0.06604811898013767,0.07713407505830962,0.07217276755418946,0.07663224165559401,0.07854833282959904,0.07056461960457809,0.08454752305297193,0.0756285748501628,0.07455647621708857,0.06545504314056468,0.06699475926253301,0.0862811293532622,0.0862811293532622,0.06104119025758881,0.06104119025758881,0.07307378661815611,0.07624446129895014,0.037295346065455044,0.07731655993202438,0.07739639706427459,0.07683753713852312,0.06542082722674315,0.07711126444909527,0.06310555039148708,0.05111857524934847,0.05855483385322514,0.06937846792543212,0.08136544306757072,0.05550961752311,0.07631289312659317,0.07168233945608102
Plurality ranking,0.052074910040659915,0.06918457774711018,0.2762022616719036,0.2448490793067856,0.09719600586232657,0.0,0.0501833402715603,0.008599599673808288,0.008599599673808288,0.008599599673808288,0.008599599673808288,0.00212138665693414,0.008599599673808288,0.00212138665693414,0.23431057784975792,0.00212138665693414,0.008599599673808288,0.12584613103554462,0.23618104780533425,0.14861111903146154,0.18858671167960217,0.04806195361462616,0.051289654818456064,0.05687825407597073,0.04175482016685961,0.062352800287413676,0.058303917151867335,0.05674139042068466,0.0569352805990066,0.1121483602023301,0.059695364313942414,0.05863467098547535,0.06198783053998415,0.06795280484953552,0.07715688566752396,0.06350473605273813,0.06253528516112844,0.06757642979749881,0.06422327024299002,0.06792999424032117,0.0689678769595739,0.06033406137194409,0.07364405184851475,0.0664473046413887,0.06593406593406594,0.05607988275346864,0.055897397879753875,0.0751267414474472,0.0751267414474472,0.057209007909578745,0.057209007909578745,0.059706769618549586,0.03259636056729985,0.06682367969342541,0.0542094127978923,0.05524729551714502,0.05639923128246948,0.056114098667290155,0.0275438106263223,0.06090432660230273,0.06410921719691828,0.057745057226115865,0.09120822094356085,0.09082044058691698,0.07459069213091009,0.04952183260434428,0.05507621594803743
STV,0.055757112633085644,0.04994382887480967,0.2767839322068694,0.24426740877181977,0.08553978455379598,0.0501833402715603,0.0,0.04916826816152192,0.04916826816152192,0.04916826816152192,0.04916826816152192,0.050365825145275066,0.04916826816152192,0.050365825145275066,0.2303301265418546,0.050365825145275066,0.04916826816152192,0.130556521838307,0.23087758116299892,0.14268036063573167,0.1788579868496838,0.01607007419150647,0.03732956197927656,0.029676602587863615,0.030417947387329846,0.05521307960332351,0.04246194905250432,0.0432261044611849,0.043362968116470973,0.11331170127226173,0.04290675593218406,0.03302976214237242,0.04534749111811904,0.05665014798382728,0.06526115296224273,0.048563787017341764,0.04915686285691475,0.05727743973722178,0.050525499409775486,0.05666155328843445,0.058440780807153404,0.04644240036040762,0.06268355412102168,0.05320574599246109,0.051700245784314286,0.0459519722622992,0.046008998785335056,0.063892516409382,0.063892516409382,0.043431399944114005,0.043431399944114005,0.04067131622917819,0.0412986079825727,0.05208802614095816,0.025513666406245545,0.02696214009135649,0.028866825960754346,0.0459063510438705,0.04120736554571531,0.04605462000376375,0.04753730960269621,0.04592916165308485,0.08159354915971419,0.08366931459821964,0.06577439166956552,0.036132004995523416,0.03438699339062598
Approval Voting (AV),0.0512685550049328,0.0678729677172853,0.27458270841768506,0.24490610582982145,0.09717319525311222,0.008599599673808288,0.04916826816152192,0.0,0.0,0.0,0.0,0.010538501457027663,0.0,0.010538501457027663,0.23212075936518076,0.010538501457027663,0.0,0.12550397189732945,0.23668288120804987,0.1490103046927126,0.18909995038692495,0.048495355189698726,0.05181429883038601,0.057505545829365234,0.043454210553328355,0.06215891010909174,0.05888558768683315,0.05725462912800744,0.05709495486350702,0.11543308792919586,0.06026562954430106,0.059398826394155925,0.06199923584459132,0.06994873315579075,0.07879924953095685,0.06400656945545373,0.06355035727116681,0.06952673688532536,0.06571736514652965,0.06992592254657641,0.0711462901395439,0.061018379648374456,0.07566279076398433,0.06803264198178573,0.06705178578556886,0.05679841694372052,0.05677560633450618,0.07707704853527375,0.07707704853527375,0.05708354955889985,0.05708354955889985,0.060242818935086706,0.035595955678986296,0.06680086908421107,0.05477967802825094,0.05617112519032602,0.056992307122042465,0.05684403816214922,0.031763773330976235,0.060710436423980794,0.06399516415084656,0.05839515958872472,0.09152756947256169,0.09221188774899206,0.07503549901058983,0.04901999920162868,0.05560085995996738
Proportional Approval Voting (PAV),0.0512685550049328,0.0678729677172853,0.27458270841768506,0.24490610582982145,0.09717319525311222,0.008599599673808288,0.04916826816152192,0.0,0.0,0.0,0.0,0.010538501457027663,0.0,0.010538501457027663,0.23212075936518076,0.010538501457027663,0.0,0.12550397189732945,0.23668288120804987,0.1490103046927126,0.18909995038692495,0.048495355189698726,0.05181429883038601,0.057505545829365234,0.043454210553328355,0.06215891010909174,0.05888558768683315,0.05725462912800744,0.05709495486350702,0.11543308792919586,0.06026562954430106,0.059398826394155925,0.06199923584459132,0.06994873315579075,0.07879924953095685,0.06400656945545373,0.06355035727116681,0.06952673688532536,0.06571736514652965,0.06992592254657641,0.0711462901395439,0.061018379648374456,0.07566279076398433,0.06803264198178573,0.06705178578556886,0.05679841694372052,0.05677560633450618,0.07707704853527375,0.07707704853527375,0.05708354955889985,0.05708354955889985,0.060242818935086706,0.035595955678986296,0.06680086908421107,0.05477967802825094,0.05617112519032602,0.056992307122042465,0.05684403816214922,0.031763773330976235,0.060710436423980794,0.06399516415084656,0.05839515958872472,0.09152756947256169,0.09221188774899206,0.07503549901058983,0.04901999920162868,0.05560085995996738
Approval Chamberlin-Courant (CC),0.0512685550049328,0.0678729677172853,0.27458270841768506,0.24490610582982145,0.09717319525311222,0.008599599673808288,0.04916826816152192,0.0,0.0,0.0,0.0,0.010538501457027663,0.0,0.010538501457027663,0.23212075936518076,0.010538501457027663,0.0,0.12550397189732945,0.23668288120804987,0.1490103046927126,0.18909995038692495,0.048495355189698726,0.05181429883038601,0.057505545829365234,0.043454210553328355,0.06215891010909174,0.05888558768683315,0.05725462912800744,0.05709495486350702,0.11543308792919586,0.06026562954430106,0.059398826394155925,0.06199923584459132,0.06994873315579075,0.07879924953095685,0.06400656945545373,0.06355035727116681,0.06952673688532536,0.06571736514652965,0.06992592254657641,0.0711462901395439,0.061018379648374456,0.07566279076398433,0.06803264198178573,0.06705178578556886,0.05679841694372052,0.05677560633450618,0.07707704853527375,0.07707704853527375,0.05708354955889985,0.05708354955889985,0.060242818935086706,0.035595955678986296,0.06680086908421107,0.05477967802825094,0.05617112519032602,0.056992307122042465,0.05684403816214922,0.031763773330976235,0.060710436423980794,0.06399516415084656,0.05839515958872472,0.09152756947256169,0.09221188774899206,0.07503549901058983,0.04901999920162868,0.05560085995996738
Lexicographic Chamberlin-Courant (lex-CC),0.0512685550049328,0.0678729677172853,0.27458270841768506,0.24490610582982145,0.09717319525311222,0.008599599673808288,0.04916826816152192,0.0,0.0,0.0,0.0,0.010538501457027663,0.0,0.010538501457027663,0.23212075936518076,0.010538501457027663,0.0,0.12550397189732945,0.23668288120804987,0.1490103046927126,0.18909995038692495,0.048495355189698726,0.05181429883038601,0.057505545829365234,0.043454210553328355,0.06215891010909174,0.05888558768683315,0.05725462912800744,0.05709495486350702,0.11543308792919586,0.06026562954430106,0.059398826394155925,0.06199923584459132,0.06994873315579075,0.07879924953095685,0.06400656945545373,0.06355035727116681,0.06952673688532536,0.06571736514652965,0.06992592254657641,0.0711462901395439,0.061018379648374456,0.07566279076398433,0.06803264198178573,0.06705178578556886,0.05679841694372052,0.05677560633450618,0.07707704853527375,0.07707704853527375,0.05708354955889985,0.05708354955889985,0.060242818935086706,0.035595955678986296,0.06680086908421107,0.05477967802825094,0.05617112519032602,0.056992307122042465,0.05684403816214922,0.031763773330976235,0.060710436423980794,0.06399516415084656,0.05839515958872472,0.09152756947256169,0.09221188774899206,0.07503549901058983,0.04901999920162868,0.05560085995996738
