,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator,Anti-Plurality,Two-Approval,Three-Approval,Instant Runoff,Bottom-Two-Runoff Instant Runoff,Benham,PluralityWRunoff PUT,Coombs,Baldwin,Strict Nanson,Weak Nanson,Iterated Removal Condorcet Loser,Raynaud,Tideman Alternative Top Cycle,Knockout Voting,Banks,Condorcet,Copeland,Llull,Uncovered Set,Uncovered Set - Fishburn,Uncovered Set - Bordes,Uncovered Set - McKelvey,Slater,Top Cycle,GOCHA,Bipartisan Set,Minimax,Split Cycle,Ranked Pairs ZT,Ranked Pairs TB,Simple Stable Voting,Stable Voting,Loss-Trimmer Voting,Daunou,Blacks,Condorcet IRV,Condorcet IRV PUT,Smith IRV,Smith-Minimax,Condorcet Plurality,Copeland-Local-Borda,Copeland-Global-Borda,Borda-Minimax Faceoff,Bucklin,Simplified Bucklin,Weighted Bucklin,Bracket Voting,Superior Voting
Min Violations Committee,0.17263981477785317,0.0,0.2857142857142857,0.24516842783578643,0.00566843638976488,0.09362614552028148,0.11270722012808157,0.09371738795713887,0.09371738795713887,0.09371738795713887,0.09371738795713887,0.09289620602542242,0.09371738795713887,0.09289620602542242,0.2448376740021784,0.09289620602542242,0.09371738795713887,0.19579486419133538,0.22890446346595802,0.026984950700570835,0.009409376300917557,0.12042861134713756,0.004870065067262784,0.00346721260058053,0.034329966867590114,0.004904280981084302,0.0049156862856914755,0.0049156862856914755,0.004904280981084302,0.0700171649834338,0.0049156862856914755,0.004904280981084302,0.0027258678011142985,0.0049156862856914755,0.0049156862856914755,0.004904280981084302,0.0049156862856914755,0.0049156862856914755,0.0049156862856914755,0.0049156862856914755,0.0049156862856914755,0.0049156862856914755,0.0049156862856914755,0.0049156862856914755,0.00240651927211346,0.0049156862856914755,0.0049156862856914755,0.0049156862856914755,0.0049156862856914755,0.002577598841221052,0.002577598841221052,0.0049156862856914755,0.004550716538261945,0.0027258678011142985,0.003478617905187703,0.003478617905187703,0.004904280981084302,0.0049156862856914755,0.002509167013578015,0.004904280981084302,0.0027258678011142985,0.0049156862856914755,0.023768654801348106,0.08872186453919718,0.01815724493461909,0.002474951099756497,0.002474951099756497
Max Violations Committee,0.26216860461800784,0.2857142857142857,0.0,0.24447270425474887,0.28565725919124985,0.2842772173337819,0.2833761982698153,0.2839008422817452,0.2839008422817452,0.2839008422817452,0.2839008422817452,0.2844026756844608,0.2839008422817452,0.2844026756844608,0.2212400987699379,0.2844026756844608,0.2839008422817452,0.2783464589380521,0.2857142857142857,0.285337910662249,0.285600232668214,0.28393505819556675,0.2857142857142857,0.2857142857142857,0.2853265053576418,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.28514402048392706,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.28557742205899966,0.28557742205899966,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.28541774779449924,0.2853265053576418,0.2854633690129279,0.2857142857142857,0.2857142857142857
Random Choice,0.24499164561437525,0.24516842783578643,0.24447270425474887,0.0,0.24515702253117924,0.24515702253117924,0.2458071248937881,0.2451798331403936,0.2451798331403936,0.2451798331403936,0.2451798331403936,0.24527107557725097,0.2451798331403936,0.24527107557725097,0.2452596702726438,0.24527107557725097,0.2451798331403936,0.24549918166939444,0.24520264374960793,0.2450543747897147,0.2451798331403936,0.2452596702726438,0.24511140131275055,0.2451342119219649,0.2451342119219649,0.24511140131275055,0.24511140131275055,0.24511140131275055,0.24511140131275055,0.24460956791003496,0.24511140131275055,0.24511140131275055,0.24508859070353622,0.24511140131275055,0.2449175111344286,0.24511140131275055,0.24511140131275055,0.24511140131275055,0.24511140131275055,0.24511140131275055,0.24511140131275055,0.24511140131275055,0.24511140131275055,0.24511140131275055,0.24515702253117924,0.24511140131275055,0.24511140131275055,0.24502015887589318,0.24502015887589318,0.24507718539892903,0.24507718539892903,0.24511140131275055,0.2450999960081434,0.24508859070353622,0.2451342119219649,0.24512280661735775,0.24511140131275055,0.24511140131275055,0.2451798331403936,0.24511140131275055,0.24508859070353622,0.24511140131275055,0.2452596702726438,0.24539653392792987,0.24500875357128601,0.2451798331403936,0.2451798331403936
Borda ranking,0.1727236437667159,0.00566843638976488,0.28565725919124985,0.24515702253117924,0.0,0.09654590349971771,0.11659642899912749,0.09685384672411139,0.09685384672411139,0.09685384672411139,0.09685384672411139,0.09582736930946584,0.09685384672411139,0.09582736930946584,0.24559042410625181,0.09582736930946584,0.09685384672411139,0.19588610662819278,0.22772971709141923,0.025353992141745125,0.005862326568086817,0.12216221764742782,0.005406114383799905,0.006307133447766556,0.03508271697166352,0.005326277251549696,0.005337682556156869,0.005337682556156869,0.005326277251549696,0.07011981272489835,0.005337682556156869,0.005349087860764041,0.0031478640715796916,0.005337682556156869,0.007128315379482998,0.005326277251549696,0.005337682556156869,0.005337682556156869,0.005337682556156869,0.005337682556156869,0.005337682556156869,0.005337682556156869,0.005337682556156869,0.005337682556156869,0.005520167429871633,0.005337682556156869,0.005337682556156869,0.007002857028804097,0.007002857028804097,0.0038892088710459237,0.0038892088710459237,0.005337682556156869,0.005657031085157707,0.0031478640715796916,0.006307133447766556,0.0062843228385522105,0.005349087860764041,0.005337682556156869,0.006900209287339542,0.005326277251549696,0.0031478640715796916,0.005337682556156869,0.022092075024093705,0.08653204605462,0.017142172824580713,0.007002857028804097,0.006888803982732369
Plurality ranking,0.19243771278021404,0.09362614552028148,0.2842772173337819,0.24515702253117924,0.09654590349971771,0.0,0.08096625740631969,0.020700627862018626,0.020700627862018626,0.020700627862018626,0.020700627862018626,0.00460774306129781,0.020700627862018626,0.00460774306129781,0.24673095456696909,0.00460774306129781,0.020700627862018626,0.19014923841078485,0.2229166785471923,0.09515445633764263,0.10059478663526406,0.08216381439007282,0.09367176673871018,0.09225750896742074,0.0725263319970118,0.093660361434103,0.09364895612949582,0.09364895612949582,0.093660361434103,0.13103554463180825,0.09364895612949582,0.09363755082488866,0.0950061873777494,0.09364895612949582,0.09531413060214305,0.093660361434103,0.09364895612949582,0.09364895612949582,0.09364895612949582,0.09364895612949582,0.09364895612949582,0.09364895612949582,0.09364895612949582,0.09364895612949582,0.09359192960645997,0.09364895612949582,0.09364895612949582,0.09516586164224981,0.09516586164224981,0.09567910034957258,0.09567910034957258,0.09364895612949582,0.0932839863820663,0.0950061873777494,0.09225750896742074,0.0922346983582064,0.09363755082488866,0.09364895612949582,0.09116259972513216,0.093660361434103,0.0950061873777494,0.09364895612949582,0.09534834651596458,0.11779398598288064,0.08956585708012797,0.09123103155277519,0.09125384216198953
STV,0.19244170463682658,0.11270722012808157,0.2833761982698153,0.2458071248937881,0.11659642899912749,0.08096625740631969,0.0,0.07893611318624293,0.07893611318624293,0.07893611318624293,0.07893611318624293,0.0811715528892488,0.07893611318624293,0.0811715528892488,0.24080019617123924,0.0811715528892488,0.07893611318624293,0.19459730720758225,0.23387717627468535,0.1164253494300199,0.12038299012870886,0.02912914796671932,0.11486282269883723,0.11347137553676215,0.08967991012619969,0.11490844391726592,0.11490844391726592,0.11490844391726592,0.11490844391726592,0.14873657738214044,0.11490844391726592,0.11490844391726592,0.11466893252051528,0.11490844391726592,0.11583227359044691,0.11490844391726592,0.11490844391726592,0.11490844391726592,0.11490844391726592,0.11490844391726592,0.11490844391726592,0.11490844391726592,0.11490844391726592,0.11490844391726592,0.11372229223811994,0.11490844391726592,0.11490844391726592,0.11574103115358954,0.11574103115358954,0.11522779244626676,0.11522779244626676,0.11490844391726592,0.11455487947444357,0.11466893252051528,0.11348278084136933,0.11348278084136933,0.11490844391726592,0.11490844391726592,0.11253614055897398,0.11490844391726592,0.11466893252051528,0.11490844391726592,0.11739480032162959,0.14226976966987345,0.11454347416983639,0.11223960263918749,0.11246770873133094
Approval Voting (AV),0.18852512303472346,0.09371738795713887,0.2839008422817452,0.2451798331403936,0.09685384672411139,0.020700627862018626,0.07893611318624293,0.0,0.0,0.0,0.0,0.025148696658816014,0.0,0.025148696658816014,0.24175824175824176,0.025148696658816014,0.0,0.18998956414628443,0.2331016155613976,0.09622655497071687,0.1010852147333725,0.08291656449414622,0.09409376300917557,0.09269091054249332,0.0747959876138392,0.09412797892299708,0.09411657361838992,0.09411657361838992,0.09412797892299708,0.13470805271531788,0.09411657361838992,0.09410516831378274,0.09531413060214305,0.09411657361838992,0.09567910034957258,0.09412797892299708,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09387706222163929,0.09411657361838992,0.09411657361838992,0.09553083138967934,0.09553083138967934,0.09598704357396626,0.09598704357396626,0.09411657361838992,0.09375160387096039,0.09531413060214305,0.09269091054249332,0.09269091054249332,0.09410516831378274,0.09411657361838992,0.09166443312784776,0.09412797892299708,0.09531413060214305,0.09411657361838992,0.09642044514903882,0.1270779039331193,0.0904326602302731,0.09149335355874016,0.09169864904166929
Proportional Approval Voting (PAV),0.18852512303472346,0.09371738795713887,0.2839008422817452,0.2451798331403936,0.09685384672411139,0.020700627862018626,0.07893611318624293,0.0,0.0,0.0,0.0,0.025148696658816014,0.0,0.025148696658816014,0.24175824175824176,0.025148696658816014,0.0,0.18998956414628443,0.2331016155613976,0.09622655497071687,0.1010852147333725,0.08291656449414622,0.09409376300917557,0.09269091054249332,0.0747959876138392,0.09412797892299708,0.09411657361838992,0.09411657361838992,0.09412797892299708,0.13470805271531788,0.09411657361838992,0.09410516831378274,0.09531413060214305,0.09411657361838992,0.09567910034957258,0.09412797892299708,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09387706222163929,0.09411657361838992,0.09411657361838992,0.09553083138967934,0.09553083138967934,0.09598704357396626,0.09598704357396626,0.09411657361838992,0.09375160387096039,0.09531413060214305,0.09269091054249332,0.09269091054249332,0.09410516831378274,0.09411657361838992,0.09166443312784776,0.09412797892299708,0.09531413060214305,0.09411657361838992,0.09642044514903882,0.1270779039331193,0.0904326602302731,0.09149335355874016,0.09169864904166929
Approval Chamberlin-Courant (CC),0.18852512303472346,0.09371738795713887,0.2839008422817452,0.2451798331403936,0.09685384672411139,0.020700627862018626,0.07893611318624293,0.0,0.0,0.0,0.0,0.025148696658816014,0.0,0.025148696658816014,0.24175824175824176,0.025148696658816014,0.0,0.18998956414628443,0.2331016155613976,0.09622655497071687,0.1010852147333725,0.08291656449414622,0.09409376300917557,0.09269091054249332,0.0747959876138392,0.09412797892299708,0.09411657361838992,0.09411657361838992,0.09412797892299708,0.13470805271531788,0.09411657361838992,0.09410516831378274,0.09531413060214305,0.09411657361838992,0.09567910034957258,0.09412797892299708,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09387706222163929,0.09411657361838992,0.09411657361838992,0.09553083138967934,0.09553083138967934,0.09598704357396626,0.09598704357396626,0.09411657361838992,0.09375160387096039,0.09531413060214305,0.09269091054249332,0.09269091054249332,0.09410516831378274,0.09411657361838992,0.09166443312784776,0.09412797892299708,0.09531413060214305,0.09411657361838992,0.09642044514903882,0.1270779039331193,0.0904326602302731,0.09149335355874016,0.09169864904166929
Lexicographic Chamberlin-Courant (lex-CC),0.18852512303472346,0.09371738795713887,0.2839008422817452,0.2451798331403936,0.09685384672411139,0.020700627862018626,0.07893611318624293,0.0,0.0,0.0,0.0,0.025148696658816014,0.0,0.025148696658816014,0.24175824175824176,0.025148696658816014,0.0,0.18998956414628443,0.2331016155613976,0.09622655497071687,0.1010852147333725,0.08291656449414622,0.09409376300917557,0.09269091054249332,0.0747959876138392,0.09412797892299708,0.09411657361838992,0.09411657361838992,0.09412797892299708,0.13470805271531788,0.09411657361838992,0.09410516831378274,0.09531413060214305,0.09411657361838992,0.09567910034957258,0.09412797892299708,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09411657361838992,0.09387706222163929,0.09411657361838992,0.09411657361838992,0.09553083138967934,0.09553083138967934,0.09598704357396626,0.09598704357396626,0.09411657361838992,0.09375160387096039,0.09531413060214305,0.09269091054249332,0.09269091054249332,0.09410516831378274,0.09411657361838992,0.09166443312784776,0.09412797892299708,0.09531413060214305,0.09411657361838992,0.09642044514903882,0.1270779039331193,0.0904326602302731,0.09149335355874016,0.09169864904166929
