,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.24872000000000002,0.0,0.25328,0.4903542857142857,0.2814514285714286,0.4046742857142857,0.36037714285714284,0.3077942857142857,0.3258857142857143,0.24872,0.38470857142857146,0.5748,0.24872,0.4139085714285714,0.2543314285714286,0.3449028571428571,0.31384,0.462
Max Violations Committee,0.004559999999999999,0.25328,0.0,0.49,0.50144,0.5292571428571429,0.4876,0.46806857142857144,0.4892228571428571,0.00456,0.49216,0.75888,0.00456,0.5393485714285714,0.04324571428571428,0.49955428571428573,0.4764114285714286,0.49044571428571426
Random Choice,0.49027428571428583,0.4903542857142857,0.49,0.0,0.4909485714285714,0.48953142857142856,0.4895542857142857,0.4910857142857143,0.4910514285714286,0.4902742857142857,0.49353142857142857,0.4904342857142857,0.4902742857142857,0.4907314285714286,0.49058285714285715,0.49090285714285714,0.49126857142857144,0.49069714285714283
Borda ranking,0.49773714285714304,0.2814514285714286,0.50144,0.4909485714285714,0.0,0.2986742857142857,0.2602285714285714,0.1818057142857143,0.19044571428571427,0.4977371428571429,0.2940685714285714,0.39678857142857143,0.4977371428571429,0.30565714285714285,0.48048,0.21478857142857144,0.18301714285714285,0.4451657142857143
Plurality ranking,0.5275314285714284,0.4046742857142857,0.5292571428571429,0.48953142857142856,0.2986742857142857,0.0,0.15550857142857144,0.3880571428571429,0.3875314285714286,0.5275314285714285,0.4158857142857143,0.42582857142857145,0.5275314285714285,0.41629714285714287,0.5175657142857143,0.3924457142857143,0.38755428571428574,0.4712571428571429
STV,0.4854400000000001,0.36037714285714284,0.4876,0.4895542857142857,0.2602285714285714,0.15550857142857144,0.0,0.34790857142857146,0.3500457142857143,0.48544,0.38846857142857144,0.4435314285714286,0.48544,0.3974971428571429,0.4756914285714286,0.35654857142857144,0.3481828571428571,0.4653257142857143
Approval Voting (AV),0.46481142857142876,0.3077942857142857,0.46806857142857144,0.4910857142857143,0.1818057142857143,0.3880571428571429,0.34790857142857146,0.0,0.08024,0.4648114285714286,0.2568457142857143,0.4126742857142857,0.4648114285714286,0.27966857142857143,0.44745142857142856,0.1429257142857143,0.02069714285714286,0.4361942857142857
Proportional Approval Voting (PAV),0.48614857142857154,0.3258857142857143,0.4892228571428571,0.4910514285714286,0.19044571428571427,0.3875314285714286,0.3500457142857143,0.08024,0.0,0.48614857142857143,0.21033142857142856,0.3869714285714286,0.48614857142857143,0.2745485714285714,0.46308571428571427,0.08854857142857143,0.06907428571428571,0.4370514285714286
Approval Chamberlin-Courant (CC),0.0,0.24872,0.00456,0.4902742857142857,0.4977371428571429,0.5275314285714285,0.48544,0.4648114285714286,0.48614857142857143,0.0,0.4900685714285714,0.7580228571428571,0.0,0.5373485714285714,0.03894857142857143,0.49660571428571426,0.4732914285714286,0.4899085714285714
Lexicographic Chamberlin-Courant (lex-CC),0.49006857142857135,0.38470857142857146,0.49216,0.49353142857142857,0.2940685714285714,0.4158857142857143,0.38846857142857144,0.2568457142857143,0.21033142857142856,0.4900685714285714,0.0,0.3832342857142857,0.4900685714285714,0.33042285714285713,0.4515314285714286,0.19202285714285713,0.25048,0.45217142857142856
Sequential Approval Chamberlin-Courant (seq-CC),0.7580228571428571,0.5748,0.75888,0.4904342857142857,0.39678857142857143,0.42582857142857145,0.4435314285714286,0.4126742857142857,0.3869714285714286,0.7580228571428571,0.3832342857142857,0.0,0.7580228571428571,0.36912,0.72552,0.3765942857142857,0.40494857142857144,0.4714285714285714
Monroe's Approval Rule (Monroe),0.0,0.24872,0.00456,0.4902742857142857,0.4977371428571429,0.5275314285714285,0.48544,0.4648114285714286,0.48614857142857143,0.0,0.4900685714285714,0.7580228571428571,0.0,0.5373485714285714,0.03894857142857143,0.49660571428571426,0.4732914285714286,0.4899085714285714
Greedy Monroe,0.5373485714285712,0.4139085714285714,0.5393485714285714,0.4907314285714286,0.30565714285714285,0.41629714285714287,0.3974971428571429,0.27966857142857143,0.2745485714285714,0.5373485714285714,0.33042285714285713,0.36912,0.5373485714285714,0.0,0.5198057142857143,0.2824,0.278,0.4554742857142857
Minimax Approval Voting (MAV),0.03894857142857144,0.2543314285714286,0.04324571428571428,0.49058285714285715,0.48048,0.5175657142857143,0.4756914285714286,0.44745142857142856,0.46308571428571427,0.03894857142857143,0.4515314285714286,0.72552,0.03894857142857143,0.5198057142857143,0.0,0.47117714285714285,0.45498285714285713,0.48645714285714287
Method of Equal Shares (aka Rule X) with Phragmén phase,0.49660571428571415,0.3449028571428571,0.49955428571428573,0.49090285714285714,0.21478857142857144,0.3924457142857143,0.35654857142857144,0.1429257142857143,0.08854857142857143,0.49660571428571426,0.19202285714285713,0.3765942857142857,0.49660571428571426,0.2824,0.47117714285714285,0.0,0.13458285714285714,0.4394057142857143
E Pluribus Hugo (EPH),0.47329142857142853,0.31384,0.4764114285714286,0.49126857142857144,0.18301714285714285,0.38755428571428574,0.3481828571428571,0.02069714285714286,0.06907428571428571,0.4732914285714286,0.25048,0.40494857142857144,0.4732914285714286,0.278,0.45498285714285713,0.13458285714285714,0.0,0.43625142857142857
Random Serial Dictator,0.48990857142857125,0.462,0.49044571428571426,0.49069714285714283,0.4451657142857143,0.4712571428571429,0.4653257142857143,0.4361942857142857,0.4370514285714286,0.4899085714285714,0.45217142857142856,0.4714285714285714,0.4899085714285714,0.4554742857142857,0.48645714285714287,0.4394057142857143,0.43625142857142857,0.0
NN,,0.24872000000000002,0.004559999999999999,0.49027428571428583,0.49773714285714304,0.5275314285714284,0.4854400000000001,0.46481142857142876,0.48614857142857154,0.0,0.49006857142857135,0.7580228571428571,0.0,0.5373485714285712,0.03894857142857144,0.49660571428571415,0.47329142857142853,0.48990857142857125
