,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.2447337142857143,0.0,0.6431885714285714,0.4881371428571429,0.07881142857142857,0.33449142857142855,0.24411428571428573,0.08158857142857143,0.1128,0.4664342857142857,0.19877714285714285,0.44977142857142854,0.41766857142857144,0.19297142857142857,0.40524571428571426,0.15650285714285714,0.09323428571428571,0.32576
Max Violations Committee,0.5759222857142857,0.6431885714285714,0.0,0.49034285714285714,0.6557257142857142,0.5656342857142858,0.5995885714285715,0.6563657142857143,0.65104,0.2418742857142857,0.6321142857142857,0.7257485714285714,0.2903657142857143,0.6577257142857142,0.36296,0.6470514285714286,0.6532457142857143,0.58928
Random Choice,0.4896137142857142,0.4881371428571429,0.49034285714285714,0.0,0.48890285714285714,0.48956571428571427,0.4908228571428571,0.48893714285714285,0.4891885714285714,0.49106285714285713,0.48861714285714286,0.48805714285714286,0.49032,0.48762285714285714,0.49051428571428574,0.48958857142857143,0.48886857142857143,0.48832
Borda ranking,0.23858171428571426,0.07881142857142857,0.6557257142857142,0.48890285714285714,0.0,0.32210285714285714,0.22278857142857142,0.08553142857142858,0.08089142857142857,0.48998857142857144,0.16613714285714284,0.4271542857142857,0.4417371428571429,0.16928,0.4144342857142857,0.12216,0.08092571428571428,0.3227771428571429
Plurality ranking,0.39476457142857135,0.33449142857142855,0.5656342857142858,0.48956571428571427,0.32210285714285714,0.0,0.16803428571428572,0.3368685714285714,0.3474285714285714,0.5120457142857143,0.3785485714285714,0.4542171428571429,0.47510857142857144,0.37224,0.4838742857142857,0.3619657142857143,0.3395657142857143,0.4229257142857143
STV,0.329948,0.24411428571428573,0.5995885714285715,0.4908228571428571,0.22278857142857142,0.16803428571428572,0.0,0.24664,0.25152,0.4879657142857143,0.29264,0.45233142857142855,0.4449714285714286,0.29107428571428573,0.44229714285714283,0.2698285714285714,0.24674285714285715,0.3768228571428571
Approval Voting (AV),0.24137142857142857,0.08158857142857143,0.6563657142857143,0.48893714285714285,0.08553142857142858,0.3368685714285714,0.24664,0.0,0.07052571428571429,0.48081142857142856,0.17403428571428572,0.43723428571428574,0.42952,0.17388571428571428,0.41550857142857145,0.12865142857142858,0.02390857142857143,0.31725714285714285
Proportional Approval Voting (PAV),0.24587942857142855,0.1128,0.65104,0.4891885714285714,0.08089142857142857,0.3474285714285714,0.25152,0.07052571428571429,0.0,0.48602285714285715,0.11699428571428572,0.43113142857142855,0.43723428571428574,0.15246857142857143,0.4098057142857143,0.07842285714285714,0.05426285714285714,0.3213142857142857
Approval Chamberlin-Courant (CC),0.43763371428571424,0.4664342857142857,0.2418742857142857,0.49106285714285713,0.48998857142857144,0.5120457142857143,0.4879657142857143,0.48081142857142856,0.48602285714285715,0.0,0.48488,0.8494057142857143,0.07312,0.5154285714285715,0.18163428571428572,0.4903085714285714,0.48304,0.4892228571428571
Lexicographic Chamberlin-Courant (lex-CC),0.28336114285714287,0.19877714285714285,0.6321142857142857,0.48861714285714286,0.16613714285714284,0.3785485714285714,0.29264,0.17403428571428572,0.11699428571428572,0.48488,0.0,0.43088,0.4422514285714286,0.17110857142857142,0.40238857142857143,0.09889142857142857,0.1621942857142857,0.3382057142857143
Sequential Approval Chamberlin-Courant (seq-CC),0.5205371428571427,0.44977142857142854,0.7257485714285714,0.48805714285714286,0.4271542857142857,0.4542171428571429,0.45233142857142855,0.43723428571428574,0.43113142857142855,0.8494057142857143,0.43088,0.0,0.7947771428571428,0.40170285714285714,0.7158171428571428,0.4266628571428571,0.4349257142857143,0.4410057142857143
Monroe's Approval Rule (Monroe),0.4099697142857142,0.41766857142857144,0.2903657142857143,0.49032,0.4417371428571429,0.47510857142857144,0.4449714285714286,0.42952,0.43723428571428574,0.07312,0.4422514285714286,0.7947771428571428,0.0,0.47224,0.1798742857142857,0.4445942857142857,0.43251428571428574,0.45882285714285714
Greedy Monroe,0.293632,0.19297142857142857,0.6577257142857142,0.48762285714285714,0.16928,0.37224,0.29107428571428573,0.17388571428571428,0.15246857142857143,0.5154285714285715,0.17110857142857142,0.40170285714285714,0.47224,0.0,0.44211428571428574,0.14892571428571427,0.16737142857142856,0.3380914285714286
Minimax Approval Voting (MAV),0.3975954285714286,0.40524571428571426,0.36296,0.49051428571428574,0.4144342857142857,0.4838742857142857,0.44229714285714283,0.41550857142857145,0.4098057142857143,0.18163428571428572,0.40238857142857143,0.7158171428571428,0.1798742857142857,0.44211428571428574,0.0,0.41245714285714286,0.4137142857142857,0.4518285714285714
Method of Equal Shares (aka Rule X) with Phragmén phase,0.26433542857142855,0.15650285714285714,0.6470514285714286,0.48958857142857143,0.12216,0.3619657142857143,0.2698285714285714,0.12865142857142858,0.07842285714285714,0.4903085714285714,0.09889142857142857,0.4266628571428571,0.4445942857142857,0.14892571428571427,0.41245714285714286,0.0,0.11666285714285714,0.32748571428571427
E Pluribus Hugo (EPH),0.24198685714285714,0.09323428571428571,0.6532457142857143,0.48886857142857143,0.08092571428571428,0.3395657142857143,0.24674285714285715,0.02390857142857143,0.05426285714285714,0.48304,0.1621942857142857,0.4349257142857143,0.43251428571428574,0.16737142857142856,0.4137142857142857,0.11666285714285714,0.0,0.3183885714285714
Random Serial Dictator,0.3774920000000001,0.32576,0.58928,0.48832,0.3227771428571429,0.4229257142857143,0.3768228571428571,0.31725714285714285,0.3213142857142857,0.4892228571428571,0.3382057142857143,0.4410057142857143,0.45882285714285714,0.3380914285714286,0.4518285714285714,0.32748571428571427,0.3183885714285714,0.0
NN,,0.2447337142857143,0.5759222857142857,0.4896137142857142,0.23858171428571426,0.39476457142857135,0.329948,0.24137142857142857,0.24587942857142855,0.43763371428571424,0.28336114285714287,0.5205371428571427,0.4099697142857142,0.293632,0.3975954285714286,0.26433542857142855,0.24198685714285714,0.3774920000000001
