Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.00024363636363636365,0.0,0.00076,0.0,0.0,0.0,0.00188,0.0,4e-05,0.0,0.0,0.0
NN-1,0.00029818181818181815,0.0,0.00132,0.0,0.0,0.0,0.00192,0.0,4e-05,0.0,0.0,0.0
NN-2,0.00027272727272727274,8e-05,0.00092,0.0,0.0,0.0,0.00196,0.0,4e-05,0.0,0.0,0.0
NN-3,0.00022545454545454545,0.0,0.00056,0.0,0.0,0.0,0.00188,0.0,4e-05,0.0,0.0,0.0
NN-4,0.00025454545454545456,8e-05,0.0008,0.0,0.0,0.0,0.00188,0.0,4e-05,0.0,0.0,0.0
NN-5,0.0002181818181818182,0.0,0.00044,0.0,0.0,0.0,0.00192,0.0,4e-05,0.0,0.0,0.0
NN-6,0.00022545454545454545,8e-05,0.00048,0.0,0.0,0.0,0.00188,0.0,4e-05,0.0,0.0,0.0
NN-7,0.00024,0.0,0.00068,0.0,0.0,0.0,0.00192,0.0,4e-05,0.0,0.0,0.0
NN-8,0.00024,4e-05,0.00064,0.0,0.0,0.0,0.00192,0.0,4e-05,0.0,0.0,0.0
NN-9,0.0002581818181818182,4e-05,0.00088,0.0,0.0,0.0,0.00188,0.0,4e-05,0.0,0.0,0.0
NN-10,0.00027272727272727274,0.0,0.00108,0.0,0.0,0.0,0.00188,0.0,4e-05,0.0,0.0,0.0
NN-11,0.0002836363636363637,0.0,0.00116,0.0,0.0,0.0,0.00192,0.0,4e-05,0.0,0.0,0.0
NN-12,0.00024727272727272727,0.0,0.00084,0.0,0.0,0.0,0.00184,0.0,4e-05,0.0,0.0,0.0
NN-13,0.00023272727272727271,0.0,0.00056,0.0,0.0,0.0,0.00196,0.0,4e-05,0.0,0.0,0.0
NN-14,0.0002181818181818182,0.0,0.00044,0.0,0.0,0.0,0.00192,0.0,4e-05,0.0,0.0,0.0
NN-15,0.0002654545454545455,0.0,0.00096,0.0,0.0,0.0,0.00192,0.0,4e-05,0.0,0.0,0.0
NN-16,0.00026545454545454545,4e-05,0.00096,0.0,0.0,0.0,0.00188,0.0,4e-05,0.0,0.0,0.0
NN-17,0.00026181818181818185,4e-05,0.00092,0.0,0.0,0.0,0.00188,0.0,4e-05,0.0,0.0,0.0
NN-18,0.00024727272727272727,4e-05,0.00072,0.0,0.0,0.0,0.00192,0.0,4e-05,0.0,0.0,0.0
NN-19,0.00030545454545454544,4e-05,0.00144,0.0,0.0,0.0,0.00184,0.0,4e-05,0.0,0.0,0.0
Random Choice,0.2881418181818181,0.09248,0.86916,0.0,0.32284,0.36116,0.45696,0.30216,0.2026,0.31852,0.23088,0.0128
Borda ranking,0.0029127272727272726,0.0,0.03204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.016774545454545455,0.00012,0.14556,0.0,0.00496,0.01756,0.0,0.0,0.00312,0.0,0.00824,0.00496
STV,0.01169818181818182,0.0002,0.12736,0.0,0.0,0.00112,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.006243636363636364,4e-05,0.06864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.007385454545454545,4e-05,0.0812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.07882545454545455,8e-05,0.38452,0.0,0.04968,0.20052,0.04384,0.04252,0.02416,0.0432,0.06544,0.01312
Lexicographic Chamberlin-Courant (lex-CC),0.020083636363636363,8e-05,0.18392,0.0,0.00156,0.03056,0.00192,0.00124,8e-05,0.00156,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.061654545454545455,8e-05,0.36028,0.0,0.01432,0.1838,0.008,0.00768,0.02996,0.0078,0.05364,0.01264
Monroe's Approval Rule (Monroe),0.012898181818181816,8e-05,0.13812,0.0,0.00088,0.0,0.00144,0.00048,0.0,0.00088,0.0,0.0
Greedy Monroe,0.012640000000000002,8e-05,0.13832,0.0,4e-05,0.0004,0.00016,0.0,0.0,4e-05,0.0,0.0
Minimax Approval Voting (MAV),0.1638218181818182,0.05356,0.70528,0.0,0.13716,0.223,0.27544,0.12236,0.08028,0.13716,0.0678,0.0
