Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.22191999999999998,0.09988,0.88936,0.0,0.02856,0.0468,0.48236,0.01456,0.35488,0.02856,0.49616,0.0
Borda ranking,0.0053054545454545455,0.0,0.05808,0.0,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.02190909090909091,0.0,0.2368,0.0,0.0,0.00364,0.0,0.0,0.0,0.0,0.00056,0.0
STV,0.027836363636363638,0.0,0.29804,0.0,0.0,0.00796,0.00016,0.0,0.0,0.0,4e-05,0.0
Approval Voting (AV),3.6363636363636366e-06,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.007403636363636363,0.0,0.0806,0.0,0.0,0.00084,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.11106545454545454,0.0,0.9998,0.0,0.048,0.05196,0.048,0.02416,0.00012,0.048,0.00168,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.11068000000000003,0.0,0.99828,0.0,0.04784,0.0516,0.04784,0.02408,0.0,0.04784,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.12051636363636363,0.0,0.64532,0.0,0.00012,0.03948,0.00028,4e-05,0.14316,0.00012,0.49716,0.0
Monroe's Approval Rule (Monroe),0.08458545454545455,0.0,0.80432,0.0,0.03164,0.01596,0.03168,0.01496,0.0,0.03164,0.00024,0.0
Greedy Monroe,0.018930909090909092,0.0,0.20144,0.0,0.0,0.00632,0.00012,0.0,4e-05,0.0,0.00032,0.0
Minimax Approval Voting (MAV),0.11106545454545454,0.0,0.9998,0.0,0.048,0.05196,0.048,0.02416,0.00012,0.048,0.00168,0.0
