Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.008207272727272728,0.0,0.00084,0.0,0.02288,0.0,0.05488,0.0,0.0,0.01168,0.0,0.0
NN-1,0.008196363636363637,0.0,0.00092,0.0,0.0228,0.0,0.0548,0.0,0.0,0.01164,0.0,0.0
NN-2,0.008239999999999999,0.0,0.00124,0.0,0.02288,0.0,0.0548,0.0,0.0,0.01172,0.0,0.0
NN-3,0.008170909090909092,0.0,0.0006,0.0,0.0228,0.0,0.05484,0.0,0.0,0.01164,0.0,0.0
NN-4,0.008309090909090908,0.0004,0.00212,0.0,0.02276,0.0,0.05456,0.0,0.0,0.01156,0.0,0.0
NN-5,0.00814909090909091,0.0,0.0006,0.0,0.02276,0.0,0.05472,0.0,0.0,0.01156,0.0,0.0
NN-6,0.00817090909090909,0.0,0.00036,0.0,0.02292,0.0,0.05488,0.0,0.0,0.01172,0.0,0.0
NN-7,0.008207272727272728,0.0,0.00076,0.0,0.02288,0.0,0.05496,0.0,0.0,0.01168,0.0,0.0
NN-8,0.008196363636363637,0.0,0.00096,0.0,0.02284,0.0,0.0548,0.0,0.0,0.01156,0.0,0.0
NN-9,0.008163636363636362,0.0,0.00036,0.0,0.02288,0.0,0.05484,0.0,0.0,0.01172,0.0,0.0
NN-10,0.008225454545454544,0.0,0.00088,0.0,0.02296,0.0,0.05492,0.0,0.0,0.01172,0.0,0.0
NN-11,0.008225454545454544,0.0,0.00088,0.0,0.02292,0.0,0.05496,0.0,0.0,0.01172,0.0,0.0
NN-12,0.008105454545454546,0.0,0.0004,0.0,0.02264,0.0,0.05456,0.0,0.0,0.01156,0.0,0.0
NN-13,0.008174545454545453,0.0,0.0004,0.0,0.02288,0.0,0.05492,0.0,0.0,0.01172,0.0,0.0
NN-14,0.008141818181818182,0.0,0.00064,0.0,0.02276,0.0,0.05448,0.0,0.0,0.01168,0.0,0.0
NN-15,0.008039999999999999,0.0,0.00072,0.0,0.02236,0.0,0.05404,0.0,0.0,0.01132,0.0,0.0
NN-16,0.008185454545454544,0.0,0.00064,0.0,0.02284,0.0,0.05488,0.0,0.0,0.01168,0.0,0.0
NN-17,0.008192727272727272,0.0,0.00104,0.0,0.02276,0.0,0.05472,0.0,0.0,0.0116,0.0,0.0
NN-18,0.00818181818181818,0.0,0.0006,0.0,0.02288,0.0,0.0548,0.0,0.0,0.01172,0.0,0.0
NN-19,0.00836,0.00096,0.00048,0.0,0.02328,0.0,0.05524,0.0,0.0,0.012,0.0,0.0
Random Choice,0.1034690909090909,0.04208,0.6636,0.0,0.1172,0.0,0.24712,4e-05,0.00012,0.06796,4e-05,0.0
Borda ranking,0.01068,0.0,0.11068,0.0,0.00184,0.0,0.00472,0.0,0.0,0.00024,0.0,0.0
Plurality ranking,0.03874545454545455,0.00116,0.42476,0.0,0.0,0.0,0.0002,0.0,8e-05,0.0,0.0,0.0
STV,0.05053454545454546,0.0026,0.5118,0.0,0.00988,0.0,0.02756,0.0,8e-05,0.00396,0.0,0.0
Approval Voting (AV),0.032665454545454546,0.00016,0.26372,0.0,0.02848,0.0,0.05448,0.0,0.0,0.01248,0.0,0.0
Proportional Approval Voting (PAV),0.03445818181818182,0.00012,0.28336,0.0,0.0308,0.0,0.05128,0.0,0.0,0.01348,0.0,0.0
Approval Chamberlin-Courant (CC),0.103,0.04428,0.65824,0.0,0.11748,0.0,0.24392,8e-05,0.00016,0.06884,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.04774181818181819,0.00036,0.40132,0.0,0.04176,0.0,0.06104,0.0,0.0,0.02068,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.07546181818181819,0.00444,0.58024,0.0,0.06904,0.0,0.13872,0.0,0.00016,0.03748,0.0,0.0
Monroe's Approval Rule (Monroe),0.10292363636363637,0.04412,0.65808,0.0,0.11736,0.0,0.24368,8e-05,8e-05,0.06876,0.0,0.0
Greedy Monroe,0.05523636363636364,0.00076,0.4506,0.0,0.04504,0.0,0.08776,0.0,4e-05,0.0234,0.0,0.0
Minimax Approval Voting (MAV),0.103,0.04428,0.65824,0.0,0.11748,0.0,0.24392,8e-05,0.00016,0.06884,0.0,0.0
