Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,6.545454545454545e-05,4e-05,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00056,0.0
NN-1,0.00010545454545454546,0.0004,8e-05,0.0,0.0,0.0,4e-05,0.0,4e-05,0.0,0.0006,0.0
NN-2,6.909090909090908e-05,4e-05,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00056,0.0
NN-3,6.181818181818182e-05,4e-05,4e-05,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00056,0.0
NN-4,6.545454545454545e-05,4e-05,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00056,0.0
NN-5,6.545454545454545e-05,4e-05,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00056,0.0
NN-6,7.636363636363636e-05,0.00016,8e-05,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00056,0.0
NN-7,6.909090909090908e-05,4e-05,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00056,0.0
NN-8,9.090909090909092e-05,0.00028,8e-05,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00056,0.0
NN-9,6.545454545454545e-05,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00056,0.0
NN-10,8.727272727272727e-05,0.00016,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0
NN-11,0.00010181818181818181,0.00028,8e-05,0.0,0.0,0.0,4e-05,0.0,0.00012,0.0,0.0006,0.0
NN-12,6.545454545454545e-05,8e-05,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00056,0.0
NN-13,7.272727272727271e-05,8e-05,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00056,0.0
NN-14,7.272727272727271e-05,0.00012,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00056,0.0
NN-15,7.999999999999999e-05,0.00012,0.00016,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00056,0.0
NN-16,8.363636363636364e-05,8e-05,0.00016,0.0,0.0,0.0,4e-05,0.0,4e-05,0.0,0.0006,0.0
NN-17,7.272727272727271e-05,4e-05,0.00016,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00056,0.0
NN-18,6.545454545454545e-05,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00056,0.0
NN-19,0.00014909090909090908,0.00072,4e-05,0.0,0.0,0.0,8e-05,0.0,0.00016,0.0,0.00064,0.0
Random Choice,0.09752,0.14712,0.81368,0.0,0.0,0.01816,0.00504,0.01816,0.05244,0.0,0.01812,0.0
Borda ranking,0.01314909090909091,0.0,0.13304,0.0,0.0,0.0052,0.0,0.0052,0.0,0.0,0.0012,0.0
Plurality ranking,0.047196363636363634,0.01668,0.49896,0.0,0.0,0.0,0.0,0.0,0.00352,0.0,0.0,0.0
STV,0.022956363636363632,0.0,0.25248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0
Approval Voting (AV),0.047381818181818185,0.01708,0.50056,0.0,0.0,0.0,0.0,0.0,0.00356,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.047381818181818185,0.01708,0.50056,0.0,0.0,0.0,0.0,0.0,0.00356,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.047381818181818185,0.01708,0.50056,0.0,0.0,0.0,0.0,0.0,0.00356,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.047381818181818185,0.01708,0.50056,0.0,0.0,0.0,0.0,0.0,0.00356,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.047196363636363634,0.01668,0.49896,0.0,0.0,0.0,0.0,0.0,0.00352,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.047381818181818185,0.01708,0.50056,0.0,0.0,0.0,0.0,0.0,0.00356,0.0,0.0,0.0
Greedy Monroe,0.047196363636363634,0.01668,0.49896,0.0,0.0,0.0,0.0,0.0,0.00352,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.09671636363636363,0.14504,0.81076,0.0,0.0,0.01848,0.00428,0.01848,0.05024,0.0,0.0166,0.0
