Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NN-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Random Choice,0.10069090909090911,0.14768,0.81216,0.0,0.0,0.0,0.0,0.0,0.14768,0.0,8e-05,0.0
Borda ranking,0.008432727272727272,0.0,0.09272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0
Plurality ranking,0.07452363636363638,0.058,0.70376,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0
STV,0.05282545454545455,0.0,0.58108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.07411272727272727,0.05724,0.70076,0.0,0.0,0.0,0.0,0.0,0.05724,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.07411272727272727,0.05724,0.70076,0.0,0.0,0.0,0.0,0.0,0.05724,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.07411272727272727,0.05724,0.70076,0.0,0.0,0.0,0.0,0.0,0.05724,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.07411272727272727,0.05724,0.70076,0.0,0.0,0.0,0.0,0.0,0.05724,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.07452363636363638,0.058,0.70376,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.07411272727272727,0.05724,0.70076,0.0,0.0,0.0,0.0,0.0,0.05724,0.0,0.0,0.0
Greedy Monroe,0.07452363636363638,0.058,0.70376,0.0,0.0,0.0,0.0,0.0,0.058,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.09991636363636366,0.1446,0.80976,0.0,0.0,0.0,4e-05,0.0,0.1446,0.0,8e-05,0.0
