Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0013418181818181817,0.00344,0.00432,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0
NN-1,0.0011818181818181819,0.00288,0.00336,0.0,0.0,0.0,0.00676,0.0,0.0,0.0,0.0,0.0
NN-2,0.0012581818181818182,0.0032,0.00372,0.0,0.0,0.0,0.00692,0.0,0.0,0.0,0.0,0.0
NN-3,0.0012836363636363638,0.00348,0.0038,0.0,0.0,0.0,0.00684,0.0,0.0,0.0,0.0,0.0
NN-4,0.0012690909090909092,0.0032,0.00396,0.0,0.0,0.0,0.0068,0.0,0.0,0.0,0.0,0.0
NN-5,0.0009963636363636364,0.00272,0.00152,0.0,0.0,0.0,0.00672,0.0,0.0,0.0,0.0,0.0
NN-6,0.001229090909090909,0.00352,0.003,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0
NN-7,0.0010618181818181818,0.00344,0.00128,0.0,0.0,0.0,0.00696,0.0,0.0,0.0,0.0,0.0
NN-8,0.0013563636363636362,0.0034,0.00456,0.0,0.0,0.0,0.00696,0.0,0.0,0.0,0.0,0.0
NN-9,0.0012945454545454545,0.00356,0.00372,0.0,0.0,0.0,0.00696,0.0,0.0,0.0,0.0,0.0
NN-10,0.001010909090909091,0.00172,0.00296,0.0,0.0,0.0,0.00644,0.0,0.0,0.0,0.0,0.0
NN-11,0.0010981818181818182,0.0034,0.00184,0.0,0.0,0.0,0.00684,0.0,0.0,0.0,0.0,0.0
NN-12,0.0010327272727272728,0.003,0.0014,0.0,0.0,0.0,0.00696,0.0,0.0,0.0,0.0,0.0
NN-13,0.0011745454545454546,0.00352,0.00248,0.0,0.0,0.0,0.00692,0.0,0.0,0.0,0.0,0.0
NN-14,0.0010472727272727274,0.00348,0.00132,0.0,0.0,0.0,0.00672,0.0,0.0,0.0,0.0,0.0
NN-15,0.0009527272727272727,0.00236,0.0014,0.0,0.0,0.0,0.00672,0.0,0.0,0.0,0.0,0.0
NN-16,0.0011563636363636361,0.00352,0.00228,0.0,0.0,0.0,0.00692,0.0,0.0,0.0,0.0,0.0
NN-17,0.0015199999999999999,0.00328,0.00648,0.0,0.0,0.0,0.00696,0.0,0.0,0.0,0.0,0.0
NN-18,0.0011345454545454545,0.00356,0.00192,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0
NN-19,0.0011200000000000001,0.00352,0.00192,0.0,0.0,0.0,0.00688,0.0,0.0,0.0,0.0,0.0
Random Choice,0.06259636363636363,0.01996,0.62912,0.0,0.0,0.0,0.03948,0.0,0.0,0.0,0.0,0.0
Borda ranking,0.010690909090909091,0.0,0.1176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.0386690909090909,0.00044,0.42488,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,0.0,0.0
STV,0.03752,0.00016,0.41256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.02805818181818182,4e-05,0.30852,0.0,0.0,0.0,8e-05,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.030854545454545454,4e-05,0.33936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.03713818181818182,0.00012,0.4084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.03473818181818182,8e-05,0.38204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.036,4e-05,0.39596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.037123636363636366,0.00012,0.40824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greedy Monroe,0.035963636363636364,4e-05,0.39556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.06271636363636364,0.01992,0.63008,0.0,0.0,0.0,0.03988,0.0,0.0,0.0,0.0,0.0
