Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0012727272727272726,0.0,0.0086,0.0,0.0,0.0,0.0032,0.0,0.00036,0.0,0.00184,0.0
NN-1,0.0017854545454545452,0.00024,0.00796,0.0,8e-05,0.0,0.00688,4e-05,0.00152,8e-05,0.00284,0.0
NN-2,0.0013781818181818181,0.0,0.00844,0.0,0.0,0.0,0.0034,0.0,0.001,0.0,0.00232,0.0
NN-3,0.001578181818181818,0.0,0.0096,0.0,8e-05,0.0,0.0044,4e-05,0.00104,8e-05,0.00212,0.0
NN-4,0.0012981818181818181,4e-05,0.00844,0.0,0.0,0.0,0.00312,0.0,0.00084,0.0,0.00184,0.0
NN-5,0.0013963636363636363,8e-05,0.00812,0.0,0.0,0.0,0.00416,0.0,0.00092,0.0,0.00208,0.0
NN-6,0.0012363636363636364,0.0,0.00956,0.0,0.0,0.0,0.00228,0.0,0.00024,0.0,0.00152,0.0
NN-7,0.0016072727272727272,8e-05,0.009,0.0,4e-05,0.0,0.00504,0.0,0.00108,4e-05,0.0024,0.0
NN-8,0.0011200000000000001,0.0,0.00824,0.0,0.0,0.0,0.0024,0.0,0.0002,0.0,0.00148,0.0
NN-9,0.0012799999999999999,0.0,0.00864,0.0,0.0,0.0,0.00296,0.0,0.00064,0.0,0.00184,0.0
NN-10,0.001258181818181818,0.0,0.009,0.0,0.0,0.0,0.00272,0.0,0.00044,0.0,0.00168,0.0
NN-11,0.0017854545454545452,0.00016,0.00924,0.0,4e-05,0.0,0.00588,0.0,0.0012,4e-05,0.00308,0.0
NN-12,0.001549090909090909,4e-05,0.00968,0.0,0.0,0.0,0.0042,0.0,0.00084,0.0,0.00228,0.0
NN-13,0.0010581818181818181,0.0,0.00608,0.0,0.0,0.0,0.0032,0.0,0.00056,0.0,0.0018,0.0
NN-14,0.0012872727272727274,0.0,0.00824,0.0,0.0,0.0,0.00332,0.0,0.00068,0.0,0.00192,0.0
NN-15,0.001523636363636364,4e-05,0.00816,0.0,8e-05,0.0,0.00512,4e-05,0.00092,8e-05,0.00232,0.0
NN-16,0.001229090909090909,0.0,0.00852,0.0,0.0,0.0,0.0026,0.0,0.00068,0.0,0.00172,0.0
NN-17,0.0011745454545454546,0.0,0.00856,0.0,0.0,0.0,0.00248,0.0,0.00024,0.0,0.00164,0.0
NN-18,0.0016327272727272727,0.00012,0.00924,0.0,4e-05,0.0,0.005,0.0,0.00104,4e-05,0.00248,0.0
NN-19,0.0013527272727272728,0.0,0.00872,0.0,0.0,0.0,0.00368,0.0,0.00052,0.0,0.00196,0.0
Random Choice,0.15117818181818185,0.05292,0.8998,0.0,0.02244,0.01768,0.38808,0.01564,0.0964,0.02244,0.14756,0.0
Borda ranking,0.016596363636363635,0.0,0.16496,0.0,0.00148,0.00528,0.00748,0.0008,0.0,0.00148,0.00108,0.0
Plurality ranking,0.07359636363636363,0.00548,0.71176,0.0,0.0,0.00748,0.0166,0.0,0.0224,0.0,0.04584,0.0
STV,0.05467272727272727,0.00084,0.5556,0.0,0.0,0.00076,0.02048,0.0,0.00552,0.0,0.0182,0.0
Approval Voting (AV),0.036181818181818176,0.00024,0.37332,0.0,4e-05,0.0,0.02256,4e-05,0.00176,4e-05,0.0,0.0
Proportional Approval Voting (PAV),0.048112727272727265,8e-05,0.51496,0.0,0.00204,0.00364,0.00344,0.00096,0.00208,0.00204,0.0,0.0
Approval Chamberlin-Courant (CC),0.07794181818181818,0.00012,0.76436,0.0,0.01532,0.01896,0.01928,0.01032,0.0072,0.01532,0.00648,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.07479272727272726,8e-05,0.74044,0.0,0.01464,0.01892,0.01828,0.00984,0.00588,0.01464,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.07308363636363636,4e-05,0.73556,0.0,0.00808,0.01892,0.01136,0.00508,0.00944,0.00808,0.00736,0.0
Monroe's Approval Rule (Monroe),0.06712,0.0002,0.67084,0.0,0.01088,0.01156,0.01536,0.00732,0.00456,0.01088,0.00672,0.0
Greedy Monroe,0.06426545454545456,4e-05,0.66808,0.0,0.00436,0.01176,0.00704,0.00264,0.00612,0.00436,0.00252,0.0
Minimax Approval Voting (MAV),0.14994545454545455,0.05104,0.89748,0.0,0.02256,0.01796,0.3858,0.01588,0.09512,0.02256,0.141,0.0
