Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0006290909090909091,0.00128,0.00088,0.0,0.0,0.0,0.0012,0.0,0.00016,0.0,0.0034,0.0
NN-1,0.0004436363636363636,0.0004,0.0002,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.00328,0.0
NN-2,0.0005018181818181818,0.00068,0.00024,0.0,0.0,0.0,0.00116,0.0,4e-05,0.0,0.0034,0.0
NN-3,0.00042909090909090913,0.00036,0.0002,0.0,0.0,0.0,0.00096,0.0,0.0,0.0,0.0032,0.0
NN-4,0.0004618181818181818,0.0004,0.00032,0.0,0.0,0.0,0.00104,0.0,0.0,0.0,0.00332,0.0
NN-5,0.00040727272727272726,0.00028,4e-05,0.0,0.0,0.0,0.00096,0.0,0.0,0.0,0.0032,0.0
NN-6,0.00047636363636363637,0.0002,0.0004,0.0,0.0,0.0,0.00116,0.0,0.0,0.0,0.00348,0.0
NN-7,0.0004618181818181818,0.00048,0.00024,0.0,0.0,0.0,0.00104,0.0,0.0,0.0,0.00332,0.0
NN-8,0.0004509090909090909,0.00036,0.00032,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.00328,0.0
NN-9,0.0005672727272727272,0.00104,0.00056,0.0,0.0,0.0,0.00116,0.0,0.00012,0.0,0.00336,0.0
NN-10,0.0004618181818181818,0.0006,4e-05,0.0,0.0,0.0,0.00112,0.0,0.0,0.0,0.00332,0.0
NN-11,0.00046545454545454543,0.00048,0.00028,0.0,0.0,0.0,0.00108,0.0,4e-05,0.0,0.00324,0.0
NN-12,0.00044727272727272725,0.00036,0.0002,0.0,0.0,0.0,0.00108,0.0,0.0,0.0,0.00328,0.0
NN-13,0.00044000000000000007,0.00044,0.00012,0.0,0.0,0.0,0.001,0.0,4e-05,0.0,0.00324,0.0
NN-14,0.00047636363636363637,0.00068,0.0004,0.0,0.0,0.0,0.00092,0.0,4e-05,0.0,0.0032,0.0
NN-15,0.0004509090909090909,0.00028,4e-05,0.0,0.0,0.0,0.0012,0.0,4e-05,0.0,0.0034,0.0
NN-16,0.0004509090909090909,0.00044,0.00012,0.0,0.0,0.0,0.00108,0.0,4e-05,0.0,0.00328,0.0
NN-17,0.0004654545454545455,0.00072,0.00016,0.0,0.0,0.0,0.001,0.0,4e-05,0.0,0.0032,0.0
NN-18,0.0006,0.00184,0.00012,0.0,0.0,0.0,0.00116,0.0,0.00012,0.0,0.00336,0.0
NN-19,0.00043999999999999996,0.00024,0.00028,0.0,0.0,0.0,0.00104,0.0,0.0,0.0,0.00328,0.0
Random Choice,0.15402545454545458,0.11768,0.80864,0.05844,0.05844,0.10988,0.11884,0.10988,0.05104,0.05844,0.14456,0.05844
Borda ranking,0.011130909090909092,0.0,0.10488,0.0,0.0,0.00644,0.0,0.00644,0.0,0.0,0.00468,0.0
Plurality ranking,0.03955636363636364,0.01084,0.41992,0.0,0.0,0.0,0.0,0.0,0.00436,0.0,0.0,0.0
STV,0.02270545454545455,0.0,0.24968,0.0,0.0,0.0,4e-05,0.0,0.0,0.0,4e-05,0.0
Approval Voting (AV),0.0396,0.01084,0.42008,0.0,0.0,0.0,0.0,0.0,0.00468,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.0396,0.01084,0.42008,0.0,0.0,0.0,0.0,0.0,0.00468,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.0396,0.01084,0.42008,0.0,0.0,0.0,0.0,0.0,0.00468,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.0396,0.01084,0.42008,0.0,0.0,0.0,0.0,0.0,0.00468,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.03955636363636364,0.01084,0.41992,0.0,0.0,0.0,0.0,0.0,0.00436,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.0396,0.01084,0.42008,0.0,0.0,0.0,0.0,0.0,0.00468,0.0,0.0,0.0
Greedy Monroe,0.03955636363636364,0.01084,0.41992,0.0,0.0,0.0,0.0,0.0,0.00436,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.10383272727272728,0.10452,0.75,0.0,0.0,0.05144,0.05976,0.05144,0.03968,0.0,0.08532,0.0
