Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0012072727272727274,0.0,0.01004,0.0,0.0,0.0,0.00212,0.0,0.0002,0.0,0.00092,0.0
NN-1,0.0012727272727272726,0.0,0.01052,0.0,0.0,0.0,0.00204,0.0,0.0004,0.0,0.00104,0.0
NN-2,0.0011309090909090908,0.0,0.0098,0.0,0.0,0.0,0.002,0.0,4e-05,0.0,0.0006,0.0
NN-3,0.0012727272727272728,0.0,0.01088,0.0,0.0,0.0,0.00212,0.0,0.00012,0.0,0.00088,0.0
NN-4,0.0011709090909090907,0.0,0.00972,0.0,0.0,0.0,0.00196,0.0,0.00016,0.0,0.00104,0.0
NN-5,0.0012327272727272727,0.0,0.011,0.0,0.0,0.0,0.00192,0.0,8e-05,0.0,0.00056,0.0
NN-6,0.0013345454545454546,0.0,0.01088,0.0,0.0,0.0,0.00268,0.0,0.00036,0.0,0.00076,0.0
NN-7,0.001392727272727273,0.0,0.0122,0.0,0.0,0.0,0.00192,0.0,0.00024,0.0,0.00096,0.0
NN-8,0.0013563636363636365,0.0,0.01184,0.0,0.0,0.0,0.00192,0.0,0.0002,0.0,0.00096,0.0
NN-9,0.0012763636363636365,0.0,0.01128,0.0,0.0,0.0,0.00216,0.0,8e-05,0.0,0.00052,0.0
NN-10,0.0013563636363636365,0.0,0.01208,0.0,0.0,0.0,0.00192,0.0,8e-05,0.0,0.00084,0.0
NN-11,0.0012145454545454545,0.0,0.01028,0.0,0.0,0.0,0.0018,0.0,0.00024,0.0,0.00104,0.0
NN-12,0.0014436363636363637,0.0,0.01248,0.0,0.0,0.0,0.00208,0.0,0.00032,0.0,0.001,0.0
NN-13,0.0012072727272727274,0.0,0.01024,0.0,0.0,0.0,0.00212,0.0,0.00016,0.0,0.00076,0.0
NN-14,0.0012363636363636364,0.0,0.0106,0.0,0.0,0.0,0.00196,0.0,0.00024,0.0,0.0008,0.0
NN-15,0.001330909090909091,0.0,0.01184,0.0,0.0,0.0,0.00208,0.0,4e-05,0.0,0.00068,0.0
NN-16,0.0012,0.0,0.01072,0.0,0.0,0.0,0.00196,0.0,0.0,0.0,0.00052,0.0
NN-17,0.0012690909090909092,0.0,0.01116,0.0,0.0,0.0,0.00196,0.0,0.00012,0.0,0.00072,0.0
NN-18,0.0012581818181818182,0.0,0.01064,0.0,4e-05,0.0,0.00212,0.0,0.0002,4e-05,0.0008,0.0
NN-19,0.001429090909090909,0.0,0.01176,0.0,0.0,0.0,0.00192,0.0,0.0006,0.0,0.00144,0.0
Random Choice,0.15168363636363635,0.03968,0.9258,0.0,0.01004,0.00764,0.45788,0.00636,0.08148,0.01004,0.1296,0.0
Borda ranking,0.01595272727272727,0.0,0.16328,0.0,0.00064,0.00168,0.00812,0.00032,0.0,0.00064,0.0008,0.0
Plurality ranking,0.07404,0.00224,0.74052,0.0,0.0,0.0028,0.02792,0.0,0.01284,0.0,0.02812,0.0
STV,0.056298181818181824,0.00024,0.58796,0.0,0.0,0.00016,0.01872,0.0,0.0014,0.0,0.0108,0.0
Approval Voting (AV),0.040563636363636364,8e-05,0.41456,0.0,0.0,0.0,0.03088,0.0,0.00068,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.050516363636363644,0.0,0.55232,0.0,0.00024,0.00048,0.00164,8e-05,0.00068,0.00024,0.0,0.0
Approval Chamberlin-Courant (CC),0.07611272727272728,4e-05,0.79964,0.0,0.00536,0.00792,0.00908,0.00372,0.00352,0.00536,0.0026,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.07358181818181818,4e-05,0.77632,0.0,0.00512,0.00788,0.00852,0.00356,0.00284,0.00512,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.0728,4e-05,0.77176,0.0,0.00292,0.00792,0.00528,0.00196,0.00456,0.00292,0.00344,0.0
Monroe's Approval Rule (Monroe),0.06997454545454546,4e-05,0.74064,0.0,0.00424,0.0044,0.0088,0.0028,0.00208,0.00424,0.00248,0.0
Greedy Monroe,0.06770545454545455,4e-05,0.72848,0.0,0.00136,0.00428,0.00356,0.0008,0.003,0.00136,0.00188,0.0
Minimax Approval Voting (MAV),0.15108,0.03948,0.92532,0.0,0.00992,0.00776,0.45744,0.00632,0.07792,0.00992,0.1278,0.0
