Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.002130909090909091,0.0002,0.01328,0.0,4e-05,0.0,0.00616,0.0,0.00064,4e-05,0.00308,0.0
NN-1,0.0016072727272727274,0.0,0.01204,0.0,4e-05,0.0,0.00288,0.0,0.00036,4e-05,0.00232,0.0
NN-2,0.0021927272727272724,0.0004,0.01268,0.0,8e-05,0.0,0.0068,4e-05,0.00068,8e-05,0.00336,0.0
NN-3,0.0018509090909090908,0.0,0.01544,0.0,4e-05,0.0,0.00236,0.0,0.00032,4e-05,0.00216,0.0
NN-4,0.0021854545454545455,0.00032,0.01288,0.0,8e-05,0.0,0.00652,4e-05,0.0008,8e-05,0.00332,0.0
NN-5,0.0019927272727272723,0.0,0.01388,0.0,4e-05,0.0,0.00452,0.0,0.00052,4e-05,0.00292,0.0
NN-6,0.0022945454545454545,0.0002,0.01412,0.0,4e-05,0.0,0.00672,0.0,0.00068,4e-05,0.00344,0.0
NN-7,0.0013927272727272727,0.0,0.01144,0.0,4e-05,0.0,0.00188,0.0,8e-05,4e-05,0.00184,0.0
NN-8,0.0017163636363636367,0.0,0.01328,0.0,8e-05,0.0,0.0026,0.0,0.0004,8e-05,0.00244,0.0
NN-9,0.001472727272727273,0.0,0.01072,0.0,4e-05,0.0,0.00272,0.0,0.00032,4e-05,0.00236,0.0
NN-10,0.001432727272727273,0.0,0.0114,0.0,0.0,0.0,0.00228,0.0,0.0002,0.0,0.00188,0.0
NN-11,0.002109090909090909,0.00032,0.0124,0.0,8e-05,0.0,0.00644,0.0,0.00072,8e-05,0.00316,0.0
NN-12,0.0017672727272727271,0.0,0.01188,0.0,4e-05,0.0,0.00416,0.0,0.00052,4e-05,0.0028,0.0
NN-13,0.0019854545454545455,0.00028,0.0108,0.0,4e-05,0.0,0.00684,0.0,0.00072,4e-05,0.00312,0.0
NN-14,0.002556363636363636,0.00044,0.0156,0.0,4e-05,0.0,0.00736,0.0,0.00092,4e-05,0.00372,0.0
NN-15,0.0024545454545454545,0.00048,0.01308,0.0,4e-05,0.0,0.00852,0.0,0.00104,4e-05,0.0038,0.0
NN-16,0.001581818181818182,0.0,0.01268,0.0,4e-05,0.0,0.00216,0.0,0.00024,4e-05,0.00224,0.0
NN-17,0.001756363636363636,0.0,0.01476,0.0,4e-05,0.0,0.00208,0.0,0.0002,4e-05,0.0022,0.0
NN-18,0.0018763636363636363,0.00024,0.01116,0.0,4e-05,0.0,0.00536,0.0,0.0008,4e-05,0.003,0.0
NN-19,0.0028945454545454548,0.00064,0.01616,0.0,0.00012,0.0,0.00972,4e-05,0.00108,0.00012,0.00396,0.0
Random Choice,0.14080727272727273,0.0334,0.9186,0.0,0.00808,0.00524,0.41296,0.00484,0.04072,0.00808,0.11696,0.0
Borda ranking,0.01758909090909091,0.0,0.1806,0.0,0.00052,0.00156,0.00832,0.00024,0.0,0.00052,0.00172,0.0
Plurality ranking,0.07800727272727273,0.00368,0.77356,0.0,0.0,0.0026,0.0308,0.0,0.01228,0.0,0.03516,0.0
STV,0.062323636363636366,0.00056,0.63992,0.0,4e-05,0.0002,0.02496,0.0,0.00228,4e-05,0.01756,0.0
Approval Voting (AV),0.048618181818181824,0.00036,0.48696,0.0,0.0,0.0,0.04668,0.0,0.0008,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.05577818181818183,8e-05,0.60892,0.0,0.00056,0.0006,0.00168,0.00012,0.00104,0.00056,0.0,0.0
Approval Chamberlin-Courant (CC),0.07544363636363637,4e-05,0.79748,0.0,0.00492,0.0054,0.00824,0.00284,0.0036,0.00492,0.00244,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.07335636363636365,4e-05,0.77844,0.0,0.00476,0.0054,0.0076,0.00272,0.0032,0.00476,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.07261090909090907,0.0,0.7754,0.0,0.0022,0.0054,0.00416,0.00132,0.0044,0.0022,0.00364,0.0
Monroe's Approval Rule (Monroe),0.07141090909090907,4e-05,0.7604,0.0,0.00364,0.00352,0.00716,0.00196,0.00284,0.00364,0.00232,0.0
Greedy Monroe,0.06952,0.0,0.74972,0.0,0.0012,0.00344,0.00292,0.00064,0.00352,0.0012,0.00208,0.0
Minimax Approval Voting (MAV),0.14088,0.0362,0.9158,0.0,0.00804,0.00504,0.41336,0.00472,0.03912,0.00804,0.11936,0.0
