Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,consensus_committee-mean,dummetts_condition-mean,fixed_majority-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.00024363636363636365,0.00012,0.0,0.0,0.00064,0.0,0.00064,0.0,0.0,0.00064,0.00064,0.0
NN-1,0.00018181818181818183,8e-05,0.0,0.0,0.00048,0.0,0.00048,0.0,0.0,0.00048,0.00048,0.0
NN-2,9.818181818181818e-05,0.0,0.00012,0.0,0.00024,0.0,0.00024,0.0,0.0,0.00024,0.00024,0.0
NN-3,0.00017090909090909092,4e-05,8e-05,0.0,0.00044,0.0,0.00044,0.0,0.0,0.00044,0.00044,0.0
NN-4,0.0013054545454545456,0.00024,0.00016,0.0,0.00348,0.0,0.00348,4e-05,0.0,0.00348,0.00348,0.0
NN-5,0.00010181818181818181,0.0,0.0,0.0,0.00028,0.0,0.00028,0.0,0.0,0.00028,0.00028,0.0
NN-6,6.90909090909091e-05,0.0,0.00012,0.0,0.00016,0.0,0.00016,0.0,0.0,0.00016,0.00016,0.0
NN-7,4.3636363636363636e-05,0.0,0.0,0.0,0.00012,0.0,0.00012,0.0,0.0,0.00012,0.00012,0.0
NN-8,0.0013854545454545454,8e-05,0.0002,0.0,0.00376,0.0,0.00372,0.0,0.0,0.00372,0.00376,0.0
NN-9,0.00010181818181818181,0.0,0.0,0.0,0.00028,0.0,0.00028,0.0,0.0,0.00028,0.00028,0.0
NN-10,0.0003672727272727273,4e-05,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.0
NN-11,7.272727272727273e-05,0.0,0.0,0.0,0.0002,0.0,0.0002,0.0,0.0,0.0002,0.0002,0.0
NN-12,3.6363636363636364e-05,0.0,8e-05,0.0,8e-05,0.0,8e-05,0.0,0.0,8e-05,8e-05,0.0
NN-13,0.00010545454545454546,0.0,4e-05,0.0,0.00028,0.0,0.00028,0.0,0.0,0.00028,0.00028,0.0
NN-14,0.0010690909090909093,0.00036,0.0002,0.0,0.0028,0.0,0.0028,0.0,0.0,0.0028,0.0028,0.0
NN-15,0.0001090909090909091,0.0,0.00024,0.0,0.00024,0.0,0.00024,0.0,0.0,0.00024,0.00024,0.0
NN-16,0.0001381818181818182,8e-05,0.0,0.0,0.00036,0.0,0.00036,0.0,0.0,0.00036,0.00036,0.0
NN-17,0.0014145454545454546,0.00064,0.0,0.0,0.00372,0.0,0.00372,4e-05,0.0,0.00372,0.00372,0.0
NN-18,0.0006981818181818182,4e-05,0.00012,0.0,0.00188,0.0,0.00188,0.0,0.0,0.00188,0.00188,0.0
NN-19,0.0002145454545454545,4e-05,8e-05,0.0,0.00056,0.0,0.00056,0.0,0.0,0.00056,0.00056,0.0
Random Choice,0.23482545454545453,0.1084,0.75892,0.0,0.42952,0.00012,0.4272,0.00208,0.00012,0.4272,0.42952,0.0
Borda ranking,0.007832727272727272,0.0,0.08616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plurality ranking,0.05989818181818182,0.0,0.65864,0.0,0.0,0.00012,0.0,0.0,0.00012,0.0,0.0,0.0
STV,0.053978181818181814,0.0,0.5936,0.0,0.0,8e-05,0.0,0.0,8e-05,0.0,0.0,0.0
Approval Voting (AV),0.023883636363636364,0.0,0.26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.023883636363636364,0.0,0.26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.23347636363636368,0.10652,0.7628,0.0,0.42504,0.00012,0.42336,0.00188,0.00012,0.42336,0.42504,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.023883636363636364,0.0,0.26272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.23613090909090903,0.10964,0.76804,0.0,0.43056,0.00012,0.42836,0.00168,0.00012,0.42836,0.43056,0.0
Monroe's Approval Rule (Monroe),0.23347636363636368,0.10652,0.7628,0.0,0.42504,0.00012,0.42336,0.00188,0.00012,0.42336,0.42504,0.0
Greedy Monroe,0.04576,0.0,0.50336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.23347636363636368,0.10652,0.7628,0.0,0.42504,0.00012,0.42336,0.00188,0.00012,0.42336,0.42504,0.0
