,NN,Min Violations Committee,Max Violations Committee,Random Choice,Borda ranking,Plurality ranking,STV,Approval Voting (AV),Proportional Approval Voting (PAV),Approval Chamberlin-Courant (CC),Lexicographic Chamberlin-Courant (lex-CC),Sequential Approval Chamberlin-Courant (seq-CC),Monroe's Approval Rule (Monroe),Greedy Monroe,Minimax Approval Voting (MAV),Method of Equal Shares (aka Rule X) with Phragmén phase,E Pluribus Hugo (EPH),Random Serial Dictator
Min Violations Committee,0.29415584415584417,0.0,0.5194805194805194,0.37662337662337664,0.12987012987012986,0.19480519480519481,0.1038961038961039,0.12987012987012986,0.11688311688311688,0.2077922077922078,0.14285714285714285,0.2597402597402597,0.14285714285714285,0.18181818181818182,0.23376623376623376,0.14285714285714285,0.12987012987012986,0.23376623376623376
Max Violations Committee,0.4512987012987013,0.5194805194805194,0.0,0.4025974025974026,0.5454545454545454,0.5324675324675324,0.5454545454545454,0.5454545454545454,0.5324675324675324,0.4935064935064935,0.5324675324675324,0.5324675324675324,0.5194805194805194,0.5584415584415584,0.42857142857142855,0.5454545454545454,0.5454545454545454,0.5454545454545454
Random Choice,0.31948051948051953,0.37662337662337664,0.4025974025974026,0.0,0.42857142857142855,0.45454545454545453,0.38961038961038963,0.38961038961038963,0.36363636363636365,0.4025974025974026,0.33766233766233766,0.42857142857142855,0.35064935064935066,0.4155844155844156,0.4155844155844156,0.37662337662337664,0.4025974025974026,0.4025974025974026
Borda ranking,0.31948051948051953,0.12987012987012986,0.5454545454545454,0.42857142857142855,0.0,0.14285714285714285,0.12987012987012986,0.09090909090909091,0.09090909090909091,0.19480519480519481,0.12987012987012986,0.19480519480519481,0.14285714285714285,0.12987012987012986,0.2727272727272727,0.07792207792207792,0.07792207792207792,0.2077922077922078
Plurality ranking,0.3246753246753247,0.19480519480519481,0.5324675324675324,0.45454545454545453,0.14285714285714285,0.0,0.11688311688311688,0.16883116883116883,0.19480519480519481,0.23376623376623376,0.22077922077922077,0.16883116883116883,0.2077922077922078,0.15584415584415584,0.3116883116883117,0.16883116883116883,0.15584415584415584,0.2727272727272727
STV,0.34480519480519484,0.1038961038961039,0.5454545454545454,0.38961038961038963,0.12987012987012986,0.11688311688311688,0.0,0.1038961038961039,0.1038961038961039,0.18181818181818182,0.12987012987012986,0.2077922077922078,0.11688311688311688,0.11688311688311688,0.2857142857142857,0.12987012987012986,0.1038961038961039,0.23376623376623376
Approval Voting (AV),0.3207792207792208,0.12987012987012986,0.5454545454545454,0.38961038961038963,0.09090909090909091,0.16883116883116883,0.1038961038961039,0.0,0.05194805194805195,0.16883116883116883,0.09090909090909091,0.19480519480519481,0.1038961038961039,0.15584415584415584,0.24675324675324675,0.05194805194805195,0.012987012987012988,0.22077922077922077
Proportional Approval Voting (PAV),0.30064935064935067,0.11688311688311688,0.5324675324675324,0.36363636363636365,0.09090909090909091,0.19480519480519481,0.1038961038961039,0.05194805194805195,0.0,0.12987012987012986,0.03896103896103896,0.16883116883116883,0.06493506493506493,0.12987012987012986,0.24675324675324675,0.03896103896103896,0.03896103896103896,0.23376623376623376
Approval Chamberlin-Courant (CC),0.35064935064935066,0.2077922077922078,0.4935064935064935,0.4025974025974026,0.19480519480519481,0.23376623376623376,0.18181818181818182,0.16883116883116883,0.12987012987012986,0.0,0.09090909090909091,0.23376623376623376,0.06493506493506493,0.23376623376623376,0.16883116883116883,0.16883116883116883,0.15584415584415584,0.2727272727272727
Lexicographic Chamberlin-Courant (lex-CC),0.2876623376623377,0.14285714285714285,0.5324675324675324,0.33766233766233766,0.12987012987012986,0.22077922077922077,0.12987012987012986,0.09090909090909091,0.03896103896103896,0.09090909090909091,0.0,0.18181818181818182,0.025974025974025976,0.15584415584415584,0.23376623376623376,0.07792207792207792,0.07792207792207792,0.19480519480519481
Sequential Approval Chamberlin-Courant (seq-CC),0.38116883116883116,0.2597402597402597,0.5324675324675324,0.42857142857142855,0.19480519480519481,0.16883116883116883,0.2077922077922078,0.19480519480519481,0.16883116883116883,0.23376623376623376,0.18181818181818182,0.0,0.2077922077922078,0.14285714285714285,0.33766233766233766,0.14285714285714285,0.18181818181818182,0.2857142857142857
