Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,3.384615384615385e-05,0.00016,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
NN-1,6.153846153846154e-05,0.00052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0002,0.0
NN-2,2.1538461538461542e-05,4e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
NN-3,2.4615384615384616e-05,4e-05,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
NN-4,2.4615384615384616e-05,4e-05,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
NN-5,2.1538461538461542e-05,4e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
NN-6,6.769230769230768e-05,0.00052,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0002,0.0
NN-7,2.4615384615384616e-05,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
NN-8,6.76923076923077e-05,0.00048,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0002,0.0
NN-9,6.153846153846154e-05,0.00048,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0002,0.0
NN-10,7.076923076923076e-05,0.00052,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0002,0.0
NN-11,1.846153846153846e-05,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
NN-12,2.7692307692307694e-05,4e-05,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
NN-13,6.153846153846154e-05,0.00044,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0002,0.0
NN-14,3.692307692307693e-05,0.00016,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
NN-15,3.9999999999999996e-05,0.00028,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
NN-16,5.846153846153847e-05,0.00048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0002,0.0
NN-17,6.76923076923077e-05,0.00048,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.0002,0.0
NN-18,2.1538461538461542e-05,4e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
NN-19,3.076923076923077e-05,8e-05,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Random Choice,0.08784,0.17812,0.78052,0.0,0.0,0.0,0.04616,0.0,0.00388,0.04616,0.0756,0.0,0.01148,0.0
Borda ranking,0.010898461538461541,0.0,0.12112,0.0,0.0,0.0,0.01008,0.0,0.0,0.01008,0.0,0.0,0.0004,0.0
Plurality ranking,0.034726153846153844,0.02268,0.42144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00732,0.0,0.0,0.0
STV,0.015212307692307692,0.0,0.19776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Approval Voting (AV),0.03492615384615385,0.02356,0.42308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.03492615384615385,0.02356,0.42308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.03492615384615385,0.02356,0.42308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.03492615384615385,0.02356,0.42308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.034726153846153844,0.02268,0.42144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00732,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.03492615384615385,0.02356,0.42308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0,0.0
Greedy Monroe,0.034726153846153844,0.02268,0.42144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00732,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.08752307692307691,0.17904,0.78132,0.0,0.0,0.0,0.04568,0.0,0.0034,0.04568,0.07344,0.0,0.00924,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.034726153846153844,0.02268,0.42144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00732,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.03492615384615385,0.02356,0.42308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074,0.0,0.0,0.0
Random Serial Dictator,0.06697846153846154,0.11068,0.66896,0.0,0.0,0.0,0.02488,0.0,0.0,0.02488,0.04132,0.0,0.0,0.0
Anti-Plurality,0.045710769230769235,4e-05,0.4928,0.0,0.0,0.0,0.048,0.0,0.00016,0.048,0.0,0.0,0.00524,0.0
Two-Approval,0.019323076923076925,0.0004,0.21556,0.0,0.0,0.0,0.01728,0.0,0.0,0.01728,0.0,0.0,0.00068,0.0
Three-Approval,0.032873846153846156,0.0008,0.34588,0.0,0.0,0.0,0.03856,0.0,0.0,0.03856,0.0,0.0,0.00356,0.0
Instant Runoff,0.016304615384615386,0.0008,0.21096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0
Bottom-Two-Runoff Instant Runoff,0.0006338461538461539,4e-05,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Benham,0.0010153846153846155,4e-05,0.01304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
PluralityWRunoff PUT,0.018412307692307693,0.0,0.23936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coombs,0.0026215384615384616,0.0,0.03388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Baldwin,0.00019692307692307693,0.0,0.00236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Strict Nanson,8.923076923076924e-05,0.0,0.00096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Weak Nanson,9.538461538461538e-05,0.0,0.00104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Iterated Removal Condorcet Loser,0.017320000000000002,0.0,0.21004,0.0,0.0,0.0,0.00672,0.0,0.00012,0.00672,0.0,0.0,0.00156,0.0
Raynaud,0.00034769230769230765,0.0,0.00432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Tideman Alternative Top Cycle,0.0010276923076923078,0.0,0.01316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Knockout Voting,0.00040923076923076926,0.0,0.00508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
Banks,0.0009446153846153847,0.0,0.01204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
Condorcet,0.0063999999999999994,0.01652,0.05764,0.0,0.0,0.0,0.0,0.0,0.00048,0.0,0.00712,0.0,0.00144,0.0
Copeland,5.230769230769231e-05,0.0,0.00048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Llull,1.5384615384615384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Uncovered Set,0.0009384615384615385,0.0,0.01196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
Uncovered Set - Fishburn,1.5384615384615384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Uncovered Set - Bordes,0.0009446153846153847,0.0,0.01204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
Uncovered Set - McKelvey,0.0011938461538461538,0.0,0.01524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028,0.0
Slater,8e-05,0.0,0.00084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
