Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,7.384615384615384e-05,0.00032,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.00016,0.0
NN-1,4.3076923076923084e-05,0.00016,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00016,0.0
NN-2,8.923076923076924e-05,0.00052,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.00016,0.0
NN-3,6.153846153846154e-05,0.00032,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.00016,0.0
NN-4,8.923076923076924e-05,0.00052,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.00016,0.0
NN-5,6.461538461538462e-05,0.00032,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.00016,0.0
NN-6,8.923076923076924e-05,0.00052,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.00016,0.0
NN-7,3.692307692307693e-05,0.00016,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00016,0.0
NN-8,6.76923076923077e-05,0.00032,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.00016,0.0
NN-9,9.23076923076923e-05,0.00052,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.00016,0.0
NN-10,4.923076923076923e-05,0.00024,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.00016,0.0
NN-11,8.615384615384614e-05,0.00052,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.00016,0.0
NN-12,9.23076923076923e-05,0.00052,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.00016,0.0
NN-13,6.153846153846154e-05,0.00032,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.00016,0.0
NN-14,4e-05,0.00016,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00016,0.0
NN-15,9.23076923076923e-05,0.00052,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.00016,0.0
NN-16,8.615384615384614e-05,0.00052,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.00016,0.0
NN-17,8.615384615384614e-05,0.00052,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,0.00016,0.0
NN-18,6.461538461538462e-05,0.00032,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.00016,0.0
NN-19,8.615384615384617e-05,0.00044,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,0.0,0.00016,0.0
Random Choice,0.09092307692307691,0.18364,0.78164,0.0,0.0,0.0,0.05688,0.0,0.0032,0.05688,0.0892,0.0,0.01056,0.0
Borda ranking,0.010033846153846154,0.0,0.10864,0.0,0.0,0.0,0.01072,0.0,0.0,0.01072,0.0,0.0,0.00036,0.0
Plurality ranking,0.03117538461538462,0.01604,0.38296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00628,0.0,0.0,0.0
STV,0.012916923076923078,0.0,0.16788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0
Approval Voting (AV),0.031326153846153844,0.01692,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00612,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.031326153846153844,0.01692,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00612,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.031326153846153844,0.01692,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00612,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.031326153846153844,0.01692,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00612,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.03117538461538462,0.01604,0.38296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00628,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.031326153846153844,0.01692,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00612,0.0,0.0,0.0
Greedy Monroe,0.03117538461538462,0.01604,0.38296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00628,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.09056307692307691,0.1824,0.77988,0.0,0.0,0.0,0.05612,0.0,0.0034,0.05612,0.08788,0.0,0.01152,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.03117538461538462,0.01604,0.38296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00628,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.031326153846153844,0.01692,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00612,0.0,0.0,0.0
Random Serial Dictator,0.06619692307692307,0.10016,0.6516,0.0,0.0,0.0,0.03104,0.0,0.0,0.03104,0.04672,0.0,0.0,0.0
Anti-Plurality,0.04692307692307692,4e-05,0.49468,0.0,0.0,0.0,0.05556,0.0,8e-05,0.05556,0.0,0.0,0.00408,0.0
Two-Approval,0.018421538461538465,0.0004,0.1988,0.0,0.0,0.0,0.0198,0.0,0.0,0.0198,4e-05,0.0,0.00064,0.0
Three-Approval,0.03329230769230769,0.00016,0.3442,0.0,0.0,0.0,0.043,0.0,0.0,0.043,0.0,0.0,0.00244,0.0
Instant Runoff,0.013855384615384615,0.00092,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0
Bottom-Two-Runoff Instant Runoff,0.0004153846153846154,0.00012,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0
Benham,0.0007107692307692307,0.0,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0
PluralityWRunoff PUT,0.015606153846153846,0.0,0.20288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coombs,0.0020892307692307694,0.0,0.02692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
Baldwin,0.0001323076923076923,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Strict Nanson,4.3076923076923084e-05,0.0,0.00044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Weak Nanson,3.692307692307692e-05,0.0,0.00036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Iterated Removal Condorcet Loser,0.015935384615384615,0.0,0.1882,0.0,0.0,0.0,0.00876,0.0,0.00012,0.00876,0.0,0.0,0.00132,0.0
Raynaud,0.00022769230769230768,0.0,0.00284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Tideman Alternative Top Cycle,0.0006738461538461539,0.0,0.00872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0
Knockout Voting,0.0003107692307692308,0.0,0.00384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0
Banks,0.0006553846153846154,0.0,0.00844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0
Condorcet,0.005824615384615385,0.0164,0.05048,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.008,0.0,0.00068,0.0
Copeland,3.384615384615385e-05,0.0,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Llull,9.23076923076923e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Uncovered Set,0.0006000000000000001,0.0,0.00764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0
Uncovered Set - Fishburn,9.23076923076923e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Uncovered Set - Bordes,0.0006553846153846154,0.0,0.00844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0
Uncovered Set - McKelvey,0.0008338461538461539,0.0,0.01076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0
Slater,2.7692307692307694e-05,0.0,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Top Cycle,0.0011692307692307692,0.0,0.01512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0
GOCHA,9.23076923076923e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Bipartisan Set,0.00029846153846153846,0.0,0.00372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0
Minimax,9.23076923076923e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Split Cycle,2.1538461538461542e-05,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Ranked Pairs ZT,0.003827692307692308,0.00536,0.0426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164,0.0,0.00016,0.0
Ranked Pairs TB,0.003827692307692308,0.00536,0.0426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00164,0.0,0.00016,0.0
Simple Stable Voting,1.2307692307692308e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0
Stable Voting,1.2307692307692308e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0
Loss-Trimmer Voting,9.23076923076923e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Daunou,0.0009076923076923077,0.0,0.01176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0
Blacks,0.0007323076923076924,0.0,0.00928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0
Condorcet IRV,0.0008861538461538462,8e-05,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0
Condorcet IRV PUT,0.0008338461538461539,0.0,0.0108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0
Smith IRV,0.0006830769230769232,0.0,0.00884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0
Smith-Minimax,9.23076923076923e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Condorcet Plurality,0.0017353846153846152,0.00104,0.02112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,4e-05,0.0
Copeland-Local-Borda,9.23076923076923e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Copeland-Global-Borda,4.615384615384616e-05,0.0,0.00044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0
Borda-Minimax Faceoff,0.0001353846153846154,0.0,0.00164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0
Bucklin,0.012473846153846153,4e-05,0.1616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00052,0.0
Simplified Bucklin,0.02023692307692308,0.0008,0.26156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00072,0.0
Weighted Bucklin,0.007301538461538462,0.0,0.09456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0
Bracket Voting,0.0028123076923076925,0.0,0.03656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Superior Voting,0.0005200000000000001,0.0,0.00668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0
