Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,9.846153846153846e-05,0.00024,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00092,0.0
NN-1,0.00011692307692307694,0.00032,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00096,0.0
NN-2,0.00011692307692307694,0.00032,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00096,0.0
NN-3,0.00012307692307692307,0.00036,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00096,0.0
NN-4,0.00011384615384615384,0.00032,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00092,0.0
NN-5,9.846153846153846e-05,0.00016,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00092,0.0
NN-6,0.00011076923076923076,0.00028,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00096,0.0
NN-7,8.307692307692307e-05,4e-05,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092,0.0
NN-8,0.00012307692307692307,0.00044,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00092,0.0
NN-9,0.00010461538461538463,0.00024,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00092,0.0
NN-10,9.538461538461538e-05,0.00012,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00096,0.0
NN-11,9.538461538461538e-05,0.00012,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00096,0.0
NN-12,0.00011692307692307694,0.00032,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00092,0.0
NN-13,9.538461538461538e-05,0.00016,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092,0.0
NN-14,0.00010153846153846153,0.00024,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0,0.00092,0.0
NN-15,9.230769230769232e-05,0.00016,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00088,0.0
NN-16,9.846153846153846e-05,0.00012,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0,0.00092,0.0
NN-17,0.0001076923076923077,0.00024,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.00092,0.0
NN-18,8.615384615384617e-05,4e-05,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092,0.0
NN-19,9.230769230769232e-05,0.00016,8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00096,0.0
Min Violations Committee,4.9230769230769225e-05,0.0,0.00056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e-05,0.0
Max Violations Committee,0.1765046153846154,0.87044,0.98872,0.0,0.0,0.0,0.0204,0.0,0.02652,0.0204,0.30292,0.0,0.06516,0.0
Random Choice,0.08118769230769232,0.14516,0.8058,0.0,0.0,0.0,0.0168,0.0,0.00504,0.0168,0.04888,0.0,0.01696,0.0
Borda ranking,0.01052,0.0,0.12664,0.0,0.0,0.0,0.00444,0.0,0.0,0.00444,0.0,0.0,0.00124,0.0
Plurality ranking,0.040172307692307695,0.0182,0.4996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00444,0.0,0.0,0.0
STV,0.019609230769230768,0.0,0.25488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4e-05,0.0
Approval Voting (AV),0.04006153846153847,0.0174,0.49936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00404,0.0,0.0,0.0
Proportional Approval Voting (PAV),0.04006153846153847,0.0174,0.49936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00404,0.0,0.0,0.0
Approval Chamberlin-Courant (CC),0.04006153846153847,0.0174,0.49936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00404,0.0,0.0,0.0
Lexicographic Chamberlin-Courant (lex-CC),0.04006153846153847,0.0174,0.49936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00404,0.0,0.0,0.0
Sequential Approval Chamberlin-Courant (seq-CC),0.040172307692307695,0.0182,0.4996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00444,0.0,0.0,0.0
Monroe's Approval Rule (Monroe),0.04006153846153847,0.0174,0.49936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00404,0.0,0.0,0.0
Greedy Monroe,0.040172307692307695,0.0182,0.4996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00444,0.0,0.0,0.0
Minimax Approval Voting (MAV),0.08164923076923077,0.14472,0.81128,0.0,0.0,0.0,0.01664,0.0,0.00568,0.01664,0.04944,0.0,0.01704,0.0
Method of Equal Shares (aka Rule X) with Phragmén phase,0.040172307692307695,0.0182,0.4996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00444,0.0,0.0,0.0
E Pluribus Hugo (EPH),0.04006153846153847,0.0174,0.49936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00404,0.0,0.0,0.0
Random Serial Dictator,0.06513538461538461,0.08776,0.71428,0.0,0.0,0.0,0.00916,0.0,0.0,0.00916,0.0264,0.0,0.0,0.0
Anti-Plurality,0.04872,0.0,0.58724,0.0,0.0,0.0,0.0178,0.0,0.0004,0.0178,0.0,0.0,0.01012,0.0
Two-Approval,0.021741538461538465,0.00084,0.27016,0.0,0.0,0.0,0.00512,0.0,0.0,0.00512,8e-05,0.0,0.00132,0.0
Three-Approval,0.02390153846153846,0.0,0.28104,0.0,0.0,0.0,0.01232,0.0,0.0,0.01232,0.0,0.0,0.00504,0.0
Instant Runoff,0.0208,0.00048,0.2698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012,0.0,0.0,0.0
Bottom-Two-Runoff Instant Runoff,0.0008523076923076922,0.0,0.01048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0
