Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.00010153846153846156,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.00116,0.0,0.0,0.0,4e-05,0.0
NN-1,0.00011076923076923079,0.0,4e-05,0.0,0.0,0.0,0.0,0.0,0.00136,0.0,0.0,0.0,4e-05,0.0
NN-2,0.00011384615384615384,0.0,0.00032,0.0,0.0,0.0,0.0,0.0,0.00112,0.0,0.0,0.0,4e-05,0.0
NN-3,0.00012,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,8e-05,0.0
NN-4,0.00011076923076923076,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.00112,0.0,0.0,0.0,4e-05,0.0
NN-5,0.00016307692307692307,0.0,0.00064,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.00016,0.0,0.00032,0.0
NN-6,0.00015076923076923077,0.0,0.00048,0.0,0.0,0.0,0.0,0.0,0.00104,0.0,0.00016,0.0,0.00028,0.0
NN-7,0.00012615384615384615,0.0,0.00032,0.0,0.0,0.0,0.0,0.0,0.00108,0.0,8e-05,0.0,0.00016,0.0
NN-8,0.00010769230769230771,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.00116,0.0,0.0,0.0,4e-05,0.0
NN-9,0.00010461538461538463,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.00104,0.0,0.0,0.0,4e-05,0.0
NN-10,0.00012923076923076923,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.00136,0.0,0.0,0.0,4e-05,0.0
NN-11,0.00011692307692307694,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.00104,0.0,8e-05,0.0,0.00012,0.0
NN-12,0.0001323076923076923,0.0,0.00052,0.0,0.0,0.0,0.0,0.0,0.001,0.0,4e-05,0.0,0.00016,0.0
NN-13,0.00010769230769230771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00136,0.0,0.0,0.0,4e-05,0.0
NN-14,0.00011384615384615385,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.00132,0.0,0.0,0.0,4e-05,0.0
NN-15,9.846153846153846e-05,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.00108,0.0,0.0,0.0,8e-05,0.0
NN-16,0.00011076923076923077,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0012,0.0,0.0,0.0,4e-05,0.0
NN-17,0.00011076923076923077,0.0,0.00024,0.0,0.0,0.0,0.0,0.0,0.00116,0.0,0.0,0.0,4e-05,0.0
