Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.0027507692307692307,0.0,0.01972,0.0,0.00168,0.0,0.0,0.0,0.013,0.0,0.0,0.00136,0.0,0.0
NN-1,0.0026,0.0,0.01956,0.0,0.00084,0.0,0.0,0.0,0.01264,0.0,0.0,0.00076,0.0,0.0
NN-2,0.002495384615384615,0.0,0.01656,0.0,0.00156,0.0,0.0,0.0,0.01304,0.0,0.0,0.00128,0.0,0.0
NN-3,0.002544615384615385,0.0,0.0184,0.0,0.00112,0.0,0.0,0.0,0.01276,0.0,0.0,0.0008,0.0,0.0
NN-4,0.002547692307692308,0.0,0.01872,0.0,0.00156,0.0,0.0,0.0,0.01172,0.0,0.0,0.00112,0.0,0.0
NN-5,0.0031753846153846155,0.0,0.02312,0.0,0.00212,0.0,0.0,0.0,0.0146,0.0,0.00016,0.00128,0.0,0.0
NN-6,0.0024430769230769232,0.0,0.01644,0.0,0.00144,0.0,0.0,0.0,0.01288,0.0,0.0,0.001,0.0,0.0
NN-7,0.0028492307692307697,0.0,0.02084,0.0,0.00144,0.0,0.0,0.0,0.01336,0.0,0.00016,0.00124,0.0,0.0
NN-8,0.0026276923076923074,0.0,0.01864,0.0,0.00128,0.0,0.0,0.0,0.01348,0.0,0.0,0.00076,0.0,0.0
NN-9,0.0029661538461538467,0.0,0.02068,0.0,0.00208,0.0,0.0,0.0,0.01416,0.0,0.0,0.00164,0.0,0.0
NN-10,0.0025353846153846156,0.0,0.0184,0.0,0.00108,0.0,0.0,0.0,0.01264,0.0,0.0,0.00084,0.0,0.0
NN-11,0.0025784615384615386,0.0,0.0194,0.0,0.00104,0.0,0.0,0.0,0.01228,0.0,0.0,0.0008,0.0,0.0
NN-12,0.0023692307692307693,0.0,0.01608,0.0,0.00112,0.0,0.0,0.0,0.01256,0.0,0.0,0.00104,0.0,0.0
