Method,violation_rate-mean,condorcet_loser-mean,condorcet_winner-mean,core-mean,dummetts_condition-mean,ejr-mean,fixed_majority-mean,jr-mean,local_stability-mean,majority-mean,majority_loser-mean,solid_coalitions-mean,strong_pareto_efficiency-mean,strong_unanimity-mean
NN-0,0.03478769230769231,0.0,0.01712,0.00596,0.12108,0.00544,0.00012,0.00388,0.15348,0.00184,0.008,0.09612,0.0392,0.0
NN-1,0.03460615384615385,0.0,0.01636,0.00576,0.12164,0.00528,4e-05,0.00396,0.1528,0.00188,0.00736,0.09704,0.03776,0.0
NN-2,0.03392,0.0,0.01528,0.00568,0.11932,0.00536,0.00016,0.00408,0.15064,0.00132,0.00704,0.09488,0.0372,0.0
NN-3,0.03649538461538461,0.0,0.02472,0.00624,0.12408,0.00576,0.00072,0.00404,0.1568,0.00236,0.00848,0.09932,0.04192,0.0
NN-4,0.03469846153846153,0.0,0.01852,0.00524,0.12092,0.0048,0.00016,0.00364,0.15356,0.00204,0.00736,0.0964,0.03844,0.0
NN-5,0.03485230769230769,0.0,0.02,0.00528,0.12164,0.00476,0.00044,0.0036,0.1534,0.0024,0.00692,0.09692,0.03772,0.0
NN-6,0.03365846153846154,0.0,0.01652,0.00516,0.11816,0.0048,8e-05,0.0036,0.14964,0.00124,0.00732,0.09396,0.03708,0.0
NN-7,0.03383384615384616,0.0,0.01608,0.00516,0.11988,0.00472,0.0,0.00356,0.15048,0.002,0.0056,0.09532,0.03704,0.0
NN-8,0.03413230769230769,0.0,0.01788,0.00484,0.11964,0.00444,0.00032,0.00332,0.15128,0.00172,0.00752,0.09508,0.03768,0.0
NN-9,0.035990769230769236,0.0,0.0218,0.00608,0.12392,0.00552,0.00016,0.004,0.15704,0.00196,0.00832,0.09876,0.04032,0.0
NN-10,0.034855384615384614,0.0,0.01752,0.0056,0.12152,0.00508,8e-05,0.00388,0.15424,0.00168,0.0078,0.09696,0.03876,0.0
NN-11,0.035304615384615386,0.0,0.02148,0.0058,0.12228,0.00536,0.0002,0.00376,0.15436,0.00156,0.0076,0.0976,0.03896,0.0
NN-12,0.03741846153846154,0.0,0.0224,0.00652,0.12808,0.00592,0.00016,0.00416,0.1624,0.00304,0.00892,0.10292,0.04192,0.0
NN-13,0.03576615384615385,0.0,0.02256,0.00592,0.12248,0.00548,0.00028,0.00392,0.15576,0.00228,0.00808,0.09804,0.04016,0.0
NN-14,0.03578153846153846,0.0,0.01984,0.00608,0.12356,0.00548,0.00012,0.00396,0.157,0.00236,0.00808,0.09876,0.03992,0.0
NN-15,0.034876923076923076,0.0,0.02028,0.0056,0.12064,0.00524,8e-05,0.00388,0.1538,0.00172,0.00756,0.09612,0.03848,0.0
NN-16,0.034883076923076926,0.0,0.01932,0.00572,0.12168,0.00528,4e-05,0.00392,0.15328,0.002,0.00712,0.09704,0.03808,0.0
NN-17,0.03399076923076923,0.0,0.01644,0.00528,0.11948,0.0048,0.0002,0.00352,0.15064,0.00168,0.007,0.09508,0.03776,0.0
NN-18,0.036704615384615384,0.0,0.02344,0.006,0.12584,0.00548,0.00028,0.00392,0.1594,0.00276,0.00816,0.10052,0.04136,0.0
NN-19,0.03436307692307692,0.0,0.0162,0.0054,0.12068,0.00512,8e-05,0.00384,0.15248,0.00172,0.00708,0.09584,0.03828,0.0
Random Choice,0.3328153846153846,0.03444,0.74812,0.2514,0.58384,0.22856,0.4166,0.04064,0.56,0.26784,0.26616,0.45868,0.43428,0.03604
Borda ranking,0.03238461538461539,0.0,0.14168,8e-05,0.06404,8e-05,0.05844,8e-05,0.0704,0.0012,0.00132,0.0468,0.03688,0.0
Plurality ranking,0.15568923076923077,8e-05,0.66112,0.12956,0.17976,0.1198,0.392,0.0,0.0008,0.0,0.2016,0.0,0.30552,0.03372
STV,0.04450153846153847,4e-05,0.31456,0.00108,0.0,0.0008,0.10852,0.0,0.00092,0.0,0.04852,0.0,0.10408,0.0
